"","Supervisor.PI","Batch","Sex","Population","Mean","SD","Median","Min","Max","SE","CV","Mode"
"73","Gonzalez","5","F","AK",0.976154401166667,0.0261610928336785,0.9772727275,0.95,1,0.0106802214260157,0.0268001586658951,1
"74","Gonzalez","5","F","GI",0.9375,0.125,1,0.75,1,0.0625,0.133333333333333,1
"75","Gonzalez","5","F","KA",0.938725490166667,0.0276167961916581,0.95,0.882352941,0.95,0.0112745098333333,0.0294194591293721,0.95
"76","Gonzalez","5","F","MA",0.96,0.076594168620507,1,0.8,1,0.0289498745782298,0.0797855923130282,1
"77","Gonzalez","5","F","MU",0.9184210526,0.0692010200030305,0.95,0.842105263,1,0.0309476369678198,0.0753478154786699,0.95
"78","Gonzalez","5","F","RE",0.838744588666667,0.180925762910968,0.884090909,0.55,1,0.073862633409273,0.215710199929375,1
"79","Gonzalez","5","F","UM",0.96,0.0418330013267038,0.95,0.9,1,0.0187082869338697,0.0435760430486498,1
"80","Gonzalez","5","F","VA",0.92738095225,0.0621332778632128,0.926190476,0.857142857,1,0.0310666389316064,0.066998656498676,0.9
"81","Gonzalez","5","F","YE",0.941573841272727,0.0813414473486412,0.954545455,0.739130435,1,0.0245253691599902,0.0863888139019365,1
"82","Gonzalez","5","M","AK",0.659928229666667,0.125879754127521,0.7162471395,0.45,0.772727273,0.0513901944265718,0.190747642650631,0.695652174
"83","Gonzalez","5","M","GI",0.669047619,0.334792723673833,0.688095238,0.3,1,0.167396361836916,0.500401935775864,1
"84","Gonzalez","5","M","KA",0.7794973545,0.149378840557421,0.838888889,0.583333333,0.904761905,0.0609836562890412,0.191634826847153,0.9
"85","Gonzalez","5","M","MA",0.742599251714286,0.104625909050944,0.739130435,0.55,0.9,0.0395448765775513,0.140891481925703,0.8
"86","Gonzalez","5","M","MU",0.7857142858,0.213271408775345,0.85,0.428571429,1,0.0953778735357634,0.271436338411737,0.85
"87","Gonzalez","5","M","RE",0.702964519166667,0.162058058356724,0.7029411765,0.45,0.95,0.0661599252800253,0.230535189100065,0.7
"88","Gonzalez","5","M","UM",0.732929293,0.168938978585106,0.8,0.55,0.909090909,0.0755518080331358,0.230498330737487,0.909090909
"89","Gonzalez","5","M","VA",0.7549342105,0.232003137693653,0.759868421,0.5,1,0.116001568846826,0.307315703099472,0.5
"90","Gonzalez","5","M","YE",0.799695519818182,0.202492059995282,0.894736842,0.454545455,1,0.0610536532754988,0.253211447328504,0.75
"91","Gonzalez","6","F","AK",0.9174603175,0.0681080019028957,0.9023809525,0.85,1,0.0278049753437667,0.0742353653926789,0.85
"92","Gonzalez","6","F","GI",0.818452381,0.214024311372042,0.875,0.523809524,1,0.107012155686021,0.261498794970262,0.8
"93","Gonzalez","6","F","KA",0.899073983714286,0.109587846761136,0.904761905,0.684210526,1,0.0414203127492886,0.121889687329626,1
"94","Gonzalez","6","F","MA",0.828571428571429,0.182247868888187,0.8,0.55,1,0.0688832197213782,0.219954324520225,1
"95","Gonzalez","6","F","MU",0.831939697666667,0.123557504977107,0.8114035085,0.7,1,0.0504421401808842,0.148517380915525,0.789473684
"96","Gonzalez","6","F","RE",0.847781619111111,0.101706961540004,0.8,0.75,1,0.0339023205133345,0.11996834945141,0.75
"97","Gonzalez","6","F","UM",0.8683709272,0.130707058705546,0.947368421,0.65,0.952380952,0.0584539736809313,0.150519846544151,0.65
"98","Gonzalez","6","F","VA",0.7973861285,0.249553915437928,0.8773809525,0.434782609,1,0.124776957718964,0.312964957024492,0.85
"99","Gonzalez","6","F","YE",0.8761904762,0.128409657183757,0.9,0.65,1,0.0406066990262073,0.146554500045086,1
"100","Gonzalez","6","M","AK",0.768859649166667,0.135891604234859,0.8210526315,0.52631579,0.894736842,0.0554775151172731,0.176744356895496,0.52631579
"101","Gonzalez","6","M","GI",0.675,0.232737334062816,0.675,0.4,0.95,0.116368667031408,0.344796050463431,0.95
"102","Gonzalez","6","M","KA",0.872108843571429,0.138189036884725,0.9,0.6,1,0.0522305465017878,0.15845388784136,1
"103","Gonzalez","6","M","MA",0.647159565571429,0.171230785968061,0.6,0.444444444,0.947368421,0.0647191537813739,0.264588202164435,0.684210526
"104","Gonzalez","6","M","MU",0.746296296166667,0.231249013875499,0.825,0.380952381,0.952380952,0.0944070145861267,0.309862202269131,0.8
"105","Gonzalez","6","M","RE",0.606540808666667,0.161080367133142,0.625,0.4,0.8,0.0536934557110475,0.265572183819319,0.8
"106","Gonzalez","6","M","UM",0.747719298,0.135692426576351,0.8,0.578947368,0.894736842,0.0606834979713242,0.181475089568106,0.8
"107","Gonzalez","6","M","VA",0.70833333325,0.262995563914848,0.7166666665,0.4,1,0.131497781957424,0.37128785498229,0.6
"108","Gonzalez","6","M","YE",0.8699248119,0.126690359080806,0.875,0.571428571,1,0.0400630092279944,0.145633688507059,1
"109","Gonzalez","7","F","AK",0.8471365834,0.0793878093089143,0.826086957,0.772727273,0.95,0.0355033076399046,0.0937131164732489,0.777777778
"110","Gonzalez","7","F","GI",0.75,0.0408248290463863,0.75,0.7,0.8,0.0204124145231932,0.0544331053951818,0.75
"111","Gonzalez","7","F","KA",0.768587476571429,0.146370842628906,0.85,0.52173913,0.894736842,0.0553229783981511,0.190441357803341,0.85
"112","Gonzalez","7","F","MA",0.758881578875,0.167779189844864,0.769736842,0.4,0.95,0.0593189014406443,0.221087445677081,0.95
"113","Gonzalez","7","F","MU",0.6303759398,0.275870036224514,0.684210526,0.210526316,0.9,0.123372830790668,0.437627800819998,0.523809524
"114","Gonzalez","7","F","RE",0.748941798888889,0.223163045240662,0.8,0.25,1,0.0743876817468875,0.297971144849628,0.833333333
"115","Gonzalez","7","F","UM",0.73035714275,0.178273561221069,0.7,0.571428571,0.95,0.0891367806105344,0.244090939604998,0.571428571
"116","Gonzalez","7","F","VA",0.7118734335,0.161094709624203,0.736842105,0.523809524,0.85,0.0805473548121015,0.226296841605907,0.85
"117","Gonzalez","7","F","YE",0.769267866666667,0.137024576724986,0.804761905,0.5,0.947368421,0.0395555881288825,0.1781233594466,0.894736842
"118","Gonzalez","7","M","AK",0.2766666668,0.138263444240406,0.25,0.142857143,0.5,0.0618332920249601,0.499747388579904,0.3
"119","Gonzalez","7","M","GI",0.3259502925,0.127167857403688,0.321637427,0.210526316,0.45,0.0635839287018441,0.390144940286219,0.421052632
"120","Gonzalez","7","M","KA",0.394611528714286,0.149311394766908,0.333333333,0.25,0.6,0.0564344026373473,0.378375652767651,0.25
"121","Gonzalez","7","M","MA",0.22637322475,0.113900170683331,0.1842105265,0.105263158,0.444444444,0.0402697915342443,0.503152132100071,0.3
"122","Gonzalez","7","M","MU",0.37,0.195576072156079,0.4,0.1,0.55,0.0874642784226795,0.528583978800215,0.55
"123","Gonzalez","7","M","RE",0.224878645444444,0.176060485500662,0.25,0,0.588235294,0.0586868285002205,0.782913313768411,0.25
"124","Gonzalez","7","M","UM",0.332894737,0.0971785726612999,0.35,0.210526316,0.421052632,0.0485892863306499,0.291919822875721,0.421052632
"125","Gonzalez","7","M","VA",0.384868421,0.270497429877209,0.394736842,0.1,0.65,0.135248714938604,0.702830929007835,0.210526316
"126","Gonzalez","7","M","YE",0.312348981583333,0.157038656806508,0.3,0.1,0.5,0.0453331553902073,0.502766668264646,0.1
"127","Gonzalez","8","F","AK",0.8960526315,0.0762931001870391,0.8960526315,0.842105263,0.95,0.0539473685,0.0851435479401737,0.95
"128","Gonzalez","8","F","KA",0.894736842,NA,0.894736842,0.894736842,0.894736842,NA,NA,0.894736842
"129","Gonzalez","8","F","MA",0.7,NA,0.7,0.7,0.7,NA,NA,0.7
"130","Gonzalez","8","F","MU",0.45,NA,0.45,0.45,0.45,NA,NA,0.45
"131","Gonzalez","8","F","RE",0.766666666666667,0.115470053837925,0.7,0.7,0.9,0.0666666666666667,0.150613113701642,0.7
"132","Gonzalez","8","F","UM",0.9375,NA,0.9375,0.9375,0.9375,NA,NA,0.9375
"133","Gonzalez","8","F","VA",0.75,NA,0.75,0.75,0.75,NA,NA,0.75
"134","Gonzalez","8","F","YE",0.9,0.0707106781186547,0.9,0.85,0.95,0.05,0.0785674201318386,0.95
"135","Gonzalez","8","M","AK",0.9210526315,0.111648439246366,0.9210526315,0.842105263,1,0.0789473685,0.121218305477874,1
"136","Gonzalez","8","M","KA",0.8,NA,0.8,0.8,0.8,NA,NA,0.8
"137","Gonzalez","8","M","MA",0.75,NA,0.75,0.75,0.75,NA,NA,0.75
"138","Gonzalez","8","M","MU",0.85,NA,0.85,0.85,0.85,NA,NA,0.85
"139","Gonzalez","8","M","RE",0.674498746666667,0.0454282255265046,0.684210526,0.625,0.714285714,0.0262279982365345,0.0673510896069241,0.625
"140","Gonzalez","8","M","UM",0.8,NA,0.8,0.8,0.8,NA,NA,0.8
"141","Gonzalez","8","M","VA",0.52631579,NA,0.52631579,0.52631579,0.52631579,NA,NA,0.52631579
"142","Gonzalez","8","M","YE",0.926190476,0.037038926364207,0.926190476,0.9,0.952380952,0.026190476,0.0399906145916869,0.9
"143","Gonzalez","9","F","AK",1,NA,1,1,1,NA,NA,1
"144","Gonzalez","9","F","MA",0.85,NA,0.85,0.85,0.85,NA,NA,0.85
"145","Gonzalez","9","F","MU",0.9,NA,0.9,0.9,0.9,NA,NA,0.9
"146","Gonzalez","9","F","RE",0.919590643,0.035148582450722,0.919590643,0.894736842,0.944444444,0.024853801,0.038221987922861,0.944444444
"147","Gonzalez","9","F","UM",0.944444444,NA,0.944444444,0.944444444,0.944444444,NA,NA,0.944444444
"148","Gonzalez","9","F","VA",0.894736842,NA,0.894736842,0.894736842,0.894736842,NA,NA,0.894736842
"149","Gonzalez","9","F","YE",0.95,NA,0.95,0.95,0.95,NA,NA,0.95
"150","Gonzalez","9","M","AK",0.842105263,NA,0.842105263,0.842105263,0.842105263,NA,NA,0.842105263
"151","Gonzalez","9","M","MA",0.1,NA,0.1,0.1,0.1,NA,NA,0.1
"152","Gonzalez","9","M","MU",0.5625,NA,0.5625,0.5625,0.5625,NA,NA,0.5625
"153","Gonzalez","9","M","RE",0.435526316,0.0204688802103025,0.435526316,0.421052632,0.45,0.014473684,0.0469980330885505,0.421052632
"154","Gonzalez","9","M","UM",0.8,NA,0.8,0.8,0.8,NA,NA,0.8
"155","Gonzalez","9","M","VA",0.157894737,NA,0.157894737,0.157894737,0.157894737,NA,NA,0.157894737
"156","Gonzalez","9","M","YE",0.8,NA,0.8,0.8,0.8,NA,NA,0.8
"157","Kozeretska","1","F","AK",0.64375,0.242660109147401,0.625,0.3,1,0.0857933043507975,0.376947742364895,0.95
"158","Kozeretska","1","F","GI",0.53,0.265988721565408,0.5,0.25,0.85,0.118953772533703,0.501865512387562,0.75
"159","Kozeretska","1","F","KA",0.540909090909091,0.301511344577764,0.5,0.1,1,0.0909090909090909,0.557415931152168,0.3
"160","Kozeretska","1","F","MA",0.86,0.134164078649987,0.85,0.65,1,0.06,0.156004742616264,0.85
