"","Supervisor.PI","Batch","Sex","Population","Line","Mean","SD","Median","Min","Max","SE","CV","Mode"
"103","Gonzalez","1","M","KA","KA9",0.625,NA,0.625,0.625,0.625,NA,NA,0.625
"104","Gonzalez","1","M","MA","MA13",0.7,NA,0.7,0.7,0.7,NA,NA,0.7
"105","Gonzalez","1","M","MA","MA16",0.705882353,NA,0.705882353,0.705882353,0.705882353,NA,NA,0.705882353
"106","Gonzalez","1","M","MA","MA18",0.842105263,NA,0.842105263,0.842105263,0.842105263,NA,NA,0.842105263
"107","Gonzalez","1","M","MA","MA19",0.65,NA,0.65,0.65,0.65,NA,NA,0.65
"108","Gonzalez","1","M","MA","MA21",0.444444444,NA,0.444444444,0.444444444,0.444444444,NA,NA,0.444444444
"109","Gonzalez","1","M","MA","MA28",1,NA,1,1,1,NA,NA,1
"110","Gonzalez","1","M","MA","MA30",0.642857143,NA,0.642857143,0.642857143,0.642857143,NA,NA,0.642857143
"111","Gonzalez","1","M","MA","MA33",0.7,NA,0.7,0.7,0.7,NA,NA,0.7
"112","Gonzalez","1","M","MA","MA5",0.421052632,NA,0.421052632,0.421052632,0.421052632,NA,NA,0.421052632
"113","Gonzalez","1","M","MA","MA6",0.75,NA,0.75,0.75,0.75,NA,NA,0.75
"114","Gonzalez","1","M","MA","MA7",0.842105263,NA,0.842105263,0.842105263,0.842105263,NA,NA,0.842105263
"115","Gonzalez","1","M","MU","MU1",0.315789474,NA,0.315789474,0.315789474,0.315789474,NA,NA,0.315789474
"116","Gonzalez","1","M","MU","MU11",0.684210526,NA,0.684210526,0.684210526,0.684210526,NA,NA,0.684210526
"117","Gonzalez","1","M","MU","MU12",1,NA,1,1,1,NA,NA,1
"118","Gonzalez","1","M","MU","MU13",0.944444444,NA,0.944444444,0.944444444,0.944444444,NA,NA,0.944444444
"119","Gonzalez","1","M","MU","MU14",0.55,NA,0.55,0.55,0.55,NA,NA,0.55
"120","Gonzalez","1","M","MU","MU15",0.473684211,NA,0.473684211,0.473684211,0.473684211,NA,NA,0.473684211
"121","Gonzalez","1","M","MU","MU19",0.7,NA,0.7,0.7,0.7,NA,NA,0.7
"122","Gonzalez","1","M","MU","MU5",0.85,NA,0.85,0.85,0.85,NA,NA,0.85
"123","Gonzalez","1","M","MU","MU6",0.823529412,NA,0.823529412,0.823529412,0.823529412,NA,NA,0.823529412
"124","Gonzalez","1","M","MU","MU7",0.5,NA,0.5,0.5,0.5,NA,NA,0.5
"125","Gonzalez","1","M","RE","RE12",0.9,NA,0.9,0.9,0.9,NA,NA,0.9
"126","Gonzalez","1","M","RE","RE5",0.888888889,NA,0.888888889,0.888888889,0.888888889,NA,NA,0.888888889
"127","Gonzalez","1","M","RE","RE6",0.8,NA,0.8,0.8,0.8,NA,NA,0.8
"128","Gonzalez","1","M","UM","UM13",0.941176471,NA,0.941176471,0.941176471,0.941176471,NA,NA,0.941176471
"129","Gonzalez","1","M","UM","UM20",0.555555556,NA,0.555555556,0.555555556,0.555555556,NA,NA,0.555555556
"130","Gonzalez","1","M","UM","UM21",0.4,NA,0.4,0.4,0.4,NA,NA,0.4
"131","Gonzalez","1","M","UM","UM23",0.8,NA,0.8,0.8,0.8,NA,NA,0.8
"132","Gonzalez","1","M","UM","UM29",0.789473684,NA,0.789473684,0.789473684,0.789473684,NA,NA,0.789473684
"133","Gonzalez","1","M","UM","UM4",0.944444444,NA,0.944444444,0.944444444,0.944444444,NA,NA,0.944444444
"134","Gonzalez","1","M","UM","UM5",0.52631579,NA,0.52631579,0.52631579,0.52631579,NA,NA,0.52631579
"135","Gonzalez","1","M","UM","UM7",0.45,NA,0.45,0.45,0.45,NA,NA,0.45
"136","Gonzalez","1","M","VA","VA1",0.631578947,NA,0.631578947,0.631578947,0.631578947,NA,NA,0.631578947
"137","Gonzalez","1","M","VA","VA18",0.823529412,NA,0.823529412,0.823529412,0.823529412,NA,NA,0.823529412
"138","Gonzalez","1","M","VA","VA30",0.684210526,NA,0.684210526,0.684210526,0.684210526,NA,NA,0.684210526
"139","Gonzalez","1","M","VA","VA44",0.736842105,NA,0.736842105,0.736842105,0.736842105,NA,NA,0.736842105
"140","Gonzalez","1","M","VA","VA46",0.578947368,NA,0.578947368,0.578947368,0.578947368,NA,NA,0.578947368
"141","Gonzalez","1","M","VA","VA48",0.947368421,NA,0.947368421,0.947368421,0.947368421,NA,NA,0.947368421
"142","Gonzalez","1","M","VA","VA57",0.9,NA,0.9,0.9,0.9,NA,NA,0.9
"143","Gonzalez","1","M","VA","VA6",0.473684211,NA,0.473684211,0.473684211,0.473684211,NA,NA,0.473684211
"144","Gonzalez","1","M","VA","VA67",0.4,NA,0.4,0.4,0.4,NA,NA,0.4
"145","Gonzalez","1","M","VA","VA9",0.25,NA,0.25,0.25,0.25,NA,NA,0.25
"146","Gonzalez","1","M","YE","YE13",0.8,NA,0.8,0.8,0.8,NA,NA,0.8
"147","Gonzalez","1","M","YE","YE15",0.944444444,NA,0.944444444,0.944444444,0.944444444,NA,NA,0.944444444
"148","Gonzalez","1","M","YE","YE26",0.888888889,NA,0.888888889,0.888888889,0.888888889,NA,NA,0.888888889
