"","Supervisor.PI","Sex","Population","Line","Mean","SD","Median","Min","Max","SE","CV","Mode"
"526","Kozeretska","M","RE","RE10",0.4,0.0707106781186548,0.4,0.35,0.45,0.05,0.176776695296637,0.35
"527","Kozeretska","M","RE","RE11",0.5,0.0707106781186548,0.5,0.45,0.55,0.05,0.14142135623731,0.55
"528","Kozeretska","M","RE","RE12",0.7,0.424264068711929,0.7,0.4,1,0.3,0.606091526731326,0.4
"529","Kozeretska","M","RE","RE13",1,NA,1,1,1,NA,NA,1
"530","Kozeretska","M","RE","RE15",0.775,0.247487373415292,0.775,0.6,0.95,0.175,0.319338546342312,0.95
"531","Kozeretska","M","RE","RE16",0.6,0.565685424949238,0.6,0.2,1,0.4,0.942809041582063,1
"532","Kozeretska","M","RE","RE17",0.825,0.247487373415292,0.825,0.65,1,0.175,0.299984695048838,0.65
"533","Kozeretska","M","RE","RE2",0.616666666666667,0.33291640592397,0.45,0.4,1,0.192209376577847,0.53986444203887,0.45
"534","Kozeretska","M","RE","RE3",0.733333333333333,0.144337567297406,0.65,0.65,0.9,0.0833333333333333,0.196823955405554,0.65
"535","Kozeretska","M","RE","RE6",0.8,0.14142135623731,0.8,0.7,0.9,0.1,0.176776695296637,0.7
"536","Kozeretska","M","RE","RE7",0.6,NA,0.6,0.6,0.6,NA,NA,0.6
"537","Kozeretska","M","UM","UM13",0.525,0.601040764008565,0.525,0.1,0.95,0.425,1.14483955049251,0.95
"538","Kozeretska","M","UM","UM18",0.625,0.459619407771256,0.625,0.3,0.95,0.325,0.735391052434009,0.3
"539","Kozeretska","M","UM","UM2",0.225,0.0353553390593274,0.225,0.2,0.25,0.025,0.157134840263677,0.2
"540","Kozeretska","M","UM","UM20",0.55,0.565685424949238,0.55,0.15,0.95,0.4,1.02851895445316,0.95
"541","Kozeretska","M","UM","UM21",0.95,0.0707106781186547,0.95,0.9,1,0.05,0.0744322927564787,0.9
"542","Kozeretska","M","UM","UM23",0.25,0.0707106781186547,0.25,0.2,0.3,0.05,0.282842712474619,0.3
"543","Kozeretska","M","UM","UM29",0.825,0.176776695296637,0.825,0.7,0.95,0.125,0.214274782177742,0.95
"544","Kozeretska","M","UM","UM4",0.425,0.247487373415292,0.425,0.25,0.6,0.175,0.582323231565392,0.6
"545","Kozeretska","M","UM","UM5",0.925,0.106066017177982,0.925,0.85,1,0.075,0.114665964516737,1
"546","Kozeretska","M","UM","UM7",0.616666666666667,0.292973263854116,0.5,0.4,0.95,0.169148192751537,0.47509177922289,0.95
"547","Kozeretska","M","UM","UM9",0.65,NA,0.65,0.65,0.65,NA,NA,0.65
"548","Kozeretska","M","VA","VA1",0.375,0.247487373415292,0.375,0.2,0.55,0.175,0.659966329107444,0.2
"549","Kozeretska","M","VA","VA11",1,0,1,1,1,0,0,1
"550","Kozeretska","M","VA","VA15",0.45,0.212132034355964,0.45,0.3,0.6,0.15,0.471404520791032,0.3
