X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
-4.29,37.15,train,1.0954394285718059E-4,18.39406237696695,0.44261058796632835
-8.15,37.15,train,2.64043456827704E-4,55.06777055264603,0.7555759742403966
43.51,37.17,train,3.626616448314248E-5,5.836364509083627,0.17593392202214875
49.35,37.17,train,2.2306052158405296E-4,43.38554076383068,0.6958331936325515
49.38,37.18,train,2.1601292538168102E-4,41.25418441102602,0.6841776231122243
9.52,37.18,train,2.2728665531001656E-4,44.768335163354784,0.7026151863130159
-8.33,37.19,train,2.715774012064942E-4,57.429541852015134,0.7652066349996973
45.18,37.21,train,3.5346699532699145E-5,5.611371907457957,0.17188114652171527
-5.59,37.24,train,1.558694354071222E-4,26.76717242423355,0.5646778952179811
-4.36,37.26,train,1.2537668168095231E-4,21.518045814825584,0.48776385977144066
-4.3,37.3,train,1.0548148277826093E-4,17.7354889619306,0.43039673240197973
45.38,37.3,train,6.082547578241978E-5,10.699039227155543,0.27714391350410006
15.06,37.31,train,2.5299788387074247E-4,51.97234809170702,0.7407377381290483
33.41,37.31,train,7.298127000174316E-5,12.55660202991531,0.32253983550462495
-4.21,37.33,train,1.0038928254000317E-4,16.778823405117308,0.41470825322369376
36.55,37.35,train,1.1717115316386634E-4,19.82344808226146,0.46483892058489706
-4.39,37.36,train,1.0701310135779461E-4,17.969072719404963,0.435032688439993
-4.2,37.37,train,9.305298049454767E-5,15.351753496402276,0.39134319050337707
15.04,37.37,train,2.4573607935746014E-4,50.144298277100205,0.7304950409885146
-4.43,37.39,train,1.009491871368319E-4,16.87152874373052,0.41645418573404014
-4.44,37.4,train,1.0669877562302403E-4,17.92151533412371,0.43408436371088766
31.43,37.4,train,1.2091247538451831E-4,20.55889801404427,0.4754161426946646
61.54,37.42,train,2.3096633236247615E-5,3.4065924879196627,0.11594516525934351
22.2,37.49,train,1.5488787064362936E-4,26.584781148297676,0.5623919962980648
-4.0,37.5,train,8.306067336889468E-5,13.81561912931442,0.35801155395330386
27.51,37.51,train,1.1717649789978632E-4,19.8244173637671,0.46485418197727624
-4.46,37.53,train,9.571190621300427E-5,15.888553073461742,0.399917343037242
-1.08,37.59,train,3.08307203052255E-4,69.0092916187983,0.8069928085869691
22.0,38.0,train,1.6654489785161667E-4,28.723074640367358,0.5887812126121826
23.0,38.0,train,1.4311070077772264E-4,24.52050149670785,0.5340106768875477
46.0,38.0,train,6.163858758798288E-5,10.809214089997496,0.28027323320067854
-4.32,38.02,train,1.0017061104112754E-4,16.741593100935738,0.4140249593238333
13.31,38.04,train,1.7241648866336815E-4,30.294248400358114,0.6014645364588929
46.18,38.05,train,5.0289122184275744E-5,8.924080205108439,0.23534195226223187
58.14,38.06,train,2.7354607443723037E-5,4.149106335353063,0.13580372471860636
13.27,38.07,train,2.1553538431097168E-4,41.12212336480261,0.6833718799763562
-7.27,38.08,train,1.5629717670583178E-4,26.8507199884455,0.5656702934536354
13.23,38.08,train,1.5369566114570163E-4,26.36925687307061,0.5595993915560776
-8.3,38.1,train,2.0243340296374483E-4,37.293636907666674,0.6604450089925937
13.08,38.11,train,2.535839481781804E-4,52.117719927007116,0.7415471979620495
