Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.62883E-4,55.26738874,0.756132443,0.116892248,0.52173913,0.594771242
2.6353E-4,55.504285466,0.756978628,0.116101248,0.525362319,0.594771242
2.6444E-4,55.768238604,0.758161973,0.115222359,0.52826087,0.607843137
2.65461E-4,56.006833051,0.759484781,0.114431359,0.53115942,0.614379085
2.66422E-4,56.272760511,0.760722222,0.11355247,0.534782609,0.614379085
2.66668E-4,56.5126487,0.761037326,0.11276147,0.539130435,0.614379085
2.67911E-4,56.753360019,0.762626145,0.111970469,0.541304348,0.614379085
2.68189E-4,57.021405774,0.762980756,0.11109158,0.542753623,0.620915033
2.68883E-4,57.263138705,0.763861576,0.11030058,0.544202899,0.62745098
2.70004E-4,57.505702666,0.765278987,0.10950958,0.548550725,0.62745098
2.70652E-4,57.775973496,0.766094078,0.108630691,0.55,0.62745098
2.71066E-4,58.019826062,0.766612587,0.107839691,0.552898551,0.62745098
2.72109E-4,58.264432667,0.767915352,0.10704869,0.555072464,0.640522876
2.72563E-4,58.509527274,0.768481351,0.10625769,0.556521739,0.640522876
2.73075E-4,58.755040096,0.769116915,0.10546669,0.560869565,0.640522876
2.73981E-4,59.001199293,0.770236455,0.10467569,0.563043478,0.647058824
2.75216E-4,59.275841892,0.771754718,0.103796801,0.566666667,0.647058824
2.75764E-4,59.523741394,0.772425371,0.103005801,0.569565217,0.647058824
2.76451E-4,59.772282139,0.773262844,0.1022148,0.57173913,0.647058824
2.77271E-4,60.02151301,0.774259042,0.1014238,0.573188406,0.647058824
2.77895E-4,60.271431942,0.775013038,0.1006328,0.573913043,0.647058824
2.79071E-4,60.521992145,0.776429325,0.0998418,0.576086957,0.653594771
2.80076E-4,60.773549011,0.777632181,0.0990508,0.579710145,0.673202614
2.80752E-4,61.025950216,0.778437673,0.0982598,0.582608696,0.673202614
2.81351E-4,61.250788861,0.779149282,0.097556688,0.583333333,0.673202614
2.82404E-4,61.504671554,0.780393059,0.096765688,0.585507246,0.679738562
2.83233E-4,61.759301722,0.781369109,0.095974688,0.586956522,0.68627451
2.83852E-4,62.014513037,0.782093551,0.095183688,0.589855072,0.68627451
2.8461E-4,62.270412098,0.782979023,0.094392688,0.592028986,0.68627451
2.85534E-4,62.526914391,0.784052161,0.093601687,0.594202899,0.68627451
2.8638E-4,62.755788856,0.785031392,0.092898576,0.598550725,0.692810458
2.8758E-4,63.013242634,0.786410836,0.092107576,0.601449275,0.692810458
2.88148E-4,63.273146307,0.787061749,0.091316576,0.605072464,0.699346405
2.88594E-4,63.503821492,0.787570809,0.090613465,0.606521739,0.699346405
2.89308E-4,63.763883361,0.788382969,0.089822464,0.607971014,0.699346405
2.90104E-4,64.024598133,0.789285862,0.089031464,0.608695652,0.699346405
2.90862E-4,64.256984799,0.790140725,0.088328353,0.611594203,0.699346405
2.9181E-4,64.519229954,0.791206698,0.087537353,0.612318841,0.712418301
2.92336E-4,64.752878962,0.791795607,0.086834242,0.615217391,0.712418301
2.93586E-4,65.01675985,0.793186936,0.086043241,0.618115942,0.712418301
2.94446E-4,65.252075582,0.794140117,0.08534013,0.619565217,0.712418301
2.9538E-4,65.517515928,0.795169631,0.08454913,0.619565217,0.712418301
2.9584E-4,65.753996818,0.795674116,0.083846019,0.621014493,0.712418301
2.9657E-4,66.020582307,0.79647371,0.083055018,0.623188406,0.712418301
2.97118E-4,66.258012123,0.79707195,0.082351907,0.625362319,0.712418301
2.98068E-4,66.525937239,0.798103674,0.081560907,0.626811594,0.718954248
2.98936E-4,66.764839911,0.799042608,0.080857796,0.62826087,0.725490196
2.99674E-4,67.0042983,0.799837132,0.080154684,0.631884058,0.725490196
3.00521E-4,67.274374966,0.800744746,0.079363684,0.634782609,0.725490196
3.02132E-4,67.515543061,0.80246045,0.078660573,0.636956522,0.725490196
3.02829E-4,67.757517924,0.803198078,0.077957462,0.639130435,0.725490196
3.03539E-4,68.000108396,0.803946526,0.077254351,0.642753623,0.732026144
3.04425E-4,68.273803001,0.804876493,0.07646335,0.644202899,0.732026144
3.05039E-4,68.51759554,0.805519262,0.075760239,0.645652174,0.738562092
3.05965E-4,68.762037447,0.806483159,0.075057128,0.65,0.745098039
3.0677E-4,69.007229204,0.807317983,0.074354017,0.655072464,0.745098039
3.07207E-4,69.252790939,0.807768955,0.073650905,0.657246377,0.751633987
3.08281E-4,69.529905806,0.808873954,0.072859905,0.65942029,0.751633987
3.09112E-4,69.776918926,0.80972476,0.072156794,0.660869565,0.751633987
3.10272E-4,70.024722341,0.810906355,0.071453683,0.661594203,0.751633987
3.10627E-4,70.273102192,0.811265701,0.070750571,0.663043478,0.751633987
3.11825E-4,70.522104165,0.812475431,0.07004746,0.665942029,0.751633987
3.12475E-4,70.771930988,0.813129464,0.069344349,0.66884058,0.751633987
3.13007E-4,71.022158334,0.813662063,0.068641237,0.671014493,0.751633987
3.13622E-4,71.272826155,0.814275551,0.067938126,0.674637681,0.751633987
3.14626E-4,71.524344563,0.81527398,0.067235015,0.67826087,0.751633987
3.15936E-4,71.776722574,0.816568728,0.066531904,0.678985507,0.758169935
3.16779E-4,72.029869002,0.817396658,0.065828792,0.681884058,0.764705882
3.17331E-4,72.251857194,0.817937185,0.06521357,0.682608696,0.764705882
3.17997E-4,72.506013972,0.818586835,0.064510459,0.686231884,0.77124183
3.19241E-4,72.761117255,0.819794251,0.063807348,0.689130435,0.777777778
3.19861E-4,73.016837566,0.820393014,0.063104236,0.69057971,0.777777778
3.20946E-4,73.273184022,0.821436255,0.062401125,0.694202899,0.777777778
3.21529E-4,73.530227436,0.821993531,0.061698014,0.698550725,0.777777778
3.22006E-4,73.755459347,0.82244947,0.061082791,0.700724638,0.777777778
3.23287E-4,74.013828516,0.823665509,0.06037968,0.703623188,0.777777778
3.23812E-4,74.272664798,0.824161629,0.059676569,0.705072464,0.784313725
3.24922E-4,74.532213192,0.825206411,0.058973458,0.706521739,0.790849673
3.2566E-4,74.759915781,0.825898127,0.058358235,0.710144928,0.790849673
3.26448E-4,75.020850678,0.826633054,0.057655124,0.714492754,0.790849673
3.27095E-4,75.282263141,0.827233273,0.056952013,0.715942029,0.797385621
3.2801E-4,75.511634758,0.82808042,0.05633679,0.718115942,0.797385621
3.29205E-4,75.774629358,0.829179299,0.055633679,0.720289855,0.797385621
3.3021E-4,76.005463026,0.830098585,0.055018457,0.72173913,0.797385621
3.31252E-4,76.270032466,0.831046382,0.054315345,0.724637681,0.797385621
3.32207E-4,76.502181448,0.831910481,0.053700123,0.727536232,0.803921569
3.33226E-4,76.768414706,0.832826923,0.052997012,0.732608696,0.810457516
3.3404E-4,77.002043571,0.833555685,0.052381789,0.736231884,0.810457516
3.35404E-4,77.270034921,0.834770207,0.051678678,0.74057971,0.810457516
3.36801E-4,77.505306539,0.836004079,0.051063456,0.741304348,0.810457516
3.37359E-4,77.775023259,0.83649462,0.050360345,0.744927536,0.810457516
3.38406E-4,78.011658441,0.837411472,0.049745122,0.747101449,0.810457516
3.38856E-4,78.28254289,0.837803541,0.049042011,0.749275362,0.810457516
