Population,Line,CCRT_F,CCRT_M,CSM_F,CSM_M,DT_A_F,DT_A_M,DT_P_NA,Dia_F,DW_F,DW_M,Fec_F,HSM_F,HSM_M,LS_F,LS_M,LA_Activity_B,LA_CircPhase_B,LA_NDlog2_B,LA_Period_B,Pgm_T4_F,Pgm_T5_F,Pgm_T6_F,Pgm_Total_F,SR_F,SR_M,TL_F,TL_M,Via_NA,WA_L_F,WA_L_M,WA_R_F,WA_R_M
MU,MU14,1739.120952,1663.66165,1.013460955,0.89283767,242.0440158,245.6915297,141.0819031,1.873355349,0.475875672,0.269497063,81.9265117,382.9281181,368.6027368,49.30789371,57.09989958,NA,NA,NA,NA,0.532468509,0.732131176,0.723480797,0.652120635,111.0990226,79.87575216,973.2975042,858.6814506,0.985569561,2890.574622,2506.595867,2888.680575,2509.175109
MU,MU15,1564.01065,1654.880924,1.18437331,1.016851526,242.9812381,245.9236531,133.8289031,0.878009251,0.485169822,0.261142685,63.96255044,385.8051371,293.6734944,51.85596243,55.39279418,NA,NA,NA,NA,0.485456478,0.632419423,0.62160119,0.58607017,119.7431386,88.38659573,973.7685217,845.1774506,1.051938343,2886.440128,2504.524727,2883.419507,2501.857886
MU,MU16,1611.256029,1615.125997,1.191616939,1.098077964,227.5927235,230.4097145,147.0689031,1.308419695,0.439003608,0.263626174,71.62945448,312.5972838,324.0519402,39.8385,51.577,NA,NA,NA,NA,0.466493903,0.551294917,0.472610939,0.506720971,92.5837145,77.90318754,986.7946805,847.9464506,1.06220203,2806.586857,2451.378285,2806.708686,2449.753256
MU,MU17,1634.280983,1751.099141,1.398310839,1.078929469,229.4950701,236.5336198,122.4169031,2.527216404,0.484807842,0.271689543,100.3158123,342.4007152,361.0592585,46.1351516,50.14605565,NA,NA,NA,NA,0.466424518,0.58017247,0.584455097,0.551346993,106.007626,77.47809125,986.9514565,863.1964506,1.024930858,2861.428043,2498.34197,2861.169596,2498.85223
MU,MU18,1695.768167,1669.490446,1.074575689,1.080043223,228.1913911,231.8934891,147.5129031,2.677590187,0.474408978,0.26997659,58.8615969,397.9154376,322.048403,49.52058397,58.71544589,NA,NA,NA,NA,0.511666834,0.637859437,0.774373609,0.639544289,96.80113255,72.39138585,977.2058388,853.6194506,1.096970862,2804.476843,2434.68,2806.928914,2434.242765
MU,MU19,1674.281856,1709.623057,1.274086627,0.991640771,224.6201829,229.7610192,125.9469031,2.197560129,0.505005658,0.269509166,71.8122414,337.0002838,314.0989402,38.0905,48.139,NA,NA,NA,NA,0.458130657,0.488347565,0.418572807,0.472478597,113.2590398,73.5544821,1017.660444,NA,0.975175118,2909.75568,2496.060883,2911.181772,2500.135183
MU,MU2,1537.586252,1750.73867,1.07062128,1.133512581,221.6904534,228.7765912,128.4479031,1.834301967,0.454456965,0.271392543,92.29951206,340.4246042,324.7364957,50.31914893,59.421009,25.70537458,12.29281589,-0.142529139,23.82748849,0.518956731,0.58747699,0.48292851,0.546015851,98.78775837,70.87282562,990.6732743,851.1761861,1.076635622,2840.008405,2454.919382,2845.09979,2456.035308
MU,MU20,1653.307567,1874.035704,1.291176571,1.235151136,224.5997848,230.0681676,117.8969031,2.321978977,0.477798735,0.266849181,55.24183373,373.8519833,300.5557996,47.09215203,48.09151676,NA,NA,NA,NA,0.452725696,0.672628915,0.748891435,0.615235443,110.9834179,78.14223423,1001.034347,858.3424506,0.955379389,2938.298128,2515.736727,2938.571507,2517.570886
MU,MU3,1796.69276,1667.743916,1.283630632,1.11696811,231.989892,237.8109679,116.8389031,1.216257881,0.472697443,0.277901824,61.80707347,333.9401117,268.2065168,50.73356224,55.81888604,24.27637458,12.26681589,-0.622529139,23.80148849,0.411799366,0.502284305,0.51693164,0.476032578,92.47069315,69.84480061,994.836975,867.4394506,0.927621527,2891.731498,2508.184334,2903.25945,2508.759184
MU,MU4,1698.900332,1645.691222,1.146789576,1.138413626,239.2227604,244.4911792,132.6839031,0.224860088,0.466795572,0.282824592,85.70284814,314.6799112,308.299873,49.41846958,49.54430291,25.89337458,12.28781589,-0.382529139,23.81548849,0.50014742,0.659516606,0.585734165,0.600551623,98.9153552,77.13884821,1020.622444,NA,1.00633917,2903.725411,2502.16983,2906.088009,2502.337376
