"Model","Trait","Lab","Sex","Population","Line","Value_re","SE_re"
"lmer_pop","CCRT","Mensch","F","GI","GI6",-67.615,180.264
"lmer_pop","CCRT","Mensch","F","GI","GI7",238.232,170.199
"lmer_pop","CCRT","Mensch","F","GI","GI8",161.801,172.305
"lmer_pop","CCRT","Mensch","F","GI","GI9",469.85,190.788
"lmer_pop","CCRT","Mensch","F","KA","KA1",157.651,180.481
"lmer_pop","CCRT","Mensch","F","KA","KA10",-144.992,172.095
"lmer_pop","CCRT","Mensch","F","KA","KA11",-149.313,171.221
"lmer_pop","CCRT","Mensch","F","KA","KA13",-108.785,170.236
"lmer_pop","CCRT","Mensch","F","KA","KA14",-64.413,180.761
"lmer_pop","CCRT","Mensch","F","KA","KA15",-152.85,171.96
"lmer_pop","CCRT","Mensch","F","KA","KA16",88.802,171.221
"lmer_pop","CCRT","Mensch","F","KA","KA17",-166.78,170.199
"lmer_pop","CCRT","Mensch","F","KA","KA18",-236.45,170.502
"lmer_pop","CCRT","Mensch","F","KA","KA2",-73.196,171.221
"lmer_pop","CCRT","Mensch","F","KA","KA23",-108.875,172.095
"lmer_pop","CCRT","Mensch","F","KA","KA24",-77.119,172.305
"lmer_pop","CCRT","Mensch","F","KA","KA25",280.286,190.619
"lmer_pop","CCRT","Mensch","F","KA","KA28",8.112,172.298
"lmer_pop","CCRT","Mensch","F","KA","KA29",304.222,171.78
"lmer_pop","CCRT","Mensch","F","KA","KA3",13.593,180.766
"lmer_pop","CCRT","Mensch","F","KA","KA5",139.931,171.221
"lmer_pop","CCRT","Mensch","F","KA","KA6",323.344,182.05
"lmer_pop","CCRT","Mensch","F","KA","KA7",-53.371,171.78
"lmer_pop","CCRT","Mensch","F","KA","KA9",20.205,170.199
"lmer_pop","CCRT","Mensch","F","MA","MA12",-285.612,170.199
"lmer_pop","CCRT","Mensch","F","MA","MA13",211.346,180.761
"lmer_pop","CCRT","Mensch","F","MA","MA16",-206.849,171.78
"lmer_pop","CCRT","Mensch","F","MA","MA18",-173.988,177.063
"lmer_pop","CCRT","Mensch","F","MA","MA19",-298.61,171.697
"lmer_pop","CCRT","Mensch","F","MA","MA20",-176.218,203.726
"lmer_pop","CCRT","Mensch","F","MA","MA21",-102.257,190.673
"lmer_pop","CCRT","Mensch","F","MA","MA23",-71.395,171.221
"lmer_pop","CCRT","Mensch","F","MA","MA26",64.15,170.502
"lmer_pop","CCRT","Mensch","F","MA","MA27",-164.559,170.199
"lmer_pop","CCRT","Mensch","F","MA","MA28",110.113,177.063
"lmer_pop","CCRT","Mensch","F","MA","MA3",-0.251,172.305
"lmer_pop","CCRT","Mensch","F","MA","MA30",320.008,170.502
"lmer_pop","CCRT","Mensch","F","MA","MA31",76.495,170.199
"lmer_pop","CCRT","Mensch","F","MA","MA32",-203.467,170.502
"lmer_pop","CCRT","Mensch","F","MA","MA33",-25.498,172.095
"lmer_pop","CCRT","Mensch","F","MA","MA5",-96.47,180.592
"lmer_pop","CCRT","Mensch","F","MA","MA6",469.064,179.278
"lmer_pop","CCRT","Mensch","F","MA","MA7",429.87,172.298
"lmer_pop","CCRT","Mensch","F","MA","MA9",124.127,171.96
"lmer_pop","CCRT","Mensch","F","MU","MU1",-372.287,171.221
"lmer_pop","CCRT","Mensch","F","MU","MU10",266.762,171.697
"lmer_pop","CCRT","Mensch","F","MU","MU11",138.321,172.298
"lmer_pop","CCRT","Mensch","F","MU","MU12",-307.003,171.697
"lmer_pop","CCRT","Mensch","F","MU","MU13",-206.825,171.221
"lmer_pop","CCRT","Mensch","F","MU","MU14",149.364,170.199
"lmer_pop","CCRT","Mensch","F","MU","MU15",-225.27,171.96
"lmer_pop","CCRT","Mensch","F","MU","MU16",7.085,172.298
"lmer_pop","CCRT","Mensch","F","MU","MU17",103.947,170.502
"lmer_pop","CCRT","Mensch","F","MU","MU18",238.329,171.221
"lmer_pop","CCRT","Mensch","F","MU","MU19",-11.86,171.221
"lmer_pop","CCRT","Mensch","F","MU","MU2",-176.626,172.305
"lmer_pop","CCRT","Mensch","F","MU","MU20",198.205,171.78
"lmer_pop","CCRT","Mensch","F","MU","MU3",411.913,190.788
"lmer_pop","CCRT","Mensch","F","MU","MU4",95.023,170.502
"lmer_pop","CCRT","Mensch","F","MU","MU5",-32.681,180.761
"lmer_pop","CCRT","Mensch","F","MU","MU6",-55.216,170.502
"lmer_pop","CCRT","Mensch","F","MU","MU7",53.75,219.925
"lmer_pop","CCRT","Mensch","F","MU","MU8",50.57,170.199
"lmer_pop","CCRT","Mensch","F","MU","MU9",-325.501,170.199
"lmer_pop","CCRT","Mensch","F","RE","RE1",-96.537,172.305
"lmer_pop","CCRT","Mensch","F","RE","RE10",-15.572,180.333
"lmer_pop","CCRT","Mensch","F","RE","RE11",-20.907,171.221
