"Lab","Trait","Sex","Model","Predictor","P"
"Parsch","LS","F","lmer","pop",6.7850425169143e-09
"Pasyukova","LS","F","lmer","pop",0.013965137272371
"Flatt","LS","M","lmer","pop",3.02170429193975e-05
"Parsch","LS","M","lmer","pop",3.12729382830815e-06
"Pasyukova","LS","M","lmer","pop",7.30291178367384e-05
"Tauber","LA_NDlog2","B","lmer","pop",0.0105863582389442
"Tauber","LA_Period","B","lmer","pop",0.0288303562777535
"Tauber","LA_CircPhase","B","lmer","pop",0.00545289131744018
"Tauber","LA_AbsPhase","B","lm","pop",0.0100679548223112
"Tauber","LA_Activity","B","lmer","pop",0.000147186351193311
"Abbott","Pgm_T4","F","lmer","pop",1.33173377066548e-17
"Abbott","Pgm_T5","F","lmer","pop",7.34988131800683e-16
"Abbott","Pgm_T6","F","lmer","pop",0.000487542855655873
"Abbott","Pgm_Total","F","lmer","pop",9.27269404618846e-13
"Gibert","Pgm_T4","F","lmer","pop",0.0164933319474306
"Gibert","Pgm_T5","F","lmer","pop",0.040718831292065
"Gibert","Pgm_T6","F","lmer","pop",0.216572478681459
"Gibert","Pgm_Total","F","lmer","pop",0.555711666737151
"Schmidt","Pgm_T4","F","lmer","pop",0.000142635226364033
"Schmidt","Pgm_T5","F","lmer","pop",0.129186125315985
"Schmidt","Pgm_T6","F","lmer","pop",0.0171386124567684
"Schmidt","Pgm_Total","F","lmer","pop",0.0379363035487144
"Gonzalez","SR","F","lmer","pop",0.00118608807732447
"Onder","SR","F","lmer","pop",1.5357292652478e-06
"Pasyukova","SR","F","lmer","pop",1.09152025693483e-06
"Gonzalez","SR","M","lmer","pop",3.14503083454914e-06
"Onder","SR","M","lmer","pop",0.000208213767059514
"Pasyukova","SR","M","lmer","pop",4.40312384217059e-08
"Kozeretska","TL","F","lmer","pop",0.00773467089896619
"Posnien","TL","F","lmer","pop",0.108218753511987
"Ritchie","TL","F","lmer","pop",0.509104973656108
"Schmidt","TL","F","lmer","pop",0.000399049579772064
"Kozeretska","TL","M","lmer","pop",0.00437729202813983
"Posnien","TL","M","lmer","pop",0.0704688753674798
"Ritchie","TL","M","lmer","pop",0.659860700818885
"Gibert","Via","NA","lmer","pop",4.38856351698363e-09
"Grath","Via","NA","lmer","pop",0.162354239763607
"Hoedjes","Via","NA","lmer","pop",4.98524132848739e-07
"Schmidt","Via","NA","lm","pop",0.00830779240471185
"StamenkovicRadak","Via","NA","lmer","pop",9.10420942404616e-06
"Zwaan","Via","NA","lmer","pop",4.87689051946373e-07
"Onder","WA_L","F","lmer","pop",5.18551435235945e-10
"Posnien","WA_L","F","lmer","pop",0.247580319158766
"Ritchie","WA_L","F","lmer","pop",0.0508430193577757
"StamenkovicRadak","WA_L","F","lmer","pop",1.42974689644229e-10
"Onder","WA_L","M","lmer","pop",9.9751490458895e-09
"Posnien","WA_L","M","lmer","pop",0.637027438896454
"Ritchie","WA_L","M","lmer","pop",0.48275655035507
"StamenkovicRadak","WA_L","M","lmer","pop",5.16921789478166e-10
"Onder","WA_R","F","lmer","pop",3.97620563154716e-10
"Posnien","WA_R","F","lmer","pop",0.26152625240427
"Ritchie","WA_R","F","lmer","pop",0.0480660084647028
"StamenkovicRadak","WA_R","F","lmer","pop",4.98136083819876e-11
"Onder","WA_R","M","lmer","pop",1.62492097583517e-08
"Posnien","WA_R","M","lmer","pop",0.707097886307467
"Ritchie","WA_R","M","lmer","pop",0.43280031049699
"StamenkovicRadak","WA_R","M","lmer","pop",5.11988856425046e-10
"Bergland","Dia","F","glmer","pop",0.0238243927372375
"Flatt","Dia","F","glmer","pop",0.71661745247622
"Schlotterer","Dia","F","glmer","pop",0.0043613418302969
