"Model","Trait","Lab","Sex","Population","Estimate","SE"
"lmer_pop","DT_A","StamenkovicRadak","M","GI",251.723726144218,5.16386914249467
"lmer_pop","DT_A","StamenkovicRadak","M","KA",234.825028241898,4.51899394073669
"lmer_pop","DT_A","StamenkovicRadak","M","MA",250.467647671241,4.53810112386912
"lmer_pop","DT_A","StamenkovicRadak","M","MU",244.123921625587,4.51785281100245
"lmer_pop","DT_A","StamenkovicRadak","M","RE",259.635467175213,4.82328231904859
"lmer_pop","DT_A","StamenkovicRadak","M","UM",257.08296797908,4.67797527083758
"lmer_pop","DT_A","StamenkovicRadak","M","VA",259.384128060136,4.59878785745869
"lmer_pop","DT_A","StamenkovicRadak","M","YE",246.042737890178,4.54368218964585
"lmer_pop","DT_A","Zwaan","M","AK",225.735763868416,2.48771558229559
"lmer_pop","DT_A","Zwaan","M","GI",229.333454684426,2.61538978350189
"lmer_pop","DT_A","Zwaan","M","KA",226.968875095229,2.48515807551067
"lmer_pop","DT_A","Zwaan","M","MA",227.755386916341,2.49077834985106
"lmer_pop","DT_A","Zwaan","M","MU",225.545155453146,2.49642660303521
"lmer_pop","DT_A","Zwaan","M","RE",229.915357211673,2.5828567819678
"lmer_pop","DT_A","Zwaan","M","UM",225.065255696331,2.52408105338951
"lmer_pop","DT_A","Zwaan","M","VA",227.789304417646,2.49502342433896
"lmer_pop","DT_A","Zwaan","M","YE",223.11414383452,2.52239893876865
"lmer_pop","Dia","Bergland","F","AK",0.832722400952812,0.0749267606627989
"lmer_pop","Dia","Bergland","F","GI",0.847858555619323,0.0798845006614052
"lmer_pop","Dia","Bergland","F","KA",0.91417263520063,0.0670085493740411
"lmer_pop","Dia","Bergland","F","MA",1.02392975287758,0.0713765889199657
"lmer_pop","Dia","Bergland","F","MU",1.02326228062965,0.0702003856917019
"lmer_pop","Dia","Bergland","F","RE",0.866023759460741,0.0825330076984548
"lmer_pop","Dia","Bergland","F","UM",1.13908930775044,0.0759779675973386
"lmer_pop","Dia","Bergland","F","VA",1.131637894819,0.0704621697768266
"lmer_pop","Dia","Bergland","F","YE",1.02197542686463,0.0682875200866806
"lm_pop","Dia","Flatt","F","AK",1.43111607320467,0.0413999580828562
"lm_pop","Dia","Flatt","F","GI",1.44025016792716,0.0494824143258743
"lm_pop","Dia","Flatt","F","KA",1.49494238255734,0.0413999580828561
"lm_pop","Dia","Flatt","F","MA",1.43396632157563,0.0424754607702432
"lm_pop","Dia","Flatt","F","MU",1.50840170870361,0.041399958082856
"lm_pop","Dia","Flatt","F","RE",1.45096088011129,0.0494824143258742
"lm_pop","Dia","Flatt","F","UM",1.52145096496292,0.046286560269454
"lm_pop","Dia","Flatt","F","VA",1.41832119662316,0.041399958082856
"lm_pop","Dia","Flatt","F","YE",1.45876280008367,0.041399958082856
"lmer_pop","Dia","Schlotterer","F","AK",0.810612828557171,0.0805881745842453
"lmer_pop","Dia","Schlotterer","F","GI",0.956547192054486,0.0905631885829196
"lmer_pop","Dia","Schlotterer","F","KA",1.02881462213934,0.0810083508533469
"lmer_pop","Dia","Schlotterer","F","MA",1.04006491530581,0.0816123380439806
"lmer_pop","Dia","Schlotterer","F","MU",1.0578718400815,0.0810919335209636
"lmer_pop","Dia","Schlotterer","F","RE",1.025416679778,0.0917835129089187
"lmer_pop","Dia","Schlotterer","F","UM",1.26294901471155,0.0918920751910933
"lmer_pop","Dia","Schlotterer","F","VA",1.06466433061756,0.0889803252073735
"lmer_pop","Dia","Schlotterer","F","YE",0.996363581226347,0.0819318483493676
"lmer_pop","DW","Colinet","F","AK",0.468729598926674,0.0118576804632041
"lmer_pop","DW","Colinet","F","GI",0.479901408833969,0.0131042584576877
"lmer_pop","DW","Colinet","F","KA",0.498884472864863,0.012202880762589
"lmer_pop","DW","Colinet","F","MA",0.502023148147714,0.0121792933043578
"lmer_pop","DW","Colinet","F","MU",0.484496265593233,0.0118576804632104
"lmer_pop","DW","Colinet","F","RE",0.515191503003609,0.0131033927939974
"lmer_pop","DW","Colinet","F","UM",0.501428880977537,0.0126835425793433
"lmer_pop","DW","Colinet","F","VA",0.497251139531524,0.012202880762589
"lmer_pop","DW","Colinet","F","YE",0.480904077217181,0.0118581567658261
"lmer_pop","DW","Hoedjes","F","AK",0.437372916666587,0.00940447675168001
"lmer_pop","DW","Hoedjes","F","GI",0.448304820312758,0.0105719978344778
"lmer_pop","DW","Hoedjes","F","KA",0.458818493811157,0.00940501227939461
"lmer_pop","DW","Hoedjes","F","MA",0.443135528791993,0.0094056039534813
"lmer_pop","DW","Hoedjes","F","MU",0.456748786271269,0.00940205650348465
"lmer_pop","DW","Hoedjes","F","RE",0.465469976473468,0.0105632477884799
"lmer_pop","DW","Hoedjes","F","UM",0.44996234256474,0.0100336577913064
"lmer_pop","DW","Hoedjes","F","VA",0.473100781891453,0.00940801129653757
"lmer_pop","DW","Hoedjes","F","YE",0.442164506366704,0.00942582248588343
"lmer_pop","DW","Onder","F","AK",0.425376804889413,0.01032311831594
"lmer_pop","DW","Onder","F","GI",0.438757874481956,0.0112947690395425
"lmer_pop","DW","Onder","F","KA",0.46032299957888,0.0103275473358744
"lmer_pop","DW","Onder","F","MA",0.469668471556218,0.0103231183159374
"lmer_pop","DW","Onder","F","MU",0.440493523154383,0.0102770481895188
"lmer_pop","DW","Onder","F","RE",0.469778744967212,0.0110612684566728
"lmer_pop","DW","Onder","F","UM",0.463451613384669,0.0108212912989768
"lmer_pop","DW","Onder","F","VA",0.473314688303743,0.0102549794086303
"lmer_pop","DW","Onder","F","YE",0.429171893425924,0.0106228708994769
"lmer_pop","DW","Colinet","M","AK",0.259471271485426,0.00433567742606129
"lmer_pop","DW","Colinet","M","GI",0.260406219239516,0.00500940245846091
"lmer_pop","DW","Colinet","M","KA",0.279120934095891,0.00433567742606106
"lmer_pop","DW","Colinet","M","MA",0.271789351851855,0.0045698114965817
"lmer_pop","DW","Colinet","M","MU",0.272112500000001,0.00433530384204628
"lmer_pop","DW","Colinet","M","RE",0.27605,0.00500597768044847
"lmer_pop","DW","Colinet","M","UM",0.275830882352939,0.00470229723619039
"lmer_pop","DW","Colinet","M","VA",0.267546684457516,0.00433567742606106
"lmer_pop","DW","Colinet","M","YE",0.249188722474952,0.00433570502715181
"lmer_pop","DW","Hoedjes","M","AK",0.263654567929096,0.00634157415642547
"lmer_pop","DW","Hoedjes","M","GI",0.26588621385615,0.006860729923598
"lmer_pop","DW","Hoedjes","M","KA",0.274426746726072,0.00634042390556024
"lmer_pop","DW","Hoedjes","M","MA",0.266814910696168,0.00632964465145102
"lmer_pop","DW","Hoedjes","M","MU",0.269200376255851,0.00634177381424901
"lmer_pop","DW","Hoedjes","M","RE",0.269957039800128,0.00688519404885008
"lmer_pop","DW","Hoedjes","M","UM",0.265389306909966,0.00663065367256314
"lmer_pop","DW","Hoedjes","M","VA",0.272305444646743,0.00631956905179085
"lmer_pop","DW","Hoedjes","M","YE",0.264694966713738,0.00633354605206327
"lmer_pop","DW","Onder","M","AK",0.255120692338971,0.00650494038316429
"lmer_pop","DW","Onder","M","GI",0.251169265130186,0.00710338897270273
"lmer_pop","DW","Onder","M","KA",0.263026791977654,0.00650784732839036
"lmer_pop","DW","Onder","M","MA",0.271704378226455,0.00650463134882638
"lmer_pop","DW","Onder","M","MU",0.261927644012623,0.00647809605966696
"lmer_pop","DW","Onder","M","RE",0.26486622635502,0.00696045571540651
"lmer_pop","DW","Onder","M","UM",0.26788216723547,0.00681307818450794
"lmer_pop","DW","Onder","M","VA",0.266348048312632,0.00646474403288383
