"Population","Line","CCRT_F","CCRT_M","CSM_F","CSM_M","DT_P_NA","DT_A_F","DT_A_M","Dia_F","DW_F","DW_M","Fec_F","HSM_F","HSM_M","LS_F","LS_M","LA_NDlog2_B","LA_Period_B","LA_CircPhase_B","LA_Activity_B","Pgm_T4_F","Pgm_T5_F","Pgm_T6_F","Pgm_Total_F","SR_F","SR_M","TL_F","TL_M","Via_NA","WA_L_F","WA_L_M","WA_R_F","WA_R_M"
"RE","RE11",120.181484693901,-4.09528404077733,0.00447687771582115,0.01092585418203,8.18,4.35189107960286,3.80403237395357,-0.303173494217266,-0.0180085486205898,-0.00640847319821128,28.8959005726644,16.2172589587559,1.45973824796788,0.646809437290017,4.89180919728233,-0.069,-0.029,0.046,0.044,0.0877918184348611,0.15302368251711,0.193116183443923,0.121246793985859,-4.12895056238981,-0.265377229854539,-1.57499338302777,3.20436327455033,0.0734995221492554,-26.4007314242099,-9.443746878529,-27.4914641936977,-12.2247931983798
"RE","RE12",30.2156548229229,-4.24153734838663,0.0399501482446293,0.0287905278610156,-13.904,-5.62117006179989,-4.75891227648393,-0.668126092236019,0.00578348093699572,-0.0143056091813231,-30.9173699840356,-10.8524136358051,-38.5807134240643,-0.313410700987656,5.46134371784612,NA,NA,NA,NA,0.0402641671094049,0.0536664525373719,0.134498492369123,0.0798685463158713,10.3204060516209,4.02693602035222,-30.7560519022045,-31.346,-0.078363803364572,-41.8193863909312,-6.8333263255322,-39.7879039550094,-8.01467648972005
"RE","RE13",37.8393390098764,24.4019613278746,0.0905391467748642,0.0127366692172015,13.994,8.47089953390616,3.76488042448225,0.271370214129717,0.036411214953271,0.0251627906976744,-10.9315228485428,-6.96920736239822,-18.9008181711238,3.49224590939824,2.43780932103147,NA,NA,NA,NA,-0.0564036997874948,0.0295945030498711,0.0885674776091126,0.0303881077021751,6.97512167116672,9.00055735086765,-13.3561901083966,-31.663,-0.000278818631858415,-44.6676309944149,-59.7193677468373,-46.3795875792374,-63.025560889523
"RE","RE15",231.615324350356,56.3762042602673,0.114949044808763,0.0268722508146116,-15.446,-5.56635284989091,-1.61476291982909,-0.38320377283975,-0.0342206335358358,-0.0146347777721596,-11.8484257200606,-48.6273881184854,-61.1606961272645,2.89404111247151,7.25683095723014,NA,NA,NA,NA,-0.0451425764209311,-0.133998662580101,-0.226453261091071,-0.127346592032006,-8.61829288043561,-0.769915967008809,5.88581750377754,4.00480126141023,0.0562337621165509,-51.3895927982854,-53.9063403568767,-52.0527128277521,-54.4950801094325
"RE","RE16",-47.7929372333006,70.2061649227203,0.0926279665408819,-0.0191541809774799,3.599,-2.47515403274652,-2.80042921880199,-0.282532745769259,0.014588785046729,-0.00265102207686018,35.0934073923639,-43.270695351228,-11.7620303025937,-0.609171099006729,-1.95324283371601,NA,NA,NA,NA,-0.0123814802009396,0.0163587556691324,0.0364411409893279,0.0143994470519835,18.7063904907206,7.99584712109321,3.72516594836858,-4.592,0.0797715649361748,-30.2723349856017,-24.554131740552,-29.0656813195847,-28.7602662394794
"RE","RE17",91.3989809380867,49.3930501360584,-0.128258518646697,-0.119854843676878,28.181,5.4597931462077,7.25860731485686,-1.0800662315711,-0.0163848421028453,-0.00809179751984258,-10.6626349279265,4.67196118926332,36.8938009510929,-2.65752744186047,-3.66278890847884,NA,NA,NA,NA,-0.0119714218676678,-0.018927167770789,-0.0358752360333836,-0.0161160579080068,-2.55388965381364,-7.41244468956823,-19.7251410836079,-12.335,-0.0386617978013737,-16.7132064605495,-12.7103202306011,-24.6887414643154,-8.34333883588733
"RE","RE18",-149.044125452028,11.0149955904743,0.0897929382093317,0.0891341463414634,-2.112,-2.4876574516432,-3.49623424623324,0.0824042536835489,-0.004294393247401,-0.0191398817176652,-12.4123588952231,15.7852296923077,15.557419276831,-0.608782505766662,-1.81899528027883,NA,NA,NA,NA,-0.0283770692826487,0.0649898603161827,0.121620821572702,0.0479235068667925,-0.516042763360445,-4.27986898469585,-8.19978823497986,-1.874,0.0316872302447036,4.98275036770537,22.8591052503844,4.13423385923658,24.1732844138424
"RE","RE2",-93.5699900398065,-3.24996526823313,0.0366668799495069,-0.0243380667631489,-4.32,1.89842401226205,4.80103664961894,0.122818202316369,0.0608863230042898,0.034340206185567,6.32320027749439,29.1414863228901,12.3794978656927,1.42853770174639,-6.13138379609226,0.154,-0.035,-0.011,-3.842,0.0375354437594523,0.166229338767396,0.138032962129202,0.0992661266496208,1.87095446797794,1.8241188969667,25.8527020413069,16.728,0.0399811298826176,66.8884902492752,77.7635936864297,67.5099088008597,79.1653213393627
"RE","RE3",70.5631508296002,-9.83729937370072,0.00595845280076659,0.115060182594572,-13.57,-1.32937288721873,0.352112606697124,0.939965105287939,0.00824528437208635,-0.00374003599897146,-26.1255352468107,-24.6229137115051,-61.3129819623897,-4.08297168998268,-4.77078945312316,-0.412,-0.034,-0.026,-15.581,-0.0581067710193528,-0.160401788246311,-0.282392057601902,-0.158527199938922,3.71092282184537,1.18890548506442,-0.965529478404117,7.907,-0.0883429669710796,-39.8805812100344,-35.5150029481284,-41.4134203277299,-38.9229001867895
"RE","RE4",-53.6071072034997,37.5571968211877,-0.0115294117647059,-0.0554969119170984,-6.582,-4.84033514373904,-2.41745968103058,-0.202572555440873,-0.00732927584072622,-0.0146323587514816,-7.799,7.85724318797851,26.5451697486788,-0.379548081477973,1.68826186438298,0.004,-0.006,-0.006,3.512,-0.0167031562071215,-0.0709653581294069,-0.0688740012176466,-0.0471375403843526,-11.6431345746702,-7.50511659677067,22.205,NA,-0.00665574146195694,37.4634758263666,8.40195923903051,38.0272090394996,5.36303267487557
