Supervisor.PI	Diet	Batch	Population	Line	ReplicateVialOld	ReplicateVial	ProportionEggtoAdultSurvival	Country	Latitude	Longitude	Altitude	Population_Lat	Population_Lon	Population_Alt	ProportionEggtoAdultSurvival_asin	Color	StatusT	StatusM	Wolbachia	PC.ratio
Gibert	NS	1	AK	AK2	3	Gibert_1_AK2_3	0.93	Finland	61.1	23.52	88	AK	AK	AK	1.3030329996377	#A00E00	+	+	+	0.076
Gibert	NS	1	AK	AK20	1	Gibert_1_AK20_1	0.85	Finland	61.1	23.52	88	AK	AK	AK	1.17309691170282	#A00E00	+	+	+	0.076
Gibert	NS	1	AK	AK20	2	Gibert_1_AK20_2	0.8	Finland	61.1	23.52	88	AK	AK	AK	1.10714871779409	#A00E00	+	+	+	0.076
Gibert	NS	1	AK	AK20	3	Gibert_1_AK20_3	0.8	Finland	61.1	23.52	88	AK	AK	AK	1.10714871779409	#A00E00	+	+	+	0.076
Gibert	NS	1	AK	AK21	1	Gibert_1_AK21_1	0.68	Finland	61.1	23.52	88	AK	AK	AK	0.969532110115768	#A00E00	+	+	+	0.076
Gibert	NS	1	AK	AK21	2	Gibert_1_AK21_2	0.88	Finland	61.1	23.52	88	AK	AK	AK	1.21705472090523	#A00E00	+	+	+	0.076
Gibert	NS	1	AK	AK21	3	Gibert_1_AK21_3	0.7	Finland	61.1	23.52	88	AK	AK	AK	0.991156586431192	#A00E00	+	+	+	0.076
Gibert	NS	1	AK	AK3	1	Gibert_1_AK3_1	0.68	Finland	61.1	23.52	88	AK	AK	AK	0.969532110115768	#A00E00	+	+	+	0.076
Gibert	NS	1	AK	AK3	2	Gibert_1_AK3_2	0.68	Finland	61.1	23.52	88	AK	AK	AK	0.969532110115768	#A00E00	+	+	+	0.076
Gibert	NS	1	AK	AK3	3	Gibert_1_AK3_3	0.55	Finland	61.1	23.52	88	AK	AK	AK	0.835481873978228	#A00E00	+	+	+	0.076
Gibert	NS	1	AK	AK7	1	Gibert_1_AK7_1	0.53	Finland	61.1	23.52	88	AK	AK	AK	0.815416192620088	#A00E00	+	+	+	0.076
Gibert	NS	1	AK	AK7	2	Gibert_1_AK7_2	0.73	Finland	61.1	23.52	88	AK	AK	AK	1.02439576265692	#A00E00	+	+	+	0.076
Gibert	NS	1	AK	AK7	3	Gibert_1_AK7_3	0.6	Finland	61.1	23.52	88	AK	AK	AK	0.886077123792614	#A00E00	+	+	+	0.076
Gibert	NS	1	GI	GI1	1	Gibert_1_GI1_1	0.9	Spain	41.618	0.62	173	GI	GI	GI	1.24904577239825	#B82E00	-	-	-	0.076
Gibert	NS	1	GI	GI1	2	Gibert_1_GI1_2	0.83	Spain	41.618	0.62	173	GI	GI	GI	1.14580754383249	#B82E00	-	-	-	0.076
Gibert	NS	1	GI	GI1	3	Gibert_1_GI1_3	0.65	Spain	41.618	0.62	173	GI	GI	GI	0.937744490405147	#B82E00	-	-	-	0.076
Gibert	NS	1	GI	GI10	1	Gibert_1_GI10_1	0.65	Spain	41.618	0.62	173	GI	GI	GI	0.937744490405147	#B82E00	+	+	+	0.076
Gibert	NS	1	GI	GI10	2	Gibert_1_GI10_2	0.7	Spain	41.618	0.62	173	GI	GI	GI	0.991156586431192	#B82E00	+	+	+	0.076
Gibert	NS	1	GI	GI10	3	Gibert_1_GI10_3	0.68	Spain	41.618	0.62	173	GI	GI	GI	0.969532110115768	#B82E00	+	+	+	0.076
Gibert	NS	1	GI	GI11	1	Gibert_1_GI11_1	0.65	Spain	41.618	0.62	173	GI	GI	GI	0.937744490405147	#B82E00	+	+	+	0.076
Gibert	NS	1	GI	GI11	2	Gibert_1_GI11_2	0.43	Spain	41.618	0.62	173	GI	GI	GI	0.71516745604252	#B82E00	+	+	+	0.076
Gibert	NS	1	GI	GI11	3	Gibert_1_GI11_3	0.73	Spain	41.618	0.62	173	GI	GI	GI	1.02439576265692	#B82E00	+	+	+	0.076
Gibert	NS	1	GI	GI12	1	Gibert_1_GI12_1	0.38	Spain	41.618	0.62	173	GI	GI	GI	0.664215237877967	#B82E00	+	+	+	0.076
Gibert	NS	1	GI	GI12	2	Gibert_1_GI12_2	0.38	Spain	41.618	0.62	173	GI	GI	GI	0.664215237877967	#B82E00	+	+	+	0.076
Gibert	NS	1	GI	GI12	3	Gibert_1_GI12_3	0.43	Spain	41.618	0.62	173	GI	GI	GI	0.71516745604252	#B82E00	+	+	+	0.076
Gibert	NS	1	GI	GI14	1	Gibert_1_GI14_1	0.5	Spain	41.618	0.62	173	GI	GI	GI	0.785398163397448	#B82E00	+	+	+	0.076
Gibert	NS	1	GI	GI14	2	Gibert_1_GI14_2	0.38	Spain	41.618	0.62	173	GI	GI	GI	0.664215237877967	#B82E00	+	+	+	0.076
Gibert	NS	1	GI	GI14	3	Gibert_1_GI14_3	0.4	Spain	41.618	0.62	173	GI	GI	GI	0.684719203002283	#B82E00	+	+	+	0.076
Gibert	NS	1	GI	GI15	1	Gibert_1_GI15_1	0.5	Spain	41.618	0.62	173	GI	GI	GI	0.785398163397448	#B82E00	+	+	+	0.076
Gibert	NS	1	GI	GI15	2	Gibert_1_GI15_2	0.5	Spain	41.618	0.62	173	GI	GI	GI	0.785398163397448	#B82E00	+	+	+	0.076
Gibert	NS	1	GI	GI15	3	Gibert_1_GI15_3	0.45	Spain	41.618	0.62	173	GI	GI	GI	0.735314452816668	#B82E00	+	+	+	0.076
Gibert	NS	1	GI	GI4	1	Gibert_1_GI4_1	0.4	Spain	41.618	0.62	173	GI	GI	GI	0.684719203002283	#B82E00	+	+	+	0.076
Gibert	NS	1	GI	GI4	2	Gibert_1_GI4_2	0.53	Spain	41.618	0.62	173	GI	GI	GI	0.815416192620088	#B82E00	+	+	+	0.076
Gibert	NS	1	GI	GI4	3	Gibert_1_GI4_3	0.45	Spain	41.618	0.62	173	GI	GI	GI	0.735314452816668	#B82E00	+	+	+	0.076
Gibert	NS	1	GI	GI5	1	Gibert_1_GI5_1	0.4	Spain	41.618	0.62	173	GI	GI	GI	0.684719203002283	#B82E00	-	-	-	0.076
Gibert	NS	1	GI	GI5	2	Gibert_1_GI5_2	0.48	Spain	41.618	0.62	173	GI	GI	GI	0.765392826220454	#B82E00	-	-	-	0.076
Gibert	NS	1	GI	GI5	3	Gibert_1_GI5_3	0.4	Spain	41.618	0.62	173	GI	GI	GI	0.684719203002283	#B82E00	-	-	-	0.076
Gibert	NS	1	GI	GI7	1	Gibert_1_GI7_1	0.6	Spain	41.618	0.62	173	GI	GI	GI	0.886077123792614	#B82E00	+	+	+	0.076
Gibert	NS	1	GI	GI7	2	Gibert_1_GI7_2	0.65	Spain	41.618	0.62	173	GI	GI	GI	0.937744490405147	#B82E00	+	+	+	0.076
Gibert	NS	1	GI	GI7	3	Gibert_1_GI7_3	0.73	Spain	41.618	0.62	173	GI	GI	GI	1.02439576265692	#B82E00	+	+	+	0.076
Gibert	NS	1	GI	GI9	1	Gibert_1_GI9_1	0.73	Spain	41.618	0.62	173	GI	GI	GI	1.02439576265692	#B82E00	-	-	-	0.076
Gibert	NS	1	GI	GI9	2	Gibert_1_GI9_2	0.68	Spain	41.618	0.62	173	GI	GI	GI	0.969532110115768	#B82E00	-	-	-	0.076
Gibert	NS	1	GI	GI9	3	Gibert_1_GI9_3	0.73	Spain	41.618	0.62	173	GI	GI	GI	1.02439576265692	#B82E00	-	-	-	0.076
Gibert	NS	1	KA	KA10	1	Gibert_1_KA10_1	0.48	Denmark	55.945	10.213	15	KA	KA	KA	0.765392826220454	#D04E00	+	+	+	0.076
Gibert	NS	1	KA	KA10	2	Gibert_1_KA10_2	0.6	Denmark	55.945	10.213	15	KA	KA	KA	0.886077123792614	#D04E00	+	+	+	0.076
Gibert	NS	1	KA	KA10	3	Gibert_1_KA10_3	0.55	Denmark	55.945	10.213	15	KA	KA	KA	0.835481873978228	#D04E00	+	+	+	0.076
Gibert	NS	1	KA	KA11	1	Gibert_1_KA11_1	0.85	Denmark	55.945	10.213	15	KA	KA	KA	1.17309691170282	#D04E00	+	+	+	0.076
Gibert	NS	1	KA	KA11	2	Gibert_1_KA11_2	0.8	Denmark	55.945	10.213	15	KA	KA	KA	1.10714871779409	#D04E00	+	+	+	0.076
Gibert	NS	1	KA	KA11	3	Gibert_1_KA11_3	0.83	Denmark	55.945	10.213	15	KA	KA	KA	1.14580754383249	#D04E00	+	+	+	0.076
Gibert	NS	1	KA	KA13	1	Gibert_1_KA13_1	0.7	Denmark	55.945	10.213	15	KA	KA	KA	0.991156586431192	#D04E00	+	+	+	0.076
Gibert	NS	1	KA	KA13	2	Gibert_1_KA13_2	0.63	Denmark	55.945	10.213	15	KA	KA	KA	0.916909264851683	#D04E00	+	+	+	0.076
Gibert	NS	1	KA	KA13	3	Gibert_1_KA13_3	0.68	Denmark	55.945	10.213	15	KA	KA	KA	0.969532110115768	#D04E00	+	+	+	0.076
Gibert	NS	1	KA	KA15	1	Gibert_1_KA15_1	0.73	Denmark	55.945	10.213	15	KA	KA	KA	1.02439576265692	#D04E00	+	+	+	0.076
Gibert	NS	1	KA	KA15	2	Gibert_1_KA15_2	0.8	Denmark	55.945	10.213	15	KA	KA	KA	1.10714871779409	#D04E00	+	+	+	0.076
Gibert	NS	1	KA	KA15	3	Gibert_1_KA15_3	0.75	Denmark	55.945	10.213	15	KA	KA	KA	1.0471975511966	#D04E00	+	+	+	0.076
Gibert	NS	1	KA	KA16	1	Gibert_1_KA16_1	0.78	Denmark	55.945	10.213	15	KA	KA	KA	1.08259106339798	#D04E00	+	+	+	0.076
Gibert	NS	1	KA	KA16	2	Gibert_1_KA16_2	0.8	Denmark	55.945	10.213	15	KA	KA	KA	1.10714871779409	#D04E00	+	+	+	0.076
Gibert	NS	1	KA	KA16	3	Gibert_1_KA16_3	0.75	Denmark	55.945	10.213	15	KA	KA	KA	1.0471975511966	#D04E00	+	+	+	0.076
Gibert	NS	1	KA	KA17	1	Gibert_1_KA17_1	0.9	Denmark	55.945	10.213	15	KA	KA	KA	1.24904577239825	#D04E00	+	+	+	0.076
Gibert	NS	1	KA	KA17	2	Gibert_1_KA17_2	0.73	Denmark	55.945	10.213	15	KA	KA	KA	1.02439576265692	#D04E00	+	+	+	0.076
Gibert	NS	1	KA	KA17	3	Gibert_1_KA17_3	0.68	Denmark	55.945	10.213	15	KA	KA	KA	0.969532110115768	#D04E00	+	+	+	0.076
Gibert	NS	1	KA	KA23	1	Gibert_1_KA23_1	0.73	Denmark	55.945	10.213	15	KA	KA	KA	1.02439576265692	#D04E00	+	+	+	0.076
Gibert	NS	1	KA	KA23	2	Gibert_1_KA23_2	0.6	Denmark	55.945	10.213	15	KA	KA	KA	0.886077123792614	#D04E00	+	+	+	0.076
Gibert	NS	1	KA	KA23	3	Gibert_1_KA23_3	0.8	Denmark	55.945	10.213	15	KA	KA	KA	1.10714871779409	#D04E00	+	+	+	0.076
Gibert	NS	1	KA	KA24	1	Gibert_1_KA24_1	0.73	Denmark	55.945	10.213	15	KA	KA	KA	1.02439576265692	#D04E00	-	-	-	0.076
Gibert	NS	1	KA	KA24	2	Gibert_1_KA24_2	0.58	Denmark	55.945	10.213	15	KA	KA	KA	0.865743489873404	#D04E00	-	-	-	0.076
Gibert	NS	1	KA	KA24	3	Gibert_1_KA24_3	0.63	Denmark	55.945	10.213	15	KA	KA	KA	0.916909264851683	#D04E00	-	-	-	0.076
Gibert	NS	1	KA	KA3	1	Gibert_1_KA3_1	0.53	Denmark	55.945	10.213	15	KA	KA	KA	0.815416192620088	#D04E00	+	+	+	0.076
Gibert	NS	1	KA	KA3	2	Gibert_1_KA3_2	0.65	Denmark	55.945	10.213	15	KA	KA	KA	0.937744490405147	#D04E00	+	+	+	0.076
Gibert	NS	1	KA	KA3	3	Gibert_1_KA3_3	0.58	Denmark	55.945	10.213	15	KA	KA	KA	0.865743489873404	#D04E00	+	+	+	0.076
Gibert	NS	1	KA	KA7	1	Gibert_1_KA7_1	0.83	Denmark	55.945	10.213	15	KA	KA	KA	1.14580754383249	#D04E00	+	+	+	0.076
Gibert	NS	1	KA	KA7	2	Gibert_1_KA7_2	0.85	Denmark	55.945	10.213	15	KA	KA	KA	1.17309691170282	#D04E00	+	+	+	0.076
Gibert	NS	1	KA	KA7	3	Gibert_1_KA7_3	0.7	Denmark	55.945	10.213	15	KA	KA	KA	0.991156586431192	#D04E00	+	+	+	0.076
Gibert	NS	1	MA	MA16	1	Gibert_1_MA16_1	0.73	Austria	48.375	15.56	572	MA	MA	MA	1.02439576265692	#E38800	+	+	+	0.076
Gibert	NS	1	MA	MA16	2	Gibert_1_MA16_2	0.6	Austria	48.375	15.56	572	MA	MA	MA	0.886077123792614	#E38800	+	+	+	0.076
Gibert	NS	1	MA	MA16	3	Gibert_1_MA16_3	0.7	Austria	48.375	15.56	572	MA	MA	MA	0.991156586431192	#E38800	+	+	+	0.076
Gibert	NS	1	MA	MA18	1	Gibert_1_MA18_1	0.45	Austria	48.375	15.56	572	MA	MA	MA	0.735314452816668	#E38800	+	+	+	0.076
Gibert	NS	1	MA	MA18	2	Gibert_1_MA18_2	0.68	Austria	48.375	15.56	572	MA	MA	MA	0.969532110115768	#E38800	+	+	+	0.076
Gibert	NS	1	MA	MA18	3	Gibert_1_MA18_3	0.78	Austria	48.375	15.56	572	MA	MA	MA	1.08259106339798	#E38800	+	+	+	0.076
Gibert	NS	1	MA	MA20	1	Gibert_1_MA20_1	0.48	Austria	48.375	15.56	572	MA	MA	MA	0.765392826220454	#E38800	+	+	+	0.076
Gibert	NS	1	MA	MA20	2	Gibert_1_MA20_2	0.4	Austria	48.375	15.56	572	MA	MA	MA	0.684719203002283	#E38800	+	+	+	0.076
Gibert	NS	1	MA	MA20	3	Gibert_1_MA20_3	0.4	Austria	48.375	15.56	572	MA	MA	MA	0.684719203002283	#E38800	+	+	+	0.076
Gibert	NS	1	MA	MA27	1	Gibert_1_MA27_1	0.65	Austria	48.375	15.56	572	MA	MA	MA	0.937744490405147	#E38800	+	+	+	0.076
Gibert	NS	1	MA	MA27	2	Gibert_1_MA27_2	0.8	Austria	48.375	15.56	572	MA	MA	MA	1.10714871779409	#E38800	+	+	+	0.076
Gibert	NS	1	MA	MA27	3	Gibert_1_MA27_3	0.25	Austria	48.375	15.56	572	MA	MA	MA	0.523598775598299	#E38800	+	+	+	0.076
Gibert	NS	1	MA	MA3	1	Gibert_1_MA3_1	0.8	Austria	48.375	15.56	572	MA	MA	MA	1.10714871779409	#E38800	-	-	-	0.076
Gibert	NS	1	MA	MA3	2	Gibert_1_MA3_2	0.78	Austria	48.375	15.56	572	MA	MA	MA	1.08259106339798	#E38800	-	-	-	0.076
Gibert	NS	1	MA	MA3	3	Gibert_1_MA3_3	0.78	Austria	48.375	15.56	572	MA	MA	MA	1.08259106339798	#E38800	-	-	-	0.076
Gibert	NS	1	MA	MA30	1	Gibert_1_MA30_1	0.63	Austria	48.375	15.56	572	MA	MA	MA	0.916909264851683	#E38800	+	+	+	0.076
Gibert	NS	1	MA	MA30	2	Gibert_1_MA30_2	0.65	Austria	48.375	15.56	572	MA	MA	MA	0.937744490405147	#E38800	+	+	+	0.076
Gibert	NS	1	MA	MA30	3	Gibert_1_MA30_3	0.63	Austria	48.375	15.56	572	MA	MA	MA	0.916909264851683	#E38800	+	+	+	0.076
Gibert	NS	1	MA	MA32	1	Gibert_1_MA32_1	0.45	Austria	48.375	15.56	572	MA	MA	MA	0.735314452816668	#E38800	+	+	+	0.076
Gibert	NS	1	MA	MA32	2	Gibert_1_MA32_2	0.6	Austria	48.375	15.56	572	MA	MA	MA	0.886077123792614	#E38800	+	+	+	0.076
Gibert	NS	1	MA	MA32	3	Gibert_1_MA32_3	0.6	Austria	48.375	15.56	572	MA	MA	MA	0.886077123792614	#E38800	+	+	+	0.076
Gibert	NS	1	MA	MA9	1	Gibert_1_MA9_1	0.73	Austria	48.375	15.56	572	MA	MA	MA	1.02439576265692	#E38800	+	+	+	0.076
Gibert	NS	1	MA	MA9	2	Gibert_1_MA9_2	0.63	Austria	48.375	15.56	572	MA	MA	MA	0.916909264851683	#E38800	+	+	+	0.076
Gibert	NS	1	MA	MA9	3	Gibert_1_MA9_3	0.48	Austria	48.375	15.56	572	MA	MA	MA	0.765392826220454	#E38800	+	+	+	0.076
Gibert	NS	1	MU	MU1	1	Gibert_1_MU1_1	0.78	Germany	48.18	11.61	520	MU	MU	MU	1.08259106339798	#F6C200	-	-	-	0.076
Gibert	NS	1	MU	MU1	2	Gibert_1_MU1_2	0.85	Germany	48.18	11.61	520	MU	MU	MU	1.17309691170282	#F6C200	-	-	-	0.076
Gibert	NS	1	MU	MU1	3	Gibert_1_MU1_3	0.78	Germany	48.18	11.61	520	MU	MU	MU	1.08259106339798	#F6C200	-	-	-	0.076
Gibert	NS	1	MU	MU11	1	Gibert_1_MU11_1	0.43	Germany	48.18	11.61	520	MU	MU	MU	0.71516745604252	#F6C200	+	+	+	0.076
Gibert	NS	1	MU	MU11	2	Gibert_1_MU11_2	0.55	Germany	48.18	11.61	520	MU	MU	MU	0.835481873978228	#F6C200	+	+	+	0.076
Gibert	NS	1	MU	MU11	3	Gibert_1_MU11_3	0.88	Germany	48.18	11.61	520	MU	MU	MU	1.21705472090523	#F6C200	+	+	+	0.076
Gibert	NS	1	MU	MU15	1	Gibert_1_MU15_1	0.85	Germany	48.18	11.61	520	MU	MU	MU	1.17309691170282	#F6C200	+	+	+	0.076
Gibert	NS	1	MU	MU15	2	Gibert_1_MU15_2	0.63	Germany	48.18	11.61	520	MU	MU	MU	0.916909264851683	#F6C200	+	+	+	0.076
Gibert	NS	1	MU	MU15	3	Gibert_1_MU15_3	0.75	Germany	48.18	11.61	520	MU	MU	MU	1.0471975511966	#F6C200	+	+	+	0.076
Gibert	NS	1	MU	MU16	1	Gibert_1_MU16_1	0.65	Germany	48.18	11.61	520	MU	MU	MU	0.937744490405147	#F6C200	+	+	+	0.076
Gibert	NS	1	MU	MU16	2	Gibert_1_MU16_2	0.68	Germany	48.18	11.61	520	MU	MU	MU	0.969532110115768	#F6C200	+	+	+	0.076
Gibert	NS	1	MU	MU16	3	Gibert_1_MU16_3	0.6	Germany	48.18	11.61	520	MU	MU	MU	0.886077123792614	#F6C200	+	+	+	0.076
Gibert	NS	1	MU	MU20	1	Gibert_1_MU20_1	0.65	Germany	48.18	11.61	520	MU	MU	MU	0.937744490405147	#F6C200	+	+	+	0.076
Gibert	NS	1	MU	MU20	2	Gibert_1_MU20_2	0.75	Germany	48.18	11.61	520	MU	MU	MU	1.0471975511966	#F6C200	+	+	+	0.076
Gibert	NS	1	MU	MU20	3	Gibert_1_MU20_3	0.68	Germany	48.18	11.61	520	MU	MU	MU	0.969532110115768	#F6C200	+	+	+	0.076
Gibert	NS	1	MU	MU4	1	Gibert_1_MU4_1	0.65	Germany	48.18	11.61	520	MU	MU	MU	0.937744490405147	#F6C200	+	+	+	0.076
Gibert	NS	1	MU	MU4	2	Gibert_1_MU4_2	0.8	Germany	48.18	11.61	520	MU	MU	MU	1.10714871779409	#F6C200	+	+	+	0.076
Gibert	NS	1	MU	MU4	3	Gibert_1_MU4_3	0.7	Germany	48.18	11.61	520	MU	MU	MU	0.991156586431192	#F6C200	+	+	+	0.076
Gibert	NS	1	MU	MU5	1	Gibert_1_MU5_1	0.78	Germany	48.18	11.61	520	MU	MU	MU	1.08259106339798	#F6C200	+	+	+	0.076
Gibert	NS	1	MU	MU5	2	Gibert_1_MU5_2	0.83	Germany	48.18	11.61	520	MU	MU	MU	1.14580754383249	#F6C200	+	+	+	0.076
Gibert	NS	1	MU	MU5	3	Gibert_1_MU5_3	0.85	Germany	48.18	11.61	520	MU	MU	MU	1.17309691170282	#F6C200	+	+	+	0.076
Gibert	NS	1	MU	MU8	1	Gibert_1_MU8_1	0.6	Germany	48.18	11.61	520	MU	MU	MU	0.886077123792614	#F6C200	+	+	+	0.076
Gibert	NS	1	MU	MU8	2	Gibert_1_MU8_2	0.58	Germany	48.18	11.61	520	MU	MU	MU	0.865743489873404	#F6C200	+	+	+	0.076
Gibert	NS	1	MU	MU8	3	Gibert_1_MU8_3	0.63	Germany	48.18	11.61	520	MU	MU	MU	0.916909264851683	#F6C200	+	+	+	0.076
Gibert	NS	1	MU	MU9	1	Gibert_1_MU9_1	0.85	Germany	48.18	11.61	520	MU	MU	MU	1.17309691170282	#F6C200	+	+	+	0.076
Gibert	NS	1	MU	MU9	2	Gibert_1_MU9_2	0.53	Germany	48.18	11.61	520	MU	MU	MU	0.815416192620088	#F6C200	+	+	+	0.076
Gibert	NS	1	MU	MU9	3	Gibert_1_MU9_3	0.73	Germany	48.18	11.61	520	MU	MU	MU	1.02439576265692	#F6C200	+	+	+	0.076
Gibert	NS	1	RE	RE10	1	Gibert_1_RE10_1	0.8	Portugal	41.15	-8.41	175	RE	RE	RE	1.10714871779409	#7BA354	+	+	+	0.076
Gibert	NS	1	RE	RE10	2	Gibert_1_RE10_2	0.75	Portugal	41.15	-8.41	175	RE	RE	RE	1.0471975511966	#7BA354	+	+	+	0.076
Gibert	NS	1	RE	RE10	3	Gibert_1_RE10_3	0.58	Portugal	41.15	-8.41	175	RE	RE	RE	0.865743489873404	#7BA354	+	+	+	0.076
Gibert	NS	1	RE	RE11	1	Gibert_1_RE11_1	0.65	Portugal	41.15	-8.41	175	RE	RE	RE	0.937744490405147	#7BA354	-	-	-	0.076
Gibert	NS	1	RE	RE11	2	Gibert_1_RE11_2	0.8	Portugal	41.15	-8.41	175	RE	RE	RE	1.10714871779409	#7BA354	-	-	-	0.076
Gibert	NS	1	RE	RE11	3	Gibert_1_RE11_3	0.83	Portugal	41.15	-8.41	175	RE	RE	RE	1.14580754383249	#7BA354	-	-	-	0.076
Gibert	NS	1	RE	RE12	1	Gibert_1_RE12_1	0.4	Portugal	41.15	-8.41	175	RE	RE	RE	0.684719203002283	#7BA354	+	+	+	0.076
Gibert	NS	1	RE	RE12	2	Gibert_1_RE12_2	0.63	Portugal	41.15	-8.41	175	RE	RE	RE	0.916909264851683	#7BA354	+	+	+	0.076
Gibert	NS	1	RE	RE12	3	Gibert_1_RE12_3	0.38	Portugal	41.15	-8.41	175	RE	RE	RE	0.664215237877967	#7BA354	+	+	+	0.076
Gibert	NS	1	RE	RE13	1	Gibert_1_RE13_1	0.58	Portugal	41.15	-8.41	175	RE	RE	RE	0.865743489873404	#7BA354	+	+	+	0.076
Gibert	NS	1	RE	RE13	2	Gibert_1_RE13_2	0.63	Portugal	41.15	-8.41	175	RE	RE	RE	0.916909264851683	#7BA354	+	+	+	0.076
Gibert	NS	1	RE	RE13	3	Gibert_1_RE13_3	0.63	Portugal	41.15	-8.41	175	RE	RE	RE	0.916909264851683	#7BA354	+	+	+	0.076
Gibert	NS	1	RE	RE15	1	Gibert_1_RE15_1	0.58	Portugal	41.15	-8.41	175	RE	RE	RE	0.865743489873404	#7BA354	-	-	-	0.076
Gibert	NS	1	RE	RE15	2	Gibert_1_RE15_2	0.88	Portugal	41.15	-8.41	175	RE	RE	RE	1.21705472090523	#7BA354	-	-	-	0.076
Gibert	NS	1	RE	RE15	3	Gibert_1_RE15_3	0.95	Portugal	41.15	-8.41	175	RE	RE	RE	1.34528292089677	#7BA354	-	-	-	0.076
Gibert	NS	1	RE	RE18	1	Gibert_1_RE18_1	0.85	Portugal	41.15	-8.41	175	RE	RE	RE	1.17309691170282	#7BA354	-	-	-	0.076
Gibert	NS	1	RE	RE18	2	Gibert_1_RE18_2	0.78	Portugal	41.15	-8.41	175	RE	RE	RE	1.08259106339798	#7BA354	-	-	-	0.076
Gibert	NS	1	RE	RE18	3	Gibert_1_RE18_3	0.8	Portugal	41.15	-8.41	175	RE	RE	RE	1.10714871779409	#7BA354	-	-	-	0.076
Gibert	NS	1	RE	RE3	1	Gibert_1_RE3_1	0.43	Portugal	41.15	-8.41	175	RE	RE	RE	0.71516745604252	#7BA354	+	+	+	0.076
Gibert	NS	1	RE	RE3	2	Gibert_1_RE3_2	0.55	Portugal	41.15	-8.41	175	RE	RE	RE	0.835481873978228	#7BA354	+	+	+	0.076
Gibert	NS	1	RE	RE3	3	Gibert_1_RE3_3	0.33	Portugal	41.15	-8.41	175	RE	RE	RE	0.611939714633867	#7BA354	+	+	+	0.076
Gibert	NS	1	RE	RE6	1	Gibert_1_RE6_1	0.68	Portugal	41.15	-8.41	175	RE	RE	RE	0.969532110115768	#7BA354	+	+	+	0.076
Gibert	NS	1	RE	RE6	2	Gibert_1_RE6_2	0.58	Portugal	41.15	-8.41	175	RE	RE	RE	0.865743489873404	#7BA354	+	+	+	0.076
