Model	Trait	Sex	Population	Line	Estimate_Bergland	Estimate_Schlotterer	SE_Bergland	SE_Schlotterer
lmer_pop	Dia	F	YE	YE51	-0.054	NA	0.116	NA
lmer_pop	Dia	F	YE	YE69	-0.069	-0.065	0.148	0.162
lmer_pop	Dia	F	YE	YE80	-0.026	-0.103	0.148	0.113
lmer_pop	Dia	F	AK	AK13	NA	-0.358	NA	0.113
lmer_pop	Dia	F	AK	AK3	NA	0.18	NA	0.162
lmer_pop	Dia	F	MA	MA16	NA	-0.278	NA	0.162
lmer_pop	Dia	F	MU	MU18	NA	-0.086	NA	0.162
lmer_pop	Dia	F	MU	MU7	NA	0.062	NA	0.162
lmer_pop	Dia	F	RE	RE8	NA	-0.068	NA	0.162
lmer_pop	Dia	F	UM	UM26	NA	0.138	NA	0.162
lmer_pop	Dia	F	VA	VA9	NA	0.015	NA	0.162
