Model	Trait	Sex	Population	Line	Value_re_Bergland	Value_re_Flatt	Value_re_Schlotterer	SE_re_Bergland	SE_re_Flatt	SE_re_Schlotterer
glmer_pop	Dia	F	UM	UM28	-0.825	0.182	0.84	0.514	1.36	0.946
glmer_pop	Dia	F	UM	UM29	1.046	0.11	0.091	0.739	1.404	0.791
glmer_pop	Dia	F	UM	UM4	-0.916	0.162	-2.827	0.524	1.372	0.294
glmer_pop	Dia	F	UM	UM5	0.763	0.172	0.091	0.635	1.366	0.791
glmer_pop	Dia	F	UM	UM7	-1.174	0.172	-0.997	0.446	1.366	0.624
glmer_pop	Dia	F	UM	UM9	0.157	-1.3	0.84	0.604	1.082	0.946
glmer_pop	Dia	F	VA	VA1	0.357	0.37	1.506	0.401	1.266	0.819
glmer_pop	Dia	F	VA	VA11	-0.588	-0.794	-1.154	0.439	0.972	0.479
glmer_pop	Dia	F	VA	VA15	-2.777	-3.225	NA	0.509	0.566	NA
glmer_pop	Dia	F	VA	VA18	-0.035	0.505	-0.924	0.557	1.209	0.483
glmer_pop	Dia	F	VA	VA22	0.899	0.551	1.506	0.773	1.19	0.819
glmer_pop	Dia	F	VA	VA26	1.014	0.48	0.162	0.75	1.219	0.356
glmer_pop	Dia	F	VA	VA30	0.899	0.951	-1.617	0.773	1.061	0.487
glmer_pop	Dia	F	VA	VA34	0.357	0.551	1.506	0.469	1.19	0.819
glmer_pop	Dia	F	VA	VA35	1.014	0.528	NA	0.75	1.199	NA
glmer_pop	Dia	F	VA	VA44	-0.708	0.48	-0.164	0.424	1.219	0.534
glmer_pop	Dia	F	VA	VA46	-0.85	-2.128	0.14	0.436	0.586	0.571
glmer_pop	Dia	F	VA	VA47	-0.298	0.551	0.14	0.48	1.19	0.571
glmer_pop	Dia	F	VA	VA48	-0.068	0.235	0.932	0.78	1.333	0.702
glmer_pop	Dia	F	VA	VA55	0.224	0.455	NA	0.44	1.229	NA
glmer_pop	Dia	F	VA	VA57	-0.131	0.573	-0.164	0.404	1.182	0.534
glmer_pop	Dia	F	VA	VA6	-1.54	0.428	-1.86	0.398	1.241	0.5
glmer_pop	Dia	F	VA	VA66	1.014	-0.523	NA	0.75	0.919	NA
glmer_pop	Dia	F	VA	VA67	1.438	-1.426	1.506	0.678	0.775	0.819
glmer_pop	Dia	F	VA	VA71	-1.212	-1.747	-2.406	0.505	0.652	0.551
glmer_pop	Dia	F	YE	YE11	-0.271	-2.907	0.283	0.426	0.562	0.566
glmer_pop	Dia	F	YE	YE13	-0.333	-1.044	-0.534	0.497	1.025	0.491
glmer_pop	Dia	F	YE	YE14	-0.031	0.57	-0.222	0.435	1.182	0.313
glmer_pop	Dia	F	YE	YE15	-0.113	0.471	-0.534	0.476	1.221	0.491
glmer_pop	Dia	F	YE	YE19	0.621	0.353	1.343	0.505	1.273	0.493
glmer_pop	Dia	F	YE	YE20	0.932	0.283	-0.534	0.54	1.307	0.491
glmer_pop	Dia	F	YE	YE21	-0.47	0.283	-0.017	0.626	1.307	0.531
glmer_pop	Dia	F	YE	YE22	-0.67	0.283	1.057	0.495	1.307	0.692
glmer_pop	Dia	F	YE	YE23	0.064	0.374	0.283	0.461	1.263	0.566
glmer_pop	Dia	F	YE	YE24	-0.111	-1.888	1.612	0.414	0.826	0.804
glmer_pop	Dia	F	YE	YE26	0.856	0.353	-1.464	0.546	1.273	0.488
glmer_pop	Dia	F	YE	YE27	0.384	0.232	0.122	0.526	1.334	0.348
glmer_pop	Dia	F	YE	YE33	1.216	0.331	0.632	0.592	1.284	0.617
glmer_pop	Dia	F	YE	YE40	-1.252	-0.774	-1.464	0.389	0.963	0.488
glmer_pop	Dia	F	YE	YE41	0.009	0.331	0.283	0.465	1.284	0.566
glmer_pop	Dia	F	YE	YE48	-1.083	0.283	-1.256	0.34	1.307	0.511
glmer_pop	Dia	F	YE	YE49	1.025	0.258	0.632	0.614	1.32	0.617
glmer_pop	Dia	F	YE	YE51	-0.41	0.415	NA	0.285	1.245	NA
glmer_pop	Dia	F	YE	YE69	-0.83	-0.896	-0.534	0.362	0.99	0.491
glmer_pop	Dia	F	YE	YE80	-0.331	-0.896	-0.68	0.407	0.99	0.295
glmer_pop	Dia	F	AK	AK13	NA	0.382	-1.497	NA	1.26	0.359
glmer_pop	Dia	F	AK	AK3	NA	0.273	1.355	NA	1.312	0.585
glmer_pop	Dia	F	MA	MA16	NA	-2.457	-2.031	NA	0.718	0.522
glmer_pop	Dia	F	MU	MU18	NA	0.237	-0.521	NA	1.33	0.511
glmer_pop	Dia	F	MU	MU7	NA	0.272	0.059	NA	1.312	0.574
glmer_pop	Dia	F	RE	RE8	NA	-1.065	-0.388	NA	1.029	0.509
glmer_pop	Dia	F	UM	UM26	NA	0.31	0.84	NA	1.292	0.946
glmer_pop	Dia	F	UM	UM6	NA	0.152	NA	NA	1.378	NA
glmer_pop	Dia	F	UM	UM8	NA	0.052	NA	NA	1.442	NA
glmer_pop	Dia	F	VA	VA9	NA	-0.741	-0.164	NA	0.961	0.534
