Model	Trait	Sex	Population	Line	Value_re_Abbott	Value_re_Gibert	Value_re_Schmidt	SE_re_Abbott	SE_re_Gibert	SE_re_Schmidt
lmer_pop	Pgm_T4	F	VA	VA71	0.039	0.036	0.005	0.022	0.03	0.032
lmer_pop	Pgm_T4	F	VA	VA9	-0.032	-0.059	NA	0.021	0.03	NA
lmer_pop	Pgm_T4	F	YE	YE11	-0.015	0	-0.099	0.022	0.037	0.037
lmer_pop	Pgm_T4	F	YE	YE13	-0.023	-0.031	0.014	0.022	0.03	0.032
lmer_pop	Pgm_T4	F	YE	YE14	0.021	-0.045	-0.1	0.022	0.03	0.032
lmer_pop	Pgm_T4	F	YE	YE15	0.006	-0.038	0.026	0.022	0.03	0.032
lmer_pop	Pgm_T4	F	YE	YE19	0.004	0.042	-0.116	0.022	0.03	0.037
lmer_pop	Pgm_T4	F	YE	YE20	-0.06	-0.04	-0.054	0.022	0.037	0.032
lmer_pop	Pgm_T4	F	YE	YE21	0.032	-0.023	0.13	0.022	0.032	0.032
lmer_pop	Pgm_T4	F	YE	YE22	0.065	0.036	0.109	0.022	0.03	0.032
lmer_pop	Pgm_T4	F	YE	YE23	0.061	0.058	0.139	0.022	0.03	0.032
lmer_pop	Pgm_T4	F	YE	YE24	-0.016	0.024	0.039	0.021	0.03	0.035
lmer_pop	Pgm_T4	F	YE	YE26	-0.051	0.019	0.088	0.022	0.031	0.037
lmer_pop	Pgm_T4	F	YE	YE27	-0.023	0.054	0.047	0.022	0.03	0.032
lmer_pop	Pgm_T4	F	YE	YE33	-0.001	0.015	-0.1	0.022	0.03	0.032
lmer_pop	Pgm_T4	F	YE	YE40	-0.039	-0.031	0.076	0.022	0.03	0.035
lmer_pop	Pgm_T4	F	YE	YE41	0.007	-0.014	-0.145	0.022	0.03	0.032
lmer_pop	Pgm_T4	F	YE	YE48	0.052	0.045	0.061	0.022	0.03	0.032
lmer_pop	Pgm_T4	F	YE	YE49	-0.016	-0.033	-0.006	0.022	0.023	0.032
lmer_pop	Pgm_T4	F	YE	YE51	-0.006	0.013	-0.085	0.022	0.03	0.037
lmer_pop	Pgm_T4	F	YE	YE69	-0.036	-0.083	-0.089	0.022	0.03	0.032
lmer_pop	Pgm_T4	F	YE	YE80	0.036	0.033	0.065	0.022	0.03	0.032
lmer_pop	Pgm_T5	F	AK	AK1	0.013	0.039	-0.019	0.02	0.032	0.059
lmer_pop	Pgm_T5	F	AK	AK10	-0.015	0.01	-0.004	0.02	0.031	0.059
lmer_pop	Pgm_T5	F	AK	AK11	-0.009	0.009	-0.141	0.02	0.031	0.059
lmer_pop	Pgm_T5	F	AK	AK12	0.05	0.031	-0.012	0.022	0.023	0.059
lmer_pop	Pgm_T5	F	AK	AK13	0.044	0.049	0.083	0.021	0.031	0.059
lmer_pop	Pgm_T5	F	AK	AK14	-0.005	-0.035	-0.055	0.021	0.031	0.059
lmer_pop	Pgm_T5	F	AK	AK15	-0.008	0.018	-0.08	0.015	0.031	0.059
lmer_pop	Pgm_T5	F	AK	AK16	0.054	-0.023	-0.004	0.021	0.031	0.059
lmer_pop	Pgm_T5	F	AK	AK17	-0.048	-0.11	-0.162	0.02	0.031	0.059
lmer_pop	Pgm_T5	F	AK	AK18	-0.063	-0.064	-0.096	0.021	0.031	0.059
lmer_pop	Pgm_T5	F	AK	AK2	-0.055	-0.069	0.014	0.021	0.031	0.059
lmer_pop	Pgm_T5	F	AK	AK20	0.028	0.071	-0.023	0.02	0.031	0.059
lmer_pop	Pgm_T5	F	AK	AK21	0.061	0.074	0.376	0.021	0.031	0.059
lmer_pop	Pgm_T5	F	AK	AK3	0.069	0.03	0.014	0.021	0.031	0.059
lmer_pop	Pgm_T5	F	AK	AK4	0.007	0.065	0.109	0.021	0.031	0.059
lmer_pop	Pgm_T5	F	AK	AK5	0.023	-0.093	-0.182	0.021	0.031	0.059
lmer_pop	Pgm_T5	F	AK	AK6	-0.04	0.001	0.221	0.021	0.031	0.059
lmer_pop	Pgm_T5	F	AK	AK7	-0.048	-0.094	-0.043	0.021	0.031	0.059
lmer_pop	Pgm_T5	F	AK	AK8	-0.076	0	-0.068	0.02	0.031	0.059
lmer_pop	Pgm_T5	F	AK	AK9	0.017	0.092	0.072	0.02	0.031	0.059
lmer_pop	Pgm_T5	F	GI	GI1	-0.023	-0.048	-0.211	0.021	0.031	0.059
lmer_pop	Pgm_T5	F	GI	GI10	0.015	0.03	-0.419	0.02	0.023	0.059
lmer_pop	Pgm_T5	F	GI	GI11	0.009	0.053	-0.203	0.021	0.031	0.059
lmer_pop	Pgm_T5	F	GI	GI12	-0.006	-0.052	0.061	0.022	0.031	0.059
lmer_pop	Pgm_T5	F	GI	GI14	-0.059	-0.03	-0.184	0.021	0.031	0.059
lmer_pop	Pgm_T5	F	GI	GI15	0.032	-0.011	0.508	0.021	0.031	0.059
lmer_pop	Pgm_T5	F	GI	GI2	0.026	0.03	0.144	0.02	0.031	0.059
lmer_pop	Pgm_T5	F	GI	GI3	-0.092	-0.038	-0.1	0.021	0.031	0.075
lmer_pop	Pgm_T5	F	GI	GI4	-0.015	-0.074	NA	0.024	0.031	NA
lmer_pop	Pgm_T5	F	GI	GI5	0.058	0.005	0.365	0.021	0.031	0.059
lmer_pop	Pgm_T5	F	GI	GI6	0.065	0.132	NA	0.021	0.031	NA
lmer_pop	Pgm_T5	F	GI	GI7	0.06	-0.006	0.04	0.021	0.031	0.066
lmer_pop	Pgm_T5	F	GI	GI8	-0.057	-0.038	0.074	0.021	0.031	0.059
lmer_pop	Pgm_T5	F	GI	GI9	-0.011	0.028	0.065	0.021	0.031	0.075
lmer_pop	Pgm_T5	F	KA	KA1	-0.081	-0.053	-0.298	0.021	0.031	0.059
lmer_pop	Pgm_T5	F	KA	KA10	0.076	0.035	0.083	0.021	0.031	0.059
lmer_pop	Pgm_T5	F	KA	KA11	0.067	-0.074	-0.092	0.022	0.023	0.059
lmer_pop	Pgm_T5	F	KA	KA13	0.041	-0.074	-0.465	0.022	0.031	0.059
lmer_pop	Pgm_T5	F	KA	KA14	-0.041	0.045	0.143	0.021	0.031	0.059
lmer_pop	Pgm_T5	F	KA	KA15	-0.044	0.088	NA	0.021	0.031	NA
lmer_pop	Pgm_T5	F	KA	KA16	-0.059	-0.031	-0.062	0.021	0.031	0.059
lmer_pop	Pgm_T5	F	KA	KA17	-0.034	-0.052	-0.086	0.021	0.031	0.059
lmer_pop	Pgm_T5	F	KA	KA18	0.101	-0.003	-0.054	0.021	0.031	0.059
lmer_pop	Pgm_T5	F	KA	KA2	-0.017	0.069	0.28	0.021	0.031	0.059
lmer_pop	Pgm_T5	F	KA	KA23	-0.035	0.03	0.192	0.022	0.031	0.059
lmer_pop	Pgm_T5	F	KA	KA24	-0.017	-0.039	-0.197	0.021	0.031	0.059
lmer_pop	Pgm_T5	F	KA	KA25	0.121	0.015	-0.044	0.021	0.031	0.059
lmer_pop	Pgm_T5	F	KA	KA29	-0.065	-0.015	0.452	0.02	0.031	0.059
lmer_pop	Pgm_T5	F	KA	KA3	-0.046	-0.033	-0.024	0.021	0.031	0.059
lmer_pop	Pgm_T5	F	KA	KA5	-0.03	0.076	0.102	0.021	0.031	0.059
lmer_pop	Pgm_T5	F	KA	KA6	-0.033	0.072	0.123	0.021	0.031	0.059
lmer_pop	Pgm_T5	F	KA	KA7	0.148	-0.014	0.038	0.021	0.031	0.059
lmer_pop	Pgm_T5	F	KA	KA9	-0.054	0.009	-0.218	0.021	0.031	0.059
lmer_pop	Pgm_T5	F	MA	MA12	0.036	NA	0.049	0.021	NA	0.059
lmer_pop	Pgm_T5	F	MA	MA13	0.004	0.116	-0.005	0.02	0.031	0.059
lmer_pop	Pgm_T5	F	MA	MA18	-0.031	-0.096	0.135	0.02	0.031	0.059
lmer_pop	Pgm_T5	F	MA	MA19	0.011	-0.016	-0.055	0.022	0.031	0.059
lmer_pop	Pgm_T5	F	MA	MA20	0.043	0.006	-0.018	0.022	0.031	0.059
lmer_pop	Pgm_T5	F	MA	MA21	0.049	-0.075	0.025	0.02	0.031	0.059
lmer_pop	Pgm_T5	F	MA	MA23	-0.006	-0.058	-0.028	0.02	0.031	0.059
lmer_pop	Pgm_T5	F	MA	MA26	-0.006	-0.006	-0.192	0.022	0.031	0.059
lmer_pop	Pgm_T5	F	MA	MA27	0.054	0.058	0.127	0.02	0.031	0.09
lmer_pop	Pgm_T5	F	MA	MA28	-0.074	-0.064	-0.449	0.022	0.031	0.059
lmer_pop	Pgm_T5	F	MA	MA30	-0.019	0.015	0.119	0.022	0.023	0.062
lmer_pop	Pgm_T5	F	MA	MA31	-0.086	0.071	-0.474	0.022	0.038	0.059
lmer_pop	Pgm_T5	F	MA	MA32	-0.006	0.019	0.372	0.02	0.031	0.059
lmer_pop	Pgm_T5	F	MA	MA33	-0.002	-0.025	-0.153	0.022	0.031	0.059
lmer_pop	Pgm_T5	F	MA	MA5	0.064	-0.033	0.064	0.022	0.031	0.059
lmer_pop	Pgm_T5	F	MA	MA6	0.019	-0.058	-0.047	0.022	0.031	0.059
lmer_pop	Pgm_T5	F	MA	MA7	-0.047	-0.051	0.036	0.02	0.031	0.059
lmer_pop	Pgm_T5	F	MA	MA9	-0.003	-0.01	0.042	0.022	0.031	0.059
lmer_pop	Pgm_T5	F	MU	MU1	0.04	0.138	0.201	0.021	0.031	0.059
lmer_pop	Pgm_T5	F	MU	MU10	-0.013	-0.062	0.109	0.022	0.031	0.059
lmer_pop	Pgm_T5	F	MU	MU11	-0.04	-0.061	-0.07	0.021	0.031	0.059
lmer_pop	Pgm_T5	F	MU	MU12	-0.03	0.002	0.056	0.021	0.031	0.059
lmer_pop	Pgm_T5	F	MU	MU13	0.037	-0.012	-0.274	0.021	0.031	0.059
lmer_pop	Pgm_T5	F	MU	MU14	0.033	0.046	0.311	0.021	0.031	0.059
lmer_pop	Pgm_T5	F	MU	MU16	-0.057	-0.016	-0.072	0.021	0.031	0.059
lmer_pop	Pgm_T5	F	MU	MU17	0.025	-0.021	-0.051	0.021	0.031	0.059
lmer_pop	Pgm_T5	F	MU	MU18	0.034	0.075	0.006	0.02	0.032	0.059
lmer_pop	Pgm_T5	F	MU	MU19	-0.021	-0.054	-0.279	0.021	0.023	0.059
lmer_pop	Pgm_T5	F	MU	MU2	0.08	0.015	-0.116	0.021	0.031	0.07
lmer_pop	Pgm_T5	F	MU	MU20	0.018	0.039	0.159	0.021	0.031	0.059
lmer_pop	Pgm_T5	F	MU	MU3	-0.073	-0.11	-0.101	0.02	0.031	0.059
lmer_pop	Pgm_T5	F	MU	MU5	0.028	-0.01	-0.061	0.021	0.031	0.059
lmer_pop	Pgm_T5	F	MU	MU6	0.046	0.048	0.249	0.02	0.031	0.059
lmer_pop	Pgm_T5	F	MU	MU8	-0.068	-0.019	-0.07	0.021	0.031	0.059
lmer_pop	Pgm_T5	F	MU	MU9	-0.04	-0.017	0.32	0.021	0.031	0.059
lmer_pop	Pgm_T5	F	RE	RE1	0.055	0.005	NA	0.02	0.031	NA
lmer_pop	Pgm_T5	F	RE	RE10	-0.024	-0.043	-0.356	0.021	0.031	0.059
lmer_pop	Pgm_T5	F	RE	RE11	0.022	-0.013	0.477	0.02	0.031	0.059
lmer_pop	Pgm_T5	F	RE	RE12	0.031	-0.001	0.184	0.021	0.031	0.059
lmer_pop	Pgm_T5	F	RE	RE13	-0.026	-0.011	0.204	0.021	0.031	0.07
lmer_pop	Pgm_T5	F	RE	RE15	-0.054	-0.055	-0.333	0.022	0.031	0.059
lmer_pop	Pgm_T5	F	RE	RE16	0.035	-0.027	0.054	0.02	0.031	0.059
