Model	Trait	Sex	Population	Line	Value_re_Tauber	SE_re_Tauber
lmer_pop	LA_CircPhase	B	KA	KA7	0.024	0.335
lmer_pop	LA_CircPhase	B	KA	KA9	0.033	0.337
lmer_pop	LA_CircPhase	B	MA	MA12	0.013	0.336
lmer_pop	LA_CircPhase	B	MA	MA13	-0.024	0.337
lmer_pop	LA_CircPhase	B	MA	MA16	0.052	0.336
lmer_pop	LA_CircPhase	B	MA	MA18	0.04	0.337
lmer_pop	LA_CircPhase	B	MA	MA19	0.022	0.336
lmer_pop	LA_CircPhase	B	MA	MA3	-0.005	0.338
lmer_pop	LA_CircPhase	B	MA	MA5	0.002	0.338
lmer_pop	LA_CircPhase	B	MA	MA6	-0.116	0.338
lmer_pop	LA_CircPhase	B	MA	MA7	0.006	0.339
lmer_pop	LA_CircPhase	B	MA	MA9	0.01	0.34
lmer_pop	LA_CircPhase	B	MU	MU1	0.021	0.34
lmer_pop	LA_CircPhase	B	MU	MU10	0.003	0.338
lmer_pop	LA_CircPhase	B	MU	MU2	0.031	0.338
lmer_pop	LA_CircPhase	B	MU	MU3	0.005	0.338
lmer_pop	LA_CircPhase	B	MU	MU4	0.026	0.341
lmer_pop	LA_CircPhase	B	MU	MU5	-0.098	0.338
lmer_pop	LA_CircPhase	B	MU	MU6	-0.053	0.338
lmer_pop	LA_CircPhase	B	MU	MU7	0.044	0.34
lmer_pop	LA_CircPhase	B	MU	MU8	-0.001	0.34
lmer_pop	LA_CircPhase	B	MU	MU9	0.022	0.337
lmer_pop	LA_CircPhase	B	RE	RE10	-0.013	0.339
lmer_pop	LA_CircPhase	B	RE	RE11	0.046	0.338
lmer_pop	LA_CircPhase	B	RE	RE2	-0.011	0.338
lmer_pop	LA_CircPhase	B	RE	RE3	-0.026	0.338
lmer_pop	LA_CircPhase	B	RE	RE4	-0.006	0.339
lmer_pop	LA_CircPhase	B	RE	RE6	0.029	0.336
lmer_pop	LA_CircPhase	B	RE	RE7	0.001	0.34
lmer_pop	LA_CircPhase	B	RE	RE8	-0.019	0.34
lmer_pop	LA_CircPhase	B	UM	UM13	0.036	0.337
lmer_pop	LA_CircPhase	B	UM	UM17	0.019	0.338
lmer_pop	LA_CircPhase	B	UM	UM18	-0.027	0.338
lmer_pop	LA_CircPhase	B	UM	UM2	-0.006	0.34
lmer_pop	LA_CircPhase	B	UM	UM4	-0.023	0.338
lmer_pop	LA_CircPhase	B	UM	UM5	-0.109	0.335
lmer_pop	LA_CircPhase	B	UM	UM6	0.035	0.339
lmer_pop	LA_CircPhase	B	UM	UM7	0.02	0.338
lmer_pop	LA_CircPhase	B	UM	UM9	0.055	0.336
lmer_pop	LA_CircPhase	B	VA	VA11	0.057	0.336
lmer_pop	LA_CircPhase	B	VA	VA15	0.057	0.337
lmer_pop	LA_CircPhase	B	VA	VA18	-0.025	0.335
lmer_pop	LA_CircPhase	B	VA	VA22	0.038	0.338
lmer_pop	LA_CircPhase	B	VA	VA26	-0.018	0.338
lmer_pop	LA_CircPhase	B	VA	VA30	0.047	0.34
lmer_pop	LA_CircPhase	B	VA	VA34	-0.024	0.34
lmer_pop	LA_CircPhase	B	VA	VA6	-0.037	0.337
lmer_pop	LA_CircPhase	B	VA	VA9	-0.095	0.337
lmer_pop	LA_CircPhase	B	YE	YE11	0.005	0.341
lmer_pop	LA_CircPhase	B	YE	YE13	-0.093	0.337
lmer_pop	LA_CircPhase	B	YE	YE14	-0.05	0.337
lmer_pop	LA_CircPhase	B	YE	YE15	0.005	0.338
lmer_pop	LA_CircPhase	B	YE	YE19	0.024	0.338
lmer_pop	LA_CircPhase	B	YE	YE20	0.007	0.34
lmer_pop	LA_CircPhase	B	YE	YE21	0.002	0.34
lmer_pop	LA_CircPhase	B	YE	YE22	0.022	0.34
lmer_pop	LA_CircPhase	B	YE	YE24	-0.031	0.339
lmer_pop	LA_CircPhase	B	YE	YE26	0.023	0.34
lmer_pop	LA_CircPhase	B	YE	YE27	0.089	0.338
lmer_pop	LA_CircPhase	B	YE	YE33	0.048	0.339
lmer_pop	LA_CircPhase	B	YE	YE40	-0.029	0.34
lmer_pop	LA_CircPhase	B	YE	YE41	0.023	0.338
lmer_pop	LA_CircPhase	B	YE	YE48	0.079	0.339
lmer_pop	LA_CircPhase	B	YE	YE49	-0.048	0.339
lmer_pop	LA_CircPhase	B	YE	YE51	-0.069	0.338
lmer_pop	LA_CircPhase	B	YE	YE69	-0.024	0.34
lmer_pop	LA_CircPhase	B	YE	YE80	0.018	0.34
lmer_pop	LA_Activity	B	AK	AK1	-4.944	2.471
lmer_pop	LA_Activity	B	AK	AK2	5.579	2.583
lmer_pop	LA_Activity	B	AK	AK3	-1.726	2.861
lmer_pop	LA_Activity	B	AK	AK4	3.695	2.471
lmer_pop	LA_Activity	B	AK	AK5	-3.555	2.471
lmer_pop	LA_Activity	B	AK	AK6	-0.699	2.711
lmer_pop	LA_Activity	B	AK	AK7	4.624	2.711
lmer_pop	LA_Activity	B	AK	AK8	-2.972	2.583
lmer_pop	LA_Activity	B	GI	GI1	9.421	3.254
lmer_pop	LA_Activity	B	GI	GI2	-8.69	3.873
lmer_pop	LA_Activity	B	GI	GI3	-0.726	2.861
lmer_pop	LA_Activity	B	GI	GI4	-2.571	2.471
lmer_pop	LA_Activity	B	GI	GI5	5.107	3.039
lmer_pop	LA_Activity	B	GI	GI6	0.842	2.373
lmer_pop	LA_Activity	B	GI	GI7	-3.08	2.471
lmer_pop	LA_Activity	B	GI	GI8	4.421	2.711
lmer_pop	LA_Activity	B	GI	GI9	-4.724	5.068
lmer_pop	LA_Activity	B	KA	KA1	4.329	3.524
lmer_pop	LA_Activity	B	KA	KA10	4.609	3.254
lmer_pop	LA_Activity	B	KA	KA11	4.125	3.039
lmer_pop	LA_Activity	B	KA	KA13	0.187	3.873
lmer_pop	LA_Activity	B	KA	KA2	-5.68	2.471
lmer_pop	LA_Activity	B	KA	KA3	1.742	3.039
lmer_pop	LA_Activity	B	KA	KA5	-2.248	2.136
lmer_pop	LA_Activity	B	KA	KA6	-2.255	2.071
lmer_pop	LA_Activity	B	KA	KA7	-2.338	2.071
lmer_pop	LA_Activity	B	KA	KA9	-2.471	2.583
lmer_pop	LA_Activity	B	MA	MA12	1.189	2.285
lmer_pop	LA_Activity	B	MA	MA13	-5.423	2.471
lmer_pop	LA_Activity	B	MA	MA16	-1.868	2.285
lmer_pop	LA_Activity	B	MA	MA18	-1.244	2.583
lmer_pop	LA_Activity	B	MA	MA19	2.261	2.285
lmer_pop	LA_Activity	B	MA	MA3	-2.005	2.711
lmer_pop	LA_Activity	B	MA	MA5	0.809	2.861
lmer_pop	LA_Activity	B	MA	MA6	4.728	3.039
lmer_pop	LA_Activity	B	MA	MA7	-0.539	3.524
lmer_pop	LA_Activity	B	MA	MA9	2.092	3.873
lmer_pop	LA_Activity	B	MU	MU1	-12.946	4.352
lmer_pop	LA_Activity	B	MU	MU10	4.71	3.039
lmer_pop	LA_Activity	B	MU	MU2	0.867	3.039
lmer_pop	LA_Activity	B	MU	MU3	-0.562	2.711
lmer_pop	LA_Activity	B	MU	MU4	1.055	5.068
lmer_pop	LA_Activity	B	MU	MU5	-8.792	3.039
lmer_pop	LA_Activity	B	MU	MU6	3.045	3.039
lmer_pop	LA_Activity	B	MU	MU7	-1.688	3.873
lmer_pop	LA_Activity	B	MU	MU8	1.609	4.352
lmer_pop	LA_Activity	B	MU	MU9	12.701	2.583
lmer_pop	LA_Activity	B	RE	RE10	5.161	3.524
lmer_pop	LA_Activity	B	RE	RE11	0.044	2.861
lmer_pop	LA_Activity	B	RE	RE2	-3.842	2.711
lmer_pop	LA_Activity	B	RE	RE3	-15.581	2.861
lmer_pop	LA_Activity	B	RE	RE4	3.512	3.254
lmer_pop	LA_Activity	B	RE	RE6	5.513	2.207
lmer_pop	LA_Activity	B	RE	RE7	1.388	4.352
lmer_pop	LA_Activity	B	RE	RE8	3.805	4.352
lmer_pop	LA_Activity	B	UM	UM13	-7.506	2.583
lmer_pop	LA_Activity	B	UM	UM17	-2.672	2.861
lmer_pop	LA_Activity	B	UM	UM18	1.66	2.711
lmer_pop	LA_Activity	B	UM	UM2	-7.276	3.873
lmer_pop	LA_Activity	B	UM	UM4	4.913	2.861
lmer_pop	LA_Activity	B	UM	UM5	8.815	2.136
lmer_pop	LA_Activity	B	UM	UM6	-0.199	3.254
lmer_pop	LA_Activity	B	UM	UM7	8.821	3.039
lmer_pop	LA_Activity	B	UM	UM9	-6.554	2.285
lmer_pop	LA_Activity	B	VA	VA11	0.546	2.207
lmer_pop	LA_Activity	B	VA	VA15	4.139	2.471
lmer_pop	LA_Activity	B	VA	VA18	-2.577	2.071
lmer_pop	LA_Activity	B	VA	VA22	4.492	2.711
lmer_pop	LA_Activity	B	VA	VA26	-4.492	2.861
lmer_pop	LA_Activity	B	VA	VA30	1.737	4.352
lmer_pop	LA_Activity	B	VA	VA34	1.159	4.352
lmer_pop	LA_Activity	B	VA	VA6	-3.095	2.471
lmer_pop	LA_Activity	B	VA	VA9	-1.909	2.471
lmer_pop	LA_Activity	B	YE	YE11	-3.192	5.068
lmer_pop	LA_Activity	B	YE	YE13	4.118	2.471
lmer_pop	LA_Activity	B	YE	YE14	6.998	2.471
lmer_pop	LA_Activity	B	YE	YE15	8.718	3.039
lmer_pop	LA_Activity	B	YE	YE19	9.005	2.861
lmer_pop	LA_Activity	B	YE	YE20	8.141	3.873
lmer_pop	LA_Activity	B	YE	YE21	-1.134	4.352
lmer_pop	LA_Activity	B	YE	YE22	-8.858	4.352
lmer_pop	LA_Activity	B	YE	YE24	-4.994	3.254
lmer_pop	LA_Activity	B	YE	YE26	5.894	3.873
lmer_pop	LA_Activity	B	YE	YE27	-2.805	2.861
lmer_pop	LA_Activity	B	YE	YE33	4.404	3.524
lmer_pop	LA_Activity	B	YE	YE40	3.48	3.873
lmer_pop	LA_Activity	B	YE	YE41	-2.984	2.711
lmer_pop	LA_Activity	B	YE	YE48	-4.817	3.254
lmer_pop	LA_Activity	B	YE	YE49	-12.096	3.524
lmer_pop	LA_Activity	B	YE	YE51	-0.511	2.861
lmer_pop	LA_Activity	B	YE	YE69	-4.135	3.873
lmer_pop	LA_Activity	B	YE	YE80	-5.232	4.352
