"Lab","Diet","Sex","Population","Line","Replicate_count","Replicate_ids","Observation_count","Batch_count","Batch_ids"
"Gonzalez","S","F","MA","MA20",3,"Gonzalez_1_MA20_F_1; Gonzalez_2_MA20_F_2; Gonzalez_3_MA20_F_3",36,3,"1; 2; 3"
"Gonzalez","S","F","MA","MA21",3,"Gonzalez_1_MA21_F_1; Gonzalez_2_MA21_F_2; Gonzalez_3_MA21_F_3",34,3,"1; 2; 3"
"Gonzalez","S","F","MA","MA23",3,"Gonzalez_5_MA23_F_1; Gonzalez_6_MA23_F_2; Gonzalez_7_MA23_F_3",36,3,"5; 6; 7"
"Gonzalez","S","F","MA","MA26",3,"Gonzalez_1_MA26_F_1; Gonzalez_2_MA26_F_2; Gonzalez_3_MA26_F_3",33,3,"1; 2; 3"
"Gonzalez","S","F","MA","MA27",3,"Gonzalez_1_MA27_F_1; Gonzalez_2_MA27_F_2; Gonzalez_3_MA27_F_3",33,3,"1; 2; 3"
"Gonzalez","S","F","MA","MA28",3,"Gonzalez_1_MA28_F_1; Gonzalez_2_MA28_F_2; Gonzalez_3_MA28_F_3",34,3,"1; 2; 3"
"Gonzalez","S","F","MA","MA3",3,"Gonzalez_2_MA3_F_1; Gonzalez_3_MA3_F_2; Gonzalez_4_MA3_F_3",34,3,"2; 3; 4"
"Gonzalez","S","F","MA","MA30",3,"Gonzalez_1_MA30_F_1; Gonzalez_2_MA30_F_2; Gonzalez_3_MA30_F_3",34,3,"1; 2; 3"
"Gonzalez","S","F","MA","MA31",3,"Gonzalez_5_MA31_F_1; Gonzalez_6_MA31_F_2; Gonzalez_7_MA31_F_3",35,3,"5; 6; 7"
"Gonzalez","S","F","MA","MA32",3,"Gonzalez_5_MA32_F_1; Gonzalez_6_MA32_F_2; Gonzalez_7_MA32_F_3",36,3,"5; 6; 7"
"Gonzalez","S","F","MA","MA33",3,"Gonzalez_1_MA33_F_1; Gonzalez_2_MA33_F_2; Gonzalez_3_MA33_F_3",35,3,"1; 2; 3"
"Gonzalez","S","F","MA","MA5",3,"Gonzalez_1_MA5_F_1; Gonzalez_3_MA5_F_2; Gonzalez_4_MA5_F_3",34,3,"1; 3; 4"
"Gonzalez","S","F","MA","MA6",3,"Gonzalez_1_MA6_F_1; Gonzalez_4_MA6_F_3; Gonzalez_2_MA6_F_2",33,3,"1; 2; 4"
"Gonzalez","S","F","MA","MA7",3,"Gonzalez_1_MA7_F_1; Gonzalez_2_MA7_F_2; Gonzalez_3_MA7_F_3",34,3,"1; 2; 3"
"Gonzalez","S","F","MA","MA9",3,"Gonzalez_1_MA9_F_1; Gonzalez_2_MA9_F_2; Gonzalez_3_MA9_F_3",34,3,"1; 2; 3"
"Gonzalez","S","F","MU","MU1",3,"Gonzalez_1_MU1_F_1; Gonzalez_2_MU1_F_2; Gonzalez_4_MU1_F_3",31,3,"1; 2; 4"
"Gonzalez","S","F","MU","MU10",3,"Gonzalez_1_MU10_F_1; Gonzalez_2_MU10_F_2; Gonzalez_3_MU10_F_3",32,3,"1; 2; 3"
"Gonzalez","S","F","MU","MU11",3,"Gonzalez_1_MU11_F_1; Gonzalez_2_MU11_F_2; Gonzalez_3_MU11_F_3",34,3,"1; 2; 3"
"Gonzalez","S","F","MU","MU12",3,"Gonzalez_1_MU12_F_1; Gonzalez_2_MU12_F_2; Gonzalez_3_MU12_F_3",34,3,"1; 2; 3"
"Gonzalez","S","F","MU","MU13",3,"Gonzalez_3_MU13_F_2; Gonzalez_2_MU13_F_1; Gonzalez_4_MU13_F_3",34,3,"2; 3; 4"
"Gonzalez","S","F","MU","MU14",3,"Gonzalez_1_MU14_F_1; Gonzalez_2_MU14_F_2; Gonzalez_3_MU14_F_3",33,3,"1; 2; 3"
"Gonzalez","S","F","MU","MU15",3,"Gonzalez_1_MU15_F_1; Gonzalez_3_MU15_F_2; Gonzalez_4_MU15_F_3",32,3,"1; 3; 4"
"Gonzalez","S","F","MU","MU17",3,"Gonzalez_1_MU17_F_1; Gonzalez_2_MU17_F_2; Gonzalez_3_MU17_F_3",33,3,"1; 2; 3"
"Gonzalez","S","F","MU","MU18",3,"Gonzalez_1_MU18_F_1; Gonzalez_2_MU18_F_2; Gonzalez_3_MU18_F_3",34,3,"1; 2; 3"
"Gonzalez","S","F","MU","MU19",3,"Gonzalez_1_MU19_F_1; Gonzalez_2_MU19_F_2; Gonzalez_3_MU19_F_3",34,3,"1; 2; 3"
"Gonzalez","S","F","MU","MU2",3,"Gonzalez_5_MU2_F_1; Gonzalez_6_MU2_F_2; Gonzalez_7_MU2_F_3",36,3,"5; 6; 7"
"Gonzalez","S","F","MU","MU20",3,"Gonzalez_1_MU20_F_1; Gonzalez_2_MU20_F_2; Gonzalez_3_MU20_F_3",34,3,"1; 2; 3"
"Gonzalez","S","F","MU","MU3",3,"Gonzalez_1_MU3_F_1; Gonzalez_2_MU3_F_2; Gonzalez_3_MU3_F_3",33,3,"1; 2; 3"
"Gonzalez","S","F","MU","MU4",3,"Gonzalez_1_MU4_F_1; Gonzalez_2_MU4_F_2; Gonzalez_3_MU4_F_3",34,3,"1; 2; 3"
"Gonzalez","S","F","MU","MU5",3,"Gonzalez_1_MU5_F_1; Gonzalez_2_MU5_F_2; Gonzalez_3_MU5_F_3",36,3,"1; 2; 3"
