"Lab","Diet","Sex","Population","Line","Replicate_count","Replicate_ids","Observation_count","Batch_count","Batch_ids"
"Kozeretska","NS","F","RE","RE11",2,"Kozeretska_1_RE11_1; Kozeretska_2_RE11_1",40,2,"1; 2"
"Kozeretska","NS","F","RE","RE12",2,"Kozeretska_1_RE12_1; Kozeretska_2_RE12_1",40,2,"1; 2"
"Kozeretska","NS","F","RE","RE13",2,"Kozeretska_1_RE13_1; Kozeretska_2_RE13_1",40,2,"1; 2"
"Kozeretska","NS","F","RE","RE15",2,"Kozeretska_1_RE15_1; Kozeretska_2_RE15_1",40,2,"1; 2"
"Kozeretska","NS","F","RE","RE16",1,"Kozeretska_2_RE16_1",20,1,"2"
"Kozeretska","NS","F","RE","RE17",2,"Kozeretska_1_RE17_1; Kozeretska_2_RE17_1",40,2,"1; 2"
"Kozeretska","NS","F","RE","RE2",2,"Kozeretska_1_RE2_1; Kozeretska_2_RE2_1",40,2,"1; 2"
"Kozeretska","NS","F","RE","RE3",1,"Kozeretska_1_RE3_1",20,1,"1"
"Kozeretska","NS","F","RE","RE6",2,"Kozeretska_1_RE6_1; Kozeretska_2_RE6_1",40,2,"1; 2"
"Kozeretska","NS","F","RE","RE7",2,"Kozeretska_1_RE7_1; Kozeretska_2_RE7_1",40,2,"1; 2"
"Kozeretska","NS","F","UM","UM13",2,"Kozeretska_1_UM13_1; Kozeretska_2_UM13_1",40,2,"1; 2"
"Kozeretska","NS","F","UM","UM18",2,"Kozeretska_1_UM18_1; Kozeretska_2_UM18_1",40,2,"1; 2"
"Kozeretska","NS","F","UM","UM2",2,"Kozeretska_1_UM2_1; Kozeretska_2_UM2_1",40,2,"1; 2"
"Kozeretska","NS","F","UM","UM20",2,"Kozeretska_1_UM20_1; Kozeretska_2_UM20_1",40,2,"1; 2"
"Kozeretska","NS","F","UM","UM21",2,"Kozeretska_1_UM21_1; Kozeretska_2_UM21_1",40,2,"1; 2"
"Kozeretska","NS","F","UM","UM23",2,"Kozeretska_1_UM23_1; Kozeretska_2_UM23_1",40,2,"1; 2"
"Kozeretska","NS","F","UM","UM26",1,"Kozeretska_1_UM26_1",20,1,"1"
"Kozeretska","NS","F","UM","UM29",2,"Kozeretska_1_UM29_1; Kozeretska_2_UM29_1",40,2,"1; 2"
"Kozeretska","NS","F","UM","UM4",2,"Kozeretska_1_UM4_1; Kozeretska_2_UM4_1",40,2,"1; 2"
