"Lab","Diet","Sex","Batch","Population_count","Population_ids","Line_count","Line_ids","Replicate_count","Replicate_ids","Observation_count"
"Mensch","S","M","10",8,"AK; GI; KA; MA; MU; RE; VA; YE",23,"AK16; AK7; AK8; GI10; KA11; KA16; KA2; KA24; KA5; MA23; MA26; MU1; MU13; MU18; MU19; RE11; RE13; RE17; RE2; VA15; VA57; YE20; YE24",23,"Mensch_10_AK16_M_1; Mensch_10_AK7_M_1; Mensch_10_AK8_M_1; Mensch_10_GI10_M_1; Mensch_10_KA11_M_1; Mensch_10_KA16_M_1; Mensch_10_KA2_M_1; Mensch_10_KA24_M_1; Mensch_10_KA5_M_1; Mensch_10_MA23_M_1; Mensch_10_MA26_M_1; Mensch_10_MU1_M_1; Mensch_10_MU13_M_1; Mensch_10_MU18_M_1; Mensch_10_MU19_M_1; Mensch_10_RE11_M_1; Mensch_10_RE13_M_1; Mensch_10_RE17_M_1; Mensch_10_RE2_M_1; Mensch_10_VA15_M_1; Mensch_10_VA57_M_1; Mensch_10_YE20_M_1; Mensch_10_YE24_M_1",114
"Mensch","S","M","11",1,"MA",2,"MA18; MA28",2,"Mensch_11_MA18_M_1; Mensch_11_MA28_M_1",12
"Vieira","S","F","1",1,"UM",8,"UM13; UM17; UM18; UM20; UM5; UM6; UM7; UM9",8,"Vieira_1_UM13_F_1; Vieira_1_UM17_F_1; Vieira_1_UM18_F_1; Vieira_1_UM20_F_1; Vieira_1_UM5_F_1; Vieira_1_UM6_F_1; Vieira_1_UM7_F_1; Vieira_1_UM9_F_1",48
"Vieira","S","F","2",2,"RE; UM",7,"RE10; RE13; RE5; RE9; UM21; UM23; UM24",7,"Vieira_2_RE10_F_1; Vieira_2_RE13_F_1; Vieira_2_RE5_F_1; Vieira_2_RE9_F_1; Vieira_2_UM21_F_1; Vieira_2_UM23_F_1; Vieira_2_UM24_F_1",42
"Vieira","S","F","3",2,"AK; RE",6,"AK10; AK12; AK2; AK8; RE11; RE4",6,"Vieira_3_AK10_F_1; Vieira_3_AK12_F_1; Vieira_3_AK2_F_1; Vieira_3_AK8_F_1; Vieira_3_RE11_F_1; Vieira_3_RE4_F_1",36
"Vieira","S","F","4",3,"AK; GI; RE",9,"AK1; AK13; AK15; AK3; AK5; AK6; GI8; GI9; RE7",9,"Vieira_4_AK1_F_1; Vieira_4_AK13_F_1; Vieira_4_AK15_F_1; Vieira_4_AK3_F_1; Vieira_4_AK5_F_1; Vieira_4_AK6_F_1; Vieira_4_GI8_F_1; Vieira_4_GI9_F_1; Vieira_4_RE7_F_1",54
"Vieira","S","F","5",2,"AK; GI",12,"AK11; AK14; AK18; AK19; AK7; AK9; GI1; GI10; GI13; GI3; GI4; GI5",12,"Vieira_5_AK11_F_1; Vieira_5_AK14_F_1; Vieira_5_AK18_F_1; Vieira_5_AK19_F_1; Vieira_5_AK7_F_1; Vieira_5_AK9_F_1; Vieira_5_GI1_F_1; Vieira_5_GI10_F_1; Vieira_5_GI13_F_1; Vieira_5_GI3_F_1; Vieira_5_GI4_F_1; Vieira_5_GI5_F_1",72
"Vieira","S","F","6",3,"AK; GI; RE",4,"AK20; GI12; GI2; RE6",4,"Vieira_6_AK20_F_1; Vieira_6_GI12_F_1; Vieira_6_GI2_F_1; Vieira_6_RE6_F_1",24
"Vieira","S","F","7",3,"AK; GI; RE",7,"AK16; AK17; AK4; GI15; RE15; RE3; RE8",7,"Vieira_7_AK16_F_1; Vieira_7_AK17_F_1; Vieira_7_AK4_F_1; Vieira_7_GI15_F_1; Vieira_7_RE15_F_1; Vieira_7_RE3_F_1; Vieira_7_RE8_F_1",42
"Vieira","S","F","8",3,"GI; MU; UM",9,"GI11; GI7; MU1; MU2; MU3; MU4; MU5; MU8; UM2",9,"Vieira_8_GI11_F_1; Vieira_8_GI7_F_1; Vieira_8_MU1_F_1; Vieira_8_MU2_F_1; Vieira_8_MU3_F_1; Vieira_8_MU4_F_1; Vieira_8_MU5_F_1; Vieira_8_MU8_F_1; Vieira_8_UM2_F_1",54
