"Lab","Diet","Sex","Population","Line","Replicate_count","Replicate_ids","Observation_count","Batch_count","Batch_ids"
"Vieira","S","F","RE","RE3",3,"Vieira_13_RE3_F_1; Vieira_13_RE3_F_2; Vieira_13_RE3_F_3",56,1,"13"
"Vieira","S","F","RE","RE4",3,"Vieira_13_RE4_F_1; Vieira_13_RE4_F_2; Vieira_13_RE4_F_3",50,1,"13"
"Vieira","S","F","RE","RE5",3,"Vieira_12_RE5_F_1; Vieira_12_RE5_F_2; Vieira_12_RE5_F_3",51,1,"12"
"Vieira","S","F","RE","RE6",3,"Vieira_12_RE6_F_1; Vieira_12_RE6_F_2; Vieira_12_RE6_F_3",57,1,"12"
"Vieira","S","F","RE","RE7",3,"Vieira_12_RE7_F_1; Vieira_12_RE7_F_2; Vieira_12_RE7_F_3",58,1,"12"
"Vieira","S","F","RE","RE8",3,"Vieira_12_RE8_F_1; Vieira_12_RE8_F_2; Vieira_12_RE8_F_3",51,1,"12"
"Vieira","S","F","RE","RE9",3,"Vieira_13_RE9_F_1; Vieira_13_RE9_F_2; Vieira_13_RE9_F_3",55,1,"13"
"Vieira","S","F","UM","UM13",3,"Vieira_10_UM13_F_1; Vieira_10_UM13_F_2; Vieira_10_UM13_F_3",58,1,"10"
"Vieira","S","F","UM","UM17",3,"Vieira_10_UM17_F_1; Vieira_10_UM17_F_2; Vieira_10_UM17_F_3",60,1,"10"
"Vieira","S","F","UM","UM18",3,"Vieira_10_UM18_F_1; Vieira_10_UM18_F_2; Vieira_10_UM18_F_3",60,1,"10"
"Vieira","S","F","UM","UM2",3,"Vieira_2_UM2_F_1; Vieira_2_UM2_F_2; Vieira_2_UM2_F_3",58,1,"2"
"Vieira","S","F","UM","UM20",3,"Vieira_10_UM20_F_1; Vieira_10_UM20_F_2; Vieira_10_UM20_F_3",60,1,"10"
"Vieira","S","F","UM","UM21",3,"Vieira_11_UM21_F_1; Vieira_11_UM21_F_2; Vieira_11_UM21_F_3",59,1,"11"
"Vieira","S","F","UM","UM22",3,"Vieira_18_UM22_F_1; Vieira_18_UM22_F_2; Vieira_18_UM22_F_3",56,1,"18"
"Vieira","S","F","UM","UM23",3,"Vieira_11_UM23_F_1; Vieira_11_UM23_F_2; Vieira_11_UM23_F_3",60,1,"11"
"Vieira","S","F","UM","UM24",3,"Vieira_11_UM24_F_1; Vieira_11_UM24_F_2; Vieira_11_UM24_F_3",60,1,"11"
"Vieira","S","F","UM","UM25",3,"Vieira_17_UM25_F_1; Vieira_17_UM25_F_2; Vieira_17_UM25_F_3",59,1,"17"
"Vieira","S","F","UM","UM26",3,"Vieira_18_UM26_F_1; Vieira_18_UM26_F_2; Vieira_18_UM26_F_3",59,1,"18"
"Vieira","S","F","UM","UM28",3,"Vieira_18_UM28_F_1; Vieira_18_UM28_F_2; Vieira_18_UM28_F_3",56,1,"18"
"Vieira","S","F","UM","UM29",3,"Vieira_17_UM29_F_1; Vieira_17_UM29_F_2; Vieira_17_UM29_F_3",55,1,"17"
"Vieira","S","F","UM","UM4",3,"Vieira_17_UM4_F_1; Vieira_17_UM4_F_2; Vieira_17_UM4_F_3",56,1,"17"
"Vieira","S","F","UM","UM5",3,"Vieira_2_UM5_F_1; Vieira_2_UM5_F_2; Vieira_2_UM5_F_3",55,1,"2"
"Vieira","S","F","UM","UM6",3,"Vieira_3_UM6_F_1; Vieira_3_UM6_F_2; Vieira_3_UM6_F_3",57,1,"3"
"Vieira","S","F","UM","UM7",3,"Vieira_3_UM7_F_1; Vieira_3_UM7_F_2; Vieira_3_UM7_F_3",56,1,"3"
"Vieira","S","F","UM","UM8",3,"Vieira_17_UM8_F_1; Vieira_17_UM8_F_2; Vieira_17_UM8_F_3",60,1,"17"
"Vieira","S","F","UM","UM9",3,"Vieira_10_UM9_F_1; Vieira_10_UM9_F_2; Vieira_10_UM9_F_3",60,1,"10"
"Vieira","S","F","VA","VA1",3,"Vieira_32_VA1_F_1; Vieira_32_VA1_F_2; Vieira_32_VA1_F_3",57,1,"32"
"Vieira","S","F","VA","VA11",3,"Vieira_28_VA11_F_1; Vieira_28_VA11_F_2; Vieira_28_VA11_F_3",57,1,"28"
"Vieira","S","F","VA","VA15",3,"Vieira_32_VA15_F_1; Vieira_32_VA15_F_2; Vieira_32_VA15_F_3",60,1,"32"
"Vieira","S","F","VA","VA18",3,"Vieira_32_VA18_F_1; Vieira_32_VA18_F_2; Vieira_32_VA18_F_3",57,1,"32"
"Vieira","S","F","VA","VA22",3,"Vieira_28_VA22_F_1; Vieira_28_VA22_F_2; Vieira_28_VA22_F_3",53,1,"28"
"Vieira","S","F","VA","VA26",3,"Vieira_32_VA26_F_1; Vieira_32_VA26_F_2; Vieira_32_VA26_F_3",59,1,"32"
"Vieira","S","F","VA","VA30",3,"Vieira_32_VA30_F_1; Vieira_32_VA30_F_2; Vieira_32_VA30_F_3",59,1,"32"
"Vieira","S","F","VA","VA34",3,"Vieira_32_VA34_F_1; Vieira_32_VA34_F_2; Vieira_32_VA34_F_3",59,1,"32"
"Vieira","S","F","VA","VA35",3,"Vieira_29_VA35_F_1; Vieira_29_VA35_F_2; Vieira_29_VA35_F_3",58,1,"29"
"Vieira","S","F","VA","VA44",3,"Vieira_28_VA44_F_1; Vieira_28_VA44_F_2; Vieira_28_VA44_F_3",60,1,"28"
"Vieira","S","F","VA","VA46",3,"Vieira_28_VA46_F_1; Vieira_28_VA46_F_2; Vieira_28_VA46_F_3",60,1,"28"
"Vieira","S","F","VA","VA47",3,"Vieira_29_VA47_F_1; Vieira_29_VA47_F_2; Vieira_29_VA47_F_3",58,1,"29"
"Vieira","S","F","VA","VA48",3,"Vieira_30_VA48_F_1; Vieira_30_VA48_F_2; Vieira_30_VA48_F_3",57,1,"30"
"Vieira","S","F","VA","VA55",3,"Vieira_29_VA55_F_1; Vieira_29_VA55_F_2; Vieira_29_VA55_F_3",60,1,"29"
"Vieira","S","F","VA","VA57",3,"Vieira_29_VA57_F_1; Vieira_29_VA57_F_2; Vieira_29_VA57_F_3",59,1,"29"
"Vieira","S","F","VA","VA6",3,"Vieira_28_VA6_F_1; Vieira_28_VA6_F_2; Vieira_28_VA6_F_3",57,1,"28"
"Vieira","S","F","VA","VA66",3,"Vieira_29_VA66_F_1; Vieira_29_VA66_F_2; Vieira_29_VA66_F_3",59,1,"29"
"Vieira","S","F","VA","VA67",3,"Vieira_30_VA67_F_1; Vieira_30_VA67_F_2; Vieira_30_VA67_F_3",54,1,"30"
"Vieira","S","F","VA","VA71",3,"Vieira_30_VA71_F_1; Vieira_30_VA71_F_2; Vieira_30_VA71_F_3",60,1,"30"
"Vieira","S","F","VA","VA9",3,"Vieira_28_VA9_F_1; Vieira_28_VA9_F_2; Vieira_28_VA9_F_3",53,1,"28"
"Vieira","S","F","YE","YE11",3,"Vieira_26_YE11_F_1; Vieira_26_YE11_F_2; Vieira_26_YE11_F_3",60,1,"26"
"Vieira","S","F","YE","YE13",3,"Vieira_27_YE13_F_1; Vieira_27_YE13_F_2; Vieira_27_YE13_F_3",58,1,"27"
"Vieira","S","F","YE","YE14",3,"Vieira_27_YE14_F_1; Vieira_27_YE14_F_2; Vieira_27_YE14_F_3",58,1,"27"
"Vieira","S","F","YE","YE15",3,"Vieira_27_YE15_F_1; Vieira_27_YE15_F_2; Vieira_27_YE15_F_3",60,1,"27"
"Vieira","S","F","YE","YE19",3,"Vieira_27_YE19_F_1; Vieira_27_YE19_F_2; Vieira_27_YE19_F_3",59,1,"27"
"Vieira","S","F","YE","YE20",3,"Vieira_27_YE20_F_1; Vieira_27_YE20_F_2; Vieira_27_YE20_F_3",56,1,"27"
"Vieira","S","F","YE","YE21",3,"Vieira_27_YE21_F_1; Vieira_27_YE21_F_2; Vieira_27_YE21_F_3",60,1,"27"
"Vieira","S","F","YE","YE22",3,"Vieira_27_YE22_F_1; Vieira_27_YE22_F_2; Vieira_27_YE22_F_3",54,1,"27"
"Vieira","S","F","YE","YE23",3,"Vieira_28_YE23_F_1; Vieira_28_YE23_F_2; Vieira_28_YE23_F_3",60,1,"28"
"Vieira","S","F","YE","YE24",3,"Vieira_28_YE24_F_1; Vieira_28_YE24_F_2; Vieira_28_YE24_F_3",59,1,"28"
"Vieira","S","F","YE","YE26",3,"Vieira_28_YE26_F_1; Vieira_28_YE26_F_2; Vieira_28_YE26_F_3",60,1,"28"
"Vieira","S","F","YE","YE27",3,"Vieira_28_YE27_F_1; Vieira_28_YE27_F_2; Vieira_28_YE27_F_3",58,1,"28"
"Vieira","S","F","YE","YE33",3,"Vieira_32_YE33_F_1; Vieira_32_YE33_F_2; Vieira_32_YE33_F_3",59,1,"32"
"Vieira","S","F","YE","YE40",3,"Vieira_32_YE40_F_1; Vieira_32_YE40_F_2; Vieira_32_YE40_F_3",60,1,"32"
"Vieira","S","F","YE","YE41",3,"Vieira_31_YE41_F_1; Vieira_31_YE41_F_2; Vieira_31_YE41_F_3",60,1,"31"
"Vieira","S","F","YE","YE48",3,"Vieira_31_YE48_F_1; Vieira_31_YE48_F_2; Vieira_31_YE48_F_3",60,1,"31"
"Vieira","S","F","YE","YE49",3,"Vieira_31_YE49_F_1; Vieira_31_YE49_F_2; Vieira_31_YE49_F_3",60,1,"31"
"Vieira","S","F","YE","YE51",3,"Vieira_31_YE51_F_1; Vieira_31_YE51_F_2; Vieira_31_YE51_F_3",60,1,"31"
"Vieira","S","F","YE","YE69",3,"Vieira_31_YE69_F_1; Vieira_31_YE69_F_2; Vieira_31_YE69_F_3",59,1,"31"
"Vieira","S","F","YE","YE80",3,"Vieira_31_YE80_F_1; Vieira_31_YE80_F_2; Vieira_31_YE80_F_3",60,1,"31"
"Vieira","S","M","AK","AK1",3,"Vieira_5_AK1_M_1; Vieira_5_AK1_M_2; Vieira_5_AK1_M_3",60,1,"5"
"Vieira","S","M","AK","AK10",3,"Vieira_6_AK10_M_1; Vieira_6_AK10_M_2; Vieira_6_AK10_M_3",60,1,"6"
"Vieira","S","M","AK","AK11",3,"Vieira_6_AK11_M_1; Vieira_6_AK11_M_2; Vieira_6_AK11_M_3",58,1,"6"
"Vieira","S","M","AK","AK12",3,"Vieira_6_AK12_M_1; Vieira_6_AK12_M_2; Vieira_6_AK12_M_3",55,1,"6"
"Vieira","S","M","AK","AK13",3,"Vieira_6_AK13_M_1; Vieira_6_AK13_M_2; Vieira_6_AK13_M_3",60,1,"6"
"Vieira","S","M","AK","AK14",3,"Vieira_4_AK14_M_1; Vieira_4_AK14_M_2; Vieira_4_AK14_M_3",52,1,"4"
"Vieira","S","M","AK","AK15",3,"Vieira_4_AK15_M_1; Vieira_4_AK15_M_2; Vieira_4_AK15_M_3",60,1,"4"
"Vieira","S","M","AK","AK16",3,"Vieira_14_AK16_M_1; Vieira_14_AK16_M_2; Vieira_14_AK16_M_3",58,1,"14"
"Vieira","S","M","AK","AK17",3,"Vieira_14_AK17_M_1; Vieira_14_AK17_M_2; Vieira_14_AK17_M_3",60,1,"14"
"Vieira","S","M","AK","AK18",3,"Vieira_4_AK18_M_1; Vieira_4_AK18_M_2; Vieira_4_AK18_M_3",59,1,"4"
"Vieira","S","M","AK","AK19",3,"Vieira_4_AK19_M_1; Vieira_4_AK19_M_2; Vieira_4_AK19_M_3",59,1,"4"
"Vieira","S","M","AK","AK2",3,"Vieira_2_AK2_M_1; Vieira_2_AK2_M_2; Vieira_2_AK2_M_3",52,1,"2"
"Vieira","S","M","AK","AK20",3,"Vieira_8_AK20_M_1; Vieira_8_AK20_M_2; Vieira_8_AK20_M_3",60,1,"8"
"Vieira","S","M","AK","AK3",3,"Vieira_2_AK3_M_1; Vieira_2_AK3_M_2; Vieira_2_AK3_M_3",57,1,"2"
"Vieira","S","M","AK","AK4",3,"Vieira_14_AK4_M_1; Vieira_14_AK4_M_2; Vieira_14_AK4_M_3",56,1,"14"
"Vieira","S","M","AK","AK5",3,"Vieira_5_AK5_M_1; Vieira_5_AK5_M_2; Vieira_5_AK5_M_3",55,1,"5"
"Vieira","S","M","AK","AK6",3,"Vieira_8_AK6_M_1; Vieira_8_AK6_M_2; Vieira_8_AK6_M_3",59,1,"8"
"Vieira","S","M","AK","AK7",3,"Vieira_5_AK7_M_1; Vieira_5_AK7_M_2; Vieira_5_AK7_M_3",60,1,"5"
"Vieira","S","M","AK","AK8",3,"Vieira_5_AK8_M_1; Vieira_5_AK8_M_2; Vieira_5_AK8_M_3",55,1,"5"
"Vieira","S","M","AK","AK9",3,"Vieira_3_AK9_M_1; Vieira_3_AK9_M_2; Vieira_3_AK9_M_3",56,1,"3"
"Vieira","S","M","GI","GI1",3,"Vieira_7_GI1_M_1; Vieira_7_GI1_M_2; Vieira_7_GI1_M_3",55,1,"7"
