"Lab","Diet","Sex","Batch","Population_count","Population_ids","Line_count","Line_ids","Replicate_count","Replicate_ids","Observation_count"
"Vieira","S","F","27",1,"YE",7,"YE13; YE14; YE15; YE19; YE20; YE21; YE22",21,"Vieira_27_YE13_F_1; Vieira_27_YE14_F_1; Vieira_27_YE15_F_1; Vieira_27_YE13_F_2; Vieira_27_YE13_F_3; Vieira_27_YE14_F_2; Vieira_27_YE14_F_3; Vieira_27_YE15_F_2; Vieira_27_YE15_F_3; Vieira_27_YE19_F_1; Vieira_27_YE19_F_2; Vieira_27_YE19_F_3; Vieira_27_YE20_F_1; Vieira_27_YE20_F_2; Vieira_27_YE20_F_3; Vieira_27_YE21_F_1; Vieira_27_YE21_F_2; Vieira_27_YE21_F_3; Vieira_27_YE22_F_1; Vieira_27_YE22_F_2; Vieira_27_YE22_F_3",21
"Vieira","S","F","28",2,"VA; YE",10,"VA11; VA22; VA44; VA46; VA6; VA9; YE23; YE24; YE26; YE27",30,"Vieira_28_VA11_F_1; Vieira_28_VA11_F_2; Vieira_28_VA11_F_3; Vieira_28_VA22_F_1; Vieira_28_VA22_F_2; Vieira_28_VA22_F_3; Vieira_28_VA44_F_1; Vieira_28_VA44_F_2; Vieira_28_VA44_F_3; Vieira_28_VA46_F_1; Vieira_28_VA46_F_2; Vieira_28_VA46_F_3; Vieira_28_VA6_F_1; Vieira_28_VA6_F_2; Vieira_28_VA6_F_3; Vieira_28_VA9_F_1; Vieira_28_VA9_F_2; Vieira_28_VA9_F_3; Vieira_28_YE23_F_1; Vieira_28_YE23_F_2; Vieira_28_YE23_F_3; Vieira_28_YE24_F_1; Vieira_28_YE24_F_2; Vieira_28_YE24_F_3; Vieira_28_YE26_F_1; Vieira_28_YE26_F_2; Vieira_28_YE26_F_3; Vieira_28_YE27_F_1; Vieira_28_YE27_F_2; Vieira_28_YE27_F_3",30
"Vieira","S","F","29",1,"VA",5,"VA35; VA47; VA55; VA57; VA66",15,"Vieira_29_VA35_F_1; Vieira_29_VA35_F_2; Vieira_29_VA35_F_3; Vieira_29_VA47_F_1; Vieira_29_VA47_F_2; Vieira_29_VA47_F_3; Vieira_29_VA55_F_1; Vieira_29_VA55_F_2; Vieira_29_VA55_F_3; Vieira_29_VA57_F_1; Vieira_29_VA57_F_2; Vieira_29_VA57_F_3; Vieira_29_VA66_F_1; Vieira_29_VA66_F_2; Vieira_29_VA66_F_3",15
"Vieira","S","F","30",1,"VA",3,"VA48; VA67; VA71",9,"Vieira_30_VA48_F_1; Vieira_30_VA48_F_2; Vieira_30_VA48_F_3; Vieira_30_VA67_F_1; Vieira_30_VA67_F_2; Vieira_30_VA67_F_3; Vieira_30_VA71_F_1; Vieira_30_VA71_F_2; Vieira_30_VA71_F_3",9
"Vieira","S","F","31",1,"YE",6,"YE41; YE48; YE49; YE51; YE69; YE80",18,"Vieira_31_YE41_F_1; Vieira_31_YE41_F_2; Vieira_31_YE41_F_3; Vieira_31_YE48_F_1; Vieira_31_YE48_F_2; Vieira_31_YE48_F_3; Vieira_31_YE49_F_1; Vieira_31_YE49_F_2; Vieira_31_YE49_F_3; Vieira_31_YE51_F_1; Vieira_31_YE51_F_2; Vieira_31_YE51_F_3; Vieira_31_YE69_F_1; Vieira_31_YE69_F_2; Vieira_31_YE69_F_3; Vieira_31_YE80_F_1; Vieira_31_YE80_F_2; Vieira_31_YE80_F_3",18
"Vieira","S","F","32",2,"VA; YE",8,"VA1; VA15; VA18; VA26; VA30; VA34; YE33; YE40",24,"Vieira_32_VA1_F_1; Vieira_32_VA1_F_2; Vieira_32_VA1_F_3; Vieira_32_VA15_F_1; Vieira_32_VA15_F_2; Vieira_32_VA15_F_3; Vieira_32_VA18_F_1; Vieira_32_VA18_F_2; Vieira_32_VA18_F_3; Vieira_32_VA26_F_1; Vieira_32_VA26_F_2; Vieira_32_VA26_F_3; Vieira_32_VA30_F_1; Vieira_32_VA30_F_2; Vieira_32_VA30_F_3; Vieira_32_VA34_F_1; Vieira_32_VA34_F_2; Vieira_32_VA34_F_3; Vieira_32_YE33_F_1; Vieira_32_YE33_F_2; Vieira_32_YE33_F_3; Vieira_32_YE40_F_1; Vieira_32_YE40_F_2; Vieira_32_YE40_F_3",24
"Vieira","S","M","1",1,"MU",6,"MU1; MU10; MU2; MU3; MU5; MU6",18,"Vieira_1_MU1_M_1; Vieira_1_MU1_M_2; Vieira_1_MU1_M_3; Vieira_1_MU10_M_1; Vieira_1_MU10_M_2; Vieira_1_MU10_M_3; Vieira_1_MU2_M_1; Vieira_1_MU2_M_2; Vieira_1_MU2_M_3; Vieira_1_MU3_M_1; Vieira_1_MU3_M_2; Vieira_1_MU3_M_3; Vieira_1_MU5_M_1; Vieira_1_MU5_M_2; Vieira_1_MU5_M_3; Vieira_1_MU6_M_1; Vieira_1_MU6_M_2; Vieira_1_MU6_M_3",18
"Vieira","S","M","2",4,"AK; GI; MU; UM",9,"AK2; AK3; GI2; GI3; MU14; MU18; MU20; UM2; UM5",27,"Vieira_2_AK2_M_1; Vieira_2_AK2_M_2; Vieira_2_AK2_M_3; Vieira_2_AK3_M_1; Vieira_2_AK3_M_2; Vieira_2_AK3_M_3; Vieira_2_GI2_M_1; Vieira_2_GI2_M_2; Vieira_2_GI2_M_3; Vieira_2_GI3_M_1; Vieira_2_GI3_M_2; Vieira_2_GI3_M_3; Vieira_2_MU14_M_1; Vieira_2_MU14_M_2; Vieira_2_MU14_M_3; Vieira_2_MU18_M_1; Vieira_2_MU18_M_2; Vieira_2_MU18_M_3; Vieira_2_MU20_M_1; Vieira_2_MU20_M_2; Vieira_2_MU20_M_3; Vieira_2_UM2_M_1; Vieira_2_UM2_M_2; Vieira_2_UM2_M_3; Vieira_2_UM5_M_1; Vieira_2_UM5_M_2; Vieira_2_UM5_M_3",27
"Vieira","S","M","3",4,"AK; GI; MU; UM",10,"AK9; GI7; MU11; MU12; MU13; MU15; MU17; MU19; UM6; UM7",30,"Vieira_3_AK9_M_1; Vieira_3_AK9_M_2; Vieira_3_AK9_M_3; Vieira_3_GI7_M_1; Vieira_3_GI7_M_2; Vieira_3_GI7_M_3; Vieira_3_MU11_M_1; Vieira_3_MU11_M_2; Vieira_3_MU11_M_3; Vieira_3_MU12_M_1; Vieira_3_MU12_M_2; Vieira_3_MU12_M_3; Vieira_3_MU13_M_1; Vieira_3_MU13_M_2; Vieira_3_MU13_M_3; Vieira_3_MU15_M_1; Vieira_3_MU15_M_2; Vieira_3_MU15_M_3; Vieira_3_MU17_M_1; Vieira_3_MU17_M_2; Vieira_3_MU17_M_3; Vieira_3_MU19_M_1; Vieira_3_MU19_M_2; Vieira_3_MU19_M_3; Vieira_3_UM6_M_1; Vieira_3_UM6_M_2; Vieira_3_UM6_M_3; Vieira_3_UM7_M_1; Vieira_3_UM7_M_2; Vieira_3_UM7_M_3",30
"Vieira","S","M","4",2,"AK; MU",8,"AK14; AK15; AK18; AK19; MU4; MU7; MU8; MU9",24,"Vieira_4_AK15_M_1; Vieira_4_AK14_M_1; Vieira_4_AK14_M_2; Vieira_4_AK14_M_3; Vieira_4_AK15_M_2; Vieira_4_AK15_M_3; Vieira_4_AK18_M_1; Vieira_4_AK18_M_2; Vieira_4_AK18_M_3; Vieira_4_AK19_M_1; Vieira_4_AK19_M_2; Vieira_4_AK19_M_3; Vieira_4_MU4_M_1; Vieira_4_MU4_M_2; Vieira_4_MU4_M_3; Vieira_4_MU7_M_1; Vieira_4_MU7_M_2; Vieira_4_MU7_M_3; Vieira_4_MU8_M_1; Vieira_4_MU8_M_2; Vieira_4_MU8_M_3; Vieira_4_MU9_M_1; Vieira_4_MU9_M_2; Vieira_4_MU9_M_3",24
