"Lab","Diet","Sex","Population","Line","Replicate_count","Replicate_ids","Observation_count","Batch_count","Batch_ids"
"Gibert","NS",NA,"MU","MU15",3,"Gibert_1_MU15_1; Gibert_1_MU15_2; Gibert_1_MU15_3",3,1,"1"
"Gibert","NS",NA,"MU","MU16",3,"Gibert_1_MU16_1; Gibert_1_MU16_2; Gibert_1_MU16_3",3,1,"1"
"Gibert","NS",NA,"MU","MU17",3,"Gibert_2_MU17_1; Gibert_2_MU17_2; Gibert_2_MU17_3",3,1,"2"
"Gibert","NS",NA,"MU","MU18",3,"Gibert_2_MU18_1; Gibert_2_MU18_2; Gibert_2_MU18_3",3,1,"2"
"Gibert","NS",NA,"MU","MU19",6,"Gibert_1_MU19_1; Gibert_1_MU19_2; Gibert_1_MU19_3; Gibert_2_MU19_1; Gibert_2_MU19_2; Gibert_2_MU19_3",6,2,"1; 2"
"Gibert","NS",NA,"MU","MU2",3,"Gibert_2_MU2_1; Gibert_2_MU2_2; Gibert_2_MU2_3",3,1,"2"
"Gibert","NS",NA,"MU","MU20",3,"Gibert_1_MU20_1; Gibert_1_MU20_2; Gibert_1_MU20_3",3,1,"1"
"Gibert","NS",NA,"MU","MU3",3,"Gibert_2_MU3_1; Gibert_2_MU3_2; Gibert_2_MU3_3",3,1,"2"
"Gibert","NS",NA,"MU","MU4",3,"Gibert_1_MU4_1; Gibert_1_MU4_2; Gibert_1_MU4_3",3,1,"1"
"Gibert","NS",NA,"MU","MU5",3,"Gibert_1_MU5_1; Gibert_1_MU5_2; Gibert_1_MU5_3",3,1,"1"
"Gibert","NS",NA,"MU","MU6",3,"Gibert_2_MU6_1; Gibert_2_MU6_2; Gibert_2_MU6_3",3,1,"2"
"Gibert","NS",NA,"MU","MU7",3,"Gibert_2_MU7_1; Gibert_2_MU7_2; Gibert_2_MU7_3",3,1,"2"
"Gibert","NS",NA,"MU","MU8",3,"Gibert_1_MU8_1; Gibert_1_MU8_2; Gibert_1_MU8_3",3,1,"1"
