Model	Trait	Lab	Sex	Population	Line	Value_re	SE_re
lmer_pop	TL	Schmidt	F	KA	KA6	-15.135	9.892
lmer_pop	TL	Schmidt	F	KA	KA7	-12.721	9.892
lmer_pop	TL	Schmidt	F	KA	KA9	-13.716	9.892
lmer_pop	TL	Schmidt	F	MA	MA12	-2.545	9.892
lmer_pop	TL	Schmidt	F	MA	MA13	-21.701	9.892
lmer_pop	TL	Schmidt	F	MA	MA18	-27.422	9.892
lmer_pop	TL	Schmidt	F	MA	MA19	11.378	9.892
lmer_pop	TL	Schmidt	F	MA	MA20	11.295	10.3
lmer_pop	TL	Schmidt	F	MA	MA21	8.572	9.892
lmer_pop	TL	Schmidt	F	MA	MA23	-4.239	9.892
lmer_pop	TL	Schmidt	F	MA	MA26	0.712	9.892
lmer_pop	TL	Schmidt	F	MA	MA27	-25.409	13.532
lmer_pop	TL	Schmidt	F	MA	MA28	17.593	9.892
lmer_pop	TL	Schmidt	F	MA	MA3	24.923	9.892
lmer_pop	TL	Schmidt	F	MA	MA30	7.313	10.3
lmer_pop	TL	Schmidt	F	MA	MA31	-12.004	9.892
lmer_pop	TL	Schmidt	F	MA	MA32	-2.403	9.892
lmer_pop	TL	Schmidt	F	MA	MA33	-6.538	9.892
lmer_pop	TL	Schmidt	F	MA	MA5	1.883	9.892
lmer_pop	TL	Schmidt	F	MA	MA6	6.786	9.892
lmer_pop	TL	Schmidt	F	MA	MA7	12.671	9.892
lmer_pop	TL	Schmidt	F	MA	MA9	-0.865	9.892
lmer_pop	TL	Schmidt	F	MU	MU1	-23.177	9.892
lmer_pop	TL	Schmidt	F	MU	MU10	-9.609	9.892
lmer_pop	TL	Schmidt	F	MU	MU11	-4.3	9.892
lmer_pop	TL	Schmidt	F	MU	MU12	-5.038	9.892
lmer_pop	TL	Schmidt	F	MU	MU13	-12.19	9.892
lmer_pop	TL	Schmidt	F	MU	MU14	-9.732	9.892
lmer_pop	TL	Schmidt	F	MU	MU15	-0.422	9.892
lmer_pop	TL	Schmidt	F	MU	MU16	9.94	9.892
lmer_pop	TL	Schmidt	F	MU	MU17	-12.401	9.892
lmer_pop	TL	Schmidt	F	MU	MU18	-4.45	9.892
lmer_pop	TL	Schmidt	F	MU	MU19	12.89	9.892
lmer_pop	TL	Schmidt	F	MU	MU2	9.184	11.294
lmer_pop	TL	Schmidt	F	MU	MU20	17.251	9.892
lmer_pop	TL	Schmidt	F	MU	MU3	-0.525	9.892
lmer_pop	TL	Schmidt	F	MU	MU4	15.852	9.892
lmer_pop	TL	Schmidt	F	MU	MU5	-0.61	9.892
lmer_pop	TL	Schmidt	F	MU	MU6	4.397	9.892
lmer_pop	TL	Schmidt	F	MU	MU7	3.001	9.892
lmer_pop	TL	Schmidt	F	MU	MU8	-0.348	10.3
lmer_pop	TL	Schmidt	F	MU	MU9	10.286	9.529
lmer_pop	TL	Schmidt	F	RE	RE10	10.363	9.892
lmer_pop	TL	Schmidt	F	RE	RE11	6.079	9.892
lmer_pop	TL	Schmidt	F	RE	RE12	-21.506	9.892
lmer_pop	TL	Schmidt	F	RE	RE13	-1.367	11.294
lmer_pop	TL	Schmidt	F	RE	RE15	-8.547	9.892
lmer_pop	TL	Schmidt	F	RE	RE16	4.684	9.892
lmer_pop	TL	Schmidt	F	RE	RE17	-28.973	10.763
lmer_pop	TL	Schmidt	F	RE	RE18	-5.856	9.892
lmer_pop	TL	Schmidt	F	RE	RE2	23.038	9.892
lmer_pop	TL	Schmidt	F	RE	RE3	-3.372	11.912
lmer_pop	TL	Schmidt	F	RE	RE4	22.205	9.892
lmer_pop	TL	Schmidt	F	RE	RE5	-10.502	12.645
lmer_pop	TL	Schmidt	F	RE	RE6	-0.673	9.892
lmer_pop	TL	Schmidt	F	RE	RE7	14.426	9.892
lmer_pop	TL	Schmidt	F	UM	UM13	13.725	9.892
lmer_pop	TL	Schmidt	F	UM	UM17	1.661	9.892
lmer_pop	TL	Schmidt	F	UM	UM18	18.527	9.892
lmer_pop	TL	Schmidt	F	UM	UM2	-25.006	9.892
lmer_pop	TL	Schmidt	F	UM	UM20	23.874	11.912
lmer_pop	TL	Schmidt	F	UM	UM21	-49.903	9.892
lmer_pop	TL	Schmidt	F	UM	UM22	2.282	9.892
lmer_pop	TL	Schmidt	F	UM	UM23	5.868	9.892
lmer_pop	TL	Schmidt	F	UM	UM25	11.936	9.892
lmer_pop	TL	Schmidt	F	UM	UM28	-3.699	9.892
lmer_pop	TL	Schmidt	F	UM	UM29	1.079	9.892
lmer_pop	TL	Schmidt	F	UM	UM4	-4.828	9.892
lmer_pop	TL	Schmidt	F	UM	UM5	-20.92	9.892
lmer_pop	TL	Schmidt	F	UM	UM7	24.746	9.892
