"Lab","Trait","Sex","Model","P_pop","P_lat","P_lon","P_alt","P_meta_adj"
"Schmidt","Via",NA,"lmer",0.00830779240471185,0.207614790179526,0.924128899218802,0.222175354895761,1.06168497957132e-16
"StamenkovicRadak","Via",NA,"lmer",9.10420942404616e-06,0.276229279736248,0.224500038462039,0.175216448145067,1.06168497957132e-16
"Zwaan","Via",NA,"lmer",4.87689051946373e-07,0.0168739249288309,0.773823964937142,0.103646093018331,1.06168497957132e-16
"Onder","WA_L","F","lmer",5.18551435235945e-10,0.305544235130939,0.113754769400618,0.824536441531635,4.87602022041648e-15
"Onder","WA_L","M","lmer",9.9751490458895e-09,0.465482114155526,0.188798286766717,0.708265530004818,5.09108712317213e-16
"Posnien","WA_L","F","lmer",0.247580319158766,0.0168235255410915,0.0934975672978319,0.827533623486851,4.87602022041648e-15
"Posnien","WA_L","M","lmer",0.637027438896454,0.180270904945669,0.407291738679447,0.883489557430427,5.09108712317213e-16
"Ritchie","WA_L","F","lmer",0.0508430193577757,0.910607563039041,0.518913144915542,0.529631922879956,4.87602022041648e-15
"Ritchie","WA_L","M","lmer",0.48275655035507,0.961486043915289,0.941215440205883,0.922705917266167,5.09108712317213e-16
"StamenkovicRadak","WA_L","F","lmer",1.42974689644229e-10,0.108352247242226,0.235388025463932,0.806629091658629,4.87602022041648e-15
"StamenkovicRadak","WA_L","M","lmer",5.16921789478166e-10,0.0916850524194035,0.249919103279457,0.790932199940144,5.09108712317213e-16
"Onder","WA_R","F","lmer",3.97620563154716e-10,0.311166577746992,0.111723918433779,0.803991516131065,1.87195334174823e-14
"Onder","WA_R","M","lmer",1.62492097583517e-08,0.465186928691918,0.175890050165769,0.68151432686151,7.216462228471e-16
"Posnien","WA_R","F","lmer",0.26152625240427,0.016457201883407,0.097126351746462,0.856374898516954,1.87195334174823e-14
"Posnien","WA_R","M","lmer",0.707097886307467,0.175327861770261,0.378364372193857,0.943934821778269,7.216462228471e-16
"Ritchie","WA_R","F","lmer",0.0480660084647028,0.916733184873096,0.527841218904992,0.516651055748464,1.87195334174823e-14
"Ritchie","WA_R","M","lmer",0.43280031049699,0.998423969620568,0.979959338893839,0.945586856596018,7.216462228471e-16
"StamenkovicRadak","WA_R","F","lmer",4.98136083819876e-11,0.103242684849272,0.250162144921655,0.782017615023206,1.87195334174823e-14
"StamenkovicRadak","WA_R","M","lmer",5.11988856425046e-10,0.0982213493361597,0.27347286422736,0.792189029252649,7.216462228471e-16
"Bergland","Dia","F","glmer",0.0238243927372375,0.710982004260055,0.0438500663235839,0.131775410712218,1
"Flatt","Dia","F","glmer",0.71661745247622,0.678478219334162,0.851807073508891,0.85037960636789,1
"Schlotterer","Dia","F","glmer",0.0043613418302969,0.348465532314149,0.542230390181487,0.543462584605536,1
"Hrcek","PR_HR",NA,"glmer",0.0445504840538863,NA,NA,NA,NA
"Mensch","CCRT","F","coxme",0,NA,NA,NA,NA
"Mensch","CCRT","M","coxme",0,NA,NA,NA,NA
"Vieira","CCRT","F","coxme",0,NA,NA,NA,NA
"Vieira","CCRT","M","coxme",0,NA,NA,NA,NA
"Parsch","HSM","F","coxme",0,NA,NA,NA,NA
"Parsch","HSM","M","coxme",0,NA,NA,NA,NA
"Vieira","HSM","F","coxme",0,NA,NA,NA,NA
"Vieira","HSM","M","coxme",0,NA,NA,NA,NA
"Parsch","LS_L","F","coxme",0,NA,NA,NA,NA
"Parsch","LS_L","M","coxme",0,NA,NA,NA,NA
"Pasyukova","LS_L","F","coxme",0,NA,NA,NA,NA
"Pasyukova","LS_L","M","coxme",0,NA,NA,NA,NA
"Flatt","LS_P","F","coxme",0,NA,NA,NA,NA
"Flatt","LS_P","M","coxme",0,NA,NA,NA,NA
"Gonzalez","SR","F","coxme",0,NA,NA,NA,NA
"Gonzalez","SR","M","coxme",0,NA,NA,NA,NA
"Onder","SR","F","coxme",0,NA,NA,NA,NA
"Onder","SR","M","coxme",0,NA,NA,NA,NA
"Pasyukova","SR","F","coxme",0,NA,NA,NA,NA
"Pasyukova","SR","M","coxme",0,NA,NA,NA,NA
