Supervisor.PI	Diet	Batch	Population	Line	Sex	Individual	PercT4	PercT5	PercT6	TotalPerc	PercT4_asin	PercT5_asin	PercT6_asin	TotalPerc_asin	Country	Latitude	Longitude	Altitude	Population_Lat	Population_Lon	Population_Alt	Color	StatusT	StatusM	Wolbachia	PC.ratio
Gibert	NS	2	AK	AK9	F	1	55.996	52.067	66.523	57.99266008	0.845502813642819	0.806074055419664	0.953793620729873	0.865669133627297	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	2	AK	AK9	F	2	22.137	40.322	66.987	43.10431323	0.489857027837959	0.688003423659818	0.958718383758948	0.716220807707227	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	2	AK	AK9	F	3	28.577	37.31	55.502	39.34920317	0.56400430397158	0.657094723968685	0.840529810545404	0.678067808963602	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	2	AK	AK9	F	4	46.435	54.77	64.766	55.37976065	0.74971788849607	0.833170815563083	0.935293383471135	0.839300114462275	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	2	AK	AK9	F	5	48.523	41.671	58.998	49.63436251	0.770626014474624	0.70171807148244	0.875871057004378	0.781741755908425	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	2	AK	AK9	F	6	31.252	39.364	46.226	39.1396365	0.593221350356952	0.678219248101927	0.747622235631858	0.675921903646009	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	2	AK	AK9	F	7	32.061	51.919	56.075	46.19427154	0.601917890342331	0.804592877746114	0.846298632908465	0.747304035643951	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	2	AK	AK9	F	8	31.171	35.081	41.163	35.70334885	0.592347293134868	0.633900720895597	0.696561504141818	0.640408182792257	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	2	AK	AK9	F	9	48.725	46.584	61.48	52.28384764	0.772646781211715	0.751211533094154	0.901231505220825	0.808244588901599	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	2	AK	AK9	F	10	40.828	35.587	55.748	43.25246911	0.693155814454623	0.639193560342005	0.843005529701779	0.717716351300127	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
