"","Supervisor.PI","Batch","Sex","Population","Line","Mean","SD","Median","Min","Max","SE","CV","Mode"
"26","Tauber","1","M","MA","MA19",41.16,5.82393528657575,41.8,30.8,47.2,1.84169004510048,0.141495026398828,46.4
"27","Tauber","1","M","MA","MA3",37,7.72528316633119,35.8,26,44.4,3.45485166107027,0.20879143692787,44.4
"28","Tauber","1","M","MA","MA5",36.8,9.73858305915188,37.8,26.6,46,5.62257355072687,0.264635409216084,26.6
"29","Tauber","1","M","MA","MA6",44.0666666666667,1.55349069303081,43.6,42.8,45.8,0.896908269804914,0.0352531927314101,43.6
"30","Tauber","1","M","MA","MA7",47.4,NA,47.4,47.4,47.4,NA,NA,47.4
"31","Tauber","1","M","MA","MA9",40.6,0,40.6,40.6,40.6,0,0,40.6
"32","Tauber","1","M","MU","MU1",0.2,0,0.2,0.2,0.2,0,0,0.2
"33","Tauber","1","M","MU","MU2",22.96,5.64694607730586,21,16.2,30.2,2.52539105882634,0.24594712880252,16.2
"34","Tauber","1","M","MU","MU3",18.2,0,18.2,18.2,18.2,0,0,18.2
"35","Tauber","1","M","MU","MU4",27.8,NA,27.8,27.8,27.8,NA,NA,27.8
"36","Tauber","1","M","MU","MU5",10.55,5.39722150740545,10.1,5,17,2.69861075370273,0.511584977005256,7.4
"37","Tauber","1","M","MU","MU6",27.9,0.989949493661168,27.9,27.2,28.6,0.700000000000001,0.0354820607047014,28.6
"38","Tauber","1","M","MU","MU9",40.5333333333333,4.67047463683653,39.6,36.4,45.6,2.69649978882089,0.115225525579849,45.6
"39","Tauber","1","M","RE","RE10",47.55,1.17046999107196,48.1,45.8,48.2,0.585234995535982,0.0246155623779593,48.2
"40","Tauber","1","M","RE","RE11",40.1142857142857,9.27782815308061,44.6,21.2,47.8,3.50668942854929,0.231284889855998,44.6
"41","Tauber","1","M","RE","RE2",35.35,7.17595190300811,36.5,22.6,44.6,2.53708212604277,0.202997224979013,37.6
"42","Tauber","1","M","RE","RE3",20.4571428571429,10.443954733538,20.2,6.6,40,3.94744384699391,0.510528513510935,23.2
"43","Tauber","1","M","RE","RE4",44.84,1.96672316303032,44.8,42.6,47,0.87954533709184,0.0438609090773935,43.2
"44","Tauber","1","M","RE","RE6",46.3384615384615,1.2121182983648,46.8,43.6,48,0.336181128975572,0.0261579314056148,46.8
"45","Tauber","1","M","RE","RE7",42.7,2.68700576850888,42.7,40.8,44.6,1.9,0.0629275355622689,44.6
"46","Tauber","1","M","RE","RE8",47.3,0.141421356237306,47.3,47.2,47.4,0.0999999999999979,0.00298988068154982,47.2
"47","Tauber","1","M","UM","UM13",27.4,NA,27.4,27.4,27.4,NA,NA,27.4
"48","Tauber","1","M","UM","UM18",35.9,4.10121933088197,35.9,33,38.8,2.9,0.114240092782228,33
"49","Tauber","1","M","UM","UM2",14.5333333333333,2.9484459183328,15.6,11.2,16.8,1.70228604464049,0.202874719151339,11.2
"50","Tauber","1","M","UM","UM4",32.3714285714286,7.94349089626517,30.6,23.8,43.2,3.00235735046046,0.245385861755764,24.4
