"","Supervisor.PI","Sex","Population","Line","Mean","SD","Median","Min","Max","SE","CV","Mode"
"447","Schmidt","F","MU","MU18",999.036,17.1645042003678,1004.185,968.03,1015.54,5.42789281806894,0.0171810667487136,986.34
"448","Schmidt","F","MU","MU19",1021.381,27.1191926502246,1024.18,969.84,1061.06,8.57584170796079,0.0265514951327905,1061.06
"449","Schmidt","F","MU","MU2",1017.74142857143,25.808414279437,1018.08,984.27,1066.53,9.75466370233122,0.0253585179446448,1023.6
"450","Schmidt","F","MU","MU20",1027.002,29.3422474334269,1022.3,991.88,1072.89,9.27883335578588,0.0285707792520627,1018.31
"451","Schmidt","F","MU","MU3",1004.094,24.2856927245469,1010.44,964.26,1045.87,7.67981035645484,0.0241866724873835,1018.74
"452","Schmidt","F","MU","MU4",1025.199,21.9899004343155,1026.705,975.77,1048.8,6.95381708927629,0.0214493970773631,1047.07
"453","Schmidt","F","MU","MU5",1003.984,26.9546583069503,1015.435,947.48,1038.17,8.5238113801541,0.0268476970817765,1016.96
"454","Schmidt","F","MU","MU6",1010.437,24.8608728951964,1007.825,984.63,1067.93,7.86169829687652,0.0246040801110771,984.63
"455","Schmidt","F","MU","MU7",1008.638,26.2650243987449,1003.475,980.68,1069.07,8.30572998999285,0.0260400901004572,985.64
"456","Schmidt","F","MU","MU8",1004.31111111111,25.5936195390787,995.75,975.68,1044.73,8.53120651302624,0.0254837562344236,995.75
"457","Schmidt","F","MU","MU9",1017.75545454545,21.8755271313111,1026.07,980.59,1042.58,6.59571959870895,0.0214938932860655,1010.3
"458","Schmidt","F","RE","RE10",1050.0722741,17.3625261797204,1045.475773,1025.815815,1077.927802,5.49051286622184,0.0165346011012447,1050.083023
"459","Schmidt","F","RE","RE11",1044.55142269,43.4067810162987,1061.0987135,980.2820819,1092.054117,13.7264293907662,0.0415554275963884,1081.763065
"460","Schmidt","F","RE","RE12",1009.00305761,29.5746274591818,1006.124449,974.0626148,1071.215582,9.35231837219729,0.0293107411678558,1014.178525
"461","Schmidt","F","RE","RE13",1034.78650295714,30.1802042175737,1048.169769,987.6736757,1063.787155,11.4070449824061,0.0291656338107685,1063.787155
"462","Schmidt","F","RE","RE15",1025.70358353,21.6614373288715,1027.954481,985.4444163,1054.016671,6.84994793522279,0.021118613288181,985.4444163
"463","Schmidt","F","RE","RE16",1042.75353038,38.1620728489074,1041.4157445,971.2935968,1098.56995,12.0679070435818,0.0365974045995321,1037.355407
