Supervisor.PI	Diet	Batch	Population	Line	Sex	ReplicateVialOld	ReplicateVial	Individual	CCRT_seconds	Censor	Country	Latitude	Longitude	Altitude	Population_Lat	Population_Lon	Population_Alt	Color	StatusT	StatusM	Wolbachia	PC.ratio
Vieira	S	12	KA	KA7	F	1	Vieira_12_KA7_F_1	2	1109	0	Denmark	55.945	10.213	15	KA	KA	KA	#D04E00	+	+	+	0.094
Vieira	S	9	MU	MU9	F	1	Vieira_9_MU9_F_1	2	1109	0	Germany	48.18	11.61	520	MU	MU	MU	#F6C200	+	+	+	0.094
Vieira	S	22	VA	VA15	F	1	Vieira_22_VA15_F_1	2	1109	0	Russia	57.979	33.244	217	VA	VA	VA	#095888	+	+	+	0.094
Vieira	S	21	MA	MA28	F	1	Vieira_21_MA28_F_1	2	1110	0	Austria	48.375	15.56	572	MA	MA	MA	#E38800	+	+	+	0.094
Vieira	S	21	MA	MA7	F	1	Vieira_21_MA7_F_1	4	1113	0	Austria	48.375	15.56	572	MA	MA	MA	#E38800	+	+	+	0.094
Vieira	S	2	RE	RE10	F	1	Vieira_2_RE10_F_1	4	1113	0	Portugal	41.15	-8.41	175	RE	RE	RE	#7BA354	+	+	+	0.094
Vieira	S	16	KA	KA28	M	1	Vieira_16_KA28_M_1	1	1116	0	Denmark	55.945	10.213	15	KA	KA	KA	#D04E00	+	+	+	0.094
Vieira	S	12	KA	KA7	M	1	Vieira_12_KA7_M_1	1	1116	0	Denmark	55.945	10.213	15	KA	KA	KA	#D04E00	+	+	+	0.094
Vieira	S	24	VA	VA22	F	1	Vieira_24_VA22_F_1	6	1116	0	Russia	57.979	33.244	217	VA	VA	VA	#095888	+	+	+	0.094
Vieira	S	22	VA	VA9	F	1	Vieira_22_VA9_F_1	2	1118	0	Russia	57.979	33.244	217	VA	VA	VA	#095888	+	+	+	0.094
Vieira	S	12	KA	KA7	F	1	Vieira_12_KA7_F_1	1	1119	0	Denmark	55.945	10.213	15	KA	KA	KA	#D04E00	+	+	+	0.094
Vieira	S	10	MU	MU18	M	1	Vieira_10_MU18_M_1	5	1119	0	Germany	48.18	11.61	520	MU	MU	MU	#F6C200	+	+	+	0.094
Vieira	S	20	MA	MA12	F	1	Vieira_20_MA12_F_1	3	1120	0	Austria	48.375	15.56	572	MA	MA	MA	#E38800	+	+	+	0.094
Vieira	S	23	VA	VA1	F	1	Vieira_23_VA1_F_1	5	1121	0	Russia	57.979	33.244	217	VA	VA	VA	#095888	+	+	+	0.094
Vieira	S	20	MA	MA12	M	1	Vieira_20_MA12_M_1	6	1122	0	Austria	48.375	15.56	572	MA	MA	MA	#E38800	+	+	+	0.094
