Supervisor.PI	Diet	Batch	Population	Line	Sex	Country	Latitude	Longitude	Altitude	Population_Lat	Population_Lon	Population_Alt	Prop_Max_Stage7	Prop_Max_Stage8	Prop_Max_Stage9	Prop_Max_Stage7_asin	Prop_Max_Stage8_asin	Prop_Max_Stage9_asin	Color	StatusT	StatusM	Wolbachia	PC.ratio
Bergland	S	1	UM	UM5	F	Ukraine	48.753	30.206	214	UM	UM	UM	0.0526315789473684	0.421052631578947	0.947368421052632	0.231477363970178	0.706119023078598	1.33931896282472	#0086A8	+	+	+	0.099
Bergland	S	1	VA	VA1	F	Russia	57.979	33.244	217	VA	VA	VA	0.272727272727273	0.818181818181818	0.909090909090909	0.549467244757627	1.1302856637902	1.26451895762523	#095888	+	+	+	0.099
Bergland	S	1	VA	VA15	F	Russia	57.979	33.244	217	VA	VA	VA	0	0	0.05	0	0	0.225513405898131	#095888	+	+	+	0.099
Bergland	S	1	VA	VA30	F	Russia	57.979	33.244	217	VA	VA	VA	0.25	0.75	1	0.523598775598299	1.0471975511966	1.5707963267949	#095888	+	+	+	0.099
Bergland	S	1	VA	VA48	F	Russia	57.979	33.244	217	VA	VA	VA	0	0	0.75	0	0	1.0471975511966	#095888	+	+	+	0.099
Bergland	S	1	VA	VA55	F	Russia	57.979	33.244	217	VA	VA	VA	0.1	0.6	0.8	0.321750554396642	0.886077123792614	1.10714871779409	#095888	+	+	+	0.099
Bergland	S	1	YE	YE23	F	Turkey	40.231	32.26	680	YE	YE	YE	0.35	0.65	0.75	0.633051836389749	0.937744490405147	1.0471975511966	#132B69	+	+	+	0.099
Bergland	S	1	YE	YE26	F	Turkey	40.231	32.26	680	YE	YE	YE	0.333333333333333	0.80952380952381	0.904761904761905	0.615479708670387	1.11916288571536	1.2570684403333	#132B69	+	+	+	0.099
Bergland	S	1	YE	YE40	F	Turkey	40.231	32.26	680	YE	YE	YE	0	0.217391304347826	0.391304347826087	0	0.485049786929483	0.675827633898682	#132B69	+	+	+	0.099
Bergland	S	1	YE	YE48	F	Turkey	40.231	32.26	680	YE	YE	YE	0.294117647058824	0.352941176470588	0.411764705882353	0.573203309100855	0.63613206280501	0.696698361177263	#132B69	+	+	+	0.099
Bergland	S	1	YE	YE49	F	Turkey	40.231	32.26	680	YE	YE	YE	0.470588235294118	0.882352941176471	0.941176470588235	0.755969410423908	1.22069054902775	1.32581766366803	#132B69	+	+	+	0.099
Bergland	S	1	YE	YE51	F	Turkey	40.231	32.26	680	YE	YE	YE	0.473684210526316	0.631578947368421	0.684210526315789	0.759070209266663	0.91854517195654	0.974053179577323	#132B69	+	+	+	0.099
Bergland	S	1	YE	YE69	F	Turkey	40.231	32.26	680	YE	YE	YE	0.0740740740740741	0.407407407407407	0.518518518518518	0.275642799216265	0.69226801160917	0.803920918303494	#132B69	+	+	+	0.099
Bergland	S	1	YE	YE80	F	Turkey	40.231	32.26	680	YE	YE	YE	0.217391304347826	0.608695652173913	0.652173913043478	0.485049786929483	0.894968692896215	0.940025013961208	#132B69	+	+	+	0.099
Bergland	S	2	AK	AK12	F	Finland	61.1	23.52	88	AK	AK	AK	0.304347826086957	0.695652173913043	0.739130434782609	0.584373896848447	0.98642242994645	1.03473483692839	#A00E00	+	+	+	0.099
Bergland	S	2	AK	AK20	F	Finland	61.1	23.52	88	AK	AK	AK	0.0833333333333333	0.5	0.916666666666667	0.292842771728575	0.785398163397448	1.27795355506632	#A00E00	+	+	+	0.099
Bergland	S	2	AK	AK5	F	Finland	61.1	23.52	88	AK	AK	AK	0.157894736842105	0.473684210526316	0.789473684210526	0.408637855097592	0.759070209266663	1.09411671520513	#A00E00	+	+	+	0.099
Bergland	S	2	AK	AK7	F	Finland	61.1	23.52	88	AK	AK	AK	0.105263157894737	0.368421052631579	0.526315789473684	0.330422647911483	0.652251154838357	0.811726117528233	#A00E00	+	+	+	0.099
Bergland	S	2	AK	AK8	F	Finland	61.1	23.52	88	AK	AK	AK	0.25	0.7	0.7	0.523598775598299	0.991156586431192	0.991156586431192	#A00E00	+	+	+	0.099
Bergland	S	2	GI	GI1	F	Spain	41.618	0.62	173	GI	GI	GI	0	0.0625	0.0625	0	0.252680255142079	0.252680255142079	#B82E00	-	-	-	0.099
Bergland	S	2	GI	GI14	F	Spain	41.618	0.62	173	GI	GI	GI	0	0.142857142857143	0.285714285714286	0	0.387596686655181	0.563942641360629	#B82E00	+	+	+	0.099
Bergland	S	2	GI	GI2	F	Spain	41.618	0.62	173	GI	GI	GI	0.454545454545455	0.636363636363636	0.681818181818182	0.739880774378741	0.923511478779244	0.971482430377611	#B82E00	-	-	-	0.099
Bergland	S	2	GI	GI5	F	Spain	41.618	0.62	173	GI	GI	GI	0	0.241379310344828	0.275862068965517	0	0.513585909631033	0.552980357273746	#B82E00	-	-	-	0.099
Bergland	S	2	GI	GI6	F	Spain	41.618	0.62	173	GI	GI	GI	0.0434782608695652	0.478260869565217	0.695652173913043	0.210055739071239	0.76365217800239	0.98642242994645	#B82E00	+	+	+	0.099
Bergland	S	2	KA	KA1	F	Denmark	55.945	10.213	15	KA	KA	KA	0.133333333333333	0.733333333333333	1	0.37379217483451	1.02815722454524	1.5707963267949	#D04E00	+	+	+	0.099
Bergland	S	2	KA	KA10	F	Denmark	55.945	10.213	15	KA	KA	KA	0.176470588235294	0.352941176470588	0.529411764705882	0.433537909355837	0.63613206280501	0.814826916370989	#D04E00	+	+	+	0.099
Bergland	S	2	KA	KA11	F	Denmark	55.945	10.213	15	KA	KA	KA	0.105263157894737	0.263157894736842	0.684210526315789	0.330422647911483	0.538663466080787	0.974053179577323	#D04E00	+	+	+	0.099
Bergland	S	2	KA	KA2	F	Denmark	55.945	10.213	15	KA	KA	KA	0.363636363636364	0.681818181818182	0.772727272727273	0.647284848015653	0.971482430377611	1.07386383601568	#D04E00	+	+	+	0.099
Bergland	S	2	KA	KA23	F	Denmark	55.945	10.213	15	KA	KA	KA	0.105263157894737	0.315789473684211	0.421052631578947	0.330422647911483	0.596743147217574	0.706119023078598	#D04E00	+	+	+	0.099
Bergland	S	2	KA	KA24	F	Denmark	55.945	10.213	15	KA	KA	KA	0.142857142857143	0.642857142857143	0.714285714285714	0.387596686655181	0.930274014115472	1.00685368543427	#D04E00	-	-	-	0.099
Bergland	S	2	KA	KA25	F	Denmark	55.945	10.213	15	KA	KA	KA	0.0833333333333333	0.25	0.583333333333333	0.292842771728575	0.523598775598299	0.869122203007293	#D04E00	+	+	+	0.099
Bergland	S	2	KA	KA3	F	Denmark	55.945	10.213	15	KA	KA	KA	0.142857142857143	0.642857142857143	0.785714285714286	0.387596686655181	0.930274014115472	1.08952095285255	#D04E00	+	+	+	0.099
Bergland	S	2	KA	KA5	F	Denmark	55.945	10.213	15	KA	KA	KA	0	0	0.0625	0	0	0.252680255142079	#D04E00	+	+	+	0.099
Bergland	S	2	KA	KA7	F	Denmark	55.945	10.213	15	KA	KA	KA	0.142857142857143	0.666666666666667	0.666666666666667	0.387596686655181	0.955316618124509	0.955316618124509	#D04E00	+	+	+	0.099
Bergland	S	2	MA	MA12	F	Austria	48.375	15.56	572	MA	MA	MA	0.0526315789473684	0.368421052631579	0.789473684210526	0.231477363970178	0.652251154838357	1.09411671520513	#E38800	+	+	+	0.099
Bergland	S	2	MA	MA20	F	Austria	48.375	15.56	572	MA	MA	MA	0	0.9	0.9	0	1.24904577239825	1.24904577239825	#E38800	+	+	+	0.099
Bergland	S	2	MA	MA23	F	Austria	48.375	15.56	572	MA	MA	MA	0.0588235294117647	0.294117647058824	0.470588235294118	0.244978663126864	0.573203309100855	0.755969410423908	#E38800	+	+	+	0.099
Bergland	S	2	MA	MA26	F	Austria	48.375	15.56	572	MA	MA	MA	0.227272727272727	0.545454545454545	0.772727272727273	0.49693249077922	0.830915552416156	1.07386383601568	#E38800	+	+	+	0.099
Bergland	S	2	MA	MA28	F	Austria	48.375	15.56	572	MA	MA	MA	0	0.684210526315789	0.947368421052632	0	0.974053179577323	1.33931896282472	#E38800	+	+	+	0.099
Bergland	S	2	MA	MA30	F	Austria	48.375	15.56	572	MA	MA	MA	0.2	0.733333333333333	1	0.463647609000806	1.02815722454524	1.5707963267949	#E38800	+	+	+	0.099
Bergland	S	2	MA	MA32	F	Austria	48.375	15.56	572	MA	MA	MA	0.0476190476190476	0.333333333333333	0.714285714285714	0.219987977395459	0.615479708670387	1.00685368543427	#E38800	+	+	+	0.099
Bergland	S	2	MU	MU13	F	Germany	48.18	11.61	520	MU	MU	MU	0.24	0.56	0.8	0.511972688049476	0.845543104594842	1.10714871779409	#F6C200	+	+	+	0.099
Bergland	S	2	MU	MU16	F	Germany	48.18	11.61	520	MU	MU	MU	0.166666666666667	0.722222222222222	0.777777777777778	0.420534335283965	1.01567515923811	1.07991364850559	#F6C200	+	+	+	0.099
Bergland	S	2	MU	MU20	F	Germany	48.18	11.61	520	MU	MU	MU	0.0476190476190476	0.714285714285714	0.904761904761905	0.219987977395459	1.00685368543427	1.2570684403333	#F6C200	+	+	+	0.099
Bergland	S	2	MU	MU3	F	Germany	48.18	11.61	520	MU	MU	MU	0.4	0.5	0.55	0.684719203002283	0.785398163397448	0.835481873978228	#F6C200	+	+	+	0.099
Bergland	S	2	MU	MU9	F	Germany	48.18	11.61	520	MU	MU	MU	0.526315789473684	0.736842105263158	0.736842105263158	0.811726117528233	1.03213286071411	1.03213286071411	#F6C200	+	+	+	0.099
Bergland	S	2	RE	RE15	F	Portugal	41.15	-8.41	175	RE	RE	RE	0.28	0.4	0.52	0.557598826699537	0.684719203002283	0.805403500574443	#7BA354	-	-	-	0.099
Bergland	S	2	RE	RE17	F	Portugal	41.15	-8.41	175	RE	RE	RE	0	0	0.1	0	0	0.321750554396642	#7BA354	-	-	-	0.099
Bergland	S	2	RE	RE5	F	Portugal	41.15	-8.41	175	RE	RE	RE	0.19047619047619	0.761904761904762	0.857142857142857	0.451633441079532	1.06105664796339	1.18319964013972	#7BA354	-	-	-	0.099
Bergland	S	2	RE	RE6	F	Portugal	41.15	-8.41	175	RE	RE	RE	0.25	0.333333333333333	0.333333333333333	0.523598775598299	0.615479708670387	0.615479708670387	#7BA354	+	+	+	0.099
Bergland	S	2	UM	UM13	F	Ukraine	48.753	30.206	214	UM	UM	UM	0.133333333333333	0.533333333333333	0.733333333333333	0.37379217483451	0.818756237602561	1.02815722454524	#0086A8	-	-	-	0.099
Bergland	S	2	UM	UM17	F	Ukraine	48.753	30.206	214	UM	UM	UM	0.714285714285714	1	1	1.00685368543427	1.5707963267949	1.5707963267949	#0086A8	-	-	-	0.099
Bergland	S	2	UM	UM2	F	Ukraine	48.753	30.206	214	UM	UM	UM	0.142857142857143	0.571428571428571	0.857142857142857	0.387596686655181	0.857071947850131	1.18319964013972	#0086A8	+	+	+	0.099
Bergland	S	2	UM	UM20	F	Ukraine	48.753	30.206	214	UM	UM	UM	0.2	0.4	0.8	0.463647609000806	0.684719203002283	1.10714871779409	#0086A8	+	+	+	0.099
Bergland	S	2	UM	UM22	F	Ukraine	48.753	30.206	214	UM	UM	UM	0.0909090909090909	0.636363636363636	0.727272727272727	0.306277369169669	0.923511478779244	1.02132908203727	#0086A8	+	+	+	0.099
Bergland	S	2	UM	UM25	F	Ukraine	48.753	30.206	214	UM	UM	UM	0.133333333333333	0.466666666666667	0.533333333333333	0.37379217483451	0.752040089192336	0.818756237602561	#0086A8	+	+	+	0.099
Bergland	S	2	VA	VA1	F	Russia	57.979	33.244	217	VA	VA	VA	0.235294117647059	0.647058823529412	0.705882352941177	0.5064446434135	0.934664263989886	0.997593017694042	#095888	+	+	+	0.099
