Model	Trait	Lab	Sex	Population	Line	Estimate	SE
lmer_pop	WA_L	Onder	F	UM	UM4	32.613	23.694
lmer_pop	WA_L	Onder	F	UM	UM5	-39.981	21.313
lmer_pop	WA_L	Onder	F	UM	UM6	41.607	21.692
lmer_pop	WA_L	Onder	F	UM	UM7	78.297	21.499
lmer_pop	WA_L	Onder	F	UM	UM9	52.896	21.139
lmer_pop	WA_L	Onder	F	VA	VA1	-27.666	21.635
lmer_pop	WA_L	Onder	F	VA	VA11	71.265	21.6
lmer_pop	WA_L	Onder	F	VA	VA15	-5.797	21.791
lmer_pop	WA_L	Onder	F	VA	VA18	-84.294	21.139
lmer_pop	WA_L	Onder	F	VA	VA22	-43.939	20.941
lmer_pop	WA_L	Onder	F	VA	VA26	27.32	21.139
lmer_pop	WA_L	Onder	F	VA	VA30	72.671	21.139
lmer_pop	WA_L	Onder	F	VA	VA34	27.416	21.139
lmer_pop	WA_L	Onder	F	VA	VA35	-30.481	21.29
lmer_pop	WA_L	Onder	F	VA	VA44	25.198	21.29
lmer_pop	WA_L	Onder	F	VA	VA46	102.445	21.29
lmer_pop	WA_L	Onder	F	VA	VA47	-28.763	21.791
lmer_pop	WA_L	Onder	F	VA	VA48	-94.856	21.29
lmer_pop	WA_L	Onder	F	VA	VA55	-7.537	21.964
lmer_pop	WA_L	Onder	F	VA	VA57	52.274	21.791
lmer_pop	WA_L	Onder	F	VA	VA6	-37.692	21.499
lmer_pop	WA_L	Onder	F	VA	VA66	11.95	21.791
lmer_pop	WA_L	Onder	F	VA	VA67	-7.524	21.964
lmer_pop	WA_L	Onder	F	VA	VA71	-33.177	21.964
lmer_pop	WA_L	Onder	F	VA	VA9	11.188	21.303
lmer_pop	WA_L	Onder	F	YE	YE13	38.291	21.499
lmer_pop	WA_L	Onder	F	YE	YE14	-104.597	21.6
lmer_pop	WA_L	Onder	F	YE	YE15	62.176	23.791
lmer_pop	WA_L	Onder	F	YE	YE19	21.472	21.6
lmer_pop	WA_L	Onder	F	YE	YE20	-23.031	21.139
lmer_pop	WA_L	Onder	F	YE	YE21	61.054	21.139
lmer_pop	WA_L	Onder	F	YE	YE22	-9.567	20.479
lmer_pop	WA_L	Onder	F	YE	YE23	-57.831	21.151
lmer_pop	WA_L	Onder	F	YE	YE24	12.461	21.139
lmer_pop	WA_L	Onder	F	YE	YE26	-17.61	21.804
lmer_pop	WA_L	Onder	F	YE	YE27	76.149	21.29
lmer_pop	WA_L	Onder	F	YE	YE33	-1.464	21.303
lmer_pop	WA_L	Onder	F	YE	YE40	39.317	21.29
lmer_pop	WA_L	Onder	F	YE	YE41	-22.308	21.29
lmer_pop	WA_L	Onder	F	YE	YE48	-23.704	21.791
lmer_pop	WA_L	Onder	F	YE	YE49	-12.267	21.964
lmer_pop	WA_L	Onder	F	YE	YE51	-78.32	21.791
lmer_pop	WA_L	Onder	F	YE	YE69	7.952	21.964
lmer_pop	WA_L	Onder	F	YE	YE80	31.827	21.964
lmer_pop	WA_L	Posnien	F	AK	AK12	82.105	27.443
lmer_pop	WA_L	Posnien	F	AK	AK3	-3.216	27.443
lmer_pop	WA_L	Posnien	F	AK	AK7	-78.889	27.443
lmer_pop	WA_L	Posnien	F	GI	GI10	29.608	27.443
lmer_pop	WA_L	Posnien	F	GI	GI14	-7.679	27.443
lmer_pop	WA_L	Posnien	F	GI	GI7	-21.929	27.443
lmer_pop	WA_L	Posnien	F	KA	KA16	48.261	27.443
lmer_pop	WA_L	Posnien	F	KA	KA6	3.175	27.443
lmer_pop	WA_L	Posnien	F	KA	KA7	-51.436	27.443
lmer_pop	WA_L	Posnien	F	MA	MA13	-3.12	27.443
lmer_pop	WA_L	Posnien	F	MA	MA3	-107.807	27.443
lmer_pop	WA_L	Posnien	F	MA	MA30	110.927	27.443
lmer_pop	WA_L	Posnien	F	MU	MU11	-196.672	27.443
lmer_pop	WA_L	Posnien	F	MU	MU15	71.683	27.443
lmer_pop	WA_L	Posnien	F	MU	MU4	124.989	27.443
lmer_pop	WA_L	Posnien	F	RE	RE11	-8.786	27.443
lmer_pop	WA_L	Posnien	F	RE	RE15	-44.226	27.443
lmer_pop	WA_L	Posnien	F	RE	RE18	53.012	27.443
lmer_pop	WA_L	Posnien	F	UM	UM20	4.407	27.443
lmer_pop	WA_L	Posnien	F	UM	UM5	-43.021	27.443
lmer_pop	WA_L	Posnien	F	UM	UM9	38.613	27.443
lmer_pop	WA_L	Posnien	F	VA	VA15	33.601	27.443
lmer_pop	WA_L	Posnien	F	VA	VA48	-78.722	27.443
lmer_pop	WA_L	Posnien	F	VA	VA6	45.121	27.443
lmer_pop	WA_L	Posnien	F	YE	YE14	-20.156	27.443
lmer_pop	WA_L	Posnien	F	YE	YE19	-32.788	27.443
lmer_pop	WA_L	Posnien	F	YE	YE21	52.944	27.443
lmer_pop	WA_L	Ritchie	F	AK	AK1	-135.333	57.834
lmer_pop	WA_L	Ritchie	F	AK	AK2	92.887	56.015
lmer_pop	WA_L	Ritchie	F	AK	AK3	71.973	55.704
lmer_pop	WA_L	Ritchie	F	AK	AK4	-29.527	56.452
lmer_pop	WA_L	Ritchie	F	GI	GI1	159.428	62.437
lmer_pop	WA_L	Ritchie	F	GI	GI2	226.932	56.142
lmer_pop	WA_L	Ritchie	F	GI	GI3	51.499	55.612
lmer_pop	WA_L	Ritchie	F	GI	GI4	151.404	56.452
lmer_pop	WA_L	Ritchie	F	GI	GI5	178.453	55.032
lmer_pop	WA_L	Ritchie	F	GI	GI6	-115.404	92.346
lmer_pop	WA_L	Ritchie	F	GI	GI7	-219.978	92.346
lmer_pop	WA_L	Ritchie	F	GI	GI8	-227.675	92.346
lmer_pop	WA_L	Ritchie	F	GI	GI9	-204.659	92.346
lmer_pop	WA_L	Ritchie	F	KA	KA1	-117.863	55.676
lmer_pop	WA_L	Ritchie	F	KA	KA2	83.47	56.173
lmer_pop	WA_L	Ritchie	F	KA	KA5	-82.945	55.29
lmer_pop	WA_L	Ritchie	F	KA	KA6	117.338	55.71
lmer_pop	WA_L	Ritchie	F	MA	MA3	-122.139	55.913
lmer_pop	WA_L	Ritchie	F	MA	MA5	-32.333	55.659
lmer_pop	WA_L	Ritchie	F	MA	MA6	39.415	56.408
lmer_pop	WA_L	Ritchie	F	MA	MA7	149.656	55.496
lmer_pop	WA_L	Ritchie	F	MA	MA9	-34.599	55.651
lmer_pop	WA_L	Ritchie	F	MU	MU1	-15.589	55.731
lmer_pop	WA_L	Ritchie	F	MU	MU2	-26.262	55.752
lmer_pop	WA_L	Ritchie	F	MU	MU3	21.853	56.593
