Model	Trait	Sex	Population	Line	Value_re_Onder	Value_re_Posnien	Value_re_Ritchie	Value_re_StamenkovicRadak	SE_re_Onder	SE_re_Posnien	SE_re_Ritchie	SE_re_StamenkovicRadak
lmer_pop	WA_L	F	YE	YE24	12.461	NA	NA	-9.986	21.139	NA	NA	14.629
lmer_pop	WA_L	F	YE	YE26	-17.61	NA	NA	NA	21.804	NA	NA	NA
lmer_pop	WA_L	F	YE	YE27	76.149	NA	NA	NA	21.29	NA	NA	NA
lmer_pop	WA_L	F	YE	YE33	-1.464	NA	NA	-14.042	21.303	NA	NA	14.241
lmer_pop	WA_L	F	YE	YE40	39.317	NA	NA	45.327	21.29	NA	NA	16.29
lmer_pop	WA_L	F	YE	YE41	-22.308	NA	NA	-3.843	21.29	NA	NA	15.512
lmer_pop	WA_L	F	YE	YE48	-23.704	NA	NA	NA	21.791	NA	NA	NA
lmer_pop	WA_L	F	YE	YE49	-12.267	NA	NA	-29.787	21.964	NA	NA	16.29
lmer_pop	WA_L	F	YE	YE51	-78.32	NA	NA	-44.362	21.791	NA	NA	15.512
lmer_pop	WA_L	F	YE	YE69	7.952	NA	NA	23.95	21.964	NA	NA	14.836
lmer_pop	WA_L	F	YE	YE80	31.827	NA	NA	-16.552	21.964	NA	NA	15.276
lmer_pop	WA_L	F	UM	UM8	NA	NA	-99.525	NA	NA	NA	55.742	NA
lmer_pop	WA_L	F	YE	YE11	NA	NA	46.64	NA	NA	NA	55.862	NA
lmer_pop	WA_L	F	AK	AK19	NA	NA	NA	-26.458	NA	NA	NA	14.431
lmer_pop	WA_L	F	AK	AK24	NA	NA	NA	136.158	NA	NA	NA	15.276
lmer_pop	WA_L	F	UM	UM24	NA	NA	NA	-70.048	NA	NA	NA	17.537
lmer_pop	WA_L	M	AK	AK1	1.65	NA	-47.543	34.516	18.853	NA	42.284	13.409
lmer_pop	WA_L	M	AK	AK10	-79.865	NA	NA	NA	18.682	NA	NA	NA
lmer_pop	WA_L	M	AK	AK11	-22.984	NA	NA	NA	18.853	NA	NA	NA
lmer_pop	WA_L	M	AK	AK12	45.27	30.034	NA	NA	18.853	23.469	NA	NA
lmer_pop	WA_L	M	AK	AK13	66.406	NA	NA	NA	18.853	NA	NA	NA
lmer_pop	WA_L	M	AK	AK14	59.237	NA	NA	NA	18.853	NA	NA	NA
lmer_pop	WA_L	M	AK	AK15	-6.532	NA	NA	NA	18.853	NA	NA	NA
lmer_pop	WA_L	M	AK	AK16	26.612	NA	NA	-14.553	18.853	NA	NA	13.6
lmer_pop	WA_L	M	AK	AK17	-1.04	NA	NA	30.52	18.853	NA	NA	13.406
lmer_pop	WA_L	M	AK	AK18	0.283	NA	NA	-3.476	18.853	NA	NA	13.6
lmer_pop	WA_L	M	AK	AK2	-40.481	NA	55.702	18.768	18.958	NA	41.513	13.224
lmer_pop	WA_L	M	AK	AK20	-24.881	NA	NA	-50.666	18.853	NA	NA	14.015
lmer_pop	WA_L	M	AK	AK21	12.645	NA	NA	36.723	18.853	NA	NA	13.406
lmer_pop	WA_L	M	AK	AK3	11.326	37.257	46.028	-1.148	18.762	23.469	41.312	13.603
lmer_pop	WA_L	M	AK	AK4	-19.002	NA	-54.186	-30.181	18.853	NA	41.686	12.556
lmer_pop	WA_L	M	AK	AK5	-58.799	NA	NA	-23.371	18.853	NA	NA	12.715
lmer_pop	WA_L	M	AK	AK6	64.12	NA	NA	-32.46	18.853	NA	NA	13.411
lmer_pop	WA_L	M	AK	AK7	12.041	-67.291	NA	12.23	18.853	23.469	NA	12.878
lmer_pop	WA_L	M	AK	AK8	11.621	NA	NA	-9.876	18.853	NA	NA	13.225
lmer_pop	WA_L	M	AK	AK9	-57.626	NA	NA	-17.654	18.853	NA	NA	13.807
lmer_pop	WA_L	M	GI	GI1	-18.362	NA	-44.023	54.662	18.853	NA	41.979	13.603
lmer_pop	WA_L	M	GI	GI10	28.926	32.871	NA	-9.143	18.853	23.469	NA	12.261
lmer_pop	WA_L	M	GI	GI11	1.42	NA	NA	43.965	18.853	NA	NA	14.724
lmer_pop	WA_L	M	GI	GI12	-67.645	NA	NA	NA	18.866	NA	NA	NA
lmer_pop	WA_L	M	GI	GI13	9.433	NA	NA	NA	18.853	NA	NA	NA
lmer_pop	WA_L	M	GI	GI14	88.305	-38.697	NA	39.821	18.853	23.469	NA	13.6
lmer_pop	WA_L	M	GI	GI15	36.856	NA	NA	NA	18.853	NA	NA	NA
lmer_pop	WA_L	M	GI	GI2	-22.543	NA	75.577	NA	18.853	NA	41.416	NA
lmer_pop	WA_L	M	GI	GI3	-70.824	NA	-64.255	-53.908	18.713	NA	41.252	14.241
lmer_pop	WA_L	M	GI	GI4	-14.319	NA	33.434	-29.763	18.682	NA	41.818	13.603
lmer_pop	WA_L	M	GI	GI5	17.389	NA	-0.732	17.98	18.903	NA	41.827	14.722
lmer_pop	WA_L	M	GI	GI6	22.36	NA	NA	-8.66	18.762	NA	NA	13.048
lmer_pop	WA_L	M	GI	GI7	-18.557	5.826	NA	NA	18.594	23.469	NA	NA
lmer_pop	WA_L	M	GI	GI8	12.622	NA	NA	-21.049	18.866	NA	NA	13.604
lmer_pop	WA_L	M	GI	GI9	-5.062	NA	NA	-33.906	18.853	NA	NA	13.406
lmer_pop	WA_L	M	KA	KA1	-21.036	NA	-104.25	-53.984	18.682	NA	41.696	13.805
lmer_pop	WA_L	M	KA	KA10	-70.726	NA	NA	-80.694	18.762	NA	NA	13.225
lmer_pop	WA_L	M	KA	KA11	70.814	NA	NA	NA	18.853	NA	NA	NA
lmer_pop	WA_L	M	KA	KA13	-13.483	NA	NA	-1.411	18.853	NA	NA	13.807
lmer_pop	WA_L	M	KA	KA14	40.232	NA	NA	-3.849	18.853	NA	NA	14.019
lmer_pop	WA_L	M	KA	KA15	46.591	NA	NA	50.159	18.853	NA	NA	13.048
lmer_pop	WA_L	M	KA	KA16	7.882	44.729	NA	NA	18.853	23.469	NA	NA
lmer_pop	WA_L	M	KA	KA17	-2.61	NA	NA	20.798	18.853	NA	NA	14.724
lmer_pop	WA_L	M	KA	KA18	-32.206	NA	NA	-8.347	18.853	NA	NA	13.807
lmer_pop	WA_L	M	KA	KA2	34.212	NA	-26.626	29.188	18.853	NA	41.605	14.475
lmer_pop	WA_L	M	KA	KA23	-59.777	NA	NA	-53.815	18.853	NA	NA	14.238
lmer_pop	WA_L	M	KA	KA24	-12.197	NA	NA	-29.841	18.853	NA	NA	12.256
lmer_pop	WA_L	M	KA	KA25	-42.064	NA	NA	56.761	18.853	NA	NA	14.473
lmer_pop	WA_L	M	KA	KA28	-26.884	NA	NA	NA	18.853	NA	NA	NA
lmer_pop	WA_L	M	KA	KA29	67.68	NA	NA	76.23	18.853	NA	NA	14.238
lmer_pop	WA_L	M	KA	KA3	-36.201	NA	163.88	24.694	18.524	NA	41.434	14.722
lmer_pop	WA_L	M	KA	KA5	-18.063	NA	-93.883	-24.312	18.438	NA	41.194	13.046
lmer_pop	WA_L	M	KA	KA6	24.383	-16.5	60.878	NA	18.853	23.469	41.631	NA
lmer_pop	WA_L	M	KA	KA7	18.345	-28.229	NA	-7.382	18.958	23.469	NA	13.807
lmer_pop	WA_L	M	KA	KA9	25.109	NA	NA	5.804	18.853	NA	NA	15.26
lmer_pop	WA_L	M	MA	MA12	-2.313	NA	NA	NA	18.853	NA	NA	NA
lmer_pop	WA_L	M	MA	MA13	-14.948	-6.113	NA	NA	18.853	23.469	NA	NA
