Model	Trait	Sex	Population	Line	Coef_Vieira	Coef_Mensch	SE_Vieira	SE_Mensch
lmer_pop	CCRT	F	UM	UM17	1787.72541679648	1921.81847649398	145.347553037201	194.965121308755
lmer_pop	CCRT	F	UM	UM18	1718.19841679648	1568.14347649398	141.166031838052	193.413692710567
lmer_pop	CCRT	F	UM	UM2	1930.59041679648	1904.62147649398	141.063652263444	196.641198864677
lmer_pop	CCRT	F	UM	UM20	1799.67141679648	2107.05247649398	141.166031838052	193.413692710567
lmer_pop	CCRT	F	UM	UM21	1584.39241679648	1687.71347649398	141.242606648638	223.484764587964
lmer_pop	CCRT	F	UM	UM22	1604.99741679648	NA	141.455470272103	NA
lmer_pop	CCRT	F	UM	UM23	1839.47041679648	1961.94547649398	141.242606648638	196.641198864677
lmer_pop	CCRT	F	UM	UM24	1662.47441679648	NA	141.242606648638	NA
lmer_pop	CCRT	F	UM	UM25	1629.42741679648	2125.07647649398	141.455470272103	194.965121308755
lmer_pop	CCRT	F	UM	UM26	1665.39541679648	1882.81647649398	141.455470272103	194.806379071471
lmer_pop	CCRT	F	UM	UM28	1500.50841679648	2250.83847649398	141.242606648638	195.084202210065
lmer_pop	CCRT	F	UM	UM29	1575.65041679648	1474.12947649398	141.455470272103	195.084202210065
lmer_pop	CCRT	F	UM	UM4	1582.02941679648	1846.47047649398	141.455470272103	195.26948033919
lmer_pop	CCRT	F	UM	UM5	1713.75741679648	1663.10947649398	141.166031838052	195.084202210065
lmer_pop	CCRT	F	UM	UM6	1769.79541679648	1917.33747649398	141.166031838052	193.413692710567
lmer_pop	CCRT	F	UM	UM7	1865.47941679648	1960.24447649398	141.166031838052	201.226692342088
lmer_pop	CCRT	F	UM	UM8	1741.01841679648	2244.18147649398	141.455470272103	202.388605943955
lmer_pop	CCRT	F	UM	UM9	1876.74341679648	1851.63447649398	145.347553037201	194.733193718835
lmer_pop	CCRT	F	VA	VA1	1247.31676002652	1501.39711676145	140.770316996925	192.000793772632
lmer_pop	CCRT	F	VA	VA11	1475.42476002652	1784.22211676145	140.770316996925	192.121712032557
lmer_pop	CCRT	F	VA	VA15	1362.97576002652	2141.87711676145	140.555380567286	199.11715107022
lmer_pop	CCRT	F	VA	VA18	1249.85076002652	1661.12011676145	140.555380567286	192.309844351039
lmer_pop	CCRT	F	VA	VA22	1349.36876002652	1476.67511676145	141.162949202029	191.839598647726
lmer_pop	CCRT	F	VA	VA26	1476.58576002652	1873.55411676145	140.555380567286	220.903477304728
lmer_pop	CCRT	F	VA	VA30	1261.26576002652	1478.19011676145	141.28615044446	198.355962837825
lmer_pop	CCRT	F	VA	VA34	1531.08976002652	2001.13511676145	140.555380567286	198.581631812514
lmer_pop	CCRT	F	VA	VA35	1674.33376002652	1641.08711676145	140.555380567286	191.765281055567
lmer_pop	CCRT	F	VA	VA44	1424.47376002652	1929.24911676145	140.770316996925	193.702522888373
lmer_pop	CCRT	F	VA	VA46	1255.31076002652	1590.20311676145	140.770316996925	192.121712032557
lmer_pop	CCRT	F	VA	VA47	1401.20776002652	1882.18811676145	141.162949202029	198.581631812514
lmer_pop	CCRT	F	VA	VA48	1334.95576002652	2042.46011676145	141.28615044446	191.765281055567
lmer_pop	CCRT	F	VA	VA55	1460.43676002652	1640.26911676145	140.555380567286	190.696080749764
lmer_pop	CCRT	F	VA	VA57	1454.66176002652	1904.73211676145	141.162949202029	191.339212004024
lmer_pop	CCRT	F	VA	VA6	1491.00876002652	1517.30511676145	140.770316996925	191.839598647726
lmer_pop	CCRT	F	VA	VA66	1328.41676002652	1652.51311676145	140.555380567286	199.668361465508
lmer_pop	CCRT	F	VA	VA67	1564.55776002652	1501.39711676145	141.162949202029	192.000793772632
lmer_pop	CCRT	F	VA	VA71	1327.32576002652	1645.72911676145	141.162949202029	190.696080749764
lmer_pop	CCRT	F	VA	VA9	1360.74676002652	1539.43711676145	144.808607583992	190.425215794339
lmer_pop	CCRT	F	YE	YE11	1503.56772046838	2012.45498022351	139.990725555489	192.665845820975
lmer_pop	CCRT	F	YE	YE13	1683.77272046838	1948.27398022351	140.509421041979	194.520857261919
lmer_pop	CCRT	F	YE	YE14	1523.00772046838	1869.69198022351	140.509421041979	191.527261114212
lmer_pop	CCRT	F	YE	YE15	1321.06172046838	1440.34898022351	140.509421041979	191.257573306031
lmer_pop	CCRT	F	YE	YE19	1281.54672046838	1705.08198022351	139.77459032511	192.946751128159
lmer_pop	CCRT	F	YE	YE20	1334.03172046838	1881.65598022351	139.77459032511	192.16761066036
lmer_pop	CCRT	F	YE	YE21	1540.01472046838	1928.82898022351	139.77459032511	199.3017165679
lmer_pop	CCRT	F	YE	YE22	1615.10872046838	1881.38398022351	139.77459032511	200.562285113407
lmer_pop	CCRT	F	YE	YE23	1452.13272046838	2172.00698022351	139.990725555489	208.764641033657
