Model	Trait	Sex	Population	Line	Value_re_Vieira	Value_re_Mensch	SE_re_Vieira	SE_re_Mensch
lmer_pop	CCRT	F	YE	YE13	201.772	47.827	126.149	173.858
lmer_pop	CCRT	F	YE	YE14	41.007	-30.755	126.149	170.502
lmer_pop	CCRT	F	YE	YE15	-160.939	-460.098	126.149	170.199
lmer_pop	CCRT	F	YE	YE19	-200.454	-195.365	125.33	172.095
lmer_pop	CCRT	F	YE	YE20	-147.969	-18.791	125.33	171.221
lmer_pop	CCRT	F	YE	YE21	58.014	28.382	125.33	179.191
lmer_pop	CCRT	F	YE	YE22	133.108	-19.063	125.33	180.592
lmer_pop	CCRT	F	YE	YE23	-29.868	271.56	125.571	189.66
lmer_pop	CCRT	F	YE	YE24	115.959	-415.229	125.571	171.221
lmer_pop	CCRT	F	YE	YE26	-38.721	-149.856	126.149	170.199
lmer_pop	CCRT	F	YE	YE27	-114.622	-283.801	126.149	171.697
lmer_pop	CCRT	F	YE	YE33	110.983	71.152	126.149	179.278
lmer_pop	CCRT	F	YE	YE40	-57.241	232.619	125.571	170.199
lmer_pop	CCRT	F	YE	YE41	9.781	NA	125.886	NA
lmer_pop	CCRT	F	YE	YE48	142.77	185.985	125.886	180.592
lmer_pop	CCRT	F	YE	YE49	-106.655	390.123	125.886	171.697
lmer_pop	CCRT	F	YE	YE51	207.851	342.629	125.886	172.298
lmer_pop	CCRT	F	YE	YE69	-65.879	87.352	125.886	138.019
lmer_pop	CCRT	F	YE	YE80	-120.463	-196.681	125.886	170.199
lmer_pop	CCRT	F	AK	AK21	NA	212.555	NA	180.481
lmer_pop	CCRT	F	GI	GI14	NA	-223.572	NA	170.502
lmer_pop	CCRT	F	GI	GI6	NA	-67.615	NA	180.264
lmer_pop	CCRT	F	RE	RE1	NA	-96.537	NA	172.305
lmer_pop	CCRT	M	AK	AK1	11.816	124.331	89.368	157.473
lmer_pop	CCRT	M	AK	AK10	-9.265	-144.929	89.368	157.051
lmer_pop	CCRT	M	AK	AK11	-23.087	111.603	89.368	155.508
lmer_pop	CCRT	M	AK	AK12	-6.543	167.081	89.368	155.508
lmer_pop	CCRT	M	AK	AK13	10.191	-272.42	89.368	156.742
lmer_pop	CCRT	M	AK	AK14	25.702	-59.968	89.368	156.841
lmer_pop	CCRT	M	AK	AK15	19.455	32.896	89.368	164.165
lmer_pop	CCRT	M	AK	AK16	-3.061	321.839	89.368	155.933
lmer_pop	CCRT	M	AK	AK17	12.112	-167.282	89.368	154.916
lmer_pop	CCRT	M	AK	AK18	-16.102	-72.777	89.368	155.508
lmer_pop	CCRT	M	AK	AK19	-23.91	NA	89.368	NA
lmer_pop	CCRT	M	AK	AK2	-24.986	-43.685	89.368	164.767
lmer_pop	CCRT	M	AK	AK20	4.853	-52.48	89.368	164.801
lmer_pop	CCRT	M	AK	AK3	23.233	-132.879	89.368	159.866
lmer_pop	CCRT	M	AK	AK4	-14.688	-307.701	89.368	157.498
lmer_pop	CCRT	M	AK	AK5	9.179	297.49	89.368	166.742
lmer_pop	CCRT	M	AK	AK6	-14.815	308.557	89.368	173.185
lmer_pop	CCRT	M	AK	AK7	-1.267	-108.411	89.368	161.762
lmer_pop	CCRT	M	AK	AK8	-7.366	-26.104	89.368	155.933
lmer_pop	CCRT	M	AK	AK9	28.551	-5.494	89.368	157.498
lmer_pop	CCRT	M	GI	GI1	-60.631	-74.179	89.368	154.916
lmer_pop	CCRT	M	GI	GI10	20.698	72.229	89.368	155.933
lmer_pop	CCRT	M	GI	GI11	-1.966	-300.955	89.368	155.508
lmer_pop	CCRT	M	GI	GI12	-55.883	-180.521	89.368	154.916
lmer_pop	CCRT	M	GI	GI13	82.951	-107.161	89.368	163.15
lmer_pop	CCRT	M	GI	GI15	-29.188	178.018	89.368	164.788
lmer_pop	CCRT	M	GI	GI2	-1.438	178.778	89.368	156.742
lmer_pop	CCRT	M	GI	GI3	37.243	-250.019	89.368	166.742
lmer_pop	CCRT	M	GI	GI4	71.745	NA	89.368	NA
lmer_pop	CCRT	M	GI	GI5	-52.992	-68.91	89.368	164.247
lmer_pop	CCRT	M	GI	GI7	32.832	97.178	89.368	154.916
lmer_pop	CCRT	M	GI	GI8	-53.688	25.466	89.368	157.498
lmer_pop	CCRT	M	GI	GI9	10.316	266.892	89.368	157.051
lmer_pop	CCRT	M	KA	KA1	37.248	541.894	89.368	173.319
lmer_pop	CCRT	M	KA	KA10	10.736	-217.331	89.805	173.588
lmer_pop	CCRT	M	KA	KA11	-25.469	143.93	89.368	172.607
lmer_pop	CCRT	M	KA	KA13	-10.381	-117.899	89.368	156.841
lmer_pop	CCRT	M	KA	KA14	4.432	202.121	89.805	173.615
lmer_pop	CCRT	M	KA	KA15	7.409	-39.706	89.368	157.051
lmer_pop	CCRT	M	KA	KA16	8.97	87.311	89.368	163.499
