Supervisor.PI,Diet,Batch,Population,Line,Sex,Individual,DW_micrograms,Country,Latitude,Longitude,Altitude
Colinet,NS,2,AK,AK11,F,10,0.445,Finland,61.1,23.52,88
Colinet,NS,2,AK,AK11,F,11,0.483,Finland,61.1,23.52,88
Colinet,NS,2,AK,AK11,F,12,0.434,Finland,61.1,23.52,88
Colinet,NS,2,AK,AK11,F,13,0.455,Finland,61.1,23.52,88
Colinet,NS,2,AK,AK11,F,14,0.452,Finland,61.1,23.52,88
Colinet,NS,2,AK,AK11,F,15,0.562,Finland,61.1,23.52,88
Colinet,NS,2,AK,AK11,F,16,0.503,Finland,61.1,23.52,88
Colinet,NS,2,AK,AK11,F,17,0.345,Finland,61.1,23.52,88
Colinet,NS,2,AK,AK11,F,18,0.463,Finland,61.1,23.52,88
Colinet,NS,2,AK,AK11,F,19,0.416,Finland,61.1,23.52,88
Colinet,NS,2,AK,AK11,F,20,0.522,Finland,61.1,23.52,88
Colinet,NS,2,AK,AK11,F,21,0.413,Finland,61.1,23.52,88
Colinet,NS,2,AK,AK11,F,22,0.47,Finland,61.1,23.52,88
Colinet,NS,2,AK,AK11,F,23,0.491,Finland,61.1,23.52,88
Colinet,NS,2,AK,AK11,F,24,0.514,Finland,61.1,23.52,88
Colinet,NS,1,RE,RE2,M,3,0.361,Portugal,41.15,-8.41,175
Colinet,NS,1,UM,UM7,M,13,0.361,Ukraine,48.753,30.206,214
Colinet,NS,2,VA,VA47,M,23,0.361,Russia,57.979,33.244,217
Colinet,NS,1,AK,AK2,M,24,0.36,Finland,61.1,23.52,88
Colinet,NS,3,MA,MA30,M,22,0.36,Austria,48.375,15.56,572
Colinet,NS,1,KA,KA7,M,6,0.359,Denmark,55.945,10.213,15
Colinet,NS,2,VA,VA46,M,10,0.359,Russia,57.979,33.244,217
Colinet,NS,2,RE,RE10,M,11,0.358,Portugal,41.15,-8.41,175
Colinet,NS,1,KA,KA6,M,24,0.357,Denmark,55.945,10.213,15
Colinet,NS,1,KA,KA7,M,21,0.356,Denmark,55.945,10.213,15
Colinet,NS,2,YE,YE27,M,19,0.356,Turkey,40.231,32.26,680
Colinet,NS,3,YE,YE69,M,20,0.356,Turkey,40.231,32.26,680
Colinet,NS,2,UM,UM18,M,13,0.355,Ukraine,48.753,30.206,214
Colinet,NS,2,YE,YE27,M,17,0.355,Turkey,40.231,32.26,680
Colinet,NS,3,MA,MA30,M,13,0.354,Austria,48.375,15.56,572
Colinet,NS,1,MU,MU3,M,14,0.353,Germany,48.18,11.61,520
Colinet,NS,1,GI,GI5,M,2,0.352,Spain,41.618,0.62,173
Colinet,NS,3,MA,MA28,M,3,0.352,Austria,48.375,15.56,572
Colinet,NS,3,MA,MA30,M,18,0.352,Austria,48.375,15.56,572
Colinet,NS,1,KA,KA3,M,19,0.351,Denmark,55.945,10.213,15
Colinet,NS,1,KA,KA3,M,20,0.35,Denmark,55.945,10.213,15
Colinet,NS,3,MA,MA31,M,21,0.35,Austria,48.375,15.56,572
Colinet,NS,3,YE,YE33,M,22,0.349,Turkey,40.231,32.26,680
Colinet,NS,2,KA,KA17,M,17,0.348,Denmark,55.945,10.213,15
Colinet,NS,2,AK,AK12,F,1,0.439,Finland,61.1,23.52,88
Colinet,NS,2,AK,AK12,F,2,0.425,Finland,61.1,23.52,88
Colinet,NS,2,AK,AK12,F,3,0.419,Finland,61.1,23.52,88
Colinet,NS,2,AK,AK12,F,4,0.487,Finland,61.1,23.52,88
Colinet,NS,2,AK,AK12,F,5,0.452,Finland,61.1,23.52,88
Colinet,NS,2,AK,AK12,F,6,0.529,Finland,61.1,23.52,88
Colinet,NS,2,AK,AK12,F,7,0.361,Finland,61.1,23.52,88
Colinet,NS,2,AK,AK12,F,8,0.462,Finland,61.1,23.52,88
Colinet,NS,2,AK,AK12,F,9,0.445,Finland,61.1,23.52,88
Colinet,NS,2,AK,AK12,F,10,0.384,Finland,61.1,23.52,88
Colinet,NS,2,AK,AK12,F,11,0.497,Finland,61.1,23.52,88
Colinet,NS,2,AK,AK12,F,12,0.494,Finland,61.1,23.52,88
Colinet,NS,2,AK,AK12,F,13,0.443,Finland,61.1,23.52,88
Colinet,NS,2,AK,AK12,F,14,0.343,Finland,61.1,23.52,88
Colinet,NS,2,AK,AK12,F,15,0.363,Finland,61.1,23.52,88
Colinet,NS,2,AK,AK12,F,16,0.41,Finland,61.1,23.52,88
Colinet,NS,2,AK,AK12,F,17,0.545,Finland,61.1,23.52,88
Colinet,NS,2,AK,AK12,F,18,0.419,Finland,61.1,23.52,88
Colinet,NS,2,AK,AK12,F,19,0.418,Finland,61.1,23.52,88
Colinet,NS,2,AK,AK12,F,20,0.457,Finland,61.1,23.52,88
Colinet,NS,2,AK,AK12,F,21,0.431,Finland,61.1,23.52,88
Colinet,NS,2,AK,AK12,F,22,0.436,Finland,61.1,23.52,88
Colinet,NS,2,AK,AK12,F,23,0.414,Finland,61.1,23.52,88
Colinet,NS,2,AK,AK12,F,24,0.472,Finland,61.1,23.52,88
Colinet,NS,2,KA,KA17,M,20,0.348,Denmark,55.945,10.213,15
Colinet,NS,1,KA,KA7,M,20,0.348,Denmark,55.945,10.213,15
Colinet,NS,2,UM,UM28,M,8,0.348,Ukraine,48.753,30.206,214
Colinet,NS,2,VA,VA47,M,8,0.348,Russia,57.979,33.244,217
Colinet,NS,2,KA,KA17,M,22,0.347,Denmark,55.945,10.213,15
Colinet,NS,2,KA,KA28,M,18,0.347,Denmark,55.945,10.213,15
Colinet,NS,1,AK,AK5,M,14,0.346,Finland,61.1,23.52,88
Colinet,NS,2,KA,KA17,M,6,0.346,Denmark,55.945,10.213,15
Colinet,NS,2,KA,KA17,M,16,0.346,Denmark,55.945,10.213,15
Colinet,NS,2,UM,UM20,M,16,0.346,Ukraine,48.753,30.206,214
Colinet,NS,2,VA,VA66,M,14,0.346,Russia,57.979,33.244,217
Colinet,NS,1,KA,KA6,M,16,0.345,Denmark,55.945,10.213,15
Colinet,NS,1,MU,MU3,M,17,0.345,Germany,48.18,11.61,520
Colinet,NS,2,UM,UM25,M,18,0.345,Ukraine,48.753,30.206,214
Colinet,NS,1,GI,GI5,M,7,0.344,Spain,41.618,0.62,173
Colinet,NS,1,KA,KA7,M,24,0.344,Denmark,55.945,10.213,15
Colinet,NS,1,MA,MA12,M,25,0.344,Austria,48.375,15.56,572
Colinet,NS,1,RE,RE7,M,23,0.344,Portugal,41.15,-8.41,175
Colinet,NS,2,UM,UM28,M,15,0.344,Ukraine,48.753,30.206,214
Colinet,NS,2,VA,VA30,M,6,0.344,Russia,57.979,33.244,217
Colinet,NS,2,VA,VA46,M,22,0.344,Russia,57.979,33.244,217
Colinet,NS,1,AK,AK3,M,23,0.343,Finland,61.1,23.52,88
Colinet,NS,2,KA,KA17,M,18,0.343,Denmark,55.945,10.213,15
Colinet,NS,1,MA,MA7,M,19,0.343,Austria,48.375,15.56,572
Colinet,NS,3,AK,AK13,F,1,0.433,Finland,61.1,23.52,88
Colinet,NS,3,AK,AK13,F,2,0.576,Finland,61.1,23.52,88
Colinet,NS,3,AK,AK13,F,3,0.438,Finland,61.1,23.52,88
Colinet,NS,3,AK,AK13,F,4,0.449,Finland,61.1,23.52,88
Colinet,NS,3,AK,AK13,F,5,0.436,Finland,61.1,23.52,88
Colinet,NS,3,AK,AK13,F,6,0.465,Finland,61.1,23.52,88
Colinet,NS,3,AK,AK13,F,7,0.443,Finland,61.1,23.52,88
Colinet,NS,3,AK,AK13,F,8,0.432,Finland,61.1,23.52,88
Colinet,NS,3,AK,AK13,F,9,0.488,Finland,61.1,23.52,88
Colinet,NS,3,AK,AK13,F,10,0.493,Finland,61.1,23.52,88
Colinet,NS,3,AK,AK13,F,11,0.4,Finland,61.1,23.52,88
Colinet,NS,3,AK,AK13,F,12,0.482,Finland,61.1,23.52,88
Colinet,NS,3,AK,AK13,F,13,0.384,Finland,61.1,23.52,88
Colinet,NS,3,AK,AK13,F,14,0.434,Finland,61.1,23.52,88
Colinet,NS,3,AK,AK13,F,15,0.415,Finland,61.1,23.52,88
Colinet,NS,3,AK,AK13,F,16,0.291,Finland,61.1,23.52,88
Colinet,NS,3,AK,AK13,F,17,0.48,Finland,61.1,23.52,88
Colinet,NS,3,AK,AK13,F,18,0.507,Finland,61.1,23.52,88
Colinet,NS,3,AK,AK13,F,19,0.429,Finland,61.1,23.52,88
Colinet,NS,3,AK,AK13,F,20,0.49,Finland,61.1,23.52,88
Colinet,NS,3,AK,AK13,F,21,0.398,Finland,61.1,23.52,88
Colinet,NS,3,AK,AK13,F,22,0.425,Finland,61.1,23.52,88
Colinet,NS,3,AK,AK13,F,23,0.448,Finland,61.1,23.52,88
Colinet,NS,3,AK,AK13,F,24,0.448,Finland,61.1,23.52,88
Colinet,NS,1,MU,MU3,M,25,0.343,Germany,48.18,11.61,520
Colinet,NS,2,VA,VA30,M,20,0.343,Russia,57.979,33.244,217
Colinet,NS,2,VA,VA46,M,1,0.343,Russia,57.979,33.244,217
Colinet,NS,1,GI,GI5,M,14,0.342,Spain,41.618,0.62,173
Colinet,NS,1,KA,KA3,M,15,0.342,Denmark,55.945,10.213,15
Colinet,NS,3,MA,MA28,M,16,0.342,Austria,48.375,15.56,572
Colinet,NS,2,UM,UM18,M,8,0.342,Ukraine,48.753,30.206,214
Colinet,NS,1,UM,UM5,M,18,0.342,Ukraine,48.753,30.206,214
Colinet,NS,1,AK,AK2,M,19,0.341,Finland,61.1,23.52,88
Colinet,NS,1,KA,KA3,M,2,0.341,Denmark,55.945,10.213,15
Colinet,NS,2,UM,UM25,M,21,0.341,Ukraine,48.753,30.206,214
Colinet,NS,2,KA,KA28,M,7,0.34,Denmark,55.945,10.213,15
Colinet,NS,2,RE,RE13,M,8,0.34,Portugal,41.15,-8.41,175
Colinet,NS,1,VA,VA11,M,9,0.34,Russia,57.979,33.244,217
Colinet,NS,1,AK,AK2,M,10,0.339,Finland,61.1,23.52,88
Colinet,NS,2,KA,KA17,M,7,0.339,Denmark,55.945,10.213,15
Colinet,NS,1,KA,KA3,M,8,0.339,Denmark,55.945,10.213,15
Colinet,NS,1,VA,VA15,M,9,0.339,Russia,57.979,33.244,217
Colinet,NS,2,GI,GI7,M,10,0.338,Spain,41.618,0.62,173
Colinet,NS,1,MU,MU4,M,11,0.338,Germany,48.18,11.61,520
Colinet,NS,1,MU,MU5,M,16,0.338,Germany,48.18,11.61,520
Colinet,NS,1,RE,RE2,M,8,0.338,Portugal,41.15,-8.41,175
Colinet,NS,2,UM,UM18,M,7,0.338,Ukraine,48.753,30.206,214
Colinet,NS,2,UM,UM28,M,13,0.338,Ukraine,48.753,30.206,214
Colinet,NS,3,AK,AK14,F,1,0.432,Finland,61.1,23.52,88
Colinet,NS,3,AK,AK14,F,2,0.378,Finland,61.1,23.52,88
Colinet,NS,3,AK,AK14,F,3,0.408,Finland,61.1,23.52,88
Colinet,NS,3,AK,AK14,F,4,0.431,Finland,61.1,23.52,88
Colinet,NS,3,AK,AK14,F,5,0.423,Finland,61.1,23.52,88
Colinet,NS,3,AK,AK14,F,6,0.438,Finland,61.1,23.52,88
Colinet,NS,3,AK,AK14,F,7,0.446,Finland,61.1,23.52,88
Colinet,NS,3,AK,AK14,F,8,0.429,Finland,61.1,23.52,88
Colinet,NS,3,AK,AK14,F,9,0.314,Finland,61.1,23.52,88
Colinet,NS,3,AK,AK14,F,10,0.413,Finland,61.1,23.52,88
Colinet,NS,3,AK,AK14,F,11,0.397,Finland,61.1,23.52,88
Colinet,NS,3,AK,AK14,F,12,0.376,Finland,61.1,23.52,88
Colinet,NS,3,AK,AK14,F,13,0.474,Finland,61.1,23.52,88
Colinet,NS,3,AK,AK14,F,14,0.419,Finland,61.1,23.52,88
Colinet,NS,3,AK,AK14,F,15,0.487,Finland,61.1,23.52,88
Colinet,NS,3,AK,AK14,F,16,0.443,Finland,61.1,23.52,88
Colinet,NS,3,AK,AK14,F,17,0.447,Finland,61.1,23.52,88
Colinet,NS,3,AK,AK14,F,18,0.428,Finland,61.1,23.52,88
Colinet,NS,3,AK,AK14,F,19,0.398,Finland,61.1,23.52,88
Colinet,NS,3,AK,AK14,F,20,0.446,Finland,61.1,23.52,88
Colinet,NS,3,AK,AK14,F,21,0.415,Finland,61.1,23.52,88
Colinet,NS,3,AK,AK14,F,22,0.497,Finland,61.1,23.52,88
Colinet,NS,3,AK,AK14,F,23,0.418,Finland,61.1,23.52,88
Colinet,NS,3,AK,AK14,F,24,0.452,Finland,61.1,23.52,88
Colinet,NS,2,VA,VA46,M,23,0.338,Russia,57.979,33.244,217
Colinet,NS,1,KA,KA6,M,20,0.337,Denmark,55.945,10.213,15
Colinet,NS,1,MA,MA12,M,21,0.337,Austria,48.375,15.56,572
Colinet,NS,1,MU,MU3,M,22,0.337,Germany,48.18,11.61,520
Colinet,NS,1,UM,UM5,M,15,0.337,Ukraine,48.753,30.206,214
Colinet,NS,1,UM,UM7,M,18,0.337,Ukraine,48.753,30.206,214
Colinet,NS,2,GI,GI14,M,18,0.336,Spain,41.618,0.62,173
Colinet,NS,1,MU,MU3,M,19,0.336,Germany,48.18,11.61,520
Colinet,NS,1,RE,RE2,M,1,0.336,Portugal,41.15,-8.41,175
Colinet,NS,1,RE,RE6,M,2,0.336,Portugal,41.15,-8.41,175
Colinet,NS,2,UM,UM20,M,7,0.336,Ukraine,48.753,30.206,214
Colinet,NS,2,UM,UM20,M,22,0.336,Ukraine,48.753,30.206,214
Colinet,NS,2,KA,KA29,M,24,0.335,Denmark,55.945,10.213,15
Colinet,NS,1,KA,KA3,M,25,0.335,Denmark,55.945,10.213,15
Colinet,NS,2,MU,MU8,M,17,0.335,Germany,48.18,11.61,520
Colinet,NS,2,UM,UM25,M,22,0.335,Ukraine,48.753,30.206,214
Colinet,NS,2,GI,GI7,M,23,0.334,Spain,41.618,0.62,173
Colinet,NS,2,MU,MU12,M,18,0.334,Germany,48.18,11.61,520
Colinet,NS,1,RE,RE7,M,18,0.334,Portugal,41.15,-8.41,175
Colinet,NS,1,UM,UM4,M,19,0.334,Ukraine,48.753,30.206,214
Colinet,NS,2,VA,VA34,M,8,0.334,Russia,57.979,33.244,217
Colinet,NS,2,VA,VA47,M,7,0.334,Russia,57.979,33.244,217
Colinet,NS,2,VA,VA71,M,12,0.334,Russia,57.979,33.244,217
Colinet,NS,1,GI,GI5,M,19,0.333,Spain,41.618,0.62,173
Colinet,NS,3,AK,AK15,F,1,0.442,Finland,61.1,23.52,88
Colinet,NS,3,AK,AK15,F,2,0.364,Finland,61.1,23.52,88
Colinet,NS,3,AK,AK15,F,3,0.377,Finland,61.1,23.52,88
Colinet,NS,3,AK,AK15,F,4,0.294,Finland,61.1,23.52,88
Colinet,NS,3,AK,AK15,F,5,0.281,Finland,61.1,23.52,88
Colinet,NS,3,AK,AK15,F,6,0.414,Finland,61.1,23.52,88
Colinet,NS,3,AK,AK15,F,7,0.436,Finland,61.1,23.52,88
Colinet,NS,3,AK,AK15,F,8,0.427,Finland,61.1,23.52,88
Colinet,NS,3,AK,AK15,F,9,0.464,Finland,61.1,23.52,88
Colinet,NS,3,AK,AK15,F,10,0.426,Finland,61.1,23.52,88
Colinet,NS,3,AK,AK15,F,11,0.38,Finland,61.1,23.52,88
Colinet,NS,3,AK,AK15,F,12,0.39,Finland,61.1,23.52,88
Colinet,NS,3,AK,AK15,F,13,0.428,Finland,61.1,23.52,88
Colinet,NS,3,AK,AK15,F,14,0.475,Finland,61.1,23.52,88
Colinet,NS,3,AK,AK15,F,15,0.425,Finland,61.1,23.52,88
Colinet,NS,3,AK,AK15,F,16,0.397,Finland,61.1,23.52,88
Colinet,NS,3,AK,AK15,F,17,0.402,Finland,61.1,23.52,88
Colinet,NS,3,AK,AK15,F,18,0.417,Finland,61.1,23.52,88
Colinet,NS,3,AK,AK15,F,19,0.397,Finland,61.1,23.52,88
Colinet,NS,3,AK,AK15,F,20,0.325,Finland,61.1,23.52,88
Colinet,NS,3,AK,AK15,F,21,0.487,Finland,61.1,23.52,88
Colinet,NS,3,AK,AK15,F,22,0.437,Finland,61.1,23.52,88
Colinet,NS,3,AK,AK15,F,23,0.419,Finland,61.1,23.52,88
Colinet,NS,3,AK,AK15,F,24,0.454,Finland,61.1,23.52,88
Colinet,NS,1,KA,KA3,M,25,0.333,Denmark,55.945,10.213,15
Colinet,NS,2,RE,RE13,M,26,0.333,Portugal,41.15,-8.41,175
Colinet,NS,2,UM,UM28,M,2,0.333,Ukraine,48.753,30.206,214
Colinet,NS,1,UM,UM8,M,18,0.333,Ukraine,48.753,30.206,214
Colinet,NS,2,VA,VA47,M,5,0.333,Russia,57.979,33.244,217
Colinet,NS,1,GI,GI5,M,1,0.332,Spain,41.618,0.62,173
Colinet,NS,2,UM,UM28,M,17,0.332,Ukraine,48.753,30.206,214
Colinet,NS,1,VA,VA11,M,18,0.332,Russia,57.979,33.244,217
Colinet,NS,2,GI,GI14,M,2,0.331,Spain,41.618,0.62,173
Colinet,NS,2,MU,MU12,M,10,0.331,Germany,48.18,11.61,520
Colinet,NS,3,MU,MU13,M,2,0.331,Germany,48.18,11.61,520
Colinet,NS,2,UM,UM20,M,12,0.331,Ukraine,48.753,30.206,214
Colinet,NS,2,UM,UM28,M,14,0.331,Ukraine,48.753,30.206,214
Colinet,NS,1,UM,UM7,M,5,0.331,Ukraine,48.753,30.206,214
Colinet,NS,2,VA,VA47,M,21,0.331,Russia,57.979,33.244,217
Colinet,NS,2,VA,VA47,M,24,0.331,Russia,57.979,33.244,217
Colinet,NS,2,KA,KA10,M,15,0.33,Denmark,55.945,10.213,15
Colinet,NS,1,MU,MU1,M,1,0.33,Germany,48.18,11.61,520
Colinet,NS,1,MU,MU1,M,9,0.33,Germany,48.18,11.61,520
Colinet,NS,2,UM,UM25,M,9,0.33,Ukraine,48.753,30.206,214
Colinet,NS,2,VA,VA57,M,23,0.33,Russia,57.979,33.244,217
Colinet,NS,1,AK,AK2,M,24,0.329,Finland,61.1,23.52,88
Colinet,NS,2,AK,AK7,M,24,0.329,Finland,61.1,23.52,88
Colinet,NS,3,MU,MU13,M,5,0.329,Germany,48.18,11.61,520
Colinet,NS,3,AK,AK16,F,1,0.512,Finland,61.1,23.52,88
Colinet,NS,3,AK,AK16,F,2,0.373,Finland,61.1,23.52,88
Colinet,NS,3,AK,AK16,F,3,0.485,Finland,61.1,23.52,88
Colinet,NS,3,AK,AK16,F,4,0.486,Finland,61.1,23.52,88
Colinet,NS,3,AK,AK16,F,5,0.415,Finland,61.1,23.52,88
Colinet,NS,3,AK,AK16,F,6,0.51,Finland,61.1,23.52,88
Colinet,NS,3,AK,AK16,F,7,0.455,Finland,61.1,23.52,88
Colinet,NS,3,AK,AK16,F,8,0.472,Finland,61.1,23.52,88
Colinet,NS,3,AK,AK16,F,9,0.417,Finland,61.1,23.52,88
Colinet,NS,3,AK,AK16,F,10,0.526,Finland,61.1,23.52,88
Colinet,NS,3,AK,AK16,F,11,0.479,Finland,61.1,23.52,88
Colinet,NS,3,AK,AK16,F,12,0.484,Finland,61.1,23.52,88
Colinet,NS,3,AK,AK16,F,13,0.554,Finland,61.1,23.52,88
Colinet,NS,3,AK,AK16,F,14,0.441,Finland,61.1,23.52,88
Colinet,NS,3,AK,AK16,F,15,0.506,Finland,61.1,23.52,88
Colinet,NS,3,AK,AK16,F,16,0.353,Finland,61.1,23.52,88
Colinet,NS,3,AK,AK16,F,17,0.519,Finland,61.1,23.52,88
Colinet,NS,3,AK,AK16,F,18,0.457,Finland,61.1,23.52,88
Colinet,NS,3,AK,AK16,F,19,0.424,Finland,61.1,23.52,88
Colinet,NS,3,AK,AK16,F,20,0.408,Finland,61.1,23.52,88
Colinet,NS,3,AK,AK16,F,21,0.447,Finland,61.1,23.52,88
Colinet,NS,3,AK,AK16,F,22,0.55,Finland,61.1,23.52,88
Colinet,NS,3,AK,AK16,F,23,0.557,Finland,61.1,23.52,88
Colinet,NS,3,AK,AK16,F,24,0.524,Finland,61.1,23.52,88
Colinet,NS,1,MU,MU4,M,25,0.329,Germany,48.18,11.61,520
Colinet,NS,1,RE,RE2,M,9,0.329,Portugal,41.15,-8.41,175
