Supervisor.PI,Diet,Batch,Population,Line,Sex,ReplicateVialOld,ReplicateVial,Individual,CentroidSizeLeft_micrometers,CentroidSizeRight_micrometers,Country,Latitude,Longitude,Altitude
Onder,NS,5,VA,VA66,M,3,Onder_5_VA66_3,29,2571.706427,2573.662484,Russia,57.979,33.244,217
Onder,NS,5,VA,VA66,M,3,Onder_5_VA66_3,30,2396.300734,2402.813683,Russia,57.979,33.244,217
Onder,NS,4,VA,VA67,F,1,Onder_4_VA67_1,1,2865.464457,2844.10346,Russia,57.979,33.244,217
Onder,NS,4,VA,VA67,F,1,Onder_4_VA67_1,2,2970.134637,2965.812394,Russia,57.979,33.244,217
Onder,NS,4,VA,VA67,F,1,Onder_4_VA67_1,3,2837.724876,2842.065616,Russia,57.979,33.244,217
Onder,NS,4,VA,VA67,F,1,Onder_4_VA67_1,4,2840.615614,2853.685503,Russia,57.979,33.244,217
Onder,NS,4,VA,VA67,F,1,Onder_4_VA67_1,5,2984.937022,2985.210983,Russia,57.979,33.244,217
Onder,NS,4,VA,VA67,F,1,Onder_4_VA67_1,6,2755.938091,2773.185616,Russia,57.979,33.244,217
Onder,NS,4,VA,VA67,F,1,Onder_4_VA67_1,7,2883.436494,2873.356331,Russia,57.979,33.244,217
Onder,NS,4,VA,VA67,F,1,Onder_4_VA67_1,8,2888.049955,2883.972972,Russia,57.979,33.244,217
Onder,NS,4,VA,VA67,F,1,Onder_4_VA67_1,9,3021.466451,3001.626039,Russia,57.979,33.244,217
Onder,NS,4,VA,VA67,F,1,Onder_4_VA67_1,10,2865.666137,2907.158145,Russia,57.979,33.244,217
Onder,NS,4,VA,VA67,F,2,Onder_4_VA67_2,11,2768.087794,2744.706184,Russia,57.979,33.244,217
Onder,NS,4,VA,VA67,F,2,Onder_4_VA67_2,12,2890.951069,2869.347816,Russia,57.979,33.244,217
Onder,NS,4,VA,VA67,F,2,Onder_4_VA67_2,13,2807.734354,2775.619879,Russia,57.979,33.244,217
Onder,NS,4,VA,VA67,F,2,Onder_4_VA67_2,14,2863.241242,2872.623978,Russia,57.979,33.244,217
Onder,NS,4,VA,VA67,F,2,Onder_4_VA67_2,15,2794.305099,2824.831895,Russia,57.979,33.244,217
Onder,NS,4,VA,VA67,F,2,Onder_4_VA67_2,16,2715.836108,2673.415022,Russia,57.979,33.244,217
Onder,NS,4,VA,VA67,F,2,Onder_4_VA67_2,17,2871.062411,2847.929745,Russia,57.979,33.244,217
Onder,NS,4,VA,VA67,F,2,Onder_4_VA67_2,18,2925.327905,2919.974304,Russia,57.979,33.244,217
Onder,NS,4,VA,VA67,F,2,Onder_4_VA67_2,19,2773.855574,2804.732243,Russia,57.979,33.244,217
Onder,NS,4,VA,VA67,F,2,Onder_4_VA67_2,20,2888.608008,2876.481302,Russia,57.979,33.244,217
Onder,NS,4,VA,VA67,F,3,Onder_4_VA67_3,21,2838.152017,2850.270946,Russia,57.979,33.244,217
Onder,NS,4,VA,VA67,F,3,Onder_4_VA67_3,22,2851.140461,2817.361809,Russia,57.979,33.244,217
Onder,NS,4,VA,VA67,F,3,Onder_4_VA67_3,23,2687.228737,2648.857199,Russia,57.979,33.244,217
Onder,NS,4,VA,VA67,F,3,Onder_4_VA67_3,24,2947.24198,2967.817341,Russia,57.979,33.244,217
Onder,NS,4,VA,VA67,F,3,Onder_4_VA67_3,25,2790.694159,2792.49207,Russia,57.979,33.244,217
Onder,NS,4,VA,VA67,F,3,Onder_4_VA67_3,26,2785.491845,2790.18273,Russia,57.979,33.244,217
Onder,NS,4,VA,VA67,F,3,Onder_4_VA67_3,27,2972.772486,2972.243235,Russia,57.979,33.244,217
Onder,NS,4,VA,VA67,F,3,Onder_4_VA67_3,28,2694.411967,2696.720642,Russia,57.979,33.244,217
Onder,NS,4,VA,VA67,F,3,Onder_4_VA67_3,29,2883.144627,2859.814452,Russia,57.979,33.244,217
Onder,NS,4,VA,VA67,F,3,Onder_4_VA67_3,30,2809.967397,2759.617845,Russia,57.979,33.244,217
