Supervisor.PI,Diet,Batch,Population,Line,ReplicateVialOld,ReplicateVial,Individual,DT_EggPupa,Country,Latitude,Longitude,Altitude
Schmidt,NS,1,VA,VA48,1,Schmidt_1_VA48_1,2,136,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA48,1,Schmidt_1_VA48_1,3,144,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA48,1,Schmidt_1_VA48_1,4,160,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA48,1,Schmidt_1_VA48_1,5,160,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA48,1,Schmidt_1_VA48_1,6,168,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA55,1,Schmidt_1_VA55_1,1,112,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA55,1,Schmidt_1_VA55_1,2,112,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA55,1,Schmidt_1_VA55_1,3,112,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA55,1,Schmidt_1_VA55_1,4,112,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA55,1,Schmidt_1_VA55_1,5,112,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA55,1,Schmidt_1_VA55_1,6,112,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA55,1,Schmidt_1_VA55_1,7,112,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA55,1,Schmidt_1_VA55_1,8,112,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA55,1,Schmidt_1_VA55_1,9,112,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA55,1,Schmidt_1_VA55_1,10,120,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA55,1,Schmidt_1_VA55_1,11,120,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA55,1,Schmidt_1_VA55_1,12,120,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA55,1,Schmidt_1_VA55_1,13,120,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA55,1,Schmidt_1_VA55_1,14,120,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA55,1,Schmidt_1_VA55_1,15,120,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA55,1,Schmidt_1_VA55_1,16,120,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA55,1,Schmidt_1_VA55_1,17,120,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA55,1,Schmidt_1_VA55_1,18,120,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA55,1,Schmidt_1_VA55_1,19,120,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA55,1,Schmidt_1_VA55_1,20,120,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA55,1,Schmidt_1_VA55_1,21,120,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA55,1,Schmidt_1_VA55_1,22,136,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA55,1,Schmidt_1_VA55_1,23,136,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA55,1,Schmidt_1_VA55_1,24,136,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA55,1,Schmidt_1_VA55_1,25,136,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA55,1,Schmidt_1_VA55_1,26,136,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA55,1,Schmidt_1_VA55_1,27,140,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA55,1,Schmidt_1_VA55_1,28,140,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA55,1,Schmidt_1_VA55_1,29,140,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA55,1,Schmidt_1_VA55_1,30,144,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA57,1,Schmidt_1_VA57_1,1,136,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA57,1,Schmidt_1_VA57_1,2,136,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA57,1,Schmidt_1_VA57_1,3,140,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA57,1,Schmidt_1_VA57_1,4,140,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA57,1,Schmidt_1_VA57_1,5,140,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA57,1,Schmidt_1_VA57_1,6,140,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA57,1,Schmidt_1_VA57_1,7,140,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA57,1,Schmidt_1_VA57_1,8,140,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA57,1,Schmidt_1_VA57_1,9,140,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA57,1,Schmidt_1_VA57_1,10,140,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA57,1,Schmidt_1_VA57_1,11,140,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA57,1,Schmidt_1_VA57_1,12,140,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA57,1,Schmidt_1_VA57_1,13,144,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA57,1,Schmidt_1_VA57_1,14,144,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA57,1,Schmidt_1_VA57_1,15,144,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA57,1,Schmidt_1_VA57_1,16,144,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA57,1,Schmidt_1_VA57_1,17,144,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA57,1,Schmidt_1_VA57_1,18,164,Russia,57.979,33.244,217
