Supervisor.PI,Diet,Batch,Population,Line,Sex,Individual,AreaT4,AreaT5,AreaT6,PercT4,PercT5,PercT6,TotalArea,TotalBlack,TotalPerc,Orientation
Gibert,NS,2,GI,GI10,F,10,9785,7948,6305,24.016,37.443,65.599,24038,9461.95219,39.36247687,OK
Gibert,NS,1,GI,GI11,F,1,8858,7813,8298,27.139,35.582,51.832,24969,9485.01364,37.98715864,OK
Gibert,NS,1,GI,GI11,F,2,8425,7204,7533,23.24,23.237,26.284,23162,5611.9372,24.22907003,OK
Gibert,NS,1,GI,GI11,F,3,8371,7249,6551,28.145,41.771,43.825,22171,8254.97349,37.23320324,OK
Gibert,NS,1,GI,GI11,F,4,10974,9725,6817,26.882,30.242,64.794,27516,10308.07216,37.46210263,OK
Gibert,NS,1,GI,GI11,F,5,8341,8006,7470,41.638,45.978,45.328,23817,10540.02586,44.25421279,OK
Gibert,NS,1,GI,GI11,F,6,6969,6676,5559,18.726,34.751,58.23,19204,6861.9974,35.7321256,OK
Gibert,NS,1,GI,GI11,F,7,6036,7434,7403,27.253,29.89,52.438,20873,7748.99882,37.12450927,OK
Gibert,NS,1,GI,GI11,F,8,9248,5475,3595,34.051,64.219,67.204,18318,9081.01053,49.57424681,OK
Gibert,NS,1,GI,GI11,F,9,7683,11127,9785,35.025,29.622,49.075,28595,10788.99944,37.73037048,OK
Gibert,NS,1,GI,GI11,F,10,8147,9498,6483,22.229,18.351,30.711,24128,5544.96874,22.98146858,OK
Gibert,NS,1,GI,GI12,F,1,6860,6619,5956,12.464,12.781,35.208,19435,3797.99327,19.54202866,OK
Gibert,NS,1,GI,GI12,F,2,6997,4981,4197,28.141,28.87,52.395,16175,5606.05862,34.6587859,OK
Gibert,NS,1,GI,GI12,F,3,8573,7727,5329,27.913,22.531,45.374,21629,6551.93232,30.29234972,OK
Gibert,NS,1,GI,GI12,F,4,10183,7793,6330,26.407,19.928,32.401,24306,6292.99715,25.89071484,OK
Gibert,NS,1,GI,GI12,F,5,6489,5439,2852,26.044,23.91,42.567,14780,4204.4709,28.44702909,OK
Gibert,NS,1,GI,GI12,F,6,8247,8527,5302,32.412,30.831,60.656,22076,8517.95813,38.5846989,OK
Gibert,NS,1,GI,GI12,F,7,7367,6039,4393,14.226,17.37,23.492,17799,3129.00728,17.57968021,OK
Gibert,NS,1,GI,GI12,F,8,6864,7154,6619,26.107,34.372,49.902,20637,7553.97074,36.6040158,OK
Gibert,NS,1,GI,GI12,F,9,9148,8036,3301,6.526,19.263,52.227,20485,3868.98643,18.88692424,OK
Gibert,NS,1,GI,GI12,F,10,4545,9222,5405,29.945,20.657,52.673,19172,6112.96444,31.88485521,OK
Gibert,NS,2,GI,GI13,F,1,7004,8051,4605,22.973,20.718,55.396,19660,5828.0209,29.64405341,OK
Gibert,NS,2,GI,GI13,F,2,7982,6508,4732,23.678,35.986,50.676,19222,6629.93516,34.49139091,OK
Gibert,NS,2,GI,GI13,F,3,8426,9200,6880,38.168,35.239,47.602,24506,9733.04128,39.7169725,OK
Gibert,NS,2,GI,GI13,F,4,9427,8672,5191,29.161,35.551,67.964,23290,9360.00143,40.18892842,OK
Gibert,NS,2,GI,GI13,F,5,8697,6938,5281,43.371,47.088,55.633,20916,9976.92004,47.69994282,OK
Gibert,NS,2,GI,GI13,F,6,8535,10680,10790,28.752,37.397,37.034,30005,10443.9514,34.8073701,OK
Gibert,NS,2,GI,GI13,F,7,10021,8486,6258,36.863,30.992,56.552,24765,9863.04651,39.82655566,OK
Gibert,NS,2,GI,GI13,F,8,9948,7846,7909,23.452,32.36,34.015,25703,7562.21691,29.4215341,OK
Gibert,NS,2,GI,GI13,F,9,9389,6253,5765,5.613,3.39,7.251,21407,1157.00142,5.404780773,OK
Gibert,NS,2,GI,GI13,F,10,9419,8174,8141,24.429,42.378,45.83,25734,9495.96553,36.90046448,OK
Gibert,NS,1,GI,GI14,F,1,12387,10297,8793,18.374,27.241,27.226,31477,7474.97533,23.7474198,OK
Gibert,NS,1,GI,GI14,F,2,9163,8039,6448,23.78,20.338,16.176,23650,4856.9617,20.53683594,OK
Gibert,NS,1,GI,GI14,F,3,9753,8956,7796,29.191,20.065,13.879,26505,5726.02647,21.60357091,OK
Gibert,NS,1,GI,GI14,F,4,14036,9965,7894,18.16,24.937,20.243,31895,6631.89207,20.79288939,OK
Gibert,NS,1,GI,GI14,F,5,9415,7669,6589,32.544,31.36,49.537,23673,8733.00893,36.89016572,OK
Gibert,NS,1,GI,GI14,F,6,9652,11438,8450,33.651,34.385,38.154,29540,10404.96382,35.22330339,OK
Gibert,NS,1,GI,GI14,F,7,7746,9133,6909,34.263,30.432,44.985,23788,8541.38019,35.90625605,OK
Gibert,NS,1,GI,GI14,F,8,10256,9967,8308,9.487,11.056,13.902,28531,3229.9164,11.32072623,OK
Gibert,NS,1,GI,GI14,F,9,9209,8184,5500,16.582,21.371,38.491,22893,5393.04402,23.55761158,OK
Gibert,NS,1,GI,GI14,F,10,10662,8811,7361,37.348,34.116,34.302,26834,9512.97474,35.451199,OK
Gibert,NS,1,GI,GI15,F,1,10712,8392,5243,16.178,27.55,61.224,24347,7254.95768,29.79815862,OK
Gibert,NS,1,GI,GI15,F,2,10029,9057,7483,27.042,39.55,65.148,26569,11169.11052,42.0381291,OK
Gibert,NS,1,GI,GI15,F,3,8882,7527,3995,11.946,46.964,83.63,20404,7937.0425,38.89944374,OK
Gibert,NS,1,GI,GI15,F,4,11046,10814,8272,16.368,26.29,77.261,30132,11042.0398,36.64555887,OK
Gibert,NS,1,GI,GI15,F,5,9505,8825,7433,12.846,12.714,52.859,25763,6272.03227,24.34511614,OK
Gibert,NS,1,GI,GI15,F,6,6457,6219,5229,17.857,42.531,78.734,17905,7915.03024,44.20569807,OK
Gibert,NS,1,GI,GI15,F,7,15357,13300,9252,15.595,21.391,39.937,37909,8934.89839,23.56933285,OK
Gibert,NS,1,GI,GI15,F,8,8233,8568,7502,19.665,17.507,36.43,24303,5851.99781,24.07932276,OK
Gibert,NS,1,GI,GI15,F,9,10540,8646,4793,18.406,21.143,62.675,23979,6772.02893,28.24149852,OK
Gibert,NS,1,GI,GI15,F,10,8363,8044,6070,17.326,23.918,62.372,22477,7158.9177,31.84996975,OK
Gibert,NS,2,KA,KA1,F,1,6637,5926,5377,32.65,33.513,60.257,17940,7392.97977,41.20947475,OK
Gibert,NS,2,KA,KA1,F,2,7505,6958,6051,19.427,19.474,39.25,20514,5188.01477,25.29011782,OK
Gibert,NS,2,KA,KA1,F,3,11072,10263,7138,15.526,30.693,62.37,28473,9321.03191,32.73638854,OK
Gibert,NS,2,KA,KA1,F,4,9195,8253,7200,13.116,17.303,38.944,24648,5438.00079,22.0626452,OK
Gibert,NS,2,KA,KA1,F,5,9088,9108,6064,23.933,27.756,53.265,24260,7933.03712,32.70007057,OK
Gibert,NS,2,KA,KA1,F,6,7299,7796,5983,23.77,27.604,45.011,21078,6579.98827,31.2173274,OK
Gibert,NS,2,KA,KA1,F,7,11279,10443,8197,20.817,23.719,54.227,29919,9269.91179,30.98336104,OK
Gibert,NS,2,KA,KA1,F,8,9046,9610,6459,11.663,16.472,53.352,25115,6083.99986,24.22456643,OK
Gibert,NS,2,KA,KA1,F,9,10484,10803,9861,18.142,20.568,36.254,31148,7698.97526,24.71739842,OK
