Supervisor.PI,Diet,Batch,Population,Line,Sex,ReplicateVialOld,ReplicateVial,Individual,TL_micrometers,Country,Latitude,Longitude,Altitude
Kozeretska,NS,1,MA,MA33,F,1,Kozeretska_1_MA33_1,19,1112,Austria,48.375,15.56,572
Ritchie,S,7,KA,KA3,F,3,Ritchie_7_KA3_3,1364,1112,Denmark,55.945,10.213,15
Ritchie,S,7,KA,KA3,F,2,Ritchie_7_KA3_2,1323,1109,Denmark,55.945,10.213,15
Schmidt,NS,1,RE,RE4,F,1,Schmidt_1_RE4_1,6,1108.823746,Portugal,41.15,-8.41,175
Schmidt,NS,1,YE,YE22,F,1,Schmidt_1_YE22_1,3,1104.67,Turkey,40.231,32.26,680
Kozeretska,NS,1,MA,MA33,F,1,Kozeretska_1_MA33_1,15,1104,Austria,48.375,15.56,572
Schmidt,NS,1,YE,YE23,F,1,Schmidt_1_YE23_1,7,1103.71,Turkey,40.231,32.26,680
Ritchie,S,7,KA,KA3,F,3,Ritchie_7_KA3_3,1367,1103,Denmark,55.945,10.213,15
Schmidt,NS,1,MA,MA9,F,1,Schmidt_1_MA9_1,10,1100.48,Austria,48.375,15.56,572
Kozeretska,NS,1,MA,MA28,F,1,Kozeretska_1_MA28_1,18,1100,Austria,48.375,15.56,572
Kozeretska,NS,1,MA,MA32,F,1,Kozeretska_1_MA32_1,18,1100,Austria,48.375,15.56,572
Kozeretska,NS,1,UM,UM20,F,1,Kozeretska_1_UM20_1,13,1100,Ukraine,48.753,30.206,214
Kozeretska,NS,2,RE,RE2,F,1,Kozeretska_2_RE2_1,9,1100,Portugal,41.15,-8.41,175
Schmidt,NS,1,RE,RE16,F,1,Schmidt_1_RE16_1,7,1098.56995,Portugal,41.15,-8.41,175
Ritchie,S,7,KA,KA3,F,3,Ritchie_7_KA3_3,1353,1098,Denmark,55.945,10.213,15
Ritchie,S,7,KA,KA3,F,3,Ritchie_7_KA3_3,1359,1097,Denmark,55.945,10.213,15
Schmidt,NS,1,MA,MA28,F,1,Schmidt_1_MA28_1,9,1096.19,Austria,48.375,15.56,572
Kozeretska,NS,2,MU,MU12,F,1,Kozeretska_2_MU12_1,19,1096,Germany,48.18,11.61,520
Kozeretska,NS,1,MA,MA28,F,1,Kozeretska_1_MA28_1,8,1096,Austria,48.375,15.56,572
Kozeretska,NS,2,VA,VA6,F,1,Kozeretska_2_VA6_1,13,1096,Russia,57.979,33.244,217
Kozeretska,NS,1,RE,RE2,F,1,Kozeretska_1_RE2_1,18,1096,Portugal,41.15,-8.41,175
Kozeretska,NS,1,MA,MA7,F,1,Kozeretska_1_MA7_1,8,1096,Austria,48.375,15.56,572
Kozeretska,NS,2,MA,MA7,F,1,Kozeretska_2_MA7_1,6,1096,Austria,48.375,15.56,572
Ritchie,S,15,YE,YE19,F,3,Ritchie_15_YE19_3,870,1096,Turkey,40.231,32.26,680
Schmidt,NS,1,RE,RE7,F,1,Schmidt_1_RE7_1,7,1095.056668,Portugal,41.15,-8.41,175
Schmidt,NS,1,RE,RE16,F,1,Schmidt_1_RE16_1,8,1094.410117,Portugal,41.15,-8.41,175
Schmidt,NS,1,RE,RE7,F,1,Schmidt_1_RE7_1,6,1094.139782,Portugal,41.15,-8.41,175
Schmidt,NS,1,GI,GI7,F,1,Schmidt_1_GI7_1,2,1093.6,Spain,41.618,0.62,173
Ritchie,S,4,MA,MA5,F,1,Ritchie_4_MA5_1,1627,1093,Austria,48.375,15.56,572
Schmidt,NS,1,RE,RE11,F,1,Schmidt_1_RE11_1,5,1092.054117,Portugal,41.15,-8.41,175
Kozeretska,NS,1,AK,AK15,F,1,Kozeretska_1_AK15_1,12,1092,Finland,61.1,23.52,88
Kozeretska,NS,1,MA,MA32,F,1,Kozeretska_1_MA32_1,8,1092,Austria,48.375,15.56,572
Kozeretska,NS,2,MA,MA32,F,1,Kozeretska_2_MA32_1,10,1092,Austria,48.375,15.56,572
Kozeretska,NS,2,VA,VA15,F,1,Kozeretska_2_VA15_1,14,1092,Russia,57.979,33.244,217
Kozeretska,NS,2,RE,RE2,F,1,Kozeretska_2_RE2_1,12,1092,Portugal,41.15,-8.41,175
Kozeretska,NS,1,RE,RE6,F,1,Kozeretska_1_RE6_1,4,1092,Portugal,41.15,-8.41,175
Kozeretska,NS,1,MA,MA7,F,1,Kozeretska_1_MA7_1,14,1092,Austria,48.375,15.56,572
Kozeretska,NS,2,MA,MA7,F,1,Kozeretska_2_MA7_1,19,1092,Austria,48.375,15.56,572
Schmidt,NS,1,UM,UM17,F,1,Schmidt_1_UM17_1,2,1091.4,Ukraine,48.753,30.206,214
Schmidt,NS,1,MU,MU14,F,1,Schmidt_1_MU14_1,6,1091.02,Germany,48.18,11.61,520
Ritchie,S,7,KA,KA3,F,2,Ritchie_7_KA3_2,1333,1091,Denmark,55.945,10.213,15
Ritchie,S,7,KA,KA3,F,3,Ritchie_7_KA3_3,1356,1091,Denmark,55.945,10.213,15
Schmidt,NS,1,RE,RE2,F,1,Schmidt_1_RE2_1,5,1089.953094,Portugal,41.15,-8.41,175
Schmidt,NS,1,UM,UM13,F,1,Schmidt_1_UM13_1,5,1089.53,Ukraine,48.753,30.206,214
Schmidt,NS,1,RE,RE7,F,1,Schmidt_1_RE7_1,10,1089.388819,Portugal,41.15,-8.41,175
Ritchie,S,6,AK,AK2,F,1,Ritchie_6_AK2_1,331,1089,Finland,61.1,23.52,88
Schmidt,NS,1,RE,RE17,F,1,Schmidt_1_RE17_1,8,1088.433008,Portugal,41.15,-8.41,175
Schmidt,NS,1,RE,RE18,F,1,Schmidt_1_RE18_1,8,1088.433008,Portugal,41.15,-8.41,175
Kozeretska,NS,1,AK,AK14,F,1,Kozeretska_1_AK14_1,15,1088,Finland,61.1,23.52,88
Kozeretska,NS,1,GI,GI6,F,1,Kozeretska_1_GI6_1,20,1088,Spain,41.618,0.62,173
Kozeretska,NS,2,YE,YE33,F,1,Kozeretska_2_YE33_1,1,1088,Turkey,40.231,32.26,680
Ritchie,S,3,YE,YE11,F,1,Ritchie_3_YE11_1,491,1088,Turkey,40.231,32.26,680
Schmidt,NS,1,VA,VA44,F,1,Schmidt_1_VA44_1,1,1087.771129,Russia,57.979,33.244,217
Schmidt,NS,1,RE,RE2,F,1,Schmidt_1_RE2_1,2,1087.749771,Portugal,41.15,-8.41,175
Schmidt,NS,1,KA,KA17,F,1,Schmidt_1_KA17_1,5,1087.681424,Denmark,55.945,10.213,15
Schmidt,NS,1,AK,AK2,F,1,Schmidt_1_AK2_1,5,1087.19,Finland,61.1,23.52,88
Schmidt,NS,1,RE,RE11,F,1,Schmidt_1_RE11_1,10,1086.220898,Portugal,41.15,-8.41,175
Schmidt,NS,1,MA,MA20,F,1,Schmidt_1_MA20_1,8,1085.62,Austria,48.375,15.56,572
Schmidt,NS,1,RE,RE2,F,1,Schmidt_1_RE2_1,10,1085.293693,Portugal,41.15,-8.41,175
Schmidt,NS,1,RE,RE2,F,1,Schmidt_1_RE2_1,1,1084.487094,Portugal,41.15,-8.41,175
Kozeretska,NS,1,MU,MU7,F,1,Kozeretska_1_MU7_1,20,1084,Germany,48.18,11.61,520
Kozeretska,NS,1,MU,MU5,F,1,Kozeretska_1_MU5_1,13,1084,Germany,48.18,11.61,520
Kozeretska,NS,2,MA,MA32,F,1,Kozeretska_2_MA32_1,13,1084,Austria,48.375,15.56,572
Kozeretska,NS,2,VA,VA6,F,1,Kozeretska_2_VA6_1,6,1084,Russia,57.979,33.244,217
Kozeretska,NS,1,YE,YE27,F,1,Kozeretska_1_YE27_1,14,1084,Turkey,40.231,32.26,680
Kozeretska,NS,2,YE,YE40,F,1,Kozeretska_2_YE40_1,12,1084,Turkey,40.231,32.26,680
Kozeretska,NS,2,RE,RE2,F,1,Kozeretska_2_RE2_1,17,1084,Portugal,41.15,-8.41,175
Kozeretska,NS,1,RE,RE11,F,1,Kozeretska_1_RE11_1,9,1084,Portugal,41.15,-8.41,175
Kozeretska,NS,2,MA,MA7,F,1,Kozeretska_2_MA7_1,13,1084,Austria,48.375,15.56,572
Kozeretska,NS,2,MA,MA7,F,1,Kozeretska_2_MA7_1,16,1084,Austria,48.375,15.56,572
Ritchie,S,15,YE,YE19,F,1,Ritchie_15_YE19_1,803,1084,Turkey,40.231,32.26,680
Schmidt,NS,1,MA,MA19,F,1,Schmidt_1_MA19_1,8,1082.77,Austria,48.375,15.56,572
Schmidt,NS,1,YE,YE24,F,1,Schmidt_1_YE24_1,7,1082.44,Turkey,40.231,32.26,680
Schmidt,NS,1,RE,RE2,F,1,Schmidt_1_RE2_1,7,1082.405724,Portugal,41.15,-8.41,175
Schmidt,NS,1,KA,KA23,F,1,Schmidt_1_KA23_1,1,1082.256901,Denmark,55.945,10.213,15
Schmidt,NS,1,GI,GI15,F,1,Schmidt_1_GI15_1,3,1082.08,Spain,41.618,0.62,173
Ritchie,S,15,YE,YE19,F,2,Ritchie_15_YE19_2,840,1082,Turkey,40.231,32.26,680
Schmidt,NS,1,UM,UM23,F,1,Schmidt_1_UM23_1,7,1081.900503,Ukraine,48.753,30.206,214
Schmidt,NS,1,RE,RE11,F,1,Schmidt_1_RE11_1,1,1081.763065,Portugal,41.15,-8.41,175
Schmidt,NS,1,VA,VA55,F,1,Schmidt_1_VA55_1,1,1081.684316,Russia,57.979,33.244,217
Schmidt,NS,1,YE,YE40,F,1,Schmidt_1_YE40_1,7,1081.19,Turkey,40.231,32.26,680
Schmidt,NS,1,UM,UM18,F,1,Schmidt_1_UM18_1,6,1081.05,Ukraine,48.753,30.206,214
Kozeretska,NS,1,MA,MA31,F,1,Kozeretska_1_MA31_1,7,1081,Austria,48.375,15.56,572
Ritchie,S,10,MA,MA7,F,1,Ritchie_10_MA7_1,1787,1081,Austria,48.375,15.56,572
Ritchie,S,15,YE,YE19,F,1,Ritchie_15_YE19_1,806,1081,Turkey,40.231,32.26,680
Schmidt,NS,1,MA,MA21,F,1,Schmidt_1_MA21_1,7,1080.98,Austria,48.375,15.56,572
Schmidt,NS,1,VA,VA44,F,1,Schmidt_1_VA44_1,4,1080.545403,Russia,57.979,33.244,217
Kozeretska,NS,1,MA,MA28,F,1,Kozeretska_1_MA28_1,3,1080,Austria,48.375,15.56,572
Kozeretska,NS,1,MA,MA32,F,1,Kozeretska_1_MA32_1,19,1080,Austria,48.375,15.56,572
Kozeretska,NS,1,MA,MA33,F,1,Kozeretska_1_MA33_1,9,1080,Austria,48.375,15.56,572
Kozeretska,NS,1,MA,MA33,F,1,Kozeretska_1_MA33_1,16,1080,Austria,48.375,15.56,572
Kozeretska,NS,1,VA,VA71,F,1,Kozeretska_1_VA71_1,10,1080,Russia,57.979,33.244,217
Kozeretska,NS,2,YE,YE40,F,1,Kozeretska_2_YE40_1,7,1080,Turkey,40.231,32.26,680
Kozeretska,NS,2,RE,RE2,F,1,Kozeretska_2_RE2_1,14,1080,Portugal,41.15,-8.41,175
Kozeretska,NS,2,MA,MA7,F,1,Kozeretska_2_MA7_1,10,1080,Austria,48.375,15.56,572
Schmidt,NS,1,KA,KA23,F,1,Schmidt_1_KA23_1,9,1079.355067,Denmark,55.945,10.213,15
Schmidt,NS,1,RE,RE11,F,1,Schmidt_1_RE11_1,2,1079.304843,Portugal,41.15,-8.41,175
Ritchie,S,7,KA,KA3,F,3,Ritchie_7_KA3_3,1358,1079,Denmark,55.945,10.213,15
Ritchie,S,4,MU,MU2,F,3,Ritchie_4_MU2_3,2096,1079,Germany,48.18,11.61,520
Schmidt,NS,1,YE,YE40,F,1,Schmidt_1_YE40_1,1,1078.67,Turkey,40.231,32.26,680
Schmidt,NS,1,KA,KA3,F,1,Schmidt_1_KA3_1,9,1078.614388,Denmark,55.945,10.213,15
Ritchie,S,7,KA,KA3,F,3,Ritchie_7_KA3_3,1365,1078,Denmark,55.945,10.213,15
Schmidt,NS,1,RE,RE10,F,1,Schmidt_1_RE10_1,7,1077.927802,Portugal,41.15,-8.41,175
Schmidt,NS,1,UM,UM20,F,1,Schmidt_1_UM20_1,1,1077.57,Ukraine,48.753,30.206,214
Schmidt,NS,1,RE,RE2,F,1,Schmidt_1_RE2_1,9,1077.488042,Portugal,41.15,-8.41,175
Schmidt,NS,1,MA,MA3,F,1,Schmidt_1_MA3_1,3,1077.43,Austria,48.375,15.56,572
Schmidt,NS,1,RE,RE10,F,1,Schmidt_1_RE10_1,6,1077.249404,Portugal,41.15,-8.41,175
Schmidt,NS,1,YE,YE20,F,1,Schmidt_1_YE20_1,1,1076.92,Turkey,40.231,32.26,680
Schmidt,NS,1,YE,YE40,F,1,Schmidt_1_YE40_1,4,1076.46,Turkey,40.231,32.26,680
Schmidt,NS,1,YE,YE15,F,1,Schmidt_1_YE15_1,1,1076.1,Turkey,40.231,32.26,680
Kozeretska,NS,1,MU,MU8,F,1,Kozeretska_1_MU8_1,5,1076,Germany,48.18,11.61,520
Kozeretska,NS,1,MU,MU20,F,1,Kozeretska_1_MU20_1,14,1076,Germany,48.18,11.61,520
Kozeretska,NS,1,AK,AK8,F,1,Kozeretska_1_AK8_1,6,1076,Finland,61.1,23.52,88
Kozeretska,NS,1,MA,MA28,F,1,Kozeretska_1_MA28_1,19,1076,Austria,48.375,15.56,572
Kozeretska,NS,1,MA,MA32,F,1,Kozeretska_1_MA32_1,10,1076,Austria,48.375,15.56,572
Kozeretska,NS,2,UM,UM5,F,1,Kozeretska_2_UM5_1,8,1076,Ukraine,48.753,30.206,214
Kozeretska,NS,2,VA,VA6,F,1,Kozeretska_2_VA6_1,19,1076,Russia,57.979,33.244,217
Kozeretska,NS,1,VA,VA44,F,1,Kozeretska_1_VA44_1,14,1076,Russia,57.979,33.244,217
Kozeretska,NS,2,YE,YE33,F,1,Kozeretska_2_YE33_1,11,1076,Turkey,40.231,32.26,680
Kozeretska,NS,2,RE,RE2,F,1,Kozeretska_2_RE2_1,19,1076,Portugal,41.15,-8.41,175
Kozeretska,NS,2,RE,RE6,F,1,Kozeretska_2_RE6_1,17,1076,Portugal,41.15,-8.41,175
Kozeretska,NS,1,RE,RE10,F,1,Kozeretska_1_RE10_1,18,1076,Portugal,41.15,-8.41,175
Kozeretska,NS,1,GI,GI1,F,1,Kozeretska_1_GI1_1,17,1076,Spain,41.618,0.62,173
Kozeretska,NS,1,MA,MA7,F,1,Kozeretska_1_MA7_1,18,1076,Austria,48.375,15.56,572
Kozeretska,NS,2,MA,MA7,F,1,Kozeretska_2_MA7_1,18,1076,Austria,48.375,15.56,572
Ritchie,S,9,YE,YE14,F,2,Ritchie_9_YE14_2,688,1076,Turkey,40.231,32.26,680
Schmidt,NS,1,YE,YE14,F,1,Schmidt_1_YE14_1,4,1075.81,Turkey,40.231,32.26,680
Schmidt,NS,1,GI,GI15,F,1,Schmidt_1_GI15_1,7,1075.43,Spain,41.618,0.62,173
Schmidt,NS,1,VA,VA71,F,1,Schmidt_1_VA71_1,10,1075.338396,Russia,57.979,33.244,217
Ritchie,S,3,YE,YE11,F,3,Ritchie_3_YE11_3,540,1075,Turkey,40.231,32.26,680
Schmidt,NS,1,RE,RE4,F,1,Schmidt_1_RE4_1,10,1074.916308,Portugal,41.15,-8.41,175
Schmidt,NS,1,KA,KA25,F,1,Schmidt_1_KA25_1,8,1074.620892,Denmark,55.945,10.213,15
Schmidt,NS,1,VA,VA55,F,1,Schmidt_1_VA55_1,6,1074.378734,Russia,57.979,33.244,217
Schmidt,NS,1,RE,RE18,F,1,Schmidt_1_RE18_1,3,1074.120661,Portugal,41.15,-8.41,175
Schmidt,NS,1,KA,KA18,F,1,Schmidt_1_KA18_1,10,1074.06875,Denmark,55.945,10.213,15
Kozeretska,NS,2,KA,KA14,F,1,Kozeretska_2_KA14_1,20,1074,Denmark,55.945,10.213,15
Ritchie,S,6,GI,GI2,F,1,Ritchie_6_GI2_1,84,1074,Spain,41.618,0.62,173
Ritchie,S,9,YE,YE14,F,1,Ritchie_9_YE14_1,659,1074,Turkey,40.231,32.26,680
Schmidt,NS,1,YE,YE20,F,1,Schmidt_1_YE20_1,2,1073.3,Turkey,40.231,32.26,680
Schmidt,NS,1,AK,AK13,F,1,Schmidt_1_AK13_1,1,1073.27,Finland,61.1,23.52,88
Ritchie,S,6,GI,GI2,F,1,Ritchie_6_GI2_1,83,1073,Spain,41.618,0.62,173
Ritchie,S,7,KA,KA3,F,2,Ritchie_7_KA3_2,1334,1073,Denmark,55.945,10.213,15
Ritchie,S,7,KA,KA3,F,3,Ritchie_7_KA3_3,1355,1073,Denmark,55.945,10.213,15
Ritchie,S,10,MA,MA7,F,2,Ritchie_10_MA7_2,1816,1073,Austria,48.375,15.56,572
Ritchie,S,3,YE,YE11,F,3,Ritchie_3_YE11_3,547,1073,Turkey,40.231,32.26,680
Schmidt,NS,1,MU,MU20,F,1,Schmidt_1_MU20_1,4,1072.89,Germany,48.18,11.61,520
Schmidt,NS,1,GI,GI14,F,1,Schmidt_1_GI14_1,2,1072.84,Spain,41.618,0.62,173
Schmidt,NS,1,YE,YE40,F,1,Schmidt_1_YE40_1,3,1072.75,Turkey,40.231,32.26,680
Schmidt,NS,1,GI,GI15,F,1,Schmidt_1_GI15_1,2,1072.63,Spain,41.618,0.62,173
Schmidt,NS,1,MA,MA28,F,1,Schmidt_1_MA28_1,2,1072.49,Austria,48.375,15.56,572
Kozeretska,NS,1,AK,AK11,F,1,Kozeretska_1_AK11_1,3,1072,Finland,61.1,23.52,88
Kozeretska,NS,1,MA,MA32,F,1,Kozeretska_1_MA32_1,17,1072,Austria,48.375,15.56,572
Kozeretska,NS,1,MA,MA33,F,1,Kozeretska_1_MA33_1,4,1072,Austria,48.375,15.56,572
Kozeretska,NS,1,MA,MA33,F,1,Kozeretska_1_MA33_1,17,1072,Austria,48.375,15.56,572
Kozeretska,NS,2,VA,VA6,F,1,Kozeretska_2_VA6_1,9,1072,Russia,57.979,33.244,217
Kozeretska,NS,1,VA,VA57,F,1,Kozeretska_1_VA57_1,20,1072,Russia,57.979,33.244,217
Kozeretska,NS,2,VA,VA71,F,1,Kozeretska_2_VA71_1,7,1072,Russia,57.979,33.244,217
Kozeretska,NS,2,RE,RE1,F,1,Kozeretska_2_RE1_1,1,1072,Portugal,41.15,-8.41,175
Kozeretska,NS,2,RE,RE7,F,1,Kozeretska_2_RE7_1,9,1072,Portugal,41.15,-8.41,175
Kozeretska,NS,2,RE,RE7,F,1,Kozeretska_2_RE7_1,10,1072,Portugal,41.15,-8.41,175
Ritchie,S,3,YE,YE11,F,2,Ritchie_3_YE11_2,518,1072,Turkey,40.231,32.26,680
Ritchie,S,3,YE,YE11,F,3,Ritchie_3_YE11_3,548,1072,Turkey,40.231,32.26,680
Schmidt,NS,1,VA,VA46,F,1,Schmidt_1_VA46_1,7,1071.821215,Russia,57.979,33.244,217
Schmidt,NS,1,RE,RE12,F,1,Schmidt_1_RE12_1,10,1071.215582,Portugal,41.15,-8.41,175
Ritchie,S,15,GI,GI5,F,1,Ritchie_15_GI5_1,1047,1071,Spain,41.618,0.62,173
Ritchie,S,9,YE,YE14,F,1,Ritchie_9_YE14_1,651,1071,Turkey,40.231,32.26,680
Schmidt,NS,1,MA,MA19,F,1,Schmidt_1_MA19_1,10,1070.94,Austria,48.375,15.56,572
Schmidt,NS,1,GI,GI13,F,1,Schmidt_1_GI13_1,6,1070.46,Spain,41.618,0.62,173
Schmidt,NS,1,YE,YE51,F,1,Schmidt_1_YE51_1,7,1070.32,Turkey,40.231,32.26,680
Schmidt,NS,1,KA,KA18,F,1,Schmidt_1_KA18_1,3,1070.288401,Denmark,55.945,10.213,15
Schmidt,NS,1,KA,KA14,F,1,Schmidt_1_KA14_1,4,1070.198678,Denmark,55.945,10.213,15
Schmidt,NS,1,RE,RE17,F,1,Schmidt_1_RE17_1,4,1070.19723,Portugal,41.15,-8.41,175
Schmidt,NS,1,KA,KA14,F,1,Schmidt_1_KA14_1,7,1070.19723,Denmark,55.945,10.213,15
Schmidt,NS,1,YE,YE40,F,1,Schmidt_1_YE40_1,6,1070.08,Turkey,40.231,32.26,680
Ritchie,S,10,MA,MA7,F,3,Ritchie_10_MA7_3,1840,1070,Austria,48.375,15.56,572
Ritchie,S,15,YE,YE19,F,3,Ritchie_15_YE19_3,864,1070,Turkey,40.231,32.26,680
Schmidt,NS,1,MU,MU20,F,1,Schmidt_1_MU20_1,9,1069.99,Germany,48.18,11.61,520
Schmidt,NS,1,GI,GI10,F,1,Schmidt_1_GI10_1,5,1069.76,Spain,41.618,0.62,173
Schmidt,NS,1,KA,KA29,F,1,Schmidt_1_KA29_1,2,1069.728232,Denmark,55.945,10.213,15
Schmidt,NS,1,VA,VA30,F,1,Schmidt_1_VA30_1,2,1069.623982,Russia,57.979,33.244,217
Schmidt,NS,1,YE,YE15,F,1,Schmidt_1_YE15_1,7,1069.51,Turkey,40.231,32.26,680
Schmidt,NS,1,UM,UM7,F,1,Schmidt_1_UM7_1,6,1069.32,Ukraine,48.753,30.206,214
Schmidt,NS,1,MU,MU7,F,1,Schmidt_1_MU7_1,6,1069.07,Germany,48.18,11.61,520
Schmidt,NS,1,KA,KA18,F,1,Schmidt_1_KA18_1,9,1068.725854,Denmark,55.945,10.213,15
Schmidt,NS,1,RE,RE18,F,1,Schmidt_1_RE18_1,4,1068.356243,Portugal,41.15,-8.41,175
Schmidt,NS,1,RE,RE6,F,1,Schmidt_1_RE6_1,5,1068.256209,Portugal,41.15,-8.41,175
Kozeretska,NS,2,MU,MU3,F,1,Kozeretska_2_MU3_1,3,1068,Germany,48.18,11.61,520
Kozeretska,NS,1,MU,MU20,F,1,Kozeretska_1_MU20_1,7,1068,Germany,48.18,11.61,520
Kozeretska,NS,1,AK,AK14,F,1,Kozeretska_1_AK14_1,9,1068,Finland,61.1,23.52,88
Kozeretska,NS,2,MA,MA18,F,1,Kozeretska_2_MA18_1,19,1068,Austria,48.375,15.56,572
Kozeretska,NS,1,MA,MA30,F,1,Kozeretska_1_MA30_1,8,1068,Austria,48.375,15.56,572
Kozeretska,NS,1,MA,MA32,F,1,Kozeretska_1_MA32_1,9,1068,Austria,48.375,15.56,572
Kozeretska,NS,1,MA,MA33,F,1,Kozeretska_1_MA33_1,1,1068,Austria,48.375,15.56,572
Kozeretska,NS,2,KA,KA2,F,1,Kozeretska_2_KA2_1,5,1068,Denmark,55.945,10.213,15
Kozeretska,NS,2,VA,VA6,F,1,Kozeretska_2_VA6_1,12,1068,Russia,57.979,33.244,217
Kozeretska,NS,2,VA,VA11,F,1,Kozeretska_2_VA11_1,16,1068,Russia,57.979,33.244,217
Kozeretska,NS,1,VA,VA55,F,1,Kozeretska_1_VA55_1,5,1068,Russia,57.979,33.244,217
Kozeretska,NS,2,VA,VA55,F,1,Kozeretska_2_VA55_1,16,1068,Russia,57.979,33.244,217
Kozeretska,NS,2,VA,VA55,F,1,Kozeretska_2_VA55_1,20,1068,Russia,57.979,33.244,217
Kozeretska,NS,2,YE,YE33,F,1,Kozeretska_2_YE33_1,13,1068,Turkey,40.231,32.26,680
Kozeretska,NS,1,YE,YE40,F,1,Kozeretska_1_YE40_1,8,1068,Turkey,40.231,32.26,680
Kozeretska,NS,2,RE,RE2,F,1,Kozeretska_2_RE2_1,7,1068,Portugal,41.15,-8.41,175
Kozeretska,NS,1,RE,RE1,F,1,Kozeretska_1_RE1_1,2,1068,Portugal,41.15,-8.41,175
Kozeretska,NS,2,RE,RE6,F,1,Kozeretska_2_RE6_1,16,1068,Portugal,41.15,-8.41,175
Kozeretska,NS,2,MA,MA7,F,1,Kozeretska_2_MA7_1,4,1068,Austria,48.375,15.56,572
Ritchie,S,9,YE,YE14,F,1,Ritchie_9_YE14_1,655,1068,Turkey,40.231,32.26,680
Schmidt,NS,1,MU,MU6,F,1,Schmidt_1_MU6_1,3,1067.93,Germany,48.18,11.61,520
Schmidt,NS,1,GI,GI13,F,1,Schmidt_1_GI13_1,3,1067.72,Spain,41.618,0.62,173
Schmidt,NS,1,MU,MU16,F,1,Schmidt_1_MU16_1,5,1067.39,Germany,48.18,11.61,520
Schmidt,NS,1,RE,RE4,F,1,Schmidt_1_RE4_1,5,1067.171178,Portugal,41.15,-8.41,175
Schmidt,NS,1,MA,MA3,F,1,Schmidt_1_MA3_1,5,1067.08,Austria,48.375,15.56,572
Kozeretska,NS,1,MA,MA31,F,1,Kozeretska_1_MA31_1,9,1067,Austria,48.375,15.56,572
Ritchie,S,7,KA,KA3,F,3,Ritchie_7_KA3_3,1357,1067,Denmark,55.945,10.213,15
Ritchie,S,10,MA,MA7,F,2,Ritchie_10_MA7_2,1823,1067,Austria,48.375,15.56,572
Ritchie,S,4,MU,MU2,F,3,Ritchie_4_MU2_3,2092,1067,Germany,48.18,11.61,520
Schmidt,NS,1,VA,VA66,F,1,Schmidt_1_VA66_1,5,1066.844582,Russia,57.979,33.244,217
Schmidt,NS,1,UM,UM22,F,1,Schmidt_1_UM22_1,5,1066.832968,Ukraine,48.753,30.206,214
Schmidt,NS,1,MA,MA6,F,1,Schmidt_1_MA6_1,7,1066.63,Austria,48.375,15.56,572
Schmidt,NS,1,MA,MA12,F,1,Schmidt_1_MA12_1,9,1066.62,Austria,48.375,15.56,572
Schmidt,NS,1,MU,MU2,F,1,Schmidt_1_MU2_1,4,1066.53,Germany,48.18,11.61,520
Schmidt,NS,1,MA,MA6,F,1,Schmidt_1_MA6_1,1,1066.45,Austria,48.375,15.56,572
