Supervisor.PI,Diet,Batch,Population,Line,Sex,Individual,AreaT4,AreaT5,AreaT6,PercT4,PercT5,PercT6,TotalArea,TotalBlack,TotalPerc,Orientation,Country,Latitude,Longitude,Altitude
Gibert,NS,2,AK,AK6,FALSE,2,9163,6442,6297,15.563,34.88,41.655,21902,6296.02264,28.74633659,OK,Finland,61.1,23.52,88
Gibert,NS,2,AK,AK6,FALSE,3,8951,7410,5236,21.741,35.668,53.972,21597,7415.00963,34.33351683,OK,Finland,61.1,23.52,88
Gibert,NS,2,AK,AK6,FALSE,4,7152,6691,7322,41.82,34.255,23.231,21165,6983.94227,32.99760109,OK,Finland,61.1,23.52,88
Gibert,NS,2,AK,AK6,FALSE,5,13773,13811,7769,18.442,18.797,29.489,35353,7427.07074,21.00831822,OK,Finland,61.1,23.52,88
Gibert,NS,2,AK,AK6,FALSE,6,8293,6748,5261,32.654,31.758,55.275,20302,7759.04381,38.21812536,OK,Finland,61.1,23.52,88
Gibert,NS,2,AK,AK6,FALSE,7,6841,6913,6255,25.216,35.412,20.639,20009,5464.02757,27.30784932,OK,Finland,61.1,23.52,88
Gibert,NS,2,AK,AK6,FALSE,8,11528,7676,5257,38.541,59.745,61.936,24461,12285.0082,50.22283717,OK,Finland,61.1,23.52,88
Gibert,NS,2,AK,AK6,FALSE,9,9149,7248,6683,13.258,18.377,5.342,23080,2901.94524,12.57341958,OK,Finland,61.1,23.52,88
Gibert,NS,2,AK,AK6,FALSE,10,16489,10234,6897,16.296,13.621,11.483,33620,4873.00309,14.49435779,OK,Finland,61.1,23.52,88
Gibert,NS,1,AK,AK7,FALSE,1,9828,7751,6322,23.901,26.797,33.47,23901,6541.99915,27.37123614,OK,Finland,61.1,23.52,88
Gibert,NS,1,AK,AK7,FALSE,2,9345,8055,6809,13.109,12.278,1.645,24209,2326.037,9.608149862,OK,Finland,61.1,23.52,88
Gibert,NS,1,AK,AK7,FALSE,3,10041,10345,9109,3.486,12.141,47.777,29495,5958.02264,20.20011066,OK,Finland,61.1,23.52,88
Gibert,NS,1,AK,AK7,FALSE,4,10494,9639,7651,13.941,16.215,37.119,27784,5865.90708,21.11253628,OK,Finland,61.1,23.52,88
Gibert,NS,1,AK,AK7,FALSE,5,7646,7536,5994,29.558,31.701,1.818,21176,4757.96296,22.46865773,OK,Finland,61.1,23.52,88
Gibert,NS,1,AK,AK7,FALSE,6,11189,8772,7287,7.65,25.923,54.055,27248,7068.91191,25.9428652,OK,Finland,61.1,23.52,88
Gibert,NS,1,AK,AK7,FALSE,7,7765,7751,7405,18.467,18.952,22.309,22921,4554.91352,19.87222861,OK,Finland,61.1,23.52,88
Gibert,NS,1,AK,AK7,FALSE,8,9306,8296,8329,19.17,16.357,6.207,25931,3657.91795,14.10635128,OK,Finland,61.1,23.52,88
Gibert,NS,1,AK,AK7,FALSE,9,8193,8145,6920,37.813,28.938,44.986,23258,8568.05039,36.8391538,OK,Finland,61.1,23.52,88
Gibert,NS,1,AK,AK7,FALSE,10,8187,7950,7051,23.366,27.937,9.658,23188,4814.9515,20.76484173,OK,Finland,61.1,23.52,88
Gibert,NS,2,AK,AK8,FALSE,1,10685,8967,7377,50.856,36.924,41.589,27029,11812.95921,43.70475863,OK,Finland,61.1,23.52,88
Gibert,NS,2,AK,AK8,FALSE,2,13820,12768,9748,9.081,17.074,41.157,36336,7446.98688,20.49478996,OK,Finland,61.1,23.52,88
Gibert,NS,2,AK,AK8,FALSE,3,8290,8682,6607,37.033,42.962,24.444,23579,8415.01162,35.68858569,OK,Finland,61.1,23.52,88
Gibert,NS,2,AK,AK8,FALSE,4,9614,8381,6539,32.297,25.534,9.176,24534,5845.05676,23.82431222,OK,Finland,61.1,23.52,88
Gibert,NS,2,AK,AK8,FALSE,5,6966,4622,4597,66.179,43.488,15.314,16185,7324.02908,45.25195601,OK,Finland,61.1,23.52,88
Gibert,NS,2,AK,AK8,FALSE,6,8992,6816,6355,32.395,27.303,28.67,22163,6595.90938,29.76090502,OK,Finland,61.1,23.52,88
Gibert,NS,2,AK,AK8,FALSE,7,10233,8721,6911,28.652,38.115,37.78,25865,8866.94411,34.28163197,OK,Finland,61.1,23.52,88
Gibert,NS,2,AK,AK8,FALSE,8,6661,7550,8453,20.147,30.53,27.115,22664,5939.03762,26.20471947,OK,Finland,61.1,23.52,88
Gibert,NS,2,AK,AK8,FALSE,9,10063,9541,8401,45.911,44.88,37.055,28005,12015.01528,42.90310759,OK,Finland,61.1,23.52,88
Gibert,NS,2,AK,AK8,FALSE,10,10328,13833,11713,15.879,17.69,35.583,35874,8254.87761,23.01075322,OK,Finland,61.1,23.52,88
Gibert,NS,2,AK,AK9,FALSE,1,9581,8756,8325,55.996,52.067,66.523,26662,15462.00303,57.99266008,OK,Finland,61.1,23.52,88
Gibert,NS,2,AK,AK9,FALSE,2,8845,9268,8845,22.137,40.322,66.987,26958,11620.06076,43.10431323,OK,Finland,61.1,23.52,88
Gibert,NS,2,AK,AK9,FALSE,3,9658,6639,7279,28.577,37.31,55.502,23576,9276.96814,39.34920317,OK,Finland,61.1,23.52,88
Gibert,NS,2,AK,AK9,FALSE,4,7434,7599,7578,46.435,54.77,64.766,22611,12521.91768,55.37976065,OK,Finland,61.1,23.52,88
Gibert,NS,2,AK,AK9,FALSE,5,7145,6393,6285,48.523,41.671,58.998,19823,9839.01968,49.63436251,OK,Finland,61.1,23.52,88
Gibert,NS,2,AK,AK9,FALSE,6,7958,8175,8599,31.252,39.364,46.226,24732,9680.0149,39.1396365,OK,Finland,61.1,23.52,88
Gibert,NS,2,AK,AK9,FALSE,7,7386,6643,6716,32.061,51.919,56.075,20745,9583.00163,46.19427154,OK,Finland,61.1,23.52,88
Gibert,NS,2,AK,AK9,FALSE,8,8171,7306,7616,31.171,35.081,41.163,23093,8244.97435,35.70334885,OK,Finland,61.1,23.52,88
Gibert,NS,2,AK,AK9,FALSE,9,8429,7625,7988,48.725,46.584,61.48,24042,12570.08265,52.28384764,OK,Finland,61.1,23.52,88
Gibert,NS,2,AK,AK9,FALSE,10,9060,7202,6176,40.828,35.587,55.748,22438,9704.98902,43.25246911,OK,Finland,61.1,23.52,88
Gibert,NS,1,AK,AK10,FALSE,1,10011,8679,7740,26.011,34.578,59.432,26430,10205.02263,38.61151203,OK,Finland,61.1,23.52,88
Gibert,NS,1,AK,AK10,FALSE,2,10731,9406,6782,26.978,38.922,53.377,26919,10176.04064,37.80244675,OK,Finland,61.1,23.52,88
Gibert,NS,1,AK,AK10,FALSE,3,12494,10856,8811,15.263,23.72,40.268,32161,8030.0159,24.96817854,OK,Finland,61.1,23.52,88
Gibert,NS,1,AK,AK10,FALSE,4,10674,8007,9827,11.42,25.952,33.927,28508,6630.95373,23.2599752,OK,Finland,61.1,23.52,88
Gibert,NS,1,AK,AK10,FALSE,5,10013,9304,7715,12.664,36.694,67.997,27032,9928.02463,36.72693338,OK,Finland,61.1,23.52,88
Gibert,NS,1,AK,AK10,FALSE,6,8033,7208,8052,25.184,43.521,44.014,23293,8704.03168,37.36758545,OK,Finland,61.1,23.52,88
Gibert,NS,1,AK,AK10,FALSE,7,10040,8031,8238,19.283,36.384,43.882,26309,8473.0114,32.2057524,OK,Finland,61.1,23.52,88
Gibert,NS,1,AK,AK10,FALSE,8,9171,9006,9266,35.634,40.773,34.918,27443,10175.5124,37.07871734,OK,Finland,61.1,23.52,88
Gibert,NS,1,AK,AK10,FALSE,9,7831,8723,9859,34.415,35.997,56.02,26413,11358.06876,43.00181259,OK,Finland,61.1,23.52,88
Gibert,NS,1,AK,AK10,FALSE,10,9621,8499,8688,5.02,17.908,41.598,26808,5619.00936,20.96019606,OK,Finland,61.1,23.52,88
Gibert,NS,2,AK,AK11,FALSE,1,12007,8242,5611,29.733,51.711,77.788,25860,12196.74661,47.16452672,OK,Finland,61.1,23.52,88
Gibert,NS,2,AK,AK11,FALSE,2,4512,6872,7752,25.51,23.472,43.215,19136,6114.03384,31.95042768,OK,Finland,61.1,23.52,88
Gibert,NS,2,AK,AK11,FALSE,3,8762,6684,5972,24.88,30.955,37.709,21418,6500.99928,30.35297077,OK,Finland,61.1,23.52,88
Gibert,NS,2,AK,AK11,FALSE,4,7431,7473,8483,42.35,43.878,51.739,23387,10815.05081,46.24385689,OK,Finland,61.1,23.52,88
Gibert,NS,2,AK,AK11,FALSE,5,6671,6036,6544,40.624,39.662,40.281,19251,7740.014,40.20577632,OK,Finland,61.1,23.52,88
Gibert,NS,2,AK,AK11,FALSE,6,8279,8869,9063,21.319,23.452,46.563,26211,8064.96258,30.76938148,OK,Finland,61.1,23.52,88
Gibert,NS,2,AK,AK11,FALSE,7,9926,8008,8619,15.253,24.988,37.8,26553,6773.03382,25.50760298,OK,Finland,61.1,23.52,88
Gibert,NS,2,AK,AK11,FALSE,8,9370,9431,11030,12.124,27.42,41.741,29831,8326.0313,27.91066776,OK,Finland,61.1,23.52,88
Gibert,NS,2,AK,AK11,FALSE,9,7763,8518,7265,21.152,28.093,53.833,23546,7945.95895,33.74653423,OK,Finland,61.1,23.52,88
Gibert,NS,2,AK,AK11,FALSE,10,8117,8290,7145,31.687,40.193,54.906,23552,9827.06719,41.72497958,OK,Finland,61.1,23.52,88
Gibert,NS,1,AK,AK12,FALSE,1,8239,7437,6779,36.291,58.559,74.923,22455,12424.07849,55.32878419,OK,Finland,61.1,23.52,88
Gibert,NS,1,AK,AK12,FALSE,2,7866,7570,5683,12.052,27.649,38.923,21119,5253.03371,24.87349643,OK,Finland,61.1,23.52,88
Gibert,NS,1,AK,AK12,FALSE,3,8861,6822,7239,17.65,43.213,55.45,22922,8525.98286,37.19563241,OK,Finland,61.1,23.52,88
Gibert,NS,1,AK,AK12,FALSE,4,10097,7830,5604,26.889,43.333,49.197,23531,8864.95611,37.6735205,OK,Finland,61.1,23.52,88
Gibert,NS,1,AK,AK12,FALSE,5,9365,8838,7384,28.222,24.791,54.469,25587,8856.00984,34.61136452,OK,Finland,61.1,23.52,88
Gibert,NS,1,AK,AK12,FALSE,6,8042,8408,8336,27.108,37.036,64.575,24786,10676.98424,43.07667328,OK,Finland,61.1,23.52,88
Gibert,NS,1,AK,AK12,FALSE,7,6974,5844,5937,20.878,23.289,51.255,18755,5860.05023,31.24526915,OK,Finland,61.1,23.52,88
Gibert,NS,1,AK,AK12,FALSE,8,9569,7751,6424,7.085,30.835,59.745,23744,6906.0033,29.08525649,OK,Finland,61.1,23.52,88
Gibert,NS,1,AK,AK12,FALSE,9,11097,11022,6869,20.023,33.624,80.332,28988,11445.99467,39.48528588,OK,Finland,61.1,23.52,88
Gibert,NS,1,AK,AK12,FALSE,10,5573,5307,7078,8.254,31.449,45.225,17958,5330.01935,29.68047305,OK,Finland,61.1,23.52,88
Gibert,NS,2,AK,AK12,FALSE,1,9650,7998,6476,22.466,35.009,55.59,24124,8567.99722,35.51648657,OK,Finland,61.1,23.52,88
Gibert,NS,2,AK,AK12,FALSE,2,11499,8346,6709,22.802,35.945,35.639,26554,8012.99219,30.17621522,OK,Finland,61.1,23.52,88
Gibert,NS,2,AK,AK12,FALSE,3,13792,13848,8687,13.588,25.867,47.059,36327,9544.13445,26.27283962,OK,Finland,61.1,23.52,88
Gibert,NS,2,AK,AK12,FALSE,4,9481,12059,6813,15.536,20.516,46.866,28353,7139.97318,25.18242578,OK,Finland,61.1,23.52,88
Gibert,NS,2,AK,AK12,FALSE,5,13993,12797,9021,21.096,19.09,33.987,35811,8460.87785,23.62647748,OK,Finland,61.1,23.52,88
Gibert,NS,2,AK,AK12,FALSE,6,8960,9145,9471,11.596,27.053,49.71,27576,8221.03255,29.81227353,OK,Finland,61.1,23.52,88
Gibert,NS,2,AK,AK12,FALSE,7,8292,8891,7650,46.442,56.788,60.993,24833,13565.95622,54.6287449,OK,Finland,61.1,23.52,88
Gibert,NS,2,AK,AK12,FALSE,8,5767,5054,4242,18.606,36.783,66.148,15063,5738.019,38.09346744,OK,Finland,61.1,23.52,88
Gibert,NS,2,AK,AK12,FALSE,9,9488,8318,8951,40.809,43.027,43.012,26757,11300.9479,42.23548193,OK,Finland,61.1,23.52,88
Gibert,NS,2,AK,AK12,FALSE,10,7614,6244,6817,45.679,58.953,75.664,20675,12317.03926,59.57455507,OK,Finland,61.1,23.52,88
Gibert,NS,2,AK,AK13,FALSE,1,8818,7574,7427,34.702,37.417,46.802,23819,9369.97048,39.3382194,OK,Finland,61.1,23.52,88
Gibert,NS,2,AK,AK13,FALSE,2,8345,8846,8823,36.645,37.463,50.72,26014,10847.02783,41.69688564,OK,Finland,61.1,23.52,88
Gibert,NS,2,AK,AK13,FALSE,3,10380,8172,10557,18.083,38.204,55.072,29109,10812.99732,37.14657776,OK,Finland,61.1,23.52,88
Gibert,NS,2,AK,AK13,FALSE,4,8557,7550,8229,34.895,35.881,38.425,24336,8856.9739,36.39453443,OK,Finland,61.1,23.52,88
Gibert,NS,2,AK,AK13,FALSE,5,8797,9247,7290,33.864,43.344,45.706,25334,10319.00316,40.73183532,OK,Finland,61.1,23.52,88
Gibert,NS,2,AK,AK13,FALSE,6,8604,7850,6302,28.801,41.427,49.556,22756,8853.07666,38.90436219,OK,Finland,61.1,23.52,88
Gibert,NS,2,AK,AK13,FALSE,7,11540,10087,8757,24.454,38.911,32.18,30384,9564.94677,31.48020922,OK,Finland,61.1,23.52,88
Gibert,NS,2,AK,AK13,FALSE,8,10649,8877,8341,23.12,41.793,42.992,27867,9757.97613,35.0162419,OK,Finland,61.1,23.52,88
Gibert,NS,2,AK,AK13,FALSE,9,9835,9502,9009,39.237,37.392,49.828,28346,11900.95131,41.98458798,OK,Finland,61.1,23.52,88
Gibert,NS,2,AK,AK13,FALSE,10,10484,9423,6696,11.007,28.441,41.622,26603,6620.97843,24.88808943,OK,Finland,61.1,23.52,88
Gibert,NS,2,AK,AK14,FALSE,1,9238,9830,7032,26.261,45.951,81.84,26100,12697.96328,48.65120031,OK,Finland,61.1,23.52,88
Gibert,NS,2,AK,AK14,FALSE,2,6795,5758,5594,29.242,41.751,60.082,18147,7752.00356,42.71782421,OK,Finland,61.1,23.52,88
Gibert,NS,2,AK,AK14,FALSE,3,7404,6620,6384,12.534,33.036,49.608,20408,6281.97528,30.78192513,OK,Finland,61.1,23.52,88
Gibert,NS,2,AK,AK14,FALSE,4,7603,7279,7354,10.088,16.005,63.652,22236,6612.96267,29.73989328,OK,Finland,61.1,23.52,88
Gibert,NS,2,AK,AK14,FALSE,5,9812,10304,8725,44.507,51.621,79.232,28841,16599.04668,57.55364474,OK,Finland,61.1,23.52,88
Gibert,NS,2,AK,AK14,FALSE,6,9501,9157,6749,25.092,28.361,55.712,25407,8741.01057,34.40394604,OK,Finland,61.1,23.52,88
Gibert,NS,2,AK,AK14,FALSE,7,9115,9167,7820,5.507,13.789,58.491,26102,6339.99688,24.28931454,OK,Finland,61.1,23.52,88
Gibert,NS,2,AK,AK14,FALSE,8,14253,10924,6884,16.495,26.272,60.517,32061,9386.97591,29.2784876,OK,Finland,61.1,23.52,88
Gibert,NS,2,AK,AK14,FALSE,9,15949,12061,10505,6.007,13.879,34.641,38515,6271.03967,16.28207106,OK,Finland,61.1,23.52,88
Gibert,NS,2,AK,AK14,FALSE,10,11266,8581,8838,11.175,16.793,43.935,28685,6582.95813,22.94913066,OK,Finland,61.1,23.52,88
Gibert,NS,3,AK,AK15,FALSE,1,8781,6937,5912,35.748,41.891,38.447,21630,8317.99719,38.45583537,OK,Finland,61.1,23.52,88
Gibert,NS,3,AK,AK15,FALSE,2,8263,7172,7345,11.739,42.485,76.147,22780,9610.01492,42.18619368,OK,Finland,61.1,23.52,88
Gibert,NS,3,AK,AK15,FALSE,3,10188,9526,8896,23.891,25.362,52.642,28610,9533.03152,33.32062747,OK,Finland,61.1,23.52,88
Gibert,NS,3,AK,AK15,FALSE,4,16702,12848,8718,9.807,30.744,42.452,38268,9288.91962,24.27333443,OK,Finland,61.1,23.52,88
Gibert,NS,3,AK,AK15,FALSE,5,8733,6088,4779,14.027,33.328,49.864,19600,5636.98711,28.76013832,OK,Finland,61.1,23.52,88
Gibert,NS,3,AK,AK15,FALSE,6,8501,5822,4461,17.857,20.972,18.942,18784,3584.01603,19.08015348,OK,Finland,61.1,23.52,88
Gibert,NS,3,AK,AK15,FALSE,7,8018,7938,5979,14.33,36.382,55.059,21935,7328.96017,33.4121731,OK,Finland,61.1,23.52,88
Gibert,NS,3,AK,AK15,FALSE,8,9028,8876,7372,25.798,33.146,54.409,25276,9282.11388,36.72303323,OK,Finland,61.1,23.52,88
Gibert,NS,3,AK,AK15,FALSE,9,8217,7678,6240,35.451,50.469,57.901,22135,10401.04089,46.98911629,OK,Finland,61.1,23.52,88
Gibert,NS,3,AK,AK15,FALSE,10,10299,11649,9043,27.032,28.483,58.764,30991,11416.03887,36.83662634,OK,Finland,61.1,23.52,88
Gibert,NS,2,AK,AK16,FALSE,1,7417,7715,8899,17.662,28.736,44.645,24031,7499.93149,31.2094024,OK,Finland,61.1,23.52,88
Gibert,NS,2,AK,AK16,FALSE,2,10266,7549,6104,29.33,42.284,47.33,23919,9092.06016,38.01187408,OK,Finland,61.1,23.52,88
Gibert,NS,2,AK,AK16,FALSE,3,12097,8371,7975,17.384,31.585,53.266,28443,8994.88633,31.62425317,OK,Finland,61.1,23.52,88
Gibert,NS,2,AK,AK16,FALSE,4,6802,8583,8040,42.576,38.413,49.95,23425,10208.98731,43.58158937,OK,Finland,61.1,23.52,88
Gibert,NS,2,AK,AK16,FALSE,5,12846,10796,9060,23.704,36.226,52.715,32702,11731.9538,35.87534035,OK,Finland,61.1,23.52,88
Gibert,NS,2,AK,AK16,FALSE,6,9787,8726,9231,26.75,28.547,44.394,27744,9207.04386,33.18571172,OK,Finland,61.1,23.52,88
Gibert,NS,2,AK,AK16,FALSE,7,11810,9889,7864,12.786,22.702,42.002,29563,7058.06466,23.87465636,OK,Finland,61.1,23.52,88
Gibert,NS,2,AK,AK16,FALSE,8,11106,9890,9288,19.449,21.052,32.644,30284,7274.02346,24.01936158,OK,Finland,61.1,23.52,88
Gibert,NS,2,AK,AK16,FALSE,9,8361,7304,6958,17.33,24.493,48.347,22623,6601.91428,29.18231128,OK,Finland,61.1,23.52,88
Gibert,NS,2,AK,AK16,FALSE,10,15207,13950,7074,18.485,20.789,35.256,36231,8205.08889,22.64659791,OK,Finland,61.1,23.52,88
Gibert,NS,1,AK,AK17,FALSE,1,10355,7756,7829,13.24,20.075,25.239,25940,4903.98031,18.90508986,OK,Finland,61.1,23.52,88
Gibert,NS,1,AK,AK17,FALSE,2,7249,8386,8548,23.852,13.976,5.51,24183,3372.05364,13.94390125,OK,Finland,61.1,23.52,88
Gibert,NS,1,AK,AK17,FALSE,3,8727,6518,6269,14.335,10.279,0.287,21514,1938.9927,9.012701962,OK,Finland,61.1,23.52,88
Gibert,NS,1,AK,AK17,FALSE,4,14920,7873,5260,12.527,11.609,0,28053,2783.00497,9.920525327,OK,Finland,61.1,23.52,88
Gibert,NS,1,AK,AK17,FALSE,5,7261,6269,5396,47.115,82.565,11.156,18926,9198.99776,48.60508169,OK,Finland,61.1,23.52,88
Gibert,NS,1,AK,AK17,FALSE,6,8197,7402,7568,18.653,6.931,8.774,23167,2706.03535,11.68056006,OK,Finland,61.1,23.52,88
Gibert,NS,1,AK,AK17,FALSE,7,8123,10583,6961,14.601,10.753,6.105,25667,2748.99827,10.71024378,OK,Finland,61.1,23.52,88
Gibert,NS,1,AK,AK17,FALSE,8,8019,7705,7023,26.15,25.711,26.356,22747,5928.98293,26.06490056,OK,Finland,61.1,23.52,88
Gibert,NS,1,AK,AK17,FALSE,9,8476,9548,8004,15.609,11.657,5.66,26028,2889.0556,11.09979868,OK,Finland,61.1,23.52,88
Gibert,NS,1,AK,AK17,FALSE,10,8806,8848,8078,20.452,18.388,7.329,25732,4020.00998,15.6226099,OK,Finland,61.1,23.52,88
