Model	Trait	Sex	Population	Line	Value_re_Parsch	Value_re_Vieira	SE_re_Parsch	SE_re_Vieira
lmer_pop	HSM	F	YE	YE23	-65.431	5.622	11.476	7.918
lmer_pop	HSM	F	YE	YE24	24.052	11.922	12.982	9.892
lmer_pop	HSM	F	YE	YE26	19.55	-9.565	15.839	7.973
lmer_pop	HSM	F	YE	YE33	-29.573	-4.419	13.741	7.851
lmer_pop	HSM	F	YE	YE40	-71.514	-0.33	12.606	8.439
lmer_pop	HSM	F	YE	YE48	-19.205	8.785	12.825	13.218
lmer_pop	HSM	F	YE	YE51	43.211	-9.082	14.553	8.238
lmer_pop	HSM	F	YE	YE69	41.754	4.923	14.534	12.892
lmer_pop	HSM	F	YE	YE80	5.226	17.891	13.08	10.828
lmer_pop	HSM	F	AK	AK12	NA	12.305	NA	10.242
lmer_pop	HSM	F	AK	AK15	NA	-50.631	NA	8.123
lmer_pop	HSM	F	AK	AK16	NA	-13.849	NA	12.616
lmer_pop	HSM	F	AK	AK19	NA	-7.213	NA	8.244
lmer_pop	HSM	F	AK	AK2	NA	19.454	NA	10.177
lmer_pop	HSM	F	AK	AK5	NA	19.62	NA	10.073
lmer_pop	HSM	F	AK	AK8	NA	22.371	NA	10.995
lmer_pop	HSM	F	KA	KA13	NA	0.351	NA	15.412
lmer_pop	HSM	F	KA	KA16	NA	-4.235	NA	9.169
lmer_pop	HSM	F	KA	KA2	NA	-0.676	NA	9.795
lmer_pop	HSM	F	KA	KA25	NA	-6.757	NA	15.405
lmer_pop	HSM	F	KA	KA6	NA	21.263	NA	9.042
lmer_pop	HSM	F	MA	MA13	NA	21.991	NA	10.511
lmer_pop	HSM	F	MA	MA18	NA	4.602	NA	8.787
lmer_pop	HSM	F	MA	MA27	NA	-5.092	NA	12.891
lmer_pop	HSM	F	MA	MA28	NA	0.738	NA	11.593
lmer_pop	HSM	F	MA	MA31	NA	-0.442	NA	12.897
