"Country","Population","Line","PC1_M9","PC2_M9","Longitude","Latitude","Altitude","Location","PC1_clim","PC2_clim"
"Portugal","RE","RE10",0.941518383587574,2.12733989152798,-8.41,41.15,175,"Recarei",4.31656451134663,-1.05465914779054
"Portugal","RE","RE11",1.04170957184383,1.40915805567614,-8.41,41.15,175,"Recarei",4.31656451134663,-1.05465914779054
"Portugal","RE","RE12",0.040459562398972,0.402836070486675,-8.41,41.15,175,"Recarei",4.31656451134663,-1.05465914779054
"Portugal","RE","RE13",1.26375230138085,0.449771468333529,-8.41,41.15,175,"Recarei",4.31656451134663,-1.05465914779054
"Portugal","RE","RE15",-0.518210666375657,0.943454327079969,-8.41,41.15,175,"Recarei",4.31656451134663,-1.05465914779054
"Portugal","RE","RE16",0.812908702192418,1.07227861863595,-8.41,41.15,175,"Recarei",4.31656451134663,-1.05465914779054
"Portugal","RE","RE17",0.748358111493005,1.14212809426047,-8.41,41.15,175,"Recarei",4.31656451134663,-1.05465914779054
"Portugal","RE","RE2",3.03773840039926,3.06384389207316,-8.41,41.15,175,"Recarei",4.31656451134663,-1.05465914779054
"Portugal","RE","RE3",-0.168160013161382,3.25727796061316,-8.41,41.15,175,"Recarei",4.31656451134663,-1.05465914779054
"Portugal","RE","RE6",1.62246111945775,2.5190637698377,-8.41,41.15,175,"Recarei",4.31656451134663,-1.05465914779054
"Portugal","RE","RE7",3.5499061508839,1.63502398397271,-8.41,41.15,175,"Recarei",4.31656451134663,-1.05465914779054
"Spain","GI","GI1",-1.24121016684447,1.33142731310377,0.62,41.618,173,"Gimenells",5.10221989951192,1.14709528055257
"Spain","GI","GI11",-1.30022318347498,1.45985590362106,0.62,41.618,173,"Gimenells",5.10221989951192,1.14709528055257
"Spain","GI","GI14",0.778195796357353,1.26068116809898,0.62,41.618,173,"Gimenells",5.10221989951192,1.14709528055257
"Spain","GI","GI15",-1.38960892506145,0.665811207302428,0.62,41.618,173,"Gimenells",5.10221989951192,1.14709528055257
"Spain","GI","GI2",-2.51322711107701,-0.104288151411185,0.62,41.618,173,"Gimenells",5.10221989951192,1.14709528055257
"Spain","GI","GI3",-2.00643746549255,-0.253856000685034,0.62,41.618,173,"Gimenells",5.10221989951192,1.14709528055257
"Spain","GI","GI4",-2.86267767009978,0.84998611523691,0.62,41.618,173,"Gimenells",5.10221989951192,1.14709528055257
"Spain","GI","GI5",-1.12860867318902,1.55964324308844,0.62,41.618,173,"Gimenells",5.10221989951192,1.14709528055257
"Spain","GI","GI6",-0.739458372299014,0.282904246098412,0.62,41.618,173,"Gimenells",5.10221989951192,1.14709528055257
"Spain","GI","GI8",-1.03714487436406,0.873024202444696,0.62,41.618,173,"Gimenells",5.10221989951192,1.14709528055257
"Spain","GI","GI9",-1.10391839619929,-0.605465824442197,0.62,41.618,173,"Gimenells",5.10221989951192,1.14709528055257
"Germany","MU","MU1",0.903285308215158,-1.58262652980009,11.61,48.18,520,"Munich",-0.158182580647388,-1.39206971013128
"Germany","MU","MU11",-0.855030726380162,-1.80223574019048,11.61,48.18,520,"Munich",-0.158182580647388,-1.39206971013128
"Germany","MU","MU12",1.444090293006,0.362790533540991,11.61,48.18,520,"Munich",-0.158182580647388,-1.39206971013128
"Germany","MU","MU13",-1.32123213272911,0.335287788057149,11.61,48.18,520,"Munich",-0.158182580647388,-1.39206971013128
"Germany","MU","MU14",2.14926431536018,-0.81988438749512,11.61,48.18,520,"Munich",-0.158182580647388,-1.39206971013128
"Germany","MU","MU15",1.5243539586709,-0.1470243701219,11.61,48.18,520,"Munich",-0.158182580647388,-1.39206971013128
