"Supervisor.PI","Diet","Batch","Population","Sex","ReplicateCageOld","ReplicateCage","Individual","Censor","LSP_AgeAtDeath_days","Country","Latitude","Longitude","Altitude"
"Flatt","S",1,"AK","F",2,"Flatt_AK_F_2",38,0,64,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",2,"Flatt_AK_F_2",39,1,64,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",2,"Flatt_AK_F_2",40,0,66,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",2,"Flatt_AK_F_2",41,0,66,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",2,"Flatt_AK_F_2",42,1,66,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",2,"Flatt_AK_F_2",43,0,68,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",2,"Flatt_AK_F_2",44,0,68,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",2,"Flatt_AK_F_2",45,1,68,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",2,"Flatt_AK_F_2",46,1,68,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",2,"Flatt_AK_F_2",47,0,71,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",2,"Flatt_AK_F_2",48,0,71,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",2,"Flatt_AK_F_2",49,1,71,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",2,"Flatt_AK_F_2",50,0,73,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",2,"Flatt_AK_F_2",51,1,73,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",2,"Flatt_AK_F_2",52,0,75,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",2,"Flatt_AK_F_2",53,0,75,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",2,"Flatt_AK_F_2",54,0,75,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",2,"Flatt_AK_F_2",55,0,78,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",2,"Flatt_AK_F_2",56,0,78,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",2,"Flatt_AK_F_2",57,0,78,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",2,"Flatt_AK_F_2",58,0,85,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",2,"Flatt_AK_F_2",59,0,85,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",2,"Flatt_AK_F_2",60,1,92,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",2,"Flatt_AK_F_2",61,1,96,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",3,"Flatt_AK_F_3",1,1,3,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",3,"Flatt_AK_F_3",2,1,29,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",3,"Flatt_AK_F_3",3,0,36,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",3,"Flatt_AK_F_3",4,1,38,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",3,"Flatt_AK_F_3",5,0,40,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",3,"Flatt_AK_F_3",6,0,40,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",3,"Flatt_AK_F_3",7,1,43,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",3,"Flatt_AK_F_3",8,1,43,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",3,"Flatt_AK_F_3",9,0,45,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",3,"Flatt_AK_F_3",10,1,45,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",3,"Flatt_AK_F_3",11,0,47,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",3,"Flatt_AK_F_3",12,0,47,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",3,"Flatt_AK_F_3",13,0,47,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",3,"Flatt_AK_F_3",14,0,50,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",3,"Flatt_AK_F_3",15,0,50,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",3,"Flatt_AK_F_3",16,0,50,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",3,"Flatt_AK_F_3",17,1,50,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",3,"Flatt_AK_F_3",18,0,52,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",3,"Flatt_AK_F_3",19,0,52,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",3,"Flatt_AK_F_3",20,0,52,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",3,"Flatt_AK_F_3",21,0,52,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",3,"Flatt_AK_F_3",22,0,52,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",3,"Flatt_AK_F_3",23,0,54,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",3,"Flatt_AK_F_3",24,0,54,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",3,"Flatt_AK_F_3",25,0,54,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",3,"Flatt_AK_F_3",26,0,54,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",3,"Flatt_AK_F_3",27,0,57,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",3,"Flatt_AK_F_3",28,0,57,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",3,"Flatt_AK_F_3",29,0,57,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",3,"Flatt_AK_F_3",30,0,57,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",3,"Flatt_AK_F_3",31,0,57,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",3,"Flatt_AK_F_3",32,1,57,"Finland",61.1,23.52,88
