Model	Trait	Lab	Sex	Population	Line	Value_re	SE_re
lmer_pop	Via	Gibert	NA	MU	MU16	-0.065	0.056
lmer_pop	Via	Gibert	NA	MU	MU17	0.001	0.056
lmer_pop	Via	Gibert	NA	MU	MU18	0.088	0.056
lmer_pop	Via	Gibert	NA	MU	MU19	-0.007	0.042
lmer_pop	Via	Gibert	NA	MU	MU2	0.031	0.056
lmer_pop	Via	Gibert	NA	MU	MU20	-0.025	0.056
lmer_pop	Via	Gibert	NA	MU	MU3	-0.066	0.056
lmer_pop	Via	Gibert	NA	MU	MU4	-0.004	0.056
lmer_pop	Via	Gibert	NA	MU	MU5	0.087	0.056
lmer_pop	Via	Gibert	NA	MU	MU6	-0.089	0.056
lmer_pop	Via	Gibert	NA	MU	MU7	0.083	0.056
lmer_pop	Via	Gibert	NA	MU	MU8	-0.096	0.056
lmer_pop	Via	Gibert	NA	MU	MU9	-0.01	0.056
lmer_pop	Via	Gibert	NA	RE	RE1	-0.017	0.056
lmer_pop	Via	Gibert	NA	RE	RE10	0.052	0.056
lmer_pop	Via	Gibert	NA	RE	RE11	0.094	0.056
lmer_pop	Via	Gibert	NA	RE	RE12	-0.137	0.056
lmer_pop	Via	Gibert	NA	RE	RE13	-0.028	0.056
lmer_pop	Via	Gibert	NA	RE	RE15	0.154	0.056
lmer_pop	Via	Gibert	NA	RE	RE16	0.048	0.056
lmer_pop	Via	Gibert	NA	RE	RE17	0.105	0.065
lmer_pop	Via	Gibert	NA	RE	RE18	0.137	0.056
lmer_pop	Via	Gibert	NA	RE	RE2	-0.004	0.056
lmer_pop	Via	Gibert	NA	RE	RE3	-0.163	0.056
lmer_pop	Via	Gibert	NA	RE	RE4	-0.055	0.056
lmer_pop	Via	Gibert	NA	RE	RE5	0.015	0.056
lmer_pop	Via	Gibert	NA	RE	RE6	-0.073	0.056
lmer_pop	Via	Gibert	NA	RE	RE7	0.055	0.042
lmer_pop	Via	Gibert	NA	RE	RE8	-0.184	0.056
lmer_pop	Via	Gibert	NA	UM	UM13	0.01	0.056
lmer_pop	Via	Gibert	NA	UM	UM17	-0.005	0.056
lmer_pop	Via	Gibert	NA	UM	UM18	-0.019	0.056
lmer_pop	Via	Gibert	NA	UM	UM2	0.135	0.056
lmer_pop	Via	Gibert	NA	UM	UM20	-0.07	0.056
lmer_pop	Via	Gibert	NA	UM	UM21	0.095	0.056
lmer_pop	Via	Gibert	NA	UM	UM22	-0.155	0.056
lmer_pop	Via	Gibert	NA	UM	UM23	-0.166	0.056
lmer_pop	Via	Gibert	NA	UM	UM25	0.148	0.056
lmer_pop	Via	Gibert	NA	UM	UM26	-0.051	0.056
lmer_pop	Via	Gibert	NA	UM	UM28	0.031	0.056
lmer_pop	Via	Gibert	NA	UM	UM29	-0.059	0.056
lmer_pop	Via	Gibert	NA	UM	UM4	-0.043	0.056
lmer_pop	Via	Gibert	NA	UM	UM5	0.03	0.056
lmer_pop	Via	Gibert	NA	UM	UM6	0.002	0.056
lmer_pop	Via	Gibert	NA	UM	UM7	0.048	0.042
lmer_pop	Via	Gibert	NA	UM	UM8	0.008	0.056
lmer_pop	Via	Gibert	NA	UM	UM9	0.06	0.056
lmer_pop	Via	Gibert	NA	VA	VA1	-0.007	0.056
lmer_pop	Via	Gibert	NA	VA	VA11	-0.237	0.056
lmer_pop	Via	Gibert	NA	VA	VA15	-0.06	0.056
lmer_pop	Via	Gibert	NA	VA	VA18	0.188	0.056
lmer_pop	Via	Gibert	NA	VA	VA22	0.015	0.056
lmer_pop	Via	Gibert	NA	VA	VA26	-0.069	0.056
lmer_pop	Via	Gibert	NA	VA	VA30	0.073	0.056
lmer_pop	Via	Gibert	NA	VA	VA34	0.085	0.056
lmer_pop	Via	Gibert	NA	VA	VA35	0.088	0.056
lmer_pop	Via	Gibert	NA	VA	VA44	0.009	0.042
lmer_pop	Via	Gibert	NA	VA	VA46	0.008	0.056
lmer_pop	Via	Gibert	NA	VA	VA47	0.058	0.056
lmer_pop	Via	Gibert	NA	VA	VA48	0.064	0.056
lmer_pop	Via	Gibert	NA	VA	VA55	0.117	0.056
lmer_pop	Via	Gibert	NA	VA	VA57	-0.047	0.056
lmer_pop	Via	Gibert	NA	VA	VA6	-0.272	0.056
lmer_pop	Via	Gibert	NA	VA	VA66	0.071	0.056
lmer_pop	Via	Gibert	NA	VA	VA67	-0.136	0.056
lmer_pop	Via	Gibert	NA	VA	VA71	-0.002	0.056
lmer_pop	Via	Gibert	NA	VA	VA9	0.052	0.056
lmer_pop	Via	Gibert	NA	YE	YE11	-0.213	0.056
lmer_pop	Via	Gibert	NA	YE	YE13	-0.009	0.056
lmer_pop	Via	Gibert	NA	YE	YE14	0.191	0.056
lmer_pop	Via	Gibert	NA	YE	YE15	0.017	0.056
lmer_pop	Via	Gibert	NA	YE	YE19	0.053	0.056
lmer_pop	Via	Gibert	NA	YE	YE20	-0.15	0.056
lmer_pop	Via	Gibert	NA	YE	YE21	-0.15	0.056
lmer_pop	Via	Gibert	NA	YE	YE22	0.048	0.056
lmer_pop	Via	Gibert	NA	YE	YE23	0.038	0.056
lmer_pop	Via	Gibert	NA	YE	YE24	-0.123	0.056
lmer_pop	Via	Gibert	NA	YE	YE26	-0.17	0.056
lmer_pop	Via	Gibert	NA	YE	YE27	0.011	0.056
lmer_pop	Via	Gibert	NA	YE	YE33	0.107	0.056
lmer_pop	Via	Gibert	NA	YE	YE40	0.153	0.056
lmer_pop	Via	Gibert	NA	YE	YE41	-0.105	0.056
lmer_pop	Via	Gibert	NA	YE	YE48	0.011	0.056
lmer_pop	Via	Gibert	NA	YE	YE49	0.155	0.042
lmer_pop	Via	Gibert	NA	YE	YE51	-0.091	0.056
lmer_pop	Via	Gibert	NA	YE	YE69	0.106	0.056
lmer_pop	Via	Gibert	NA	YE	YE80	0.119	0.056
lmer_pop	Via	Grath	NA	AK	AK1	0.002	0.048
lmer_pop	Via	Grath	NA	AK	AK12	0.009	0.045
lmer_pop	Via	Grath	NA	AK	AK14	0.037	0.045
lmer_pop	Via	Grath	NA	AK	AK15	-0.044	0.045
lmer_pop	Via	Grath	NA	AK	AK17	0.003	0.045
lmer_pop	Via	Grath	NA	AK	AK21	-0.004	0.045
lmer_pop	Via	Grath	NA	AK	AK4	-0.01	0.048
lmer_pop	Via	Grath	NA	AK	AK6	-0.044	0.048
lmer_pop	Via	Grath	NA	AK	AK8	0.074	0.045
lmer_pop	Via	Grath	NA	AK	AK9	-0.023	0.045
lmer_pop	Via	Grath	NA	MU	MU10	0.097	0.045
lmer_pop	Via	Grath	NA	MU	MU13	-0.034	0.045
lmer_pop	Via	Grath	NA	MU	MU14	-0.041	0.045
lmer_pop	Via	Grath	NA	MU	MU15	0.018	0.045
lmer_pop	Via	Grath	NA	MU	MU3	0.013	0.045
lmer_pop	Via	Grath	NA	MU	MU4	-0.101	0.045
lmer_pop	Via	Grath	NA	MU	MU5	-0.016	0.045
lmer_pop	Via	Grath	NA	MU	MU6	0.05	0.045
lmer_pop	Via	Grath	NA	MU	MU7	0.004	0.045
lmer_pop	Via	Grath	NA	MU	MU8	0.009	0.045
lmer_pop	Via	Grath	NA	RE	RE10	0.039	0.045
