Model	Trait	Sex	Population	Line	Estimate_Parsch	Estimate_Pasyukova	SE_Parsch	SE_Pasyukova
lmer_pop	LS	M	GI	GI5	-9.761	-11.798	3.068	2.733
lmer_pop	LS	M	GI	GI6	7.914	2.488	2.954	2.733
lmer_pop	LS	M	GI	GI7	6.886	-2.124	3.258	2.733
lmer_pop	LS	M	GI	GI8	-8.314	2.373	3.143	2.733
lmer_pop	LS	M	GI	GI9	8.247	11.264	3.026	2.733
lmer_pop	LS	M	KA	KA1	3.053	0.733	2.975	2.733
lmer_pop	LS	M	KA	KA10	-3.187	10.827	2.875	2.733
lmer_pop	LS	M	KA	KA11	-4.594	0.294	3.237	2.733
lmer_pop	LS	M	KA	KA14	-6.919	1.545	3.021	2.733
lmer_pop	LS	M	KA	KA15	-1.308	1.297	3.095	2.733
lmer_pop	LS	M	KA	KA17	3.231	0.886	3.063	2.733
lmer_pop	LS	M	KA	KA18	8.676	-3.736	3.04	2.733
lmer_pop	LS	M	KA	KA23	-9.77	-3.096	3.147	2.733
lmer_pop	LS	M	KA	KA24	-3.199	0.409	3.116	2.733
lmer_pop	LS	M	KA	KA28	-5.291	-0.489	3.086	2.733
lmer_pop	LS	M	KA	KA29	3.734	-4.93	3.063	2.733
lmer_pop	LS	M	KA	KA3	4.75	1.774	3.017	2.733
lmer_pop	LS	M	KA	KA5	0.15	-6.266	3.231	2.733
lmer_pop	LS	M	KA	KA7	6.319	7.485	3.063	2.733
lmer_pop	LS	M	KA	KA9	4.354	2.366	3.223	2.733
lmer_pop	LS	M	MA	MA12	-1.575	-2.676	3.019	2.733
lmer_pop	LS	M	MA	MA16	-7.516	10.436	3.101	2.733
lmer_pop	LS	M	MA	MA18	5.909	7.819	3.022	2.733
lmer_pop	LS	M	MA	MA19	-1.38	12.804	3.173	2.733
lmer_pop	LS	M	MA	MA20	-1.87	-1.921	3.127	2.733
lmer_pop	LS	M	MA	MA21	4.651	2.166	3.068	2.733
lmer_pop	LS	M	MA	MA23	-1.659	2.175	2.95	2.733
lmer_pop	LS	M	MA	MA26	-0.867	-7.919	3.204	2.733
lmer_pop	LS	M	MA	MA3	2.58	-5.789	2.975	2.733
lmer_pop	LS	M	MA	MA30	-1.241	2.07	3.229	2.733
lmer_pop	LS	M	MA	MA33	-5.175	-8.043	3.039	2.733
lmer_pop	LS	M	MA	MA5	7.036	-4.347	2.956	2.733
lmer_pop	LS	M	MA	MA6	-4.1	-8.52	3.008	2.733
lmer_pop	LS	M	MA	MA7	2.175	1.65	3.444	2.733
lmer_pop	LS	M	MA	MA9	3.032	1.746	3.087	2.733
lmer_pop	LS	M	MU	MU1	4.277	-0.39	3.066	2.733
lmer_pop	LS	M	MU	MU10	-5.935	5.388	3.092	2.733
lmer_pop	LS	M	MU	MU11	-1.49	1.664	3.089	2.733
lmer_pop	LS	M	MU	MU14	4.579	0.938	3.017	2.733
lmer_pop	LS	M	MU	MU15	-5.866	6.887	2.998	2.733
lmer_pop	LS	M	MU	MU17	-3.783	-4.544	2.954	2.733
lmer_pop	LS	M	MU	MU18	4.698	4.223	3.092	2.733
lmer_pop	LS	M	MU	MU2	5.258	5.14	3.151	2.733
lmer_pop	LS	M	MU	MU20	-3.768	-8.66	3.233	2.733
lmer_pop	LS	M	MU	MU3	3.143	-0.18	3.015	2.733
lmer_pop	LS	M	MU	MU4	-7.17	-2.204	3.021	2.733
lmer_pop	LS	M	MU	MU5	0.832	-1.373	2.921	2.733
lmer_pop	LS	M	MU	MU6	6.855	4.863	2.974	2.733
lmer_pop	LS	M	MU	MU7	-4.665	-6.167	3.028	2.733
lmer_pop	LS	M	MU	MU9	3.034	0.814	3.089	2.733
lmer_pop	LS	M	RE	RE10	2.961	2.941	3.02	2.733
lmer_pop	LS	M	RE	RE11	0.838	8.786	2.956	2.733
lmer_pop	LS	M	RE	RE12	9.922	1.175	2.999	2.733
lmer_pop	LS	M	RE	RE13	4.714	0.487	2.974	2.733
lmer_pop	LS	M	RE	RE15	10.313	4.421	2.961	2.733
lmer_pop	LS	M	RE	RE16	-2.128	-1.824	3.178	2.733
lmer_pop	LS	M	RE	RE17	-5.656	-2.025	3.015	2.733
lmer_pop	LS	M	RE	RE18	1.882	-5.004	3.32	2.733
lmer_pop	LS	M	RE	RE2	-9.71	-2.903	3.139	2.733
lmer_pop	LS	M	RE	RE3	-5.263	-4.326	2.875	2.733
lmer_pop	LS	M	RE	RE4	3.396	0.372	3.113	2.733
lmer_pop	LS	M	RE	RE5	2.468	6.723	3.017	2.733
lmer_pop	LS	M	RE	RE6	-1.837	-2.359	3.068	2.733
lmer_pop	LS	M	RE	RE7	-4.234	3.6	3.022	2.733
lmer_pop	LS	M	RE	RE8	-7.666	-4.192	3.153	2.733
lmer_pop	LS	M	UM	UM13	5.556	4.817	3.114	2.733
lmer_pop	LS	M	UM	UM17	-0.057	-2.164	3.089	2.733
lmer_pop	LS	M	UM	UM18	-7.362	0.729	3.038	2.733
lmer_pop	LS	M	UM	UM2	-4.222	0.176	2.998	2.733
