Model	Trait	Sex	Population	Line	Coef_Parsch	Coef_Pasyukova	SE_Parsch	SE_Pasyukova
lmer_pop	LS	F	RE	RE10	50.0334279345311	40.7073124999989	4.31492450188684	2.81669912610072
lmer_pop	LS	F	RE	RE11	44.8744279345311	45.950312499999	4.27629389272807	2.81669912610072
lmer_pop	LS	F	RE	RE12	46.0864279345311	43.604312499999	4.38003121643938	2.81669912610072
lmer_pop	LS	F	RE	RE13	53.8754279345311	43.937312499999	4.30989819566349	2.81669912610072
lmer_pop	LS	F	RE	RE15	48.9454279345311	47.0333124999989	4.28770538365026	2.81669912610072
lmer_pop	LS	F	RE	RE16	49.2264279345311	40.441312499999	4.28556349351907	2.81669912610072
lmer_pop	LS	F	RE	RE17	41.2114279345311	42.968312499999	4.30416059841909	2.81669912610072
lmer_pop	LS	F	RE	RE18	50.1574279345311	39.377312499999	4.28556349351907	2.81669912610072
lmer_pop	LS	F	RE	RE2	46.7004279345311	46.0553124999989	4.29342211493156	2.81669912610072
lmer_pop	LS	F	RE	RE3	43.8044279345311	38.865312499999	4.24860241220374	2.81669912610072
lmer_pop	LS	F	RE	RE4	40.5984279345311	48.610312499999	4.33364159304659	2.81669912610072
lmer_pop	LS	F	RE	RE5	48.7664279345311	53.9483124999989	4.29986214395106	2.81669912610072
lmer_pop	LS	F	RE	RE6	46.7884279345311	46.9663124999989	4.29127748543291	2.81669912610072
lmer_pop	LS	F	RE	RE7	40.3684279345311	42.455312499999	4.25923202666671	2.81669912610072
lmer_pop	LS	F	RE	RE8	45.1374279345311	41.220312499999	4.33580609079597	2.81669912610072
lmer_pop	LS	F	UM	UM13	49.1244928269676	43.7782777777762	4.33104880972615	2.77649084549009
lmer_pop	LS	F	UM	UM17	52.9094928269676	36.9672777777762	4.31163922333842	2.77649084549009
lmer_pop	LS	F	UM	UM18	44.9284928269676	40.6622777777762	4.44253450096117	2.77649084549009
lmer_pop	LS	F	UM	UM2	50.4314928269676	36.9292777777762	4.27377863163621	2.77649084549009
lmer_pop	LS	F	UM	UM20	47.1074928269676	42.5432777777762	4.25744909449664	2.77649084549009
lmer_pop	LS	F	UM	UM21	48.7024928269676	44.8602777777762	4.29946040710114	2.77649084549009
lmer_pop	LS	F	UM	UM23	50.3274928269676	39.5602777777762	4.24966113851802	2.77649084549009
lmer_pop	LS	F	UM	UM25	52.1604928269676	34.3652777777762	4.29516982111654	2.77649084549009
lmer_pop	LS	F	UM	UM26	46.3664928269676	34.5832777777762	4.29516982111654	2.77649084549009
lmer_pop	LS	F	UM	UM28	51.9514928269676	30.6602777777762	4.32456989679093	2.77649084549009
lmer_pop	LS	F	UM	UM29	49.2384928269676	37.1002777777762	4.33032848548817	2.77649084549009
lmer_pop	LS	F	UM	UM4	39.0754928269676	32.8832777777762	4.32169327836096	2.77649084549009
lmer_pop	LS	F	UM	UM5	46.2364928269676	42.9992777777762	4.31020472741496	2.77649084549009
lmer_pop	LS	F	UM	UM7	52.9324928269676	39.6742777777762	4.33609418627297	2.77649084549009
lmer_pop	LS	F	UM	UM9	54.7594928269676	44.0152777777762	4.28161007008232	2.77649084549009
lmer_pop	LS	F	VA	VA1	54.7772896885996	45.0278749999976	4.27959790698445	2.74390002980816
lmer_pop	LS	F	VA	VA18	62.0262896885996	45.0378749999976	4.28602721007061	2.74390002980816
lmer_pop	LS	F	VA	VA22	52.0772896885996	44.7148749999976	4.28817236657596	2.74390002980816
lmer_pop	LS	F	VA	VA26	54.3602896885996	42.6158749999976	4.26819098043488	2.74390002980816
lmer_pop	LS	F	VA	VA30	61.7962896885996	38.5978749999976	4.28602721007061	2.74390002980816
lmer_pop	LS	F	VA	VA34	60.3812896885996	41.0858749999976	4.30824305784454	2.74390002980816
lmer_pop	LS	F	VA	VA47	54.9162896885996	42.1118749999976	4.31327453861514	2.74390002980816
lmer_pop	LS	F	VA	VA48	61.7852896885996	48.4568749999976	4.30968006300534	2.74390002980816
