Supervisor.PI	Diet	Batch	Population	Line	Sex	ReplicateVialOld	ReplicateVial	Individual	CentroidSizeLeft_micrometers	CentroidSizeRight_micrometers	Country	Latitude	Longitude	Altitude	Population_Lat	Population_Lon	Population_Alt	Color	StatusT	StatusM	Wolbachia	PC.ratio	DevAssym	AvArea
Onder	NS	2	AK	AK10	M	1	Onder_2_AK10_1	8	2516.19433454612	2488.04090743428	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.179	28.1534271118398	2502.1176209902
Onder	NS	2	AK	AK10	M	1	Onder_2_AK10_1	9	2388.59240360133	2393.81816779989	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.179	5.22576419856023	2391.20528570061
Onder	NS	2	AK	AK10	M	1	Onder_2_AK10_1	10	2340.97626250169	2355.64350621438	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.179	14.6672437126899	2348.30988435804
Onder	NS	2	AK	AK10	M	2	Onder_2_AK10_2	11	2381.52486572641	2390.2341223199	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.179	8.70925659348995	2385.87949402316
Onder	NS	2	AK	AK10	M	2	Onder_2_AK10_2	12	2445.73092509213	2449.75919864627	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.179	4.02827355414001	2447.7450618692
Onder	NS	2	AK	AK10	M	2	Onder_2_AK10_2	13	2335.98883589601	2333.40726435562	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.179	2.58157154039009	2334.69805012581
Onder	NS	2	AK	AK10	M	2	Onder_2_AK10_2	14	2405.91116133867	2409.6911894	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.179	3.78002806133009	2407.80117536933
Onder	NS	2	AK	AK10	M	2	Onder_2_AK10_2	15	2349.13186222996	2376.2009327038	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.179	27.0690704738399	2362.66639746688
Onder	NS	2	AK	AK10	M	2	Onder_2_AK10_2	16	2376.16993783416	2381.15711261353	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.179	4.98717477936998	2378.66352522384
Onder	NS	2	AK	AK10	M	2	Onder_2_AK10_2	17	2432.47731953973	2446.34282759854	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.179	13.8655080588101	2439.41007356914
Onder	NS	2	AK	AK10	M	2	Onder_2_AK10_2	18	2357.93584778	2349.39705281538	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.179	8.53879496462014	2353.66645029769
Onder	NS	2	AK	AK10	M	2	Onder_2_AK10_2	19	2409.86621564468	2423.05132851329	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.179	13.1851128686103	2416.45877207899
Onder	NS	2	AK	AK10	M	2	Onder_2_AK10_2	20	2348.29275138421	2354.96154933961	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.179	6.6687979553999	2351.62715036191
Onder	NS	2	AK	AK10	M	3	Onder_2_AK10_3	21	2226.97054872138	2216.28881647551	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.179	10.6817322458701	2221.62968259845
Onder	NS	2	AK	AK10	M	3	Onder_2_AK10_3	22	2493.77955403119	2490.90121970222	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.179	2.87833432897014	2492.3403868667
Onder	NS	2	AK	AK10	M	3	Onder_2_AK10_3	23	2375.06215625023	2342.082544942	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.179	32.9796113082302	2358.57235059612
Onder	NS	2	AK	AK10	M	3	Onder_2_AK10_3	24	2389.93675288515	2392.91029796815	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.179	2.97354508300032	2391.42352542665
Onder	NS	2	AK	AK10	M	3	Onder_2_AK10_3	25	2394.1814546759	2398.98675051197	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.179	4.80529583606994	2396.58410259394
Onder	NS	2	AK	AK10	M	3	Onder_2_AK10_3	26	2417.47092196188	2405.0592296739	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.179	12.4116922879798	2411.26507581789
Onder	NS	2	AK	AK10	M	3	Onder_2_AK10_3	27	2269.46481246747	2275.08983852216	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.179	5.6250260546899	2272.27732549482
Onder	NS	2	AK	AK10	M	3	Onder_2_AK10_3	28	2336.71507794211	2323.49679325925	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.179	13.21828468286	2330.10593560068
Onder	NS	2	AK	AK10	M	3	Onder_2_AK10_3	29	2455.62484176887	2478.69469840664	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.179	23.06985663777	2467.15977008775
