"","Supervisor.PI","Batch","Sex","Population","Mean","SD","Median","Min","Max","SE","CV","Mode"
"39","Grath","1","F","AK",309.719178082192,18.3713573518023,312,273,384,0.877817409254338,0.0593161762392607,312
"40","Grath","1","F","MU",305.757894736842,16.7437403193955,312,273,360,0.858935755031756,0.0547614325177323,312
"41","Grath","1","F","RE",318.833333333333,23.4616858777316,312,288,393,2.76498619703545,0.0735860508449502,312
"42","Grath","1","M","AK",317.358722358722,18.6736047305963,312,273,393,0.925616221641277,0.0588406853664127,312
"43","Grath","1","M","MU",312.087533156499,16.3152219263141,312,273,369,0.840276679368726,0.0522777111962776,312
"44","Grath","1","M","RE",320.814432989691,23.3056367899606,312,288,393,2.36632889406835,0.0726452253808343,312
"45","Hoedjes","1","F","AK",226.991071428571,10.6926029800114,226,202,298,0.714429587928584,0.0471058306950901,226
"46","Hoedjes","1","F","GI",232.764150943396,15.6174964993119,226,216,360,1.07261406330608,0.0670957981975056,226
"47","Hoedjes","1","F","KA",228.929292929293,12.1088569549895,226,202,312,0.860538992350456,0.0528934362223772,226
"48","Hoedjes","1","F","MA",231.705263157895,13.4973042060203,226,216,336,0.979197364197767,0.0582520397770273,226
"49","Hoedjes","1","F","MU",227.382608695652,8.56017243500122,226,202,250,0.564441055254067,0.0376465574218953,226
"50","Hoedjes","1","F","RE",240.058139534884,15.2644177085278,240,216,322,1.16390093875509,0.0635863367853421,240
"51","Hoedjes","1","F","UM",230.020942408377,10.2227600121047,226,216,288,0.739692954075781,0.0444427359746892,226
"52","Hoedjes","1","F","VA",230.708994708995,10.922598745066,226,202,274,0.794502151347531,0.0473436189986576,226
"53","Hoedjes","1","F","YE",231.964071856287,16.917194580566,226,202,312,1.30909181957426,0.0729302363300772,226
"54","Hoedjes","1","M","AK",233.910447761194,14.5138533924836,226,216,322,1.02372828596027,0.0620487606748597,226
"55","Hoedjes","1","M","GI",238.318181818182,12.1472352687895,240,216,288,0.915632309698792,0.0509706610553824,240
"56","Hoedjes","1","M","KA",234.20202020202,12.3222219286326,226,216,322,0.875702180759091,0.0526136449122153,226
"57","Hoedjes","1","M","MA",235.497757847534,12.744147018863,240,150,288,0.853411206375738,0.0541157891919882,226
"58","Hoedjes","1","M","MU",233.938053097345,16.3922925985711,226,216,370,1.09039908387313,0.0700710824149246,226
"59","Hoedjes","1","M","RE",251.488372093023,21.607202711835,250,150,360,1.6475337612208,0.0859173031818849,250
"60","Hoedjes","1","M","UM",236.068965517241,9.70524332804735,240,216,274,0.73575259794499,0.0411118984097828,240
"61","Hoedjes","1","M","VA",235.269406392694,11.8250055807794,240,216,288,0.799059827071515,0.0502615523288309,226
"62","Hoedjes","1","M","YE",233.425,11.8701305805791,226,216,274,0.938416218956173,0.0508520106268786,226
"63","Hoedjes","2","F","AK",231.264,12.1477807978763,226,202,298,0.768293116754935,0.0525277639315948,226
"64","Hoedjes","2","F","GI",240.102857142857,12.5143936833186,240,226,312,0.945999242709101,0.0521209694554893,240
"65","Hoedjes","2","F","KA",234.920634920635,15.9174179444274,226,202,346,1.00270308083886,0.0677565763850627,226
"66","Hoedjes","2","F","MA",230.68778280543,13.8799163302388,226,216,360,0.933664209829679,0.0601675396999486,226
"67","Hoedjes","2","F","MU",228.906403940887,8.01521501007965,226,216,264,0.562557809433582,0.0350152502161954,226
"68","Hoedjes","2","F","RE",238.63,11.1031300761289,240,226,288,0.785109856922702,0.0465286429875911,240
"69","Hoedjes","2","F","UM",235.252525252525,15.6810490133555,226,216,384,1.11440362761828,0.0666562409756202,226
"70","Hoedjes","2","F","VA",231.246511627907,12.5187587997591,226,216,322,0.85377226386319,0.0541359898215578,226
"71","Hoedjes","2","F","YE",239.457831325301,23.6042118505687,226,216,394,1.83204214367025,0.0985735639545762,226
"72","Hoedjes","2","M","AK",239.27619047619,14.7323783234081,240,216,370,1.01663068881858,0.0615705987883238,240
"73","Hoedjes","2","M","GI",247.671361502347,15.0942003271099,250,226,360,1.03423756480108,0.0609444718822159,250
"74","Hoedjes","2","M","KA",237.480392156863,15.1285007459703,240,202,322,1.05920691478926,0.063704209886842,240
"75","Hoedjes","2","M","MA",237.567567567568,14.6868498583727,240,216,312,0.985716821446608,0.0618217798361536,226
"76","Hoedjes","2","M","MU",238.143497757848,16.7895570384813,240,216,394,1.12431189827901,0.0705018495006466,240
"77","Hoedjes","2","M","RE",242.52380952381,9.59100900135645,240,226,288,0.739962409212939,0.0395466697483773,240
"78","Hoedjes","2","M","UM",240.196078431373,10.1321701152838,240,226,274,0.709393801020783,0.0421829123166917,240
"79","Hoedjes","2","M","VA",240.126984126984,18.343784439375,240,216,384,1.33431397976808,0.0763920161079209,240
"80","Hoedjes","2","M","YE",247.144927536232,23.5479168959952,240,226,394,2.00453180434802,0.0952797904077681,240
"81","Hoedjes","3","F","AK",234.216216216216,12.5265442025523,226,202,312,0.778361583994359,0.0534828220048966,226
"82","Hoedjes","3","F","GI",246.955555555556,15.3994827806849,250,216,298,1.62324801251691,0.0623573045200052,250
"83","Hoedjes","3","F","KA",231.5,15.1143283798662,226,202,384,1.01900781149301,0.0652886755069815,226
"84","Hoedjes","3","F","MA",236.432692307692,12.5133856237871,240,216,312,0.867647182619585,0.0529257840853171,226
"85","Hoedjes","3","F","MU",231.886639676113,12.7011979959467,226,202,298,0.808157875635937,0.0547733065332571,226
"86","Hoedjes","3","F","RE",234.341232227488,14.314732883362,226,216,298,0.985466852393268,0.0610849945069242,226
"87","Hoedjes","3","F","UM",231.358974358974,11.7110868115796,226,202,274,0.765577694584914,0.0506186839910897,226
"88","Hoedjes","3","F","VA",226.109589041096,10.3652050841188,226,202,288,0.700415651011548,0.0458415104289758,226
"89","Hoedjes","3","F","YE",229.894117647059,11.9213631814663,226,216,322,0.914326817951876,0.0518558861073966,226
"90","Hoedjes","3","M","AK",241.787610619469,14.7014444203032,240,216,312,0.977925536108827,0.0608031337198691,240
"91","Hoedjes","3","M","GI",255.172413793103,22.0960939916368,250,226,370,2.36894993393879,0.0865928007780362,250
"92","Hoedjes","3","M","KA",236.920792079208,15.7101755333888,240,216,370,1.10536409325742,0.0663098219262094,226
"93","Hoedjes","3","M","MA",242.178403755869,18.6837156239185,240,164,394,1.28018710031372,0.0771485621102405,240
"94","Hoedjes","3","M","MU",237.854368932039,17.4612645964468,240,216,394,1.21658395156259,0.0734115781637628,226
"95","Hoedjes","3","M","RE",240.030927835052,15.740745193233,240,216,370,1.13011964342046,0.0655779875335482,240
"96","Hoedjes","3","M","UM",237.591111111111,14.5126764512194,240,216,336,0.967511763414626,0.0610825732635782,240
"97","Hoedjes","3","M","VA",232.986046511628,12.1437954119448,226,216,322,0.828199973063388,0.0521224150277118,226
"98","Hoedjes","3","M","YE",236.78527607362,14.0342360628485,240,216,322,1.09924620538239,0.0592698849166832,226
"99","Hoedjes","4","F","AK",232.513833992095,10.8761428118794,226,202,274,0.683777240107127,0.0467763256282168,226
"100","Hoedjes","4","F","GI",233.535714285714,15.0296244260996,226,202,288,2.00841804479835,0.0643568563894769,226
"101","Hoedjes","4","F","KA",230.306306306306,11.9097608493816,226,202,312,0.799330811021337,0.0517126996667719,226
"102","Hoedjes","4","F","MA",234.637254901961,11.9985953329655,226,216,298,0.840069704053151,0.0511367870288924,226
"103","Hoedjes","4","F","MU",229.649122807018,12.1698569313425,226,202,288,0.805968464320773,0.0529932654764342,226
"104","Hoedjes","4","F","UM",232.235294117647,10.0778482430569,226,216,264,1.09309611659663,0.0433949899017139,226
"105","Hoedjes","4","F","VA",231.237113402062,11.4862144865311,226,216,288,0.824662140223825,0.0496728847611911,226
"106","Hoedjes","4","F","YE",230.634408602151,13.4881609318704,226,216,360,0.988999943801258,0.0584828647798938,226
"107","Hoedjes","4","M","AK",239.240174672489,15.0297643864838,240,202,360,0.993194786704594,0.0628229117749932,240
"108","Hoedjes","4","M","GI",238.140845070423,14.447239750849,240,202,274,1.71457191478367,0.0606667862733782,226
"109","Hoedjes","4","M","KA",236.279279279279,11.2226912760804,240,216,288,0.753217720573897,0.04749756859896,226
"110","Hoedjes","4","M","MA",241.125581395349,14.8241419197108,240,216,336,1.01099808767497,0.0614789265988546,240
"111","Hoedjes","4","M","MU",236.26213592233,12.0450059806593,240,216,298,0.839215332406531,0.0509815334295421,226
"112","Hoedjes","4","M","UM",238.2,10.5619330796851,240,226,298,1.18086001699898,0.0443406090666882,240
"113","Hoedjes","4","M","VA",234.835978835979,12.3942152223637,240,216,298,0.901546498985012,0.0527781785559379,226
"114","Hoedjes","4","M","YE",239.741935483871,17.3839958867462,240,216,346,1.2746564221672,0.0725112853187746,226
"115","Schmidt","1","F","AK",215.963636363636,19.9212730300192,208,184,352,1.34309195369317,0.0922436451129026,208
"116","Schmidt","1","F","GI",224.659340659341,16.5168061078673,216,188,304,1.73143173939533,0.0735193384766155,216
"117","Schmidt","1","F","KA",217.912280701754,18.2182371732447,212,184,328,1.20653223123239,0.0836035358566096,208
"118","Schmidt","1","F","MA",223.607843137255,26.9398735236974,212,184,368,1.88616841807334,0.120478213759081,212
"119","Schmidt","1","F","MU",219.982378854626,18.9176054064993,212,188,328,1.25560557079432,0.085996003429897,208
