"","Supervisor.PI","Batch","Sex","Population","Line","Mean","SD","Median","Min","Max","SE","CV","Mode"
"291","Gibert","2","M","KA","KA9",231.181818181818,12.4513429317236,226,216,264,1.8771105745714,0.0538595250684071,226
"292","Gibert","2","M","MA","MA12",215.111111111111,6.26034497387478,216,192,226,0.933237128278877,0.0291028433702856,216
"293","Gibert","2","M","MA","MA13",220,9.1323600454647,216,202,240,1.42623502322142,0.041510727479385,216
"294","Gibert","2","M","MA","MA19",224.782608695652,7.46521725062532,226,216,240,1.10068623455348,0.0332108310956252,226
"295","Gibert","2","M","MA","MA21",228.057142857143,7.31614997250385,226,216,240,1.23665505549871,0.0320803368877017,226
"296","Gibert","2","M","MA","MA23",236,9.75073961691743,240,216,264,1.87653071420841,0.041316693292023,240
"297","Gibert","2","M","MA","MA26",233.4375,9.35651403241131,233,216,264,1.65401363014628,0.040081452347679,226
"298","Gibert","2","M","MA","MA28",224.121212121212,7.59834511488182,226,202,240,1.32270210674106,0.0339028378570985,226
"299","Gibert","2","M","MA","MA30",226.666666666667,8.33580915602764,226,202,240,1.38930152600461,0.0367756286295337,226
"300","Gibert","2","M","MA","MA31",238.153846153846,14.3434788184521,240,226,264,2.81298763031124,0.0602277857363946,226
"301","Gibert","2","M","MA","MA5",213.909090909091,6.12496134805368,216,202,226,1.30584614705547,0.0286334784651893,216
"302","Gibert","2","M","MA","MA6",223,11.7611361833934,221,202,264,1.9079082257825,0.0527405210017639,216
"303","Gibert","2","M","MA","MA7",222.606060606061,9.28015151391464,226,202,240,1.61546702245598,0.0416886741028019,226
"304","Gibert","2","M","MU","MU10",217.136363636364,8.06251997391695,216,202,240,1.21547061901039,0.0371311365765486,216
"305","Gibert","2","M","MU","MU12",227.411764705882,11.4153475824351,226,202,250,1.95771595929758,0.0501968207194509,226
"306","Gibert","2","M","MU","MU13",235.024390243902,10.0012194378437,226,226,250,1.5619280630815,0.0425539639841834,226
"307","Gibert","2","M","MU","MU14",222.606060606061,6.64238000427649,226,216,240,1.15628994111145,0.0298391696353286,226
"308","Gibert","2","M","MU","MU17",247.086956521739,10.8214315893283,250,226,274,1.59553304192696,0.0437960454961377,240
"309","Gibert","2","M","MU","MU18",227.090909090909,8.95938687119953,226,202,250,1.35067839106387,0.0394528645248978,226
"310","Gibert","2","M","MU","MU19",224.55,11.1123631773181,226,202,250,1.75701889136554,0.0494872552986778,216
"311","Gibert","2","M","MU","MU2",218.2,9.03327183250897,216,202,250,1.42828568570857,0.0413990459785012,216
"312","Gibert","2","M","MU","MU3",217.6875,6.85536051144909,216,202,240,1.21186797628103,0.0314917508421434,216
"313","Gibert","2","M","MU","MU6",222.228571428571,7.98191232536088,226,202,240,1.34918943252975,0.035917579247574,226
"314","Gibert","2","M","MU","MU7",225.116279069767,9.57479156139053,226,202,250,1.46014202434474,0.0425326484648546,226
"315","Gibert","2","M","RE","RE1",225.028571428571,6.96835584577003,226,216,240,1.17786711830297,0.0309665381668297,226
"316","Gibert","2","M","RE","RE16",226.866666666667,10.3415243768403,220,216,250,1.88809539339499,0.045584150941112,220
"317","Gibert","2","M","RE","RE17",223.727272727273,10.6518982844814,220,202,264,1.31115804159701,0.0476110853837038,220
"318","Gibert","2","M","RE","RE2",233.6,12.0567286559146,240,216,250,2.0379591043307,0.0516127082873058,240
"319","Gibert","2","M","RE","RE4",228.628571428571,16.8157589153496,220,216,274,2.84238203875934,0.0735505576152507,220
"320","Gibert","2","M","RE","RE5",221.944444444444,7.64178155908852,220,216,250,1.27363025984809,0.034431055835693,220
"321","Gibert","2","M","RE","RE7",229.024390243902,11.136623826093,220,220,250,1.73924843765923,0.0486263660138246,220
"322","Gibert","2","M","UM","UM13",224.742857142857,8.40288065852089,226,202,240,1.42034606810498,0.0373888663931136,226
"323","Gibert","2","M","UM","UM21",233.2,11.8582537423594,226,202,274,1.76772409749047,0.0508501446927935,226
"324","Gibert","2","M","UM","UM22",243.161290322581,11.0968367090012,240,226,264,1.99305070866196,0.0456357041627802,240
"325","Gibert","2","M","UM","UM26",229.939393939394,14.9121162857997,226,216,274,2.5958662483708,0.0648523770995505,226
"326","Gibert","2","M","UM","UM28",240.558139534884,12.8606123041327,240,216,274,1.96122498998214,0.0534615554019437,240
"327","Gibert","2","M","UM","UM4",230.866666666667,7.90780205451131,226,226,250,1.44376052184718,0.0342526799935517,226
"328","Gibert","2","M","UM","UM5",230.791666666667,10.9834659749414,226,216,264,1.58532675931688,0.0475903923810423,226
"329","Gibert","2","M","UM","UM6",227.842105263158,11.9854107615782,226,216,264,1.94429036657916,0.0526040204365873,226
"330","Gibert","2","M","UM","UM7",237.304347826087,9.970778561415,240,226,264,1.47011109548234,0.0420168389359738,240
"331","Gibert","2","M","UM","UM8",239.6,7.72873426463437,240,216,264,1.22202018532156,0.0322568208039832,240
"332","Gibert","2","M","VA","VA11",236.1,9.59111430878657,240,216,250,2.14463835744177,0.0406231016890579,240
"333","Gibert","2","M","VA","VA18",227.955555555556,9.690566067422,226,202,250,1.44458429781389,0.042510769451549,226
"334","Gibert","2","M","VA","VA22",226.27027027027,6.61920039081865,226,216,240,1.08818984102181,0.0292535134329061,226
"335","Gibert","2","M","VA","VA26",233.714285714286,9.26505638629738,233,216,250,1.75093107722383,0.0396426617995609,226
"336","Gibert","2","M","VA","VA34",229.021276595745,7.40002750201155,226,216,240,1.0794049486651,0.032311528483328,226
"337","Gibert","2","M","VA","VA44",223.212121212121,9.62989348252869,226,202,250,1.67634928454165,0.0431423411517033,226
"338","Gibert","2","M","VA","VA46",230.142857142857,7.31710801385432,226,226,250,1.12905427857219,0.0317937654233273,226
"339","Gibert","2","M","VA","VA55",233.884615384615,8.79762411365983,226,226,250,1.22001095554073,0.037615232191277,226
"340","Gibert","2","M","VA","VA6",227.375,7.10750776761212,226,216,240,1.77687694190303,0.0312589676420544,226
"341","Gibert","2","M","VA","VA66",230.791666666667,8.09244021618215,226,216,250,1.16804313430343,0.0350638319531272,226
"342","Gibert","2","M","VA","VA71",225.225806451613,8.25715720822187,226,216,250,1.48302921426525,0.0366616833937092,226
"343","Gibert","2","M","YE","YE13",228.95652173913,10.5118040181224,226,216,250,2.1918626555216,0.0459117911919514,226
"344","Gibert","2","M","YE","YE15",216.307692307692,6.58950214064298,216,202,226,1.29230769230769,0.0304635589716781,216
"345","Gibert","2","M","YE","YE19",220.8,15.5771716258783,216,202,274,2.84398942720766,0.0705487845374924,216
"346","Gibert","2","M","YE","YE20",214.105263157895,13.7674928599627,216,202,264,3.15847947802605,0.06430244944427,216
"347","Gibert","2","M","YE","YE22",226.258064516129,11.8179742819585,226,216,250,2.12257084025581,0.0522322786912907,216
"348","Gibert","2","M","YE","YE24",222.7,14.0566522929256,221,202,250,3.14316300630599,0.0631192289758671,216
"349","Gibert","2","M","YE","YE40",217.405405405405,5.57504090398278,216,202,226,0.916531078800712,0.0256435247945503,216
"350","Gibert","2","M","YE","YE41",229.375,15.0681783902368,226,216,264,3.76704459755921,0.0656923308566183,216
"351","Gibert","2","M","YE","YE49",226.857142857143,10.0970084595356,226,202,250,1.70670593192126,0.0445082236881291,226
"352","Gibert","2","M","YE","YE51",215.2,7.92103889290143,216,202,226,2.04520344779123,0.0368078015469397,216
"353","Gibert","2","M","YE","YE69",227.666666666667,12.7973211482493,226,216,264,2.13288685804155,0.0562107810318417,226
