"Trait","Sex","Population","Mstar","SEMstar","Q","p","LLMstar","ULMstar"
"Dia","F","YE",1.16491203216992,0.152721006844775,2.36303112920052,0.967812232095698,0.865584359071466,1.46423970526837
"Dia","F","RE",1.11992437316743,0.177723627030752,2.36303112920052,0.967812232095698,0.771592464985326,1.46825628134953
"Dia","F","GI",1.08695536906744,0.185052928051217,2.36303112920052,0.967812232095698,0.72425829485337,1.4496524432815
"Dia","F","MU",1.20200269445811,0.15910704361053,2.36303112920052,0.967812232095698,0.890158619294828,1.51384676962139
"Dia","F","MA",1.17248206199113,0.137309246846456,2.36303112920052,0.967812232095698,0.903360883427753,1.4416032405545
"Dia","F","UM",1.31541007097748,0.117371925465934,2.36303112920052,0.967812232095698,1.08536532426813,1.54545481768683
"Dia","F","KA",1.15018145221458,0.180130923550661,2.36303112920052,0.967812232095698,0.797131329553345,1.50323157487581
"Dia","F","VA",1.2148940113509,0.111787972194156,2.36303112920052,0.967812232095698,0.995793611945588,1.43399441075621
"Dia","F","AK",1.02953138402629,0.205526065617528,2.36303112920052,0.967812232095698,0.626707697531718,1.43235507052086
"DW","F","YE",0.450256127043069,0.0152001715313626,10.6235635666395,0.223954053693448,0.420464338282768,0.480047915803371
"DW","F","RE",0.482687829813835,0.0155152556299067,10.6235635666395,0.223954053693448,0.452278487568285,0.513097172059384
"DW","F","GI",0.454769375025456,0.0119136372708916,10.6235635666395,0.223954053693448,0.431419075049635,0.478119675001278
"DW","F","MU",0.459960425231843,0.0124554825996511,10.6235635666395,0.223954053693448,0.435548127926462,0.484372722537225
"DW","F","MA",0.470922488703192,0.0169100940533702,10.6235635666395,0.223954053693448,0.437779313383402,0.504065664022983
"DW","F","UM",0.470822370510145,0.0151183800646035,10.6235635666395,0.223954053693448,0.441190890078934,0.500453850941356
"DW","F","KA",0.471762019204135,0.0126508734493735,10.6235635666395,0.223954053693448,0.446966762870389,0.496557275537881
"DW","F","VA",0.479595623267571,0.00712091320036784,10.6235635666395,0.223954053693448,0.465638889857814,0.493552356677327
"DW","F","AK",0.443166885171712,0.0125071995692716,10.6235635666395,0.223954053693448,0.418653224468484,0.467680545874939
"DW","M","YE",0.254698262881048,0.0047465000345844,23.1209825768772,0.00321234203333262,0.245395293760645,0.264001232001452
"DW","M","RE",0.271640438391816,0.00350971113436054,23.1209825768772,0.00321234203333262,0.264761530972331,0.278519345811302
"DW","M","GI",0.259578752248249,0.00353522470027979,23.1209825768772,0.00321234203333262,0.252649839158444,0.266507665338054
"DW","M","MU",0.269020207079535,0.00313266612586052,23.1209825768772,0.00321234203333262,0.26288029429726,0.27516011986181
"DW","M","MA",0.270481627784819,0.00321944429551825,23.1209825768772,0.00321234203333262,0.26417163291537,0.276791622654268
"DW","M","UM",0.270991781387249,0.00367231701997372,23.1209825768772,0.00321234203333262,0.263794172288287,0.278189390486211
"DW","M","KA",0.273072646316453,0.00475590010434057,23.1209825768772,0.00321234203333262,0.263751253397875,0.282394039235031
"DW","M","VA",0.268432285990142,0.00312860981916149,23.1209825768772,0.00321234203333262,0.262300323422907,0.274564248557377
"DW","M","AK",0.259483129371842,0.00313580459463977,23.1209825768772,0.00321234203333262,0.253337065303793,0.265629193439892
