"Models","Trait","Sex","Population","Estimate","SE","LLEst","ULEst","Q","P","N_lab","N_lab_av"
"glmers","Dia","F","GI",1.53679449215283,1.01232820269308,-0.447332325659761,3.52092130996543,1.43439332904573,0.993744457710443,3,3
"glmers","Dia","F","MU",2.30865418507883,1.17014704431738,0.0152081216007587,4.6021002485569,1.43439332904573,0.993744457710443,3,3
"glmers","Dia","F","MA",1.89039412474926,0.901272993997461,0.123931516275648,3.65685673322286,1.43439332904573,0.993744457710443,3,3
"glmers","Dia","F","UM",2.93960046717975,1.01111142332494,0.957858493105839,4.92134244125366,1.43439332904573,0.993744457710443,3,3
"glmers","Dia","F","KA",1.90308797598011,1.19902910258166,-0.446965881495326,4.25314183345555,1.43439332904573,0.993744457710443,3,3
"glmers","Dia","F","VA",1.97059837884916,0.760245394566911,0.480544786085569,3.46065197161275,1.43439332904573,0.993744457710443,3,3
"glmers","Dia","F","AK",1.38391421724751,1.26462310744793,-1.09470152736757,3.86252996186258,1.43439332904573,0.993744457710443,3,3
"lmers","Dia","F","YE",1.16501675210555,0.152766694005035,0.86559953381843,1.46443397039267,2.36391711962856,0.967774856470298,3,3
"lmers","Dia","F","RE",1.11998129196338,0.177737109285993,0.771622959046575,1.46833962488019,2.36391711962856,0.967774856470298,3,3
"lmers","Dia","F","GI",1.08701690223617,0.185084014840584,0.724258899034551,1.44977490543779,2.36391711962856,0.967774856470298,3,3
"lmers","Dia","F","MU",1.20207269153711,0.159134425485478,0.8901749488851,1.51397043418912,2.36391711962856,0.967774856470298,3,3
"lmers","Dia","F","MA",1.17252269839767,0.137327014766804,0.903366695350337,1.44167870144501,2.36391711962856,0.967774856470298,3,3
"lmers","Dia","F","UM",1.31557185655382,0.117425096356932,1.08542289681309,1.54572081629455,2.36391711962856,0.967774856470298,3,3
"lmers","Dia","F","KA",1.15023758329883,0.180143683232712,0.79716245212032,1.50331271447734,2.36391711962856,0.967774856470298,3,3
"lmers","Dia","F","VA",1.21493836164427,0.111814785204583,0.995785409704206,1.43409131358434,2.36391711962856,0.967774856470298,3,3
"lmers","Dia","F","AK",1.02954193601786,0.205530390702768,0.626709772511988,1.43237409952373,2.36391711962856,0.967774856470298,3,3
"lmers","DW","F","YE",0.450256127043069,0.0152001715313626,0.420464338282768,0.480047915803371,10.6235635666395,0.223954053693448,3,3
"lmers","DW","F","RE",0.482687829813835,0.0155152556299067,0.452278487568285,0.513097172059384,10.6235635666395,0.223954053693448,3,3
"lmers","DW","F","GI",0.454769375025456,0.0119136372708916,0.431419075049635,0.478119675001278,10.6235635666395,0.223954053693448,3,3
