Model	Trait	Sex	Population	Line	Estimate_Schmidt	Estimate_Gibert	Estimate_Grath	Estimate_Hoedjes	Estimate_StamenkovicRadak	Estimate_Zwaan	SE_Schmidt	SE_Gibert	SE_Grath	SE_Hoedjes	SE_StamenkovicRadak	SE_Zwaan
lmer_pop	DT_P	NA	RE	RE13	13.994	NA	NA	NA	NA	NA	2.589	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	RE	RE15	-15.446	NA	NA	NA	NA	NA	2.15	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	RE	RE16	3.599	NA	NA	NA	NA	NA	2.942	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	RE	RE17	28.181	NA	NA	NA	NA	NA	2.193	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	RE	RE18	-2.112	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	RE	RE2	-4.32	NA	NA	NA	NA	NA	1.825	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	RE	RE3	-13.57	NA	NA	NA	NA	NA	4.199	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	RE	RE4	-6.582	NA	NA	NA	NA	NA	2.942	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	RE	RE5	-1.069	NA	NA	NA	NA	NA	5.005	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	RE	RE6	14.639	NA	NA	NA	NA	NA	3.183	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	RE	RE7	-13.497	NA	NA	NA	NA	NA	2.589	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	RE	RE8	-8.813	NA	NA	NA	NA	NA	1.906	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	UM	UM13	-8.075	NA	NA	NA	NA	NA	2.193	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	UM	UM17	-13.841	NA	NA	NA	NA	NA	2.395	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	UM	UM18	-4.509	NA	NA	NA	NA	NA	1.669	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	UM	UM2	3.794	NA	NA	NA	NA	NA	1.688	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	UM	UM20	8.565	NA	NA	NA	NA	NA	1.753	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	UM	UM21	24.222	NA	NA	NA	NA	NA	2.239	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	UM	UM22	9.217	NA	NA	NA	NA	NA	2.193	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	UM	UM23	-7.091	NA	NA	NA	NA	NA	2.455	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	UM	UM25	19.506	NA	NA	NA	NA	NA	2.395	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	UM	UM28	-3.356	NA	NA	NA	NA	NA	2.035	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	UM	UM29	-21.054	NA	NA	NA	NA	NA	2.589	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	UM	UM4	0.672	NA	NA	NA	NA	NA	2.071	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	UM	UM5	2.834	NA	NA	NA	NA	NA	2.239	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	UM	UM7	-13.476	NA	NA	NA	NA	NA	2.15	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	UM	UM9	2.591	NA	NA	NA	NA	NA	2.193	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	VA	VA1	-25.145	NA	NA	NA	NA	NA	2.193	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	VA	VA11	31.983	NA	NA	NA	NA	NA	2.666	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	VA	VA15	-7.348	NA	NA	NA	NA	NA	2.519	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	VA	VA18	17.035	NA	NA	NA	NA	NA	5.005	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	VA	VA22	9.549	NA	NA	NA	NA	NA	3.494	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	VA	VA26	-7.065	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	VA	VA30	-4.796	NA	NA	NA	NA	NA	2.942	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	VA	VA34	3.675	NA	NA	NA	NA	NA	2.339	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	VA	VA35	-4.969	NA	NA	NA	NA	NA	2.339	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	VA	VA44	30.271	NA	NA	NA	NA	NA	3.919	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	VA	VA46	-15.77	NA	NA	NA	NA	NA	1.906	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	VA	VA47	-1.578	NA	NA	NA	NA	NA	1.878	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	VA	VA48	6.429	NA	NA	NA	NA	NA	4.199	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	VA	VA55	-17.266	NA	NA	NA	NA	NA	1.967	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	VA	VA57	2.504	NA	NA	NA	NA	NA	2.455	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	VA	VA66	13.396	NA	NA	NA	NA	NA	3.055	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	VA	VA67	-19.834	NA	NA	NA	NA	NA	2.666	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	VA	VA71	-2.506	NA	NA	NA	NA	NA	2.749	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	VA	VA9	-8.564	NA	NA	NA	NA	NA	1.906	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	YE	YE11	8.883	NA	NA	NA	NA	NA	2.666	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	YE	YE13	-3.037	NA	NA	NA	NA	NA	2.841	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	YE	YE14	-7.534	NA	NA	NA	NA	NA	1.936	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	YE	YE15	-1.067	NA	NA	NA	NA	NA	4.199	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	YE	YE19	12.518	NA	NA	NA	NA	NA	4.549	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	YE	YE20	-1.316	NA	NA	NA	NA	NA	2.109	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	YE	YE21	0.202	NA	NA	NA	NA	NA	2.071	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	YE	YE22	-13.606	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	YE	YE23	2.115	NA	NA	NA	NA	NA	2.841	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	YE	YE24	-9.356	NA	NA	NA	NA	NA	1.906	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	YE	YE26	9.047	NA	NA	NA	NA	NA	2.339	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	YE	YE27	4.284	NA	NA	NA	NA	NA	2.841	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	YE	YE33	16.15	NA	NA	NA	NA	NA	1.936	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	YE	YE40	-10.227	NA	NA	NA	NA	NA	3.055	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	YE	YE41	-4.091	NA	NA	NA	NA	NA	2.455	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	YE	YE48	-3.676	NA	NA	NA	NA	NA	3.183	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	YE	YE49	-2.471	NA	NA	NA	NA	NA	2.455	NA	NA	NA	NA	NA
