Model	Trait	Sex	Population	Line	Coef_Schmidt	Coef_Gibert	Coef_Grath	Coef_Hoedjes	Coef_StamenkovicRadak	Coef_Zwaan	SE_Schmidt	SE_Gibert	SE_Grath	SE_Hoedjes	SE_StamenkovicRadak	SE_Zwaan
lmer_pop	DT_P	NA	MU	MU16	147.068903143323	NA	NA	NA	NA	NA	4.03448173738449	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	MU	MU17	122.416903143323	NA	NA	NA	NA	NA	3.31531640862361	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	MU	MU18	147.512903143323	NA	NA	NA	NA	NA	4.28220164042855	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	MU	MU19	125.946903143323	NA	NA	NA	NA	NA	3.6655328247458	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	MU	MU2	128.447903143323	NA	NA	NA	NA	NA	3.73387022930483	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	MU	MU20	117.896903143323	NA	NA	NA	NA	NA	3.47488861537876	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	MU	MU3	116.838903143323	NA	NA	NA	NA	NA	3.42529500762911	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	MU	MU4	132.683903143323	NA	NA	NA	NA	NA	3.55719593068599	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	MU	MU5	121.403903143323	NA	NA	NA	NA	NA	4.10623013106778	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	MU	MU6	121.391903143323	NA	NA	NA	NA	NA	3.91322346528906	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	MU	MU7	140.874903143323	NA	NA	NA	NA	NA	3.53479884707588	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	MU	MU8	124.978903143323	NA	NA	NA	NA	NA	3.73387022930483	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	MU	MU9	117.859903143323	NA	NA	NA	NA	NA	3.6655328247458	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	RE	RE10	145.986759066547	NA	NA	NA	NA	NA	6.02088477473335	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	RE	RE11	143.449759066547	NA	NA	NA	NA	NA	3.83769624522524	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	RE	RE12	121.365759066547	NA	NA	NA	NA	NA	3.82455611419364	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	RE	RE13	149.263759066547	NA	NA	NA	NA	NA	4.23130588242163	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	RE	RE15	119.823759066547	NA	NA	NA	NA	NA	3.97787989645438	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	RE	RE16	138.868759066547	NA	NA	NA	NA	NA	4.45605121947851	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	RE	RE17	163.450759066547	NA	NA	NA	NA	NA	4.00128447759166	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	RE	RE18	133.157759066547	NA	NA	NA	NA	NA	3.89884963426597	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	RE	RE2	130.949759066547	NA	NA	NA	NA	NA	3.81204059141766	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	RE	RE3	121.699759066547	NA	NA	NA	NA	NA	5.36960235684319	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	RE	RE4	128.687759066547	NA	NA	NA	NA	NA	4.45605121947851	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	RE	RE5	134.200759066547	NA	NA	NA	NA	NA	6.02088477473335	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	RE	RE6	149.908759066547	NA	NA	NA	NA	NA	4.61871383294266	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	RE	RE7	121.772759066547	NA	NA	NA	NA	NA	4.23130588242163	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	RE	RE8	126.456759066547	NA	NA	NA	NA	NA	3.85147562248756	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	UM	UM13	123.085825938646	NA	NA	NA	NA	NA	3.96130922773289	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	UM	UM17	117.319825938646	NA	NA	NA	NA	NA	4.07660971859237	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	UM	UM18	126.651825938646	NA	NA	NA	NA	NA	3.69706407811952	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	UM	UM2	134.954825938646	NA	NA	NA	NA	NA	3.70568020715789	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	UM	UM20	139.725825938646	NA	NA	NA	NA	NA	3.73573698187141	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	UM	UM21	155.382825938646	NA	NA	NA	NA	NA	3.98695909155358	NA	NA	NA	NA	NA
