Model	Trait	Lab	Sex	Population	Line	Estimate	SE
lmer_pop	DT_P	Schmidt	NA	VA	VA57	2.504	2.455
lmer_pop	DT_P	Schmidt	NA	VA	VA66	13.396	3.055
lmer_pop	DT_P	Schmidt	NA	VA	VA67	-19.834	2.666
lmer_pop	DT_P	Schmidt	NA	VA	VA71	-2.506	2.749
lmer_pop	DT_P	Schmidt	NA	VA	VA9	-8.564	1.906
lmer_pop	DT_P	Schmidt	NA	YE	YE11	8.883	2.666
lmer_pop	DT_P	Schmidt	NA	YE	YE13	-3.037	2.841
lmer_pop	DT_P	Schmidt	NA	YE	YE14	-7.534	1.936
lmer_pop	DT_P	Schmidt	NA	YE	YE15	-1.067	4.199
lmer_pop	DT_P	Schmidt	NA	YE	YE19	12.518	4.549
lmer_pop	DT_P	Schmidt	NA	YE	YE20	-1.316	2.109
lmer_pop	DT_P	Schmidt	NA	YE	YE21	0.202	2.071
lmer_pop	DT_P	Schmidt	NA	YE	YE22	-13.606	2
lmer_pop	DT_P	Schmidt	NA	YE	YE23	2.115	2.841
lmer_pop	DT_P	Schmidt	NA	YE	YE24	-9.356	1.906
lmer_pop	DT_P	Schmidt	NA	YE	YE26	9.047	2.339
lmer_pop	DT_P	Schmidt	NA	YE	YE27	4.284	2.841
lmer_pop	DT_P	Schmidt	NA	YE	YE33	16.15	1.936
lmer_pop	DT_P	Schmidt	NA	YE	YE40	-10.227	3.055
lmer_pop	DT_P	Schmidt	NA	YE	YE41	-4.091	2.455
lmer_pop	DT_P	Schmidt	NA	YE	YE48	-3.676	3.183
lmer_pop	DT_P	Schmidt	NA	YE	YE49	-2.471	2.455
lmer_pop	DT_P	Schmidt	NA	YE	YE51	1.391	4.549
lmer_pop	DT_P	Schmidt	NA	YE	YE69	-1.583	2.239
lmer_pop	DT_P	Schmidt	NA	YE	YE80	3.374	2.942
lmer_pop	DT_A	Gibert	F	AK	AK1	-12.907	1.92
lmer_pop	DT_A	Gibert	F	AK	AK10	-2.827	1.911
lmer_pop	DT_A	Gibert	F	AK	AK11	3.335	1.856
lmer_pop	DT_A	Gibert	F	AK	AK12	-2.686	1.352
lmer_pop	DT_A	Gibert	F	AK	AK13	2.553	1.874
lmer_pop	DT_A	Gibert	F	AK	AK14	4.995	1.939
lmer_pop	DT_A	Gibert	F	AK	AK15	-2.51	2.03
lmer_pop	DT_A	Gibert	F	AK	AK16	-3.353	1.855
lmer_pop	DT_A	Gibert	F	AK	AK17	-6.937	1.952
lmer_pop	DT_A	Gibert	F	AK	AK18	5.418	2.04
lmer_pop	DT_A	Gibert	F	AK	AK2	0.406	1.911
lmer_pop	DT_A	Gibert	F	AK	AK20	1.408	1.916
lmer_pop	DT_A	Gibert	F	AK	AK21	3.671	1.933
lmer_pop	DT_A	Gibert	F	AK	AK3	-1.244	1.911
lmer_pop	DT_A	Gibert	F	AK	AK4	5.622	1.996
lmer_pop	DT_A	Gibert	F	AK	AK5	3.909	1.8
lmer_pop	DT_A	Gibert	F	AK	AK6	-0.665	2.018
lmer_pop	DT_A	Gibert	F	AK	AK7	-2.474	1.96
lmer_pop	DT_A	Gibert	F	AK	AK8	5.583	1.877
lmer_pop	DT_A	Gibert	F	AK	AK9	-1.298	1.778
lmer_pop	DT_A	Gibert	F	GI	GI1	1.56	1.874
lmer_pop	DT_A	Gibert	F	GI	GI10	-0.813	1.401
lmer_pop	DT_A	Gibert	F	GI	GI11	-3.52	1.967
lmer_pop	DT_A	Gibert	F	GI	GI12	10.059	2.338
lmer_pop	DT_A	Gibert	F	GI	GI13	1.59	1.895
lmer_pop	DT_A	Gibert	F	GI	GI14	4.682	2.221
lmer_pop	DT_A	Gibert	F	GI	GI15	1.36	2.197
lmer_pop	DT_A	Gibert	F	GI	GI2	-5.48	2.023
lmer_pop	DT_A	Gibert	F	GI	GI3	-3.711	1.839
lmer_pop	DT_A	Gibert	F	GI	GI4	-1.41	2.351
lmer_pop	DT_A	Gibert	F	GI	GI5	-6.845	2.093
lmer_pop	DT_A	Gibert	F	GI	GI6	6.898	2.024
lmer_pop	DT_A	Gibert	F	GI	GI7	1.984	2.013
lmer_pop	DT_A	Gibert	F	GI	GI8	-5.726	1.899
lmer_pop	DT_A	Gibert	F	GI	GI9	-0.628	1.941
lmer_pop	DT_A	Gibert	F	KA	KA1	-3.902	2.183
lmer_pop	DT_A	Gibert	F	KA	KA10	-0.767	2.073
lmer_pop	DT_A	Gibert	F	KA	KA11	-1.402	1.398
lmer_pop	DT_A	Gibert	F	KA	KA13	-0.576	2.003
lmer_pop	DT_A	Gibert	F	KA	KA14	7.412	1.848
lmer_pop	DT_A	Gibert	F	KA	KA15	-2.072	1.839
lmer_pop	DT_A	Gibert	F	KA	KA16	-6.683	1.954
lmer_pop	DT_A	Gibert	F	KA	KA17	-7.385	1.865
lmer_pop	DT_A	Gibert	F	KA	KA18	-0.912	1.94
lmer_pop	DT_A	Gibert	F	KA	KA2	3.706	1.93
lmer_pop	DT_A	Gibert	F	KA	KA23	-3.876	1.898
lmer_pop	DT_A	Gibert	F	KA	KA24	-3.595	1.867
lmer_pop	DT_A	Gibert	F	KA	KA25	3.253	1.944
lmer_pop	DT_A	Gibert	F	KA	KA28	-2.043	1.887
lmer_pop	DT_A	Gibert	F	KA	KA29	1.21	1.888
lmer_pop	DT_A	Gibert	F	KA	KA3	-5.189	1.966
lmer_pop	DT_A	Gibert	F	KA	KA5	5.787	2.032
lmer_pop	DT_A	Gibert	F	KA	KA6	6.983	1.967
lmer_pop	DT_A	Gibert	F	KA	KA7	8.282	1.887
lmer_pop	DT_A	Gibert	F	KA	KA9	1.77	2.017
lmer_pop	DT_A	Gibert	F	MA	MA12	-8.284	1.828
lmer_pop	DT_A	Gibert	F	MA	MA13	-5.12	1.886
lmer_pop	DT_A	Gibert	F	MA	MA16	4.779	2.008
lmer_pop	DT_A	Gibert	F	MA	MA18	-1.081	2.004
lmer_pop	DT_A	Gibert	F	MA	MA19	-0.082	1.889
lmer_pop	DT_A	Gibert	F	MA	MA20	2.162	2.064
lmer_pop	DT_A	Gibert	F	MA	MA21	3.037	1.866
lmer_pop	DT_A	Gibert	F	MA	MA23	7.74	2.015
lmer_pop	DT_A	Gibert	F	MA	MA26	8.803	1.973
lmer_pop	DT_A	Gibert	F	MA	MA27	-2.344	2.075
lmer_pop	DT_A	Gibert	F	MA	MA28	-1.093	1.903
lmer_pop	DT_A	Gibert	F	MA	MA3	-0.754	1.865
lmer_pop	DT_A	Gibert	F	MA	MA30	1.857	1.439
lmer_pop	DT_A	Gibert	F	MA	MA31	15.647	2.603
lmer_pop	DT_A	Gibert	F	MA	MA32	0.255	2.079
lmer_pop	DT_A	Gibert	F	MA	MA33	-5.293	1.858
lmer_pop	DT_A	Gibert	F	MA	MA5	-10.973	2.129
lmer_pop	DT_A	Gibert	F	MA	MA6	-3.577	1.875
lmer_pop	DT_A	Gibert	F	MA	MA7	-3.63	1.864
lmer_pop	DT_A	Gibert	F	MA	MA9	-2.047	2.011
lmer_pop	DT_A	Gibert	F	MU	MU1	-1.751	1.909
lmer_pop	DT_A	Gibert	F	MU	MU10	-13.985	1.814
lmer_pop	DT_A	Gibert	F	MU	MU11	-2.655	2.024
lmer_pop	DT_A	Gibert	F	MU	MU12	-1.906	1.778
lmer_pop	DT_A	Gibert	F	MU	MU13	6.548	2.057
lmer_pop	DT_A	Gibert	F	MU	MU14	-6.354	1.907
lmer_pop	DT_A	Gibert	F	MU	MU15	9.868	1.866
lmer_pop	DT_A	Gibert	F	MU	MU16	6.318	2.007
lmer_pop	DT_A	Gibert	F	MU	MU17	11.925	1.897
lmer_pop	DT_A	Gibert	F	MU	MU18	0.387	1.864
lmer_pop	DT_A	Gibert	F	MU	MU19	0.848	1.439
lmer_pop	DT_A	Gibert	F	MU	MU2	-15.033	1.838
lmer_pop	DT_A	Gibert	F	MU	MU20	2.125	1.886
lmer_pop	DT_A	Gibert	F	MU	MU3	-11.704	2.039
lmer_pop	DT_A	Gibert	F	MU	MU4	8.121	1.905
lmer_pop	DT_A	Gibert	F	MU	MU5	10.064	1.909
lmer_pop	DT_A	Gibert	F	MU	MU6	-5.226	2.017
lmer_pop	DT_A	Gibert	F	MU	MU7	-2.698	1.927
lmer_pop	DT_A	Gibert	F	MU	MU8	7.129	2.076
lmer_pop	DT_A	Gibert	F	MU	MU9	-2.021	2.023
lmer_pop	DT_A	Gibert	F	RE	RE1	-5.327	1.986
lmer_pop	DT_A	Gibert	F	RE	RE10	0.038	2.038
lmer_pop	DT_A	Gibert	F	RE	RE11	0.976	2.161
lmer_pop	DT_A	Gibert	F	RE	RE12	-4.627	2.93
lmer_pop	DT_A	Gibert	F	RE	RE13	-1.193	2.577
lmer_pop	DT_A	Gibert	F	RE	RE15	4.048	1.991
lmer_pop	DT_A	Gibert	F	RE	RE16	-3.298	1.895
lmer_pop	DT_A	Gibert	F	RE	RE17	-6.266	1.89
lmer_pop	DT_A	Gibert	F	RE	RE18	1.956	1.942
lmer_pop	DT_A	Gibert	F	RE	RE2	-1.766	1.918
lmer_pop	DT_A	Gibert	F	RE	RE3	12.87	2.292
lmer_pop	DT_A	Gibert	F	RE	RE4	-5.424	2.026
lmer_pop	DT_A	Gibert	F	RE	RE5	-6.57	1.894
lmer_pop	DT_A	Gibert	F	RE	RE6	3.744	2.147
lmer_pop	DT_A	Gibert	F	RE	RE7	-2.95	1.529
lmer_pop	DT_A	Gibert	F	RE	RE8	13.789	2.262
lmer_pop	DT_A	Gibert	F	UM	UM13	-1.729	1.974
lmer_pop	DT_A	Gibert	F	UM	UM17	-6.359	1.832
lmer_pop	DT_A	Gibert	F	UM	UM18	-10.45	2.013
lmer_pop	DT_A	Gibert	F	UM	UM2	1.513	1.779
lmer_pop	DT_A	Gibert	F	UM	UM20	-4.6	2.008
lmer_pop	DT_A	Gibert	F	UM	UM21	0.86	1.935
lmer_pop	DT_A	Gibert	F	UM	UM22	10.99	2.067
lmer_pop	DT_A	Gibert	F	UM	UM23	1.92	2.262
lmer_pop	DT_A	Gibert	F	UM	UM25	-2.076	1.819
lmer_pop	DT_A	Gibert	F	UM	UM26	0.102	1.875
lmer_pop	DT_A	Gibert	F	UM	UM28	6.473	1.877
lmer_pop	DT_A	Gibert	F	UM	UM29	-5.115	1.959
lmer_pop	DT_A	Gibert	F	UM	UM4	1.963	1.927
lmer_pop	DT_A	Gibert	F	UM	UM5	-0.891	1.946
lmer_pop	DT_A	Gibert	F	UM	UM6	-4.498	1.874
lmer_pop	DT_A	Gibert	F	UM	UM7	4.944	1.391
lmer_pop	DT_A	Gibert	F	UM	UM8	6.726	1.89
lmer_pop	DT_A	Gibert	F	UM	UM9	0.228	1.795
lmer_pop	DT_A	Gibert	F	VA	VA1	-4.259	1.998
lmer_pop	DT_A	Gibert	F	VA	VA11	2.518	2.246
lmer_pop	DT_A	Gibert	F	VA	VA15	-1.345	1.998
lmer_pop	DT_A	Gibert	F	VA	VA18	-1.641	1.801
lmer_pop	DT_A	Gibert	F	VA	VA22	-3.684	1.92
lmer_pop	DT_A	Gibert	F	VA	VA26	10.533	1.951
lmer_pop	DT_A	Gibert	F	VA	VA30	0.022	1.993
lmer_pop	DT_A	Gibert	F	VA	VA34	-0.497	1.939
lmer_pop	DT_A	Gibert	F	VA	VA35	-4.879	2.027
lmer_pop	DT_A	Gibert	F	VA	VA44	-6.635	1.498
lmer_pop	DT_A	Gibert	F	VA	VA46	3.415	2.039
lmer_pop	DT_A	Gibert	F	VA	VA47	6.571	1.965
lmer_pop	DT_A	Gibert	F	VA	VA48	-5.363	1.905
lmer_pop	DT_A	Gibert	F	VA	VA55	8.493	1.931
lmer_pop	DT_A	Gibert	F	VA	VA57	-0.259	2.007
lmer_pop	DT_A	Gibert	F	VA	VA6	1.383	2.441
lmer_pop	DT_A	Gibert	F	VA	VA66	1.664	1.954
lmer_pop	DT_A	Gibert	F	VA	VA67	-5.187	2.354
lmer_pop	DT_A	Gibert	F	VA	VA71	-2.801	1.895
lmer_pop	DT_A	Gibert	F	VA	VA9	1.95	1.983
lmer_pop	DT_A	Gibert	F	YE	YE11	5.886	3.36
lmer_pop	DT_A	Gibert	F	YE	YE13	5.526	2.042
lmer_pop	DT_A	Gibert	F	YE	YE14	6.901	2.172
lmer_pop	DT_A	Gibert	F	YE	YE15	-8.234	2.014
lmer_pop	DT_A	Gibert	F	YE	YE19	-8.884	2.004
lmer_pop	DT_A	Gibert	F	YE	YE20	-9.967	2.434
lmer_pop	DT_A	Gibert	F	YE	YE21	0.072	2.946
lmer_pop	DT_A	Gibert	F	YE	YE22	4.269	2.067
lmer_pop	DT_A	Gibert	F	YE	YE23	-2.629	1.949
lmer_pop	DT_A	Gibert	F	YE	YE24	0.637	2.329
lmer_pop	DT_A	Gibert	F	YE	YE26	3.349	2.527
lmer_pop	DT_A	Gibert	F	YE	YE27	-7.339	2.134
lmer_pop	DT_A	Gibert	F	YE	YE33	0.152	2.221
lmer_pop	DT_A	Gibert	F	YE	YE40	-4.868	1.868
lmer_pop	DT_A	Gibert	F	YE	YE41	-0.449	2.235
lmer_pop	DT_A	Gibert	F	YE	YE48	-1.912	2.066
lmer_pop	DT_A	Gibert	F	YE	YE49	6.984	1.552
lmer_pop	DT_A	Gibert	F	YE	YE51	-3.244	2.234
lmer_pop	DT_A	Gibert	F	YE	YE69	7.466	1.962
lmer_pop	DT_A	Gibert	F	YE	YE80	6.285	2.081
lmer_pop	DT_A	Grath	F	AK	AK1	-2.014	2.457
lmer_pop	DT_A	Grath	F	AK	AK12	-0.348	2.215
lmer_pop	DT_A	Grath	F	AK	AK14	0.024	2.389
lmer_pop	DT_A	Grath	F	AK	AK15	-0.234	2.434
lmer_pop	DT_A	Grath	F	AK	AK17	3.975	2.368
lmer_pop	DT_A	Grath	F	AK	AK21	-1.647	2.368
lmer_pop	DT_A	Grath	F	AK	AK4	-1.284	2.389
lmer_pop	DT_A	Grath	F	AK	AK6	0.602	2.368
lmer_pop	DT_A	Grath	F	AK	AK8	2.124	2.074
lmer_pop	DT_A	Grath	F	AK	AK9	-1.198	2.327
lmer_pop	DT_A	Grath	F	MU	MU10	4.631	2.288
lmer_pop	DT_A	Grath	F	MU	MU13	2.467	2.531
lmer_pop	DT_A	Grath	F	MU	MU14	7.057	2.613
lmer_pop	DT_A	Grath	F	MU	MU15	0.003	2.389
lmer_pop	DT_A	Grath	F	MU	MU3	-7.086	2.347
lmer_pop	DT_A	Grath	F	MU	MU4	-4.082	2.801
lmer_pop	DT_A	Grath	F	MU	MU5	-0.526	2.368
lmer_pop	DT_A	Grath	F	MU	MU6	4.785	2.347
lmer_pop	DT_A	Grath	F	MU	MU7	-5.023	2.613
lmer_pop	DT_A	Grath	F	MU	MU8	-2.225	2.411
lmer_pop	DT_A	Grath	F	RE	RE3	-4.555	2.641
lmer_pop	DT_A	Grath	F	RE	RE7	-3.372	2.558
lmer_pop	DT_A	Grath	F	RE	RE8	7.927	3.865
lmer_pop	DT_A	Hoedjes	F	AK	AK1	-2.848	2.003
lmer_pop	DT_A	Hoedjes	F	AK	AK10	-6.113	1.986
lmer_pop	DT_A	Hoedjes	F	AK	AK11	1.429	2.034
lmer_pop	DT_A	Hoedjes	F	AK	AK12	-2.479	1.945
lmer_pop	DT_A	Hoedjes	F	AK	AK13	3.72	1.969
lmer_pop	DT_A	Hoedjes	F	AK	AK14	5.976	2.013
lmer_pop	DT_A	Hoedjes	F	AK	AK15	2.51	2.102
lmer_pop	DT_A	Hoedjes	F	AK	AK16	-1.604	2.017
lmer_pop	DT_A	Hoedjes	F	AK	AK17	-3.112	2.107
lmer_pop	DT_A	Hoedjes	F	AK	AK18	7.231	1.992
lmer_pop	DT_A	Hoedjes	F	AK	AK2	-3.673	2.025
lmer_pop	DT_A	Hoedjes	F	AK	AK20	0.994	1.998
lmer_pop	DT_A	Hoedjes	F	AK	AK21	1.197	2.062
lmer_pop	DT_A	Hoedjes	F	AK	AK3	-2.54	2.172
lmer_pop	DT_A	Hoedjes	F	AK	AK4	-1.324	2.139
lmer_pop	DT_A	Hoedjes	F	AK	AK5	-1.447	2.099
lmer_pop	DT_A	Hoedjes	F	AK	AK6	5.595	2.105
lmer_pop	DT_A	Hoedjes	F	AK	AK7	-5.227	2.049
lmer_pop	DT_A	Hoedjes	F	AK	AK8	3.534	1.967
lmer_pop	DT_A	Hoedjes	F	AK	AK9	-1.819	2.043
lmer_pop	DT_A	Hoedjes	F	GI	GI1	-0.894	1.969
lmer_pop	DT_A	Hoedjes	F	GI	GI10	3.763	2.075
