"Supervisor.PI","Sex","Population","Mean","SD","Median","Min","Max","SE","CV","Mode"
"StamenkovicRadak","M","MU",2470.23156554622,79.9030890155051,2475.5864,2210.6729,2737.2813,3.66235208042125,0.0323463962366771,2543.3258
"StamenkovicRadak","M","RE",2541.7970301105,99.8072879404188,2547.47425,1974.2252,2775.7343,5.24575459129609,0.0392664271608186,2605.8582
"StamenkovicRadak","M","UM",2509.10881843434,89.8988430762549,2510.7912,2213.5901,2982.648,4.5175868419845,0.0358289933125941,2459.7081
"StamenkovicRadak","M","VA",2463.55909864253,81.3397974453977,2464.1237,2192.6836,2924.0464,3.86893961891273,0.0330171894354868,2439.1421
"StamenkovicRadak","M","YE",2448.5937273399,80.8111863580059,2457.7829,2141.1103,2650.101,4.01059183886878,0.0330031011088954,2570.642
"Onder","F","AK",2831.810702323,92.9164363217644,2837.73040716344,2390.35198218639,3064.18917972811,3.78384979899932,0.0328116693130451,2841.01455515173
"Onder","F","GI",2870.29665507642,100.040959881418,2879.6018502533,2501.5500391279,3170.81093650946,4.71597607523747,0.0348538746698831,2819.37325881168
"Onder","F","KA",2870.47773861868,102.335800222592,2870.2335657482,2477.08577521046,3193.57831739759,4.1333040410297,0.0356511387793718,2728.65324273041
"Onder","F","MA",2916.59870886269,79.5329904125057,2922.79821763157,2597.84471055134,3138.76122730379,3.225488682874,0.0272690892205459,2834.10720065964
"Onder","F","MU",2880.8225084459,96.5347989530843,2889.60317707238,2535.43940083852,3174.48947558785,3.44547472234361,0.0335094573407653,2831.37655445665
"Onder","F","RE",2963.43295298912,101.276826897584,2971.91783877395,2542.21821614432,3234.07970233605,4.5987438146823,0.0341755081030024,2983.49602475029
"Onder","F","UM",2913.76613059332,106.777921171616,2920.77125888489,2392.60355149523,3201.82277982889,4.68703053134877,0.0366460163190494,2858.24687294187
"Onder","F","VA",2859.67641802425,100.217194678483,2863.18037284782,2458.59178417589,3155.69731614849,4.0710452492159,0.0350449421643737,2802.24629007837
"Onder","F","YE",2830.76309882049,100.270721955339,2839.56068333354,2460.17403184165,3089.49527933829,4.17071220288771,0.0354217991597811,2690.92916319809
"Onder","M","AK",2451.77176614948,83.3131331161507,2456.77417101166,2077.11143197403,2841.38780332182,3.39558980869099,0.0339807865750059,2367.95576517003
"Onder","M","GI",2481.90195367305,84.4581473967427,2481.22647946655,2228.60137720356,2737.51143879298,3.94647005549089,0.034029606718247,2538.3094058892
"Onder","M","KA",2481.19765662621,86.2548113431487,2481.69163068259,2220.53178944955,2933.45413462505,3.4894961580048,0.034763377723173,2460.95193657398
"Onder","M","MA",2515.89757767906,76.1855594253091,2520.27820422574,2212.92102584164,2733.4990917745,3.10509159214242,0.0302816617422046,2491.0361275654
"Onder","M","MU",2489.86965809985,80.0628112529696,2494.34352801253,2187.20846450904,2680.69096819458,2.86487263119923,0.0321554226714301,2499.32371630375
"Onder","M","RE",2554.8781254211,84.1452204525738,2551.83409572315,2333.79219889218,2781.42933934795,3.86491797856545,0.0329351210984691,2537.43832473185
"Onder","M","UM",2518.33279294667,96.2186412152454,2523.91255380308,2047.4652985581,2713.54636590238,4.23169100213377,0.0382072780391591,2594.36940238317
"Onder","M","VA",2492.81396356606,104.651204483714,2489.68863887949,2136.59642563981,3025.7334010071,4.22682233832448,0.0419811530315751,2517.30331947582
"Onder","M","YE",2446.06175133435,90.9099158750362,2449.193416579,2113.82360997885,2936.51830410028,3.80113453904579,0.0371658302679578,2450.0680333754
"Posnien","F","AK",2584.98214143333,115.470740152516,2550.8139305,2363.481192,2819.787298,21.0819763711168,0.0446698405771148,2511.872385
"Posnien","F","GI",2725.23973746667,89.6506026676463,2729.3326495,2519.037621,2873.161989,16.3678857916676,0.0328964096021086,2733.479911
"Posnien","F","KA",2637.32883396667,97.8478653657477,2649.0338915,2321.058452,2793.428638,17.8644943548495,0.03710112448078,2654.592184
"Posnien","F","MA",2657.2750313,125.366961279839,2655.0826445,2451.539455,2839.47142,22.8887708862815,0.0471787676484909,2595.378007
"Posnien","F","MU",2562.32186583333,200.268400279239,2621.392852,2093.745645,2920.31344,36.5638401294711,0.078158955340338,2896.828724
"Posnien","F","RE",2720.04241363333,87.9588733392882,2735.427252,2541.847547,2927.987525,16.0590196868893,0.0323373168368342,2723.39702
"Posnien","F","UM",2660.50009413333,93.7859857924394,2669.4270505,2463.998001,2855.68487,17.1228999987927,0.0352512619711034,2594.174891
