"Supervisor.PI","Sex","Population","Line","Mean","SD","Median","Min","Max","SE","CV","Mode"
"Pasyukova","F","AK","AK14",120.24,22.0326296132978,120,56,168,2.20326296132978,0.183238769239004,128
"Pasyukova","F","AK","AK15",78.64,24.783311426291,80,32,136,2.4783311426291,0.315148924545918,88
"Pasyukova","F","AK","AK16",124.72,18.8594375270946,120,64,168,1.88594375270946,0.151214220069713,120
"Pasyukova","F","AK","AK17",119.12,22.652972690514,120,40,168,2.2652972690514,0.190169347636954,112
"Pasyukova","F","AK","AK18",94.64,22.8846558800318,96,40,152,2.28846558800318,0.241807437447504,88
"Pasyukova","F","AK","AK19",109.68,22.115801746007,104,16,152,2.2115801746007,0.201639330288175,104
"Pasyukova","F","AK","AK2",95.36,22.5323650500225,96,16,152,2.25323650500225,0.236287385172216,88
"Pasyukova","F","AK","AK20",101.12,18.8053721101716,104,48,144,1.88053721101716,0.185970847608501,112
"Pasyukova","F","AK","AK21",118.88,19.0953376296917,120,80,176,1.90953376296917,0.160626998903867,120
"Pasyukova","F","AK","AK3",101.866666666667,22.1715477152563,104,32,136,2.33708633437708,0.217652628094794,120
"Pasyukova","F","AK","AK4",111.52,18.4338730810342,112,56,160,1.84338730810342,0.165296566365084,112
"Pasyukova","F","AK","AK5",117.92,21.3823678895874,120,16,152,2.13823678895874,0.181329442754303,128
"Pasyukova","F","AK","AK6",105.12,20.7190343365318,112,32,160,2.07190343365318,0.19709888067477,112
"Pasyukova","F","AK","AK7",126.48,22.6472644232937,128,64,184,2.26472644232937,0.179058067862854,128
"Pasyukova","F","AK","AK8",103.28,21.5772420326921,104,56,168,2.15772420326921,0.208919849270837,112
"Pasyukova","F","AK","AK9",91.04,16.0314841748506,88,64,136,1.60314841748506,0.176092752359958,80
"Pasyukova","F","AK","AK24",117.52,17.8231945123836,116,72,160,1.78231945123836,0.151660947178213,112
"Pasyukova","F","GI","GI1",88.96,25.4581931008388,88,16,144,2.54581931008388,0.286175731798997,64
"Pasyukova","F","GI","GI10",110.8,15.3557148904888,112,64,144,1.53557148904888,0.138589484571199,104
"Pasyukova","F","GI","GI11",106.88,19.6459983845376,104,64,176,1.96459983845376,0.18381360763976,96
"Pasyukova","F","GI","GI13",113.44,18.4184360866711,112,56,152,1.84184360866711,0.162362800481938,112
"Pasyukova","F","GI","GI14",119.2,18.5972736135861,120,72,176,1.85972736135861,0.156017396087132,120
"Pasyukova","F","GI","GI2",104.8,18.3523317539783,104,72,160,1.83523317539783,0.17511766940819,88
"Pasyukova","F","GI","GI3",103.12,23.0209741871462,104,48,176,2.30209741871462,0.223244513063869,104
"Pasyukova","F","GI","GI4",132.16,26.0902551566943,132,72,192,2.60902551566943,0.197414158267965,112
"Pasyukova","F","GI","GI5",115.6,14.0820108756892,112,88,160,1.40820108756893,0.121816703076897,112
"Pasyukova","F","GI","GI6",112,21.2726409391324,112,72,160,2.12726409391324,0.189934294099397,120
"Pasyukova","F","GI","GI7",107.84,27.8403529525984,112,48,168,2.78403529525984,0.258163510317121,112
"Pasyukova","F","GI","GI8",109.2,21.3143855248757,112,24,176,2.13143855248757,0.19518668063073,112
"Pasyukova","F","GI","GI9",132.64,20.4097025847012,136,72,168,2.04097025847012,0.153872908509509,144
"Pasyukova","F","KA","KA1",109.84,29.1865196502243,112,48,168,2.91865196502243,0.265718496451423,136
"Pasyukova","F","KA","KA10",121.76,24.9270126488506,128,48,176,2.49270126488506,0.204722508614082,128
"Pasyukova","F","KA","KA11",117.68,22.8631766927706,120,16,184,2.28631766927706,0.194282602759777,104
"Pasyukova","F","KA","KA13",93.68,20.7898965360532,96,32,152,2.07898965360532,0.221924600085965,80
"Pasyukova","F","KA","KA14",102.8,17.4077655955698,104,56,136,1.74077655955698,0.169336241202041,112
"Pasyukova","F","KA","KA15",98.08,19.1494283481415,96,56,176,1.91494283481415,0.19524294808464,88
"Pasyukova","F","KA","KA16",105.44,16.0958743694517,104,56,168,1.60958743694517,0.152654347206484,112
"Pasyukova","F","KA","KA17",100.56,23.8311908339818,104,24,144,2.38311908339818,0.236984793496239,112
"Pasyukova","F","KA","KA18",91.6,30.8558067157676,80,40,160,3.08558067157676,0.336853785106633,72
"Pasyukova","F","KA","KA2",124.88,21.5112279819849,128,72,192,2.15112279819849,0.172255188837163,128
"Pasyukova","F","KA","KA23",105.84,23.9826199695959,104,40,184,2.39826199695959,0.226593159198752,112
"Pasyukova","F","KA","KA24",108.16,17.8516445214779,112,56,144,1.78516445214779,0.165048488549167,112
"Pasyukova","F","KA","KA25",108,16.9705627484771,112,56,160,1.78885438199983,0.157134840263677,112
"Pasyukova","F","KA","KA28",114.72,26.6234801814056,116,24,168,2.66234801814056,0.232073572013647,112
"Pasyukova","F","KA","KA29",113.84,22.8507321457313,120,56,160,2.28507321457313,0.200726740563346,112
"Pasyukova","F","KA","KA3",112.56,19.1032917994716,112,64,168,1.91032917994716,0.169716522738731,120
"Pasyukova","F","KA","KA5",112.24,18.3859410496941,112,56,152,1.83859410496941,0.163809168297346,112
"Pasyukova","F","KA","KA6",107.2,25.4510820154581,104,48,176,2.54510820154581,0.237416809845691,88
"Pasyukova","F","KA","KA7",111.12,25.167431254691,112,56,160,2.5167431254691,0.226488762191243,112
"Pasyukova","F","KA","KA9",119.28,22.4292738008239,120,40,168,2.24292738008239,0.188038848095438,112
"Pasyukova","F","MA","MA12",118.72,30.6950066679164,112,40,192,3.06950066679164,0.258549584466951,104
"Pasyukova","F","MA","MA13",118.64,30.0852391740803,120,56,192,3.00852391740803,0.253584281642619,120
"Pasyukova","F","MA","MA16",103.76,18.9401609541655,104,48,144,1.89401609541655,0.182538174192035,112
"Pasyukova","F","MA","MA18",121.84,34.3548682095707,120,48,208,3.43548682095707,0.281967073289319,112
"Pasyukova","F","MA","MA19",90.8,20.5735929597318,96,16,144,2.05735929597318,0.226581420261364,96
"Pasyukova","F","MA","MA20",97.84,17.2015503177281,96,56,136,1.72015503177281,0.175813065389699,88
"Pasyukova","F","MA","MA21",95.12,15.1659373784035,96,64,144,1.51659373784035,0.159440048132922,88
"Pasyukova","F","MA","MA23",95.52,20.5561463196571,96,48,168,2.05561463196571,0.215202536847331,88
"Pasyukova","F","MA","MA26",100.48,24.8162866039237,96,40,152,2.48162866039237,0.24697737464096,88
"Pasyukova","F","MA","MA27",97.2,16.4138399350713,96,64,136,1.64138399350713,0.168866665998676,96
"Pasyukova","F","MA","MA28",122.4,23.1778368536005,120,64,192,2.31778368536005,0.189361412202618,112
"Pasyukova","F","MA","MA3",92,23.2613608606829,96,48,144,2.32613608606829,0.252840878920466,112
"Pasyukova","F","MA","MA30",102.88,22.0785009006545,104,32,144,2.20785009006545,0.214604402222536,104
"Pasyukova","F","MA","MA31",104.08,20.0361693147188,104,40,160,2.00361693147188,0.192507391571088,112
"Pasyukova","F","MA","MA32",124.08,20.9509672880044,128,40,168,2.09509672880044,0.168850477820796,120
"Pasyukova","F","MA","MA33",104.56,19.5051508348669,104,64,136,1.95051508348669,0.186545053891229,96
"Pasyukova","F","MA","MA5",103.28,16.7537603196561,104,72,144,1.67537603196561,0.162216889229823,112
"Pasyukova","F","MA","MA6",107.6,18.2064479642446,104,72,152,1.82064479642446,0.169204906730898,96
"Pasyukova","F","MA","MA7",97.68,20.6651416837166,96,40,160,2.06651416837166,0.211559599546648,96
"Pasyukova","F","MA","MA9",104.64,20.9874998871984,104,64,144,2.09874998871984,0.200568615129954,88
"Pasyukova","F","MU","MU1",99.6,17.6658090129155,104,48,136,1.76658090129155,0.177367560370638,112
"Pasyukova","F","MU","MU10",90.48,21.2937511581177,92,16,128,2.12937511581177,0.23534207734436,96
"Pasyukova","F","MU","MU11",114.88,18.6326963625068,116,72,160,1.86326963625068,0.16219269117781,128
"Pasyukova","F","MU","MU12",126.24,19.3829665928463,128,72,168,1.93829665928463,0.153540609892635,136
"Pasyukova","F","MU","MU13",91.6,23.2856655954306,88,48,160,2.32856655954306,0.254210323094221,88
"Pasyukova","F","MU","MU14",99.52,28.4340385006166,104,24,152,2.84340385006166,0.285711801654105,112
"Pasyukova","F","MU","MU15",130.64,24.9393283993395,128,64,176,2.49393283993395,0.190901166559549,160
"Pasyukova","F","MU","MU16",105.6,19.27028334573,104,64,168,2.03126621764389,0.182483743804261,104
"Pasyukova","F","MU","MU17",123.28,21.3362119270019,120,64,184,2.13362119270019,0.173071154501962,112
"Pasyukova","F","MU","MU18",114.08,22.0081160419781,120,56,152,2.20081160419781,0.192918268250158,128
"Pasyukova","F","MU","MU19",128.56,25.3302709472802,128,32,200,2.53302709472802,0.197030732321719,120
"Pasyukova","F","MU","MU2",115.28,26.6689695975292,120,40,168,2.66689695975292,0.231340818854348,128
"Pasyukova","F","MU","MU20",130.08,24.5359682379509,128,72,192,2.45359682379509,0.188622142050668,128
"Pasyukova","F","MU","MU3",101.44,18.4359771242333,96,56,160,1.84359771242333,0.181742676697883,112
"Pasyukova","F","MU","MU4",108.16,22.8117991797706,112,40,152,2.28117991797706,0.210907906617701,112
"Pasyukova","F","MU","MU5",110.88,23.8519338309234,112,16,160,2.38519338309234,0.215114843352484,112
"Pasyukova","F","MU","MU6",96.4,16.4138399350713,96,40,144,1.64138399350713,0.170268049118997,96
"Pasyukova","F","MU","MU7",87.76,26.8949020741061,96,16,144,2.68949020741061,0.306459686350343,96
"Pasyukova","F","MU","MU8",118.88,24.4673684979019,120,56,160,2.44673684979019,0.205815683865258,120
"Pasyukova","F","MU","MU9",108.24,17.8507391692582,112,56,144,1.78507391692582,0.164918137188269,112
"Pasyukova","F","RE","RE1",92.9166666666667,20.6462264510168,96,40,144,2.10719666328935,0.222201540280002,96
"Pasyukova","F","RE","RE10",104.08,26.0410243557151,108,16,152,2.60410243557151,0.25020200188043,112
"Pasyukova","F","RE","RE11",98.64,16.5581436523579,96,16,144,1.65581436523579,0.167864392258292,96
"Pasyukova","F","RE","RE12",122.56,21.4505868630133,128,16,168,2.14505868630133,0.175021106911009,128
"Pasyukova","F","RE","RE13",117.28,18.4829050145744,120,56,168,1.84829050145744,0.1575963933712,120
"Pasyukova","F","RE","RE15",89.36,26.1292513818857,88,16,160,2.61292513818857,0.292404335070342,88
"Pasyukova","F","RE","RE16",128.88,18.71491599789,128,80,168,1.871491599789,0.145211949083566,120
"Pasyukova","F","RE","RE17",120.16,20.8422259808875,120,72,168,2.08422259808875,0.173453944581288,128
"Pasyukova","F","RE","RE18",109.84,21.3289389413453,112,16,152,2.13289389413453,0.194181891308679,104
"Pasyukova","F","RE","RE2",106.64,25.62965454155,112,32,160,2.562965454155,0.240338095850994,112
"Pasyukova","F","RE","RE3",104.48,20.4299641297638,104,32,144,2.04299641297638,0.195539472911215,112
"Pasyukova","F","RE","RE4",96.6530612244898,23.4486066852755,96,32,152,2.36866697093351,0.24260593910019,96
"Pasyukova","F","RE","RE5",99.04,23.0738471920576,104,16,152,2.30738471920576,0.232975032229984,104
"Pasyukova","F","RE","RE6",99.2,24.9896948457729,104,32,144,2.49896948457729,0.251912246429162,96
"Pasyukova","F","RE","RE7",134.88,27.0522427606999,136,40,200,2.70522427606999,0.200565263646944,136
"Pasyukova","F","RE","RE8",98.16,25.3710723685719,104,16,152,2.53710723685719,0.258466507422289,112
"Pasyukova","F","UM","UM13",112,24.8860027186596,112,56,168,2.48860027186596,0.222196452845175,112
"Pasyukova","F","UM","UM17",123.92,18.7010937939712,120,64,160,1.87010937939712,0.150912635522686,120
"Pasyukova","F","UM","UM18",104.08,21.2876784202799,104,40,160,2.12876784202799,0.204531883361644,112
"Pasyukova","F","UM","UM2",82.08,20.6440149567702,80,40,136,2.06440149567702,0.251510903469423,72
"Pasyukova","F","UM","UM20",116.56,23.5857858238663,120,40,176,2.35857858238663,0.202348883183479,120
"Pasyukova","F","UM","UM21",89.2,16.918103387266,88,56,152,1.6918103387266,0.189664836180112,72
"Pasyukova","F","UM","UM22",80.8,16.575508280215,80,40,120,1.6575508280215,0.205142429210581,72
"Pasyukova","F","UM","UM23",125.84,27.8258364064258,128,64,192,2.78258364064258,0.221120759745914,128
"Pasyukova","F","UM","UM24",106.96,14.6348967205171,104,72,136,1.46348967205171,0.136825885569532,120
"Pasyukova","F","UM","UM25",126.2,21.3745382657953,128,72,168,2.38974602749944,0.169370350759076,112
"Pasyukova","F","UM","UM26",118.4,22.368809453425,120,72,160,2.2368809453425,0.188925755518792,120
"Pasyukova","F","UM","UM28",84.56,14.2590180573417,88,48,128,1.42590180573417,0.168626041359291,88
"Pasyukova","F","UM","UM29",103.36,18.84520676941,104,56,152,1.884520676941,0.182325916886707,112
"Pasyukova","F","UM","UM4",106.4,21.8276073916599,108,16,152,2.18276073916599,0.205146686011841,112
"Pasyukova","F","UM","UM5",114.88,21.7688870740891,112,56,176,2.17688870740891,0.189492401410943,120
"Pasyukova","F","UM","UM6",107.68,26.894060776508,112,24,160,2.6894060776508,0.249759108251374,112
"Pasyukova","F","UM","UM7",118.4,20.9047865573916,116,56,168,2.09047865573916,0.176560697275267,112
"Pasyukova","F","UM","UM9",125.12,29.50955332386,128,8,184,2.950955332386,0.235850010580723,144
"Pasyukova","F","VA","VA1",100.8,24.5723010684384,104,48,152,2.45723010684384,0.243772828059905,104
"Pasyukova","F","VA","VA11",125.171717171717,18.045317332579,128,88,168,1.81362263075944,0.144164494506563,136
"Pasyukova","F","VA","VA15",117.76,27.6212186040319,120,56,176,2.76212186040319,0.234555185156521,112
"Pasyukova","F","VA","VA18",110.88,21.9316108746156,112,64,176,2.19316108746156,0.197795913371352,112
"Pasyukova","F","VA","VA22",109.92,23.677837739118,112,56,176,2.3677837739118,0.215409731978875,112
"Pasyukova","F","VA","VA26",113.04,20.5509566244936,112,56,160,2.05509566244936,0.181802517909533,112
