"Supervisor.PI","Batch","Sex","Population","Mean","SD","Median","Min","Max","SE","CV","Mode"
"Vieira","28","M","VA",0.825920192644444,0.173164681704053,0.88854489165,0.5,1,0.0408153068983152,0.209662729215532,1
"Vieira","28","M","YE",0.906038585025,0.126976638818751,0.9472222222,0.6,1,0.0366549983014,0.140144846938552,1
"Vieira","29","F","VA",0.907875243666667,0.108550411027217,0.95,0.7,1,0.0280275956088254,0.119565338722984,1
"Vieira","29","M","VA",0.802475633533333,0.147592764396632,0.8421052632,0.55,1,0.0381082879019248,0.183921801770822,0.65
"Vieira","30","F","VA",0.922222222222222,0.154335493145434,1,0.55,1,0.0514451643818115,0.16735173955529,1
"Vieira","30","M","VA",0.879954515922222,0.124172056361361,0.9,0.65,1,0.0413906854537871,0.141111903075155,1
"Vieira","31","F","YE",0.932309941522222,0.0724678773674374,0.95,0.7894736842,1,0.01708084250157,0.0777293839097286,1
"Vieira","31","M","YE",0.918274853811111,0.0675972809497462,0.9473684211,0.8,1,0.0159328319164459,0.073613342093816,0.95
"Vieira","32","F","VA",0.924707602344444,0.108735824928778,0.9473684211,0.55,1,0.0256292797216841,0.117589413835353,1
"Vieira","32","F","YE",0.841666666666667,0.159426053914242,0.875,0.55,1,0.0650854139658888,0.189417093759495,1
"Vieira","32","M","VA",0.695774806027778,0.176230212035652,0.7361111111,0.4,1,0.0415378593267842,0.253286279567611,0.8
"Vieira","32","M","YE",0.990196078433333,0.0240146053166008,1,0.9411764706,1,0.00980392156666667,0.0242523736860241,1
"Gonzalez","1","F","AK",0.9724471435,0.0442412177146558,1,0.85,1,0.0122703060737813,0.0454947274105041,1
"Gonzalez","1","F","GI",0.921875,0.0860206578179252,0.9375,0.8,1,0.0304128952325912,0.0933105440736815,1
"Gonzalez","1","F","KA",0.914703425242857,0.119232499442033,0.9473684211,0.6666666667,1,0.045065648817181,0.130350992629525,1
"Gonzalez","1","F","MA",0.931100478472727,0.0653545432051843,0.95,0.8421052632,1,0.0197051361960607,0.0701906450659165,1
"Gonzalez","1","F","MU",0.92394736843,0.106646249774886,0.975,0.7,1,0.0337245053203859,0.115424593887964,1
"Gonzalez","1","F","RE",0.899122807033333,0.0858529525264117,0.9473684211,0.8,0.95,0.049567225251848,0.0954852350033079,0.9473684211
"Gonzalez","1","F","UM",0.8552631579,0.0935493665092276,0.84736842105,0.7,0.95,0.0330746957171903,0.109380797763962,0.8
"Gonzalez","1","F","VA",0.8783625731,0.119285822847174,0.8807017544,0.7,1,0.0377214892764422,0.135804765025654,1
"Gonzalez","1","F","YE",0.98,0.0447213595499958,1,0.9,1,0.02,0.0456340403571386,1
"Gonzalez","1","M","AK",0.719894287,0.258764733099588,0.7222222222,0.1333333333,1,0.0717684241132552,0.359448238126646,0.7
"Gonzalez","1","M","GI",0.7120673573125,0.239328963102925,0.77115384615,0.3333333333,0.9473684211,0.0846155663722118,0.33610438766103,0.9411764706
"Gonzalez","1","M","KA",0.6323934837,0.255352511906259,0.625,0.3684210526,1,0.0965141775942315,0.40378738631563,0.625
"Gonzalez","1","M","MA",0.699858827109091,0.16787131290341,0.7,0.4210526316,1,0.0506151052695418,0.239864536104856,0.7
"Gonzalez","1","M","MU",0.68416580667,0.222758279000658,0.69210526315,0.3157894737,1,0.0704423529301336,0.325591072849542,0.3157894737
"Gonzalez","1","M","RE",0.862962962966667,0.0548098095839195,0.8888888889,0.8,0.9,0.031644458317508,0.0635135132514796,0.8888888889
"Gonzalez","1","M","UM",0.6758707430375,0.218696577377344,0.6725146199,0.4,0.9444444444,0.0773209164429043,0.323577517787613,0.9411764706
"Gonzalez","1","M","VA",0.64261609908,0.223154703519291,0.65789473685,0.25,0.9473684211,0.070567713370055,0.347259746275839,0.6315789474
"Gonzalez","1","M","YE",0.7629239766,0.195128769863054,0.8,0.4444444444,0.9444444444,0.0872642387559404,0.255764369515103,0.9444444444
"Gonzalez","2","F","AK",0.892355234493333,0.131798822466166,0.95,0.6842105263,1,0.0340303096307474,0.147697707562616,1
"Gonzalez","2","F","GI",0.699840510371429,0.309429283118575,0.8181818182,0.1333333333,0.9473684211,0.116953275927535,0.442142571818757,0.9473684211
"Gonzalez","2","F","KA",0.8003707184625,0.149527193356307,0.7697368421,0.6111111111,1,0.0528658461970185,0.186822418545679,0.6111111111
"Gonzalez","2","F","MA",0.845864661666667,0.0988857590958316,0.8421052632,0.7142857143,1,0.0329619196986105,0.116904941862673,0.7142857143
"Gonzalez","2","F","MU",0.952604997345455,0.0629749427414469,1,0.8421052632,1,0.0189876596606813,0.0661081381232871,1
"Gonzalez","2","F","RE",0.8115369924125,0.226191718533863,0.8730769231,0.3,1,0.0799708490117667,0.278720157736064,1
"Gonzalez","2","F","UM",0.71275062657,0.226864985828334,0.68333333335,0.3125,1,0.0717410076559358,0.318295035277747,1
"Gonzalez","2","F","VA",0.74614149754,0.212567413862773,0.8,0.3529411765,0.95,0.0548846702557934,0.284888877731101,0.8947368421
"Gonzalez","2","F","YE",0.843440745408333,0.129835416876212,0.8571428571,0.55,1,0.0374802564419141,0.153935433618819,0.95
