"Supervisor.PI","Batch","Sex","Population","Mean","SD","Median","Min","Max","SE","CV","Mode"
"Mensch","2","M","MU",1693.33333333333,302.927494075177,1680,1380,2209,123.669631590693,0.178894189414475,2209
"Mensch","2","M","RE",1349,337.226387407089,1255,1099,2345,97.3488727736641,0.249982496224677,1237
"Mensch","2","M","UM",2012.33333333333,616.331296192775,1873,1378,2868,251.616198030077,0.306276940297884,1686
"Mensch","2","M","VA",1154.5,202.347967620137,1205,919,1378,82.608211859758,0.175268919549707,1300
"Mensch","2","M","YE",1675.8,813.670203460837,1390,1110,3108,363.884377240903,0.485541355448644,1501
"Mensch","3","F","AK",1946,821.332066606658,1768.5,1136,3600,237.098144874713,0.422061699181222,1136
"Mensch","3","F","GI",2810.5,871.371046110668,3067,1737,3600,355.735739934388,0.31004129020127,3600
"Mensch","3","F","KA",1837.83333333333,735.300783641798,1686,911,3600,212.263052685467,0.400091112891157,1562
"Mensch","3","F","MA",2023.5,674.745803988435,1913.5,1307,2789,275.463820975944,0.333454808000215,2738
"Mensch","3","F","MU",2183.75,1025.36132212459,2072,903,3600,295.996317672632,0.469541532741656,3600
"Mensch","3","F","RE",1648.41666666667,661.733186870706,1512,965,3600,191.025916785755,0.401435632296065,1381
"Mensch","3","F","UM",2138.66666666667,716.520041378446,2157.5,999,3340,206.841519384804,0.335031191417603,2551
"Mensch","3","F","VA",1592,652.816612389547,1384,927,3600,153.87035116396,0.410060686174339,927
"Mensch","3","M","AK",1970.75,898.435723911288,1551,1224,3600,259.356053524879,0.455885182753413,3600
"Mensch","3","M","GI",2057,735.421511787628,1833,1485,3423,300.234574957649,0.357521396104826,1485
"Mensch","3","M","KA",2368.08333333333,876.652564986249,2150.5,1279,3600,253.067797190293,0.370194981167435,3600
"Mensch","3","M","MA",1059.33333333333,154.846590749253,1091.5,869,1216,63.21585595754,0.146173622481988,1008
"Mensch","3","M","MU",1828.58333333333,596.597238638862,1647,1309,3600,172.222788162967,0.326261990779125,1577
"Mensch","3","M","RE",1365.25,239.788969721295,1286,965,1665,69.2211131086463,0.17563740686416,1655
"Mensch","3","M","UM",1710.5,788.125797526812,1537.5,765,3600,227.512320678697,0.46075755482421,1170
"Mensch","3","M","VA",1471.38888888889,405.804377515149,1402.5,897,2327,95.6490090587159,0.275796820663496,897
"Mensch","4","F","AK",2124,731.389710818322,1890,1348,3600,211.13402321174,0.344345438238381,3600
"Mensch","4","F","GI",1313.66666666667,348.415652155104,1219.5,888,1833,142.240094363173,0.26522379001911,1109
"Mensch","4","F","KA",2492,918.511186649352,2229.5,1305,3600,374.980621721532,0.368583943278231,3564
"Mensch","4","F","UM",2026.83333333333,401.032039829359,1991,1416,2913,115.767978074573,0.197861379736548,1969
"Mensch","4","F","VA",2116.16666666667,415.127169270655,2111,1575,2656,169.474957179847,0.196169411327394,2441
"Mensch","4","F","YE",2040.5,471.81511209371,1966.5,1552,2736,192.617712927273,0.231225244838868,1552
"Mensch","4","M","AK",1973.08333333333,769.429358602067,1732.5,1164,3600,222.115123655652,0.389962930406082,1342
"Mensch","4","M","GI",1541,1027.57637185759,1215,821,3600,419.506297131918,0.666824381477992,1348
"Mensch","4","M","KA",1258.33333333333,231.589867366141,1258.5,1000,1666,94.5461674409798,0.184044927708191,1264
"Mensch","4","M","UM",1821,401.339801619072,1742.5,1430,2884,115.856821250641,0.220395278209265,2204
"Mensch","4","M","VA",2070.5,1215.34056955242,1606,950,3600,496.160709851153,0.586979265661637,3600
"Mensch","4","M","YE",1558.33333333333,459.925066360453,1487.5,1115,2430,187.763622083134,0.295139080017403,1515
"Mensch","5","F","AK",1706.83333333333,291.821500028336,1639,1339,2290,84.24161079834,0.1709724636432,1916
"Mensch","5","F","GI",1210.66666666667,362.443190950895,1261,768,1687,147.96681309597,0.29937488239336,828
"Mensch","5","F","KA",1850.83333333333,673.990400974718,1650,1087,3454,194.564269716988,0.364155101832355,1950
"Mensch","5","F","MA",1863.66666666667,960.564827525341,1497.5,1058,3600,277.291180872921,0.515416648645327,3600
"Mensch","5","F","MU",2561.41666666667,997.373410361921,2626,1226,3600,287.916903477515,0.389383509267107,3600
"Mensch","5","F","RE",1887.83333333333,671.78931130815,1642.5,1252,3600,193.928869861237,0.355852023293803,2279
"Mensch","5","F","UM",2279.41666666667,841.843481277664,2143,1189,3600,243.019280265596,0.369324087863561,3206
"Mensch","5","F","VA",1362.58333333333,339.402538784455,1271,934,1852,97.9770735654237,0.249087546046936,1698
"Mensch","5","F","YE",2075,468.029486250599,2087,1467,2652,191.072237648487,0.225556378915952,1799
"Mensch","5","M","AK",1857.5,815.529889090522,1581,1111,3600,235.423200499299,0.439047046616701,1201
"Mensch","5","M","GI",2065.5,693.301882299479,1787,1496,3237,283.03930822414,0.335658137157821,3237
"Mensch","5","M","KA",1990.66666666667,704.953297400013,1837.5,1226,3600,203.502488010006,0.354129251875425,1594
"Mensch","5","M","MA",1551.66666666667,495.533382662897,1353,1035,2743,143.048165936435,0.3193555634777,2743
"Mensch","5","M","MU",2625.41666666667,665.014895025713,2546,1852,3600,191.973264329103,0.25329880146988,3600
"Mensch","5","M","RE",1440.5,325.651933539756,1479,890,1838,94.0076157456502,0.226068679999831,1570
"Mensch","5","M","UM",2180.5,784.73892589713,1824.5,1176,3217,226.534615055143,0.359889440906733,1676
"Mensch","5","M","VA",1472.83333333333,466.297180568423,1304.5,1009,2657,134.608401361771,0.316598742040346,1199
"Mensch","5","M","YE",2300.16666666667,641.207740647808,2168,1495,3191,261.771963951664,0.27876577377631,2878
"Mensch","6","F","AK",2021.5,868.018066422793,1838.5,913,3600,250.575232155329,0.42939305783962,1962
"Mensch","6","F","GI",1990.41666666667,820.065125832126,1780,1139,3600,236.732410576101,0.412006761983902,3600
"Mensch","6","F","KA",2253.90909090909,819.15547419833,1980,1267,3600,246.984668443774,0.363437672576196,3600
"Mensch","6","F","MA",1405.83333333333,409.30840043501,1412.5,805,2068,167.099454750091,0.291150018092479,1450
"Mensch","6","F","MU",1826.58333333333,686.986761594472,1822.5,982,3496,198.315995868139,0.376104801274404,1281
"Mensch","6","F","RE",2417.16666666667,659.504182448198,2306,1702,3572,269.241455038245,0.272841832358077,2390
"Mensch","6","F","UM",1757.16666666667,513.147654336951,1639.5,839,2706,148.132968182732,0.292031293372067,2706
"Mensch","6","F","VA",1999.41666666667,709.200889392527,2005.5,1012,3442,204.728662200149,0.35470390000043,2351
"Mensch","6","F","YE",2071.08333333333,666.868047235915,1875.5,1180,3282,192.508223292808,0.321989963659557,1714
"Mensch","6","M","AK",2297.5,875.782195837215,1980,1292,3600,252.816543259049,0.381189203846448,3600
"Mensch","6","M","GI",1910.66666666667,692.949340052206,1838.5,1071,3600,200.037244006957,0.362674113774707,1071
"Mensch","6","M","KA",2014.66666666667,635.405430104324,1758.5,1138,3328,183.425748057641,0.315389856107374,1598
"Mensch","6","M","MA",1824.5,875.250535561104,1485.5,1303,3600,357.319534870401,0.479720764900578,1465
"Mensch","6","M","MU",1708.66666666667,272.633064536912,1666,1367,2315,78.7023866001893,0.159558953103928,1705
"Mensch","6","M","RE",1774.83333333333,421.654558455932,1711.5,1370,2383,172.139752655929,0.237574171352765,1453
"Mensch","6","M","UM",1409.58333333333,772.983530147175,1368,682,3600,223.141124604809,0.548377319643281,1694
"Mensch","6","M","VA",2122.25,823.710907473556,2059.5,1108,3600,237.784857082144,0.388130949451552,3600
"Mensch","6","M","YE",2372.58333333333,863.591492056004,2135.5,1181,3600,249.297390204202,0.363987843934953,3600
"Mensch","7","F","AK",2430.58333333333,713.820509439852,2461,1436,3600,206.062231639087,0.293682796080441,1530
"Mensch","7","F","GI",1545.38888888889,473.919841681976,1484.5,1045,2690,111.703977930727,0.306667043544436,2162
"Mensch","7","F","KA",1444.08333333333,740.198923918224,1206.5,804,3321,213.677023989029,0.512573552254526,960
"Mensch","7","F","MA",1501.33333333333,418.769485938196,1525.5,902,2499,98.7049144203011,0.278931717987253,1351
"Mensch","7","F","MU",1611.27777777778,557.20160102337,1344,925,2528,131.333676857209,0.345813495790803,2528
"Mensch","7","F","RE",1538.88888888889,689.532056917109,1340,896,3600,162.524264430532,0.44807137272592,1184
"Mensch","7","F","UM",1868.83333333333,686.296783733043,1661.5,916,3600,140.089744354931,0.36723273899922,2692
"Mensch","7","F","VA",1474.75,718.820767267158,1203,937,3600,207.505681740393,0.487418726744979,1034
"Mensch","7","F","YE",1811.36666666667,814.989083207331,1442,849,3600,148.795968331037,0.449930485199388,3600
"Mensch","7","M","AK",1520.36363636364,720.343289373514,1381,893,3600,217.191673736577,0.473796710303077,1026
"Mensch","7","M","GI",1398.88888888889,289.459311148316,1336.5,964,2063,68.226213930187,0.206920873735889,1142
"Mensch","7","M","KA",1531.08333333333,501.534456050689,1514,990,2738,144.780526604369,0.327568359691301,1215
"Mensch","7","M","MA",1894.77777777778,852.344486802729,1441,1098,3600,200.899522175059,0.449838760407234,1291
"Mensch","7","M","MU",1449.27777777778,295.548106078411,1494,790,1836,69.6613566582953,0.203927853314348,1357
"Mensch","7","M","RE",1411.29411764706,395.696184702652,1411,941,2500,95.97042148135,0.280378256916684,1230
"Mensch","7","M","UM",1630,769.421352310491,1327.5,900,3600,157.057475863576,0.472037639454289,3600
"Mensch","7","M","VA",1239.41666666667,424.75970925461,1075,795,2182,122.617566239528,0.342709373432079,1080
"Mensch","7","M","YE",1597.96666666667,580.756372645033,1330.5,1096,3491,106.031121904187,0.363434597704395,1955
