"Supervisor.PI","Batch","Sex","Population","Mean","SD","Median","Min","Max","SE","CV","Mode"
"Hoedjes","2",NA,"KA",0.762,0.12078315871251,0.73,0.58,1,0.0311860774797253,0.158508082299882,0.7
"Hoedjes","2",NA,"MA",0.741333333333333,0.0989131413099873,0.75,0.55,0.93,0.0255392632676428,0.133425999968508,0.75
"Hoedjes","2",NA,"MU",0.713333333333333,0.129651547655721,0.73,0.48,0.9,0.0334758856587084,0.181754506059423,0.73
"Hoedjes","2",NA,"RE",0.616666666666667,0.169312334656004,0.63,0.28,0.88,0.04371625682868,0.274560542685412,0.7
"Hoedjes","2",NA,"UM",0.672666666666667,0.151538145441369,0.73,0.38,0.95,0.0391269809073053,0.225279700854364,0.73
"Hoedjes","2",NA,"VA",0.675333333333333,0.119753715520448,0.7,0.43,0.8,0.030920276390477,0.177325343811127,0.7
"Hoedjes","2",NA,"YE",0.508666666666667,0.113002317717487,0.5,0.25,0.68,0.029177072973511,0.222153966679201,0.5
"Hoedjes","3",NA,"AK",0.812,0.070325772556825,0.83,0.68,0.93,0.0181580363947836,0.0866080942818042,0.78
"Hoedjes","3",NA,"GI",0.494444444444444,0.0845740963757685,0.48,0.38,0.65,0.0281913654585895,0.171048734243127,0.48
"Hoedjes","3",NA,"KA",0.706666666666667,0.153839743456191,0.78,0.45,0.93,0.0397212509593766,0.217697750173855,0.83
"Hoedjes","3",NA,"MA",0.704,0.126083872311818,0.75,0.4,0.85,0.0325547158459343,0.179096409533833,0.78
"Hoedjes","3",NA,"MU",0.758,0.113590744089724,0.8,0.53,0.9,0.0293290040095206,0.149855862915203,0.8
"Hoedjes","3",NA,"RE",0.678,0.125311041583961,0.7,0.4,0.88,0.032355171810039,0.184824545109087,0.78
"Hoedjes","3",NA,"UM",0.768,0.0829113123420786,0.75,0.65,0.93,0.0214076087942048,0.107957437945415,0.75
"Hoedjes","3",NA,"VA",0.725333333333333,0.116733314296591,0.73,0.58,0.95,0.0301404121478862,0.160937473754491,0.85
"Hoedjes","3",NA,"YE",0.559333333333333,0.122151350303435,0.55,0.35,0.8,0.0315393430294634,0.218387396251671,0.55
"Hoedjes","4",NA,"AK",0.806,0.125117088018726,0.78,0.65,1,0.032305093214833,0.155232119129933,0.83
"Hoedjes","4",NA,"GI",0.531666666666667,0.117203526681865,0.515,0.4,0.73,0.0478481394042072,0.220445504730781,0.55
"Hoedjes","4",NA,"KA",0.742,0.173707471670869,0.75,0.33,0.98,0.0448510763262048,0.234107104677721,0.83
"Hoedjes","4",NA,"MA",0.701333333333333,0.125235017162971,0.7,0.48,0.93,0.0323355423889457,0.178567039681042,0.58
"Hoedjes","4",NA,"MU",0.724666666666667,0.121588689950215,0.73,0.48,0.93,0.0313940647509573,0.167785680704069,0.63
"Hoedjes","4",NA,"UM",0.691666666666667,0.103037210107158,0.68,0.58,0.83,0.0420647648804132,0.148969460395891,0.73
"Hoedjes","4",NA,"VA",0.641333333333333,0.184385724062616,0.68,0.3,0.95,0.0476081892381939,0.287503727748362,0.63
"Hoedjes","4",NA,"YE",0.622666666666667,0.137968250315926,0.63,0.45,0.83,0.0356232490519306,0.221576419136927,0.48
"Schmidt","1",NA,"AK",0.625156545935,0.181740470780492,0.65333333335,0.2380952381,0.9130434783,0.0406384046927994,0.290711937613444,0.9130434783
"Schmidt","1",NA,"GI",0.481290367926667,0.33582599338689,0.5,0,1,0.0867098986407326,0.697761716764836,0
