"Supervisor.PI","Sex","Population","Line","Mean","SD","Median","Min","Max","SE","CV","Mode"
"Gonzalez","M","VA","VA34",0.5394736842,0.357168380575554,0.3684210526,0.3,0.95,0.206211260671319,0.662068217665165,0.3
"Gonzalez","M","VA","VA35",0.5287037037,0.133227195406164,0.6,0.375,0.6111111111,0.0769187571311276,0.251988390612373,0.6111111111
"Gonzalez","M","VA","VA44",0.4829877725,0.290175086788047,0.5454545455,0.1666666667,0.7368421053,0.167532664469202,0.600791786686582,0.7368421053
"Gonzalez","M","VA","VA46",0.3149122807,0.264474775233841,0.3157894737,0.05,0.5789473684,0.152694582675124,0.839836333616319,0.5789473684
"Gonzalez","M","VA","VA47",0.883333333333333,0.202072594216369,1,0.65,1,0.116666666666667,0.228761427414757,1
"Gonzalez","M","VA","VA48",0.947368421066667,0.05263157895,0.9473684211,0.8947368421,1,0.0303868562746575,0.0555555555575103,0.9473684211
"Gonzalez","M","VA","VA55",0.6109544695,0.0808963023274185,0.619047619,0.5263157895,0.6875,0.0467055019251804,0.132409707050058,0.619047619
"Gonzalez","M","VA","VA57",0.553508771933333,0.344750234099181,0.55,0.2105263158,0.9,0.199041640460349,0.622845113899486,0.9
"Gonzalez","M","VA","VA6",0.541228070166667,0.0636131254852548,0.55,0.4736842105,0.6,0.0367270551229053,0.117534786149701,0.4736842105
"Gonzalez","M","VA","VA66",0.3781765995875,0.20799548578569,0.43529411765,0.1,0.625,0.0735375092276259,0.549995652857854,0.4705882353
"Gonzalez","M","VA","VA67",0.64666666666,0.209939239905553,0.5789473684,0.4,0.8947368421,0.0938876823146905,0.324648309135645,0.4
"Gonzalez","M","VA","VA71",0.6307017544,0.290075132766864,0.75,0.3,0.8421052632,0.167474955988165,0.459924410774501,0.75
"Gonzalez","M","VA","VA9",0.272222222233333,0.118243314728415,0.25,0.1666666667,0.4,0.068267809588324,0.434363196943795,0.25
"Gonzalez","M","YE","YE11",0.661050061066667,0.380343507023338,0.8,0.2307692308,0.9523809524,0.21959142616445,0.575362638057423,0.2307692308
