"Supervisor.PI","Sex","Population","Mean","SD","Median","Min","Max","SE","CV","Mode"
"Gonzalez","F","AK",0.899217632132877,0.143320668178992,0.9473684211,0.05,1,0.0167744154205852,0.159383738771944,1
"Gonzalez","F","GI",0.77266810025,0.228896275069699,0.8340909091,0.1333333333,1,0.0337489145528458,0.296241393938275,1
"Gonzalez","F","KA",0.849944701749091,0.141932802758594,0.8947368421,0.4285714286,1,0.0191382152197733,0.166990631821708,1
"Gonzalez","F","MA",0.849669917944444,0.139813953668659,0.85,0.4,1,0.017614902439237,0.164550904670018,1
"Gonzalez","F","MU",0.871193496009524,0.161723987970157,0.9047619048,0.2105263158,1,0.0203753072953636,0.185634980875005,1
"Gonzalez","F","RE",0.823810304608929,0.159292388380413,0.8441295547,0.25,1,0.0212863407728727,0.193360519392909,1
"Gonzalez","F","UM",0.78564005323125,0.195545850677051,0.83771929825,0.3125,1,0.0282246123818275,0.248900052731264,0.95
"Gonzalez","F","VA",0.818210173250725,0.171636830846869,0.8666666667,0.35,1,0.0206626463024382,0.209771078945353,1
"Gonzalez","F","YE",0.855185341247887,0.137718303677559,0.9,0.45,1,0.0163441556802098,0.161039130390847,1
"Gonzalez","M","AK",0.586955041253425,0.270615049706918,0.6153846154,0.05,1,0.0316730958662356,0.461049025371735,0.7
"Gonzalez","M","GI",0.616094118863043,0.273014418192266,0.67115384615,0.1578947368,1,0.0402537798767588,0.443137517196389,0.4210526316
"Gonzalez","M","KA",0.637320608684182,0.269448158048966,0.65,0.05,1,0.0363323822195174,0.422782747611554,1
"Gonzalez","M","MA",0.595030721228571,0.239871408242747,0.65,0.1,1,0.0302209568021504,0.403124409690108,0.75
"Gonzalez","M","MU",0.575353871834444,0.275820141470112,0.55,0,1,0.0347500714720272,0.479392170579637,0.85
"Gonzalez","M","RE",0.563416828444643,0.252681246648917,0.60555555555,0,1,0.0337659518936845,0.448480119677049,0.45
"Gonzalez","M","UM",0.552054917185417,0.257824963200116,0.5555555556,0.1,0.95,0.0372138279768481,0.467027745200793,0.8
"Gonzalez","M","VA",0.530490653027536,0.242462704211719,0.5454545455,0.05,1,0.0291890794880103,0.457053678190129,0.3
"Gonzalez","M","YE",0.674127258239437,0.268795165214904,0.75,0,1,0.0319001171888234,0.3987305986067,0.95
"Kozeretska","F","AK",0.525,0.301574152899365,0.55,0,1,0.0517195405377918,0.574426957903553,0.6
"Kozeretska","F","GI",0.484375,0.230737043695488,0.55,0.05,0.85,0.0576842609238719,0.476360348274555,0.6
"Kozeretska","F","KA",0.445652173913043,0.318345525361653,0.35,0,1,0.0663796306884766,0.714336300811513,0.3
"Kozeretska","F","MA",0.418333333333333,0.30441672133752,0.375,0,1,0.0555786350527746,0.727689373715186,0.25
"Kozeretska","F","MU",0.45625,0.327194822105887,0.375,0,1,0.0578404193700497,0.717139336122493,0.85
"Kozeretska","F","RE",0.470833333333333,0.295957057206185,0.5,0,0.95,0.0604119813275703,0.628581360437915,0.1
"Kozeretska","F","UM",0.372727272727273,0.334068453466848,0.275,0,0.95,0.0712236335909429,0.896281216618373,0.05
"Kozeretska","F","VA",0.424358974358974,0.321155765386558,0.3,0,1,0.0514260797952092,0.756802105744758,0.15
"Kozeretska","F","YE",0.45625,0.332419490089412,0.425,0,1,0.0678548442729357,0.728590663209669,0.1
"Kozeretska","M","AK",0.714705882352941,0.288551610783169,0.75,0,1,0.0494861929899054,0.403734764058755,1
"Kozeretska","M","GI",0.759375,0.174373879924718,0.775,0.45,1,0.0435934699811795,0.229628154633374,0.6
"Kozeretska","M","KA",0.65,0.308220700148449,0.7,0,1,0.0642684586917151,0.474185692536075,1
"Kozeretska","M","MA",0.673333333333333,0.296163204463622,0.8,0.1,1,0.0540717559292467,0.439846343262804,0.95
"Kozeretska","M","MU",0.603125,0.321773688252494,0.65,0,1,0.0568820892426861,0.53351077844973,0.95
"Kozeretska","M","RE",0.65625,0.262642300973909,0.65,0.2,1,0.0536116351880469,0.40021683957929,1
"Kozeretska","M","UM",0.595454545454545,0.334133239359723,0.625,0.1,1,0.0712374459897135,0.561139791291137,0.95
"Kozeretska","M","VA",0.619230769230769,0.318221907143796,0.65,0.05,1,0.0509562864912699,0.51389873203346,1
"Kozeretska","M","YE",0.729166666666667,0.26123314036161,0.725,0.1,1,0.0533239914825667,0.358262592495922,1
