variable,x,y
DrosoEu_wc2.1_30s_tmin_01,-25.93504131011963,0.003456621430814266
DrosoEu_wc2.1_30s_tmin_01,-25.83160130691528,0.003555906703695655
DrosoEu_wc2.1_30s_tmin_01,-25.72816130371094,0.003658040426671505
DrosoEu_wc2.1_30s_tmin_01,-25.624721300506593,0.0037631001323461533
DrosoEu_wc2.1_30s_tmin_01,-25.521281297302245,0.0038711715023964643
DrosoEu_wc2.1_30s_tmin_01,-25.417841294097904,0.003982342313975096
DrosoEu_wc2.1_30s_tmin_01,-25.314401290893557,0.0040966966189444065
DrosoEu_wc2.1_30s_tmin_01,-25.21096128768921,0.004214330110698938
DrosoEu_wc2.1_30s_tmin_01,-25.107521284484864,0.004335332196205854
DrosoEu_wc2.1_30s_tmin_01,-25.00408128128052,0.004459800198674202
DrosoEu_wc2.1_30s_tmin_01,-24.900641278076172,0.004587836097925901
DrosoEu_wc2.1_30s_tmin_01,-24.797201274871828,0.0047195362858474255
DrosoEu_wc2.1_30s_tmin_01,-24.693761271667483,0.004855007864534855
DrosoEu_wc2.1_30s_tmin_01,-24.590321268463136,0.004994361195713282
DrosoEu_wc2.1_30s_tmin_01,-24.48688126525879,0.005137701518833637
DrosoEu_wc2.1_30s_tmin_01,-24.383441262054447,0.005285144783556461
DrosoEu_wc2.1_30s_tmin_01,-24.2800012588501,0.005436810199171305
DrosoEu_wc2.1_30s_tmin_01,-24.17656125564575,0.00559281324967742
DrosoEu_wc2.1_30s_tmin_01,-24.073121252441407,0.005753279197961092
DrosoEu_wc2.1_30s_tmin_01,-23.969681249237063,0.005918338894844055
DrosoEu_wc2.1_30s_tmin_01,-23.866241246032715,0.006088116206228733
DrosoEu_wc2.1_30s_tmin_01,-23.76280124282837,0.0062627485021948814
DrosoEu_wc2.1_30s_tmin_01,-23.659361239624026,0.006442377343773842
DrosoEu_wc2.1_30s_tmin_01,-23.555921236419678,0.006627137307077646
DrosoEu_wc2.1_30s_tmin_01,-23.452481233215334,0.006817181594669819
DrosoEu_wc2.1_30s_tmin_01,-23.34904123001099,0.007012652698904276
DrosoEu_wc2.1_30s_tmin_01,-23.24560122680664,0.007213708478957415
DrosoEu_wc2.1_30s_tmin_01,-23.142161223602297,0.007420510519295931
DrosoEu_wc2.1_30s_tmin_01,-23.03872122039795,0.007633214350789785
DrosoEu_wc2.1_30s_tmin_01,-22.935281217193605,0.007851991802453995
DrosoEu_wc2.1_30s_tmin_01,-22.83184121398926,0.008077017031610012
DrosoEu_wc2.1_30s_tmin_01,-22.728401210784913,0.00830846093595028
DrosoEu_wc2.1_30s_tmin_01,-22.62496120758057,0.008546506986021996
DrosoEu_wc2.1_30s_tmin_01,-22.52152120437622,0.008791348896920681
DrosoEu_wc2.1_30s_tmin_01,-22.418081201171876,0.009043167345225811
