X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
-4.2,38.16,train,1.176047737062344E-4,19.59059618662555,0.4692798257076912
67.54,38.2,train,4.025886313968255E-5,6.548661409711406,0.19496444392885903
38.18,38.22,train,4.312968751869212E-5,7.168656254643522,0.20731832822396
27.1,38.25,train,1.0513066374478883E-4,17.086522261381063,0.4323919205792143
-8.55,38.3,train,2.4167991486441016E-4,50.01267078818557,0.7279843588708218
56.0,38.3,train,5.99643196076215E-5,10.782063979183063,0.2760401587459863
68.21,38.32,train,4.311643109245795E-5,7.165778068280034,0.2072617204053585
-1.07,38.36,train,1.595682986748017E-4,27.7992464179478,0.5766567580972022
63.11,38.36,train,2.0881656546913057E-5,2.772340820462397,0.10639063116303715
-8.13,38.38,train,1.701175288651032E-4,30.285187288116813,0.6000433855915148
22.25,38.38,train,1.4120875066039743E-4,24.268274287077393,0.5326475894408738
68.51,38.38,train,4.346386877910291E-5,7.241212457171841,0.20874402017894744
56.18,38.39,train,5.739438437518147E-5,10.312947038453798,0.2659480500464054
-9.08,38.44,train,1.7499920848561084E-4,31.431176720101092,0.6104239269588494
29.47,38.45,train,1.0229045947945679E-4,16.62031439761363,0.42364086742582996
48.24,38.45,train,1.3787128660379692E-4,23.696282734789442,0.5241693331539757
48.5,38.45,train,1.6255375084715996E-4,28.63322339477831,0.5834105995059489
-9.15,38.46,train,1.5271362940357994E-4,26.40062056401495,0.5607325575637951
-2.06,38.49,train,9.768929331299093E-5,15.837452588987272,0.4091768137142783
22.2,38.5,train,1.548120938007321E-4,26.80735977460733,0.5656701348733748
-0.31,38.51,train,2.3463529155904E-4,48.467912233821615,0.7174634384167946
-7.1,38.53,train,1.5938945141218242E-4,27.756018858768225,0.5762487020792117
22.26,38.55,train,1.8899621560192006E-4,35.00574517762709,0.6387178445841225
16.16,38.58,train,2.363842795020371E-4,48.83183557859681,0.7201128708600455
-0.2,38.59,train,1.9294489615580314E-4,36.18201960767209,0.6463215170365512
-3.0,39.0,train,9.084001997343861E-5,14.888866231327198,0.3869706171718075
22.0,39.0,train,1.7436816562507105E-4,31.270181599695288,0.6090973723400549
47.21,39.0,train,1.562758271098798E-4,27.055052090687653,0.5690813273163502
-7.04,39.01,train,1.4301246832076474E-4,24.569674184641833,0.5371665703436198
26.32,39.06,train,1.5872334287320072E-4,27.599058304902222,0.5747254524291727
63.34,39.09,train,2.8827116125338895E-5,4.248915983307511,0.1438311093697402
-7.25,39.17,train,1.6032379111112198E-4,27.981849682445475,0.578376150317694
46.35,39.19,train,9.658460791607846E-5,15.65344744371658,0.4056504701902842
-7.27,39.25,train,1.8765527780226118E-4,34.79694183344978,0.6360986951581536
-7.56,39.28,train,1.7949676164553995E-4,32.71138995166447,0.6197490348232843
-1.08,39.29,train,1.6387198182534607E-4,28.907083858227196,0.5863583742158011
-0.41,39.3,train,3.4484359671403355E-4,82.33281918832665,0.8439570446466926
-1.0,39.3,train,1.8122856650479047E-4,33.0886606577918,0.6232798966794668
16.17,39.31,train,2.1932292111145597E-4,43.77012408420452,0.6931700916052252
3.0,39.4,train,2.2015106252609685E-4,43.97068809728182,0.6945358361661444
64.3,39.4,train,3.187831528643737E-5,4.808324098285722,0.15778840927153082
66.57,39.4,train,4.2150027594386596E-5,6.946356502941742,0.20312405953150992
-7.37,39.45,train,1.966357705067275E-4,37.166557081576634,0.653283986769668
-7.56,39.45,train,1.743524453221019E-4,31.26617094966247,0.6090642681072864
16.28,39.45,train,2.265036751954162E-4,46.108892047923256,0.7048121783147662
64.26,39.47,train,3.769492382346079E-5,5.994313610676241,0.18376849162819875
8.43,39.47,train,2.77387222940281E-4,60.48173102373721,0.7755822383485377
-5.45,39.5,train,2.1794929765673213E-4,43.39998037871605,0.6908912780177516
32.5,39.5,train,1.2708888931975204E-4,21.6965728563186,0.49571312291991954
32.44,39.51,train,1.1962830129284404E-4,20.059524040299692,0.47503350311567805
32.44,39.52,train,1.2129018025075163E-4,20.48025761265933,0.47971219121971753
8.57,39.52,train,2.580010988975955E-4,54.09373181437258,0.7508787698866672
-8.38,39.55,train,2.704394130606385E-4,58.006396383715845,0.7670238245839739
32.5,39.55,train,1.247437472550592E-4,21.111729140034225,0.4893020818596213
32.53,39.56,train,1.254760660769853E-4,21.29712014147642,0.49131276473152474
9.4,39.56,train,2.3035844929002321E-4,47.29053543976344,0.7108785877359949
9.13,39.58,train,2.1529053081879157E-4,42.56596983982873,0.686432242498672
32.27,39.59,train,1.3142107640429234E-4,22.50216383349825,0.5073453486706068
-0.15,40.0,train,3.035996623948978E-4,69.00093927054068,0.8051350805837005
-4.0,40.0,train,1.3095287638345077E-4,22.39175121237685,0.5061012425088575
-5.0,40.0,train,1.4831098524336578E-4,25.508974917319325,0.55019018470818
-8.0,40.0,train,2.511914747881668E-4,52.314827480701474,0.7415707057708496
22.0,40.0,train,2.0960504377123064E-4,41.063747289655254,0.6766800506571569
30.0,40.0,train,1.3893856723436876E-4,23.915568207348997,0.5268971728716394
34.0,40.0,train,1.2587173629836494E-4,21.4373062474764,0.492395836143773
35.0,40.0,train,1.243359794749738E-4,21.01571760496058,0.4881790561434355
45.0,40.0,train,5.165549868321088E-5,9.034620721529164,0.2429007362198916
48.0,40.0,train,1.102776158572202E-4,18.162333475410982,0.4479132043531978
0.03,40.03,train,3.163039500181195E-4,72.63541989239108,0.8180248049318605
22.28,40.05,train,2.0309170699975228E-4,39.10016905591889,0.6651345473378851
-7.27,40.06,train,1.9971547597046868E-4,37.91752530114132,0.6589885347994543
71.44,40.07,train,5.8195794817214426E-5,10.439958007918976,0.2691101844426307
-7.26,40.08,train,2.0367658694178887E-4,39.289698223549095,0.6661879362201699
-7.3,40.08,train,2.119075532558005E-4,41.61876328276863,0.6806655157460769
18.3,40.08,train,2.089631076478735E-4,40.888006656641736,0.6755600685877376
44.31,40.1,train,7.803580025876675E-5,13.151609525349542,0.34319485051532417
18.02,40.11,train,2.1718180018292672E-4,43.161840251174986,0.6896106531408859
29.04,40.12,train,2.0793478443124148E-4,40.607515053536815,0.6737578685002423
69.4,40.14,train,4.452703364748647E-5,7.448543616191726,0.21326268600196208
-7.3,40.17,train,2.4025229084270638E-4,49.65964722290366,0.7258843826249866
9.36,40.18,train,1.62775092144423E-4,28.68172162503337,0.583907017387661
44.23,40.19,train,7.560320694166626E-5,12.938235020024752,0.33453141178955614
29.0,40.2,train,1.322178641657739E-4,22.61791576435806,0.5094553813255287
29.02,40.21,train,1.2635276464311818E-4,21.56086841242219,0.49370945363725804
-3.37,40.22,train,1.293956169024067E-4,22.10775718125351,0.5019406285802455
49.53,40.22,train,6.638504314600762E-5,11.844087746780314,0.3006520588237599
71.19,40.23,train,5.407420770081986E-5,9.620832663248285,0.25270118338281955
-3.43,40.25,train,1.277976828995013E-4,21.829988799035746,0.497634905431658
-0.1,40.28,train,1.9343822189103727E-4,36.32390139652999,0.6472601614760158
-1.35,40.3,train,1.5222284569281347E-4,26.303795181299677,0.5595696933417078
34.57,40.31,train,1.2580461529048236E-4,21.413525249520465,0.49221226779624594
72.49,40.37,train,3.564320532198591E-5,5.526689256345119,0.1746972035738985
22.58,40.38,train,2.0790396084324853E-4,40.596726412984815,0.673703693997995
48.37,40.38,train,9.02356388234872E-5,14.80415128800239,0.38497151495864035
-3.46,40.39,train,1.205301025077216E-4,20.251513269556714,0.47757754111057893
46.2,40.39,train,1.362071207983691E-4,23.31062597881671,0.5198845114266529
68.31,40.39,train,5.839065581144219E-5,10.470840415346853,0.2698769887504837
-7.55,40.4,train,3.203014979676092E-4,74.16222299531081,0.8219016085756445
0.44,40.43,train,2.7672121285104957E-4,60.09600620676424,0.7747756481059482
44.52,40.45,train,4.568807047757848E-5,7.705420387716041,0.21816785502161617
-3.2,40.47,train,1.3574285075892945E-4,23.208900474966175,0.5186822602774543
72.23,40.48,train,7.178654340396007E-5,12.543951239600378,0.3207078730955326
60.4,40.5,train,1.6718966558439607E-5,2.1427701131604544,0.086126135977591
16.38,40.53,train,2.1340937211043019E-4,42.16765507808137,0.6832385374702044
38.25,40.55,train,8.888253575692481E-5,14.565099738753174,0.38047220940156923
9.3,40.56,train,1.9624129538126802E-4,37.03466464815001,0.6525464381143293
0.38,40.57,train,2.470276837767234E-4,51.263863895361325,0.7357087037333503
71.41,40.59,train,5.6567331497548815E-5,10.15202498631342,0.2626703930146014
24.0,41.0,train,1.729705823048977E-4,30.909310198488605,0.6061433228128976
45.0,41.0,train,3.440243474276613E-4,82.01856438673546,0.8432668770936629
70.0,41.0,train,6.163654417287575E-5,11.041800358154983,0.28253233212457574
16.53,41.02,train,1.668735406507731E-4,29.523092533275825,0.5929927553101707
28.57,41.02,train,1.4722225881375715E-4,25.192246388368222,0.5475443818482835
0.26,41.03,train,1.9800047798321292E-4,37.46659634971647,0.6558235190087174
20.5,41.06,train,1.4650421645551347E-4,25.083963076533326,0.5457908975500262
16.52,41.07,train,1.6649690503498104E-4,29.44097827988742,0.5921661469315113
0.49,41.08,train,2.1697087514587575E-4,43.08916424321329,0.6892577810352317
-8.37,41.09,train,3.2283820008849226E-4,75.033878623465,0.8243187451982373
1.16,41.09,train,4.029519297806171E-4,94.36062190048438,0.8858960463948401
16.25,41.09,train,1.1461708259604989E-4,19.034236447139907,0.46066916568293104
24.11,41.1,train,2.0205291568366283E-4,38.637278805620305,0.6632554469773918
22.46,41.11,train,1.651036784405669E-4,29.150934866397,0.5890937919038227
23.06,41.12,train,1.9990813115090505E-4,37.96978779273745,0.6593422550888591
23.05,41.13,train,2.0063165864427006E-4,38.204774215794046,0.6606673984863582
23.14,41.15,train,2.5919032597956064E-4,54.42834679831966,0.7524695890769608
69.13,41.16,train,5.3105265199018264E-5,9.406615267722367,0.2487904172739246
36.22,41.17,train,3.1571109585058733E-4,72.4354383191095,0.8174427159507619
23.13,41.18,train,2.004469719522619E-4,38.14161865686599,0.6603296348593706
23.13,41.19,train,1.9543761901295628E-4,36.79393231680595,0.6510389495161517
-1.13,41.2,train,1.6053652864474687E-4,28.049834810998565,0.5788590490905401
-1.4,41.2,train,1.4028178413667982E-4,24.133457138227197,0.5303080577268596
1.0,41.2,train,3.1989779632443546E-4,73.90118140374337,0.8215138794168145
1.3,41.2,train,3.7074793885621884E-4,88.75523112656803,0.8642807686524161
23.15,41.2,train,1.6176550645650441E-4,28.450481919022526,0.5816379327101844
33.0,41.2,train,1.7395092943484617E-4,31.13114141825251,0.6082177943615065
1.1,41.23,train,3.565478492527039E-4,85.26407604910868,0.8534916883149051
1.47,41.25,train,3.330490191523122E-4,78.69312568918149,0.8337210076102093
31.47,41.26,train,2.8706601685392537E-4,63.29341825637086,0.7869832032191248
45.47,41.27,train,1.5303913035770596E-4,26.464837761460682,0.5615021064637901
-0.33,41.29,train,1.6692855961521286E-4,29.53608954782465,0.5931133660084706
-0.3,41.3,train,1.6950687471406866E-4,30.163730931555637,0.5987255587858226
-3.0,41.3,train,1.686723770777329E-4,29.996462911437884,0.5969176406615162
-5.45,41.3,train,1.7856467917361498E-4,32.46411280035029,0.617834994624189
1.3,41.3,train,3.100199035091514E-4,70.5233504860216,0.8117592626142952
2.0,41.3,train,4.1487118292438395E-4,95.93608819264773,0.8929921103999829
23.22,41.3,train,2.671353488666369E-4,57.191773748579315,0.7628400694460011
45.0,41.3,train,1.8911063735086058E-4,35.0418565017452,0.638940460849455
69.18,41.3,train,5.228962036432526E-5,9.203255930198816,0.24548251790410658
2.13,41.32,train,3.7623756607829543E-4,89.6985572448621,0.8682354751837266
-0.55,41.35,train,1.7065599794610897E-4,30.39283942908099,0.6012018416729985
0.38,41.37,train,1.7427495322483162E-4,31.24355089848856,0.6089010422088716
41.36,41.37,train,3.2206426705962154E-4,74.83359415995717,0.8235847891411144
42.59,41.37,train,4.568567410999149E-5,7.7048702431537395,0.21815776236728723
-0.54,41.39,train,1.8162519704527445E-4,33.21006184446416,0.6240839349344591
26.34,41.41,train,1.511528257122983E-4,26.073739424246057,0.5570237017327759
44.48,41.43,train,1.842630916127133E-4,33.95354441783609,0.6293879158773348
-7.28,41.44,train,2.6612362924970497E-4,56.805168259182345,0.761544021374525
1.57,41.48,train,2.940220367327565E-4,65.38238672564033,0.7948174809255875
43.23,41.49,train,1.6638790565176034E-4,29.417427419975564,0.5919266111168695
1.34,41.55,train,2.574693521120047E-4,53.892138136120046,0.7501641527861338
