Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
8.11647E-5,13.508025265,0.352785141,0.339836541,0.12826087,0.091503268
8.32451E-5,13.753940776,0.359962846,0.337200105,0.130434783,0.098039216
8.49788E-5,14.006741279,0.365883398,0.33456367,0.131884058,0.098039216
8.64496E-5,14.255463489,0.370863201,0.332015116,0.134782609,0.098039216
8.81855E-5,14.500028504,0.376690201,0.329554442,0.134782609,0.098039216
9.03294E-5,14.750099297,0.383812373,0.327093769,0.136956522,0.104575163
9.22442E-5,15.005769588,0.390104844,0.324633096,0.138405797,0.104575163
9.40449E-5,15.257264533,0.39596355,0.322260304,0.14057971,0.104575163
9.56216E-5,15.503847148,0.401047237,0.319975393,0.142753623,0.104575163
9.72698E-5,15.754640732,0.406315602,0.317690482,0.144202899,0.104575163
9.83789E-5,16.009176218,0.409834768,0.315405572,0.144927536,0.104575163
9.96508E-5,16.256767673,0.413844739,0.313208542,0.147101449,0.104575163
1.00722E-4,16.507280571,0.417201485,0.311011512,0.149275362,0.104575163
1.01959E-4,16.750502718,0.421051507,0.308902364,0.150724638,0.104575163
1.03288E-4,17.006880837,0.425163105,0.306705334,0.153623188,0.104575163
1.04511E-4,17.2562065,0.428917902,0.304596186,0.154347826,0.104575163
1.05434E-4,17.508307575,0.431736647,0.302487038,0.155797101,0.111111111
1.06814E-4,17.752550524,0.435926456,0.30046577,0.157246377,0.117647059
1.08286E-4,18.010748465,0.440357584,0.298356622,0.157246377,0.117647059
1.09142E-4,18.260863359,0.442919617,0.296335355,0.160869565,0.124183007
1.1065E-4,18.502868356,0.447406431,0.294401969,0.163768116,0.124183007
1.11949E-4,18.758858579,0.451239132,0.292380701,0.165942029,0.124183007
1.13824E-4,19.007144045,0.456726538,0.290447315,0.170289855,0.124183007
1.15182E-4,19.259304853,0.460668533,0.288513929,0.175362319,0.124183007
1.16153E-4,19.502285386,0.463469134,0.286668424,0.178985507,0.130718954
1.17266E-4,19.759065912,0.466660805,0.284735038,0.18115942,0.137254902
1.18231E-4,20.006474177,0.46941273,0.282889533,0.185507246,0.137254902
1.19439E-4,20.255789391,0.472836082,0.281044028,0.186231884,0.137254902
