Model	Trait	Sex	Population	Line	Value_re_Colinet	Value_re_Hoedjes	Value_re_Onder	SE_re_Colinet	SE_re_Hoedjes	SE_re_Onder
lmer_pop	DW	F	YE	YE80	0.051	0.055	0.041	0.012	0.01	0.011
lmer_pop	DW	F	MA	MA26	NA	-0.001	0.011	NA	0.01	0.011
lmer_pop	DW	F	MA	MA9	NA	-0.023	-0.01	NA	0.01	0.011
lmer_pop	DW	F	UM	UM6	NA	0.024	0.009	NA	0.01	0.011
lmer_pop	DW	F	RE	RE1	NA	NA	0.021	NA	NA	0.011
lmer_pop	DW	M	AK	AK1	-0.004	-0.008	-0.012	0.005	0.006	0.006
lmer_pop	DW	M	AK	AK10	-0.011	-0.022	0	0.005	0.006	0.006
lmer_pop	DW	M	AK	AK11	-0.005	-0.024	-0.003	0.005	0.006	0.006
lmer_pop	DW	M	AK	AK12	-0.014	-0.018	-0.011	0.005	0.006	0.006
lmer_pop	DW	M	AK	AK13	-0.009	-0.003	-0.014	0.005	0.006	0.006
lmer_pop	DW	M	AK	AK14	-0.001	0.008	-0.014	0.005	0.006	0.006
lmer_pop	DW	M	AK	AK15	-0.02	-0.04	-0.021	0.005	0.006	0.006
lmer_pop	DW	M	AK	AK16	0.013	0.024	0.029	0.005	0.006	0.007
lmer_pop	DW	M	AK	AK17	-0.006	0.02	-0.012	0.005	0.006	0.007
lmer_pop	DW	M	AK	AK18	0.001	0.024	0.023	0.005	0.006	0.007
lmer_pop	DW	M	AK	AK2	0.041	0.028	0.014	0.005	0.006	0.006
lmer_pop	DW	M	AK	AK20	-0.036	-0.032	-0.003	0.005	0.006	0.007
lmer_pop	DW	M	AK	AK21	0.002	0.035	0.018	0.005	0.006	0.007
lmer_pop	DW	M	AK	AK3	0.015	0	-0.026	0.005	0.006	0.006
lmer_pop	DW	M	AK	AK4	0.003	-0.009	0.005	0.005	0.006	0.006
lmer_pop	DW	M	AK	AK5	0.032	0.016	0.011	0.005	0.006	0.006
lmer_pop	DW	M	AK	AK6	0.008	-0.005	0.011	0.005	0.005	0.006
lmer_pop	DW	M	AK	AK7	0.013	0.001	0.039	0.005	0.006	0.006
lmer_pop	DW	M	AK	AK8	0.01	0.015	0.001	0.005	0.006	0.006
lmer_pop	DW	M	AK	AK9	-0.033	-0.009	-0.033	0.005	0.006	0.006
lmer_pop	DW	M	GI	GI1	0.003	0.007	0.024	0.005	0.006	0.006
lmer_pop	DW	M	GI	GI10	-0.006	0.015	0.005	0.005	0.006	0.006
lmer_pop	DW	M	GI	GI11	-0.016	-0.011	-0.008	0.005	0.006	0.006
lmer_pop	DW	M	GI	GI12	-0.018	-0.015	-0.034	0.005	0.005	0.007
lmer_pop	DW	M	GI	GI13	0.001	0.007	-0.019	0.005	0.006	0.007
