"Supervisor.PI","Diet","Batch","Population","Line","Data.Label","Sex","ReplicateChamberOld","ReplicateChamber","Period","CircPhase","AbsPhase","Experiment","ND","Activity","Country","Latitude","Longitude","Altitude"
"Tauber","NS",1,"YE","YE24","YE 24-9-19","M",2,"Tauber_1_YE24_M_2",23.9,11.95,12.3,1,1.645833,25.4,"Turkey",40.231,32.26,680
"Tauber","NS",1,"YE","YE24","YE 24-9-20","M",2,"Tauber_1_YE24_M_2",23.84,10.47,12.7,1,1.518987,39.8,"Turkey",40.231,32.26,680
"Tauber","NS",1,"YE","YE24","YE 24-9-22","M",2,"Tauber_1_YE24_M_2",24.38,12.21,12.5,1,0.75,12.6,"Turkey",40.231,32.26,680
"Tauber","NS",1,"YE","YE24","YE 24-9-23","M",2,"Tauber_1_YE24_M_2",24.54,6.45,12.5,1,1.119403,28.4,"Turkey",40.231,32.26,680
"Tauber","NS",1,"RE","RE2","RE 2-10-18","M",2,"Tauber_1_RE2_M_2",23.2,6.72,11.8,1,0.843137,37.6,"Portugal",41.15,-8.41,175
"Tauber","NS",1,"RE","RE2","RE 2-10-18","M",2,"Tauber_1_RE2_M_2",24.08,10.07,23.7,1,0.766667,42.4,"Portugal",41.15,-8.41,175
"Tauber","NS",1,"RE","RE2","RE 2-10-18","M",2,"Tauber_1_RE2_M_2",21.52,17.84,12,1,0.716814,38.8,"Portugal",41.15,-8.41,175
"Tauber","NS",1,"RE","RE2","RE 2-10-18","M",2,"Tauber_1_RE2_M_2",23.66,11.16,12.1,1,1.017857,22.6,"Portugal",41.15,-8.41,175
"Tauber","NS",1,"RE","RE2","RE 2-10-18","M",2,"Tauber_1_RE2_M_2",24.38,23.04,23.8,1,1.3125,29.6,"Portugal",41.15,-8.41,175
"Tauber","NS",1,"RE","RE2","RE 2-10-18","M",2,"Tauber_1_RE2_M_2",23.78,9.59,12.6,1,0.973451,44.6,"Portugal",41.15,-8.41,175
"Tauber","NS",1,"RE","RE2","RE 2-10-18","M",2,"Tauber_1_RE2_M_2",22.74,11.4,1,1,0.966667,35.4,"Portugal",41.15,-8.41,175
"Tauber","NS",1,"RE","RE2","RE 2-10-18","M",2,"Tauber_1_RE2_M_2",24.14,8.95,12.3,1,1.564516,31.8,"Portugal",41.15,-8.41,175
"Tauber","NS",1,"RE","RE3","RE 3-10-18","M",2,"Tauber_1_RE3_M_2",24.62,10.72,12.3,1,0.8125,23.2,"Portugal",41.15,-8.41,175
"Tauber","NS",1,"RE","RE3","RE 3-10-18","M",2,"Tauber_1_RE3_M_2",23.9,12.25,12.5,1,0.352941,18.4,"Portugal",41.15,-8.41,175
"Tauber","NS",1,"RE","RE3","RE 3-10-18","M",2,"Tauber_1_RE3_M_2",21.34,10.68,11.6,1,0.652893,40,"Portugal",41.15,-8.41,175
"Tauber","NS",1,"RE","RE3","RE 3-10-18","M",2,"Tauber_1_RE3_M_2",23.72,10.73,12.3,1,0.6,22.4,"Portugal",41.15,-8.41,175
"Tauber","NS",1,"RE","RE3","RE 3-10-18","M",2,"Tauber_1_RE3_M_2",23.2,13.03,12.6,1,0.833333,6.6,"Portugal",41.15,-8.41,175
"Tauber","NS",1,"RE","RE3","RE 3-10-18","M",2,"Tauber_1_RE3_M_2",23.24,11.05,12.2,1,0.422535,20.2,"Portugal",41.15,-8.41,175
"Tauber","NS",1,"RE","RE3","RE 3-10-18","M",2,"Tauber_1_RE3_M_2",23.6,11.08,12.4,1,0.512195,12.4,"Portugal",41.15,-8.41,175
"Tauber","NS",1,"RE","RE4","RE 4-10-18","M",2,"Tauber_1_RE4_M_2",24.26,11.77,12.5,1,0.785124,43.2,"Portugal",41.15,-8.41,175
"Tauber","NS",1,"RE","RE4","RE 4-10-18","M",2,"Tauber_1_RE4_M_2",24.12,12.44,12.5,1,0.85124,44.8,"Portugal",41.15,-8.41,175
"Tauber","NS",1,"RE","RE4","RE 4-10-18","M",2,"Tauber_1_RE4_M_2",23.36,13.36,12.5,1,0.92562,46.6,"Portugal",41.15,-8.41,175
"Tauber","NS",1,"RE","RE4","RE 4-10-18","M",2,"Tauber_1_RE4_M_2",23.36,13.97,12.7,1,0.958333,47,"Portugal",41.15,-8.41,175
"Tauber","NS",1,"RE","RE4","RE 4-10-18","M",2,"Tauber_1_RE4_M_2",24.52,10.67,12.5,1,0.789916,42.6,"Portugal",41.15,-8.41,175
"Tauber","NS",1,"RE","RE6","RE 6-10-18","M",2,"Tauber_1_RE6_M_2",24.84,19.9,12.5,1,0.859504,45,"Portugal",41.15,-8.41,175
"Tauber","NS",1,"RE","RE6","RE 6-10-18","M",2,"Tauber_1_RE6_M_2",23.44,11.57,13.4,1,1,43.6,"Portugal",41.15,-8.41,175
